offset,seed,band,boots,how
23,4EDA,0,1,measured
24,973B,0,1,measured
27,72F3,0,1,measured
29,AEE8,0,1,measured
30,F827,0,1,measured
33,D2E6,0,1,measured
35,6197,0,1,measured
36,AEAB,0,1,measured
37,AEAB,0,1,measured
38,F7EF,0,1,measured
41,6386,0,1,measured
42,ADDB,0,1,measured
46,D66F,0,1,measured
47,2049,0,1,measured
49,A7FE,0,1,measured
50,E646,0,1,measured
52,7983,0,1,measured
56,CC50,0,1,measured
58,5F99,0,1,measured
61,37B0,0,1,measured
62,80B0,0,1,measured
66,D423,0,1,measured
67,1B6D,0,1,measured
72,8B30,0,1,measured
73,FDC4,0,1,measured
77,F7A4,0,1,measured
78,4173,0,1,measured
82,8F54,0,1,measured
83,B004,0,1,measured
84,FA8B,0,1,measured
85,41EC,0,1,measured
87,D4CB,0,1,measured
88,1ED3,0,1,measured
92,FECB,0,1,measured
94,8E6B,0,1,measured
95,1AF9,0,1,measured
97,B351,0,1,measured
98,FB76,0,1,measured
100,8E8D,0,1,measured
102,2085,0,1,measured
