offset,seed,band,boots,how
6,8372,0,1,measured
7,AB69,0,1,measured
8,F4DB,0,1,measured
9,3DB2,0,1,measured
10,86E9,0,1,measured
11,D029,0,1,measured
12,1969,0,1,measured
13,18D8,0,1,measured
14,3B7C,0,1,measured
15,85CC,0,1,measured
16,85CC,0,1,measured
17,D014,0,1,measured
18,5F2F,0,1,measured
19,A739,0,1,measured
20,EBAF,0,1,measured
21,3971,0,1,measured
22,5993,0,1,measured
23,979D,0,1,measured
24,DFF6,0,1,measured
25,293B,0,1,measured
26,7276,0,1,measured
27,BBB6,0,1,measured
28,E474,0,1,measured
29,F790,0,1,measured
30,40D5,0,1,measured
31,8932,0,1,measured
32,D267,0,1,measured
33,1BB2,0,1,measured
34,64E9,0,1,measured
35,AA41,0,1,measured
36,F774,0,1,measured
37,F774,0,1,measured
38,40B2,0,1,measured
39,89E9,0,1,measured
40,885C,0,1,measured
41,ABF5,0,1,measured
42,F64C,0,1,measured
43,3DFD,0,1,measured
44,884A,0,1,measured
45,D00C,0,1,measured
46,1F0C,0,1,measured
47,68D0,0,1,measured
48,AF3B,0,1,measured
49,F0C1,0,1,measured
50,2F0F,0,1,measured
51,6F06,0,1,measured
52,C21B,0,1,measured
53,0BD5,0,1,measured
54,53FE,0,1,measured
55,9CFC,0,1,measured
56,1501,0,1,measured
57,5E00,0,1,measured
58,A85C,0,1,measured
59,F2A6,0,1,measured
60,398C,0,1,measured
61,805E,0,1,measured
62,C96A,0,1,measured
63,F26F,0,1,measured
64,B1A6,0,1,measured
65,CD54,0,1,measured
66,1C8E,0,1,measured
67,641A,0,1,measured
68,AE52,0,1,measured
69,F641,0,1,measured
70,4031,0,1,measured
71,89FE,0,1,measured
72,D394,0,1,measured
73,4634,0,1,measured
74,654E,0,1,measured
75,AFC2,0,1,measured
76,F9F6,0,1,measured
77,4037,0,1,measured
78,8A46,0,1,measured
79,D42F,0,1,measured
80,18ED,0,1,measured
81,630D,0,1,measured
82,D7B7,0,1,measured
83,F898,0,1,measured
84,4300,0,1,measured
85,8A92,0,1,measured
86,D4DD,0,1,measured
87,1D84,0,1,measured
88,6741,0,1,measured
89,6741,0,1,measured
90,B06F,0,1,measured
91,245E,0,1,measured
92,46F4,0,1,measured
93,8CAE,0,1,measured
94,D6F6,0,1,measured
95,639E,0,1,measured
96,B1F6,0,1,measured
97,FBB5,0,1,measured
98,4401,0,1,measured
99,B729,0,1,measured
100,D719,0,1,measured
101,2189,0,1,measured
102,6923,0,1,measured
103,B357,0,1,measured
104,FC01,0,1,measured
105,45C6,0,1,measured
106,90C5,0,1,measured
107,017B,0,1,measured
108,2029,0,1,measured
109,6A7E,0,1,measured
110,AD5A,0,1,measured
111,AD5A,0,1,measured
112,FC59,0,1,measured
113,4432,0,1,measured
114,8E33,0,1,measured
115,D818,0,1,measured
116,2197,0,1,measured
117,9609,0,1,measured
118,AED4,0,1,measured
119,F7E3,0,1,measured
120,4188,0,1,measured
121,D3F1,0,1,measured
122,1C9D,0,1,measured
123,6586,0,1,measured
124,AE01,0,1,measured
125,EC4F,0,1,measured
126,2DFF,0,1,measured
127,76DF,0,1,measured
128,C012,0,1,measured
129,100A,0,1,measured
130,52FA,0,1,measured
131,A077,0,1,measured
132,EA56,0,1,measured
133,2EB1,0,1,measured
134,7C3D,0,1,measured
135,C5FD,0,1,measured
136,0EF4,0,1,measured
137,5813,0,1,measured
138,82FA,0,1,measured
139,B165,0,1,measured
140,F0D6,0,1,measured
141,4440,0,1,measured
142,EA01,0,1,measured
143,22F0,0,1,measured
144,6E68,0,1,measured
145,B702,0,1,measured
146,0043,0,1,measured
