offset,seed,band,boots,how
7,AB52,0,1,measured
8,F4CC,0,1,measured
14,3B63,0,1,measured
15,85B6,0,1,measured
16,85B6,0,1,measured
17,D005,0,1,measured
18,5F16,0,1,measured
19,A729,0,1,measured
21,3959,0,1,measured
22,5985,0,1,measured
23,978F,0,1,measured
28,E46E,0,1,measured
29,F782,0,1,measured
30,40BC,0,1,measured
34,64DA,0,1,measured
35,AA32,0,1,measured
36,F75D,0,1,measured
37,F75D,0,1,measured
38,409A,0,1,measured
43,3DEE,0,1,measured
44,8838,0,1,measured
45,CFF0,0,1,measured
46,1EFE,0,1,measured
47,68C9,0,1,measured
48,AF25,0,1,measured
49,F0B2,0,1,measured
50,2EFE,0,1,measured
51,6EFF,0,1,measured
52,C203,0,1,measured
55,9CF6,0,1,measured
56,14EA,0,1,measured
57,5DF2,0,1,measured
58,A84D,0,1,measured
62,C95C,0,1,measured
63,F269,0,1,measured
64,B197,0,1,measured
65,CD3E,0,1,measured
68,AE4C,0,1,measured
70,4021,0,1,measured
71,89F8,0,1,measured
72,D383,0,1,measured
75,AFB5,0,1,measured
76,F9E1,0,1,measured
77,400D,0,1,measured
79,D414,0,1,measured
84,42F2,0,1,measured
85,8A84,0,1,measured
86,D4C0,0,1,measured
87,1D6E,0,1,measured
88,6734,0,1,measured
89,6734,0,1,measured
92,46E8,0,1,measured
93,8C9C,0,1,measured
94,D6E6,0,1,measured
98,43FC,0,1,measured
99,B711,0,1,measured
100,D70B,0,1,measured
101,2175,0,1,measured
102,6917,0,1,measured
105,45AF,0,1,measured
106,90AF,0,1,measured
107,0166,0,1,measured
108,2014,0,1,measured
109,6A71,0,1,measured
110,AD55,0,1,measured
111,AD55,0,1,measured
112,FC41,0,1,measured
113,4424,0,1,measured
114,8E24,0,1,measured
115,D800,0,1,measured
116,217D,0,1,measured
117,95F0,0,1,measured
118,AEC6,0,1,measured
119,F7DD,0,1,measured
120,4179,0,1,measured
121,D3E1,0,1,measured
122,1C97,0,1,measured
123,6579,0,1,measured
126,2DF9,0,1,measured
127,76D2,0,1,measured
128,C001,0,1,measured
133,2E98,0,1,measured
134,7C37,0,1,measured
135,C5E4,0,1,measured
136,0EEE,0,1,measured
137,5803,0,1,measured
140,F0BE,0,1,measured
141,4428,0,1,measured
142,E9F6,0,1,measured
143,22E5,0,1,measured
145,B6F1,0,1,measured
147,4997,0,1,measured
148,937A,0,1,measured
150,2553,0,1,measured
151,671E,0,1,measured
152,A534,0,1,measured
153,EE26,0,1,measured
154,71CD,0,1,measured
155,95C4,0,1,measured
156,E377,0,1,measured
158,759C,0,1,measured
160,0849,0,1,measured
161,51EF,0,1,measured
162,98B6,0,1,measured
163,C53D,0,1,measured
167,1D45,0,1,measured
168,34CA,0,1,measured
169,7E2D,0,1,measured
170,C2E5,0,1,measured
171,0FE2,0,1,measured
172,58C5,0,1,measured
173,A1FF,0,1,measured
174,EBB0,0,1,measured
175,3491,0,1,measured
176,5E45,0,1,measured
177,8E35,0,1,measured
178,D627,0,1,measured
179,1EF8,0,1,measured
180,D1BD,0,1,measured
181,0462,0,1,measured
182,4C59,0,1,measured
183,94CB,0,1,measured
184,DE3D,0,1,measured
185,22F5,0,1,measured
189,4CAB,0,1,measured
190,9571,0,1,measured
195,06F1,0,1,measured
196,5480,0,1,measured
197,9991,0,1,measured
198,E089,0,1,measured
202,FD13,0,1,measured
203,3E8D,0,1,measured
204,8410,0,1,measured
205,CD70,0,1,measured
207,8256,0,1,measured
210,5D9F,0,1,measured
211,A766,0,1,measured
212,F1CF,0,1,measured
213,36AA,0,1,measured
214,7FA5,0,1,measured
217,3AB9,0,1,measured
218,841D,0,1,measured
219,0724,0,1,measured
220,2BAB,0,1,measured
221,74C7,0,1,measured
224,4FCA,0,1,measured
226,E3CC,0,1,measured
227,2AD2,0,1,measured
228,51EC,0,1,measured
231,20C8,0,1,measured
232,6D1A,0,1,measured
238,2098,0,1,measured
239,6937,0,1,measured
240,B291,0,1,measured
241,DE3C,0,1,measured
242,082F,0,1,measured
243,5141,0,1,measured
244,1ED9,0,1,measured
245,2F94,0,1,measured
246,7D7E,0,1,measured
247,C743,0,1,measured
252,3461,0,1,measured
253,7587,0,1,measured
254,B3D1,0,1,measured
256,461C,0,1,measured
257,DC07,0,1,measured
258,1206,0,1,measured
260,A05D,0,1,measured
261,EE09,0,1,measured
262,3637,0,1,measured
263,802A,0,1,measured
264,C8B7,0,1,measured
265,12A7,0,1,measured
266,129D,0,1,measured
267,3EE1,0,1,measured
268,9786,0,1,measured
269,D58E,0,1,measured
270,1DB2,0,1,measured
271,9383,0,1,measured
272,CF5E,0,1,measured
273,171B,0,1,measured
274,5FFB,0,1,measured
275,A93A,0,1,measured
276,EE06,0,1,measured
277,3C4F,0,1,measured
278,8500,0,1,measured
280,13C9,0,1,measured
281,5C6A,0,1,measured
282,A30A,0,1,measured
284,7D66,0,1,measured
286,10D8,0,1,measured
287,5923,0,1,measured
288,9FE9,0,1,measured
289,0441,0,1,measured
291,7DF8,0,1,measured
294,598B,0,1,measured
295,A2D0,0,1,measured
299,20E9,0,1,measured
300,6A0A,0,1,measured
301,AFCA,0,1,measured
302,ED79,0,1,measured
308,48B9,0,1,measured
309,C8AD,0,1,measured
310,F4AB,0,1,measured
315,779F,0,1,measured
316,AAE1,0,1,measured
317,282B,0,1,measured
318,7114,0,1,measured
321,8076,0,1,measured
322,A3A3,0,1,measured
323,ECBE,0,1,measured
324,ECBE,0,1,measured
325,3669,0,1,measured
326,7F06,0,1,measured
327,C7BA,0,1,measured
329,5AC5,0,1,measured
330,A387,0,1,measured
331,E615,0,1,measured
332,22C3,0,1,measured
334,B4E9,0,1,measured
335,F9AB,0,1,measured
336,9C57,0,1,measured
342,2A7E,0,1,measured
343,2A7E,0,1,measured
344,57C8,0,1,measured
345,A161,0,1,measured
346,EA72,0,1,measured
347,9A24,0,1,measured
348,CB6A,0,1,measured
350,5471,0,1,measured
351,ADCA,0,1,measured
352,F3AC,0,1,measured
356,5B1C,0,1,measured
357,A1C3,0,1,measured
358,EB3B,0,1,measured
359,55D9,0,1,measured
360,92F6,0,1,measured
361,DA96,0,1,measured
362,DA96,0,1,measured
363,271B,0,1,measured
364,6D1E,0,1,measured
365,A8E1,0,1,measured
366,FFA9,0,1,measured
367,4D26,0,1,measured
371,51B6,0,1,measured
372,9B31,0,1,measured
373,1AA2,0,1,measured
375,E4CD,0,1,measured
376,2CEE,0,1,measured
377,7623,0,1,measured
378,95BE,0,1,measured
379,D9E8,0,1,measured
385,14E7,0,1,measured
386,BB3A,0,1,measured
391,1BF7,0,1,measured
392,7478,0,1,measured
393,031B,0,1,measured
396,DEE0,0,1,measured
398,7AC9,0,1,measured
399,B1EA,0,1,measured
400,B1EA,0,1,measured
406,6A18,0,1,measured
407,B275,0,1,measured
408,F42D,0,1,measured
409,3270,0,1,measured
410,7207,0,1,measured
412,7DD2,0,1,measured
413,C703,0,1,measured
414,1016,0,1,measured
415,5964,0,1,measured
418,2BE0,0,1,measured
419,2BE0,0,1,measured
420,746B,0,1,measured
421,9D74,0,1,measured
422,E6A5,0,1,measured
423,2F6A,0,1,measured
424,ABC8,0,1,measured
425,C953,0,1,measured
427,609C,0,1,measured
428,A909,0,1,measured
433,59AC,0,1,measured
434,A1A7,0,1,measured
435,DF67,0,1,measured
436,2868,0,1,measured
437,7187,0,1,measured
438,7187,0,1,measured
441,4D5D,0,1,measured
442,969C,0,1,measured
443,E051,0,1,measured
448,181D,0,1,measured
449,606D,0,1,measured
450,4ED9,0,1,measured
451,9AB6,0,1,measured
452,E57A,0,1,measured
454,5E39,0,1,measured
455,B5A9,0,1,measured
456,0290,0,1,measured
457,0290,0,1,measured
458,47C4,0,1,measured
462,59AB,0,1,measured
463,CA8B,0,1,measured
464,0644,0,1,measured
