offset,seed,band,boots,how
6,836C,0,1,measured
7,AB56,0,1,measured
8,F4C7,0,1,measured
9,3D9A,0,1,measured
10,86DA,0,1,measured
11,D01C,0,1,measured
12,195A,0,1,measured
13,18CB,0,1,measured
14,3B71,0,1,measured
15,85B3,0,1,measured
16,85B3,0,1,measured
17,CD3D,0,1,measured
18,5F14,0,1,measured
19,A721,0,1,measured
20,EB97,0,1,measured
21,395C,0,1,measured
22,5981,0,1,measured
23,9796,0,1,measured
24,DFE7,0,1,measured
25,2924,0,1,measured
26,7270,0,1,measured
27,BBB0,0,1,measured
28,E472,0,1,measured
29,F77D,0,1,measured
30,40BD,0,1,measured
31,891A,0,1,measured
32,D25A,0,1,measured
33,1B9A,0,1,measured
34,64E3,0,1,measured
35,AA36,0,1,measured
36,F759,0,1,measured
37,F759,0,1,measured
38,40A4,0,1,measured
39,89DA,0,1,measured
40,884F,0,1,measured
41,ABF1,0,1,measured
42,F635,0,1,measured
43,3DF1,0,1,measured
44,882E,0,1,measured
45,CFF7,0,1,measured
46,1F07,0,1,measured
47,685D,0,1,measured
48,AF97,0,1,measured
49,F0A9,0,1,measured
50,2F03,0,1,measured
51,6EFA,0,1,measured
52,C20D,0,1,measured
53,0BBE,0,1,measured
54,53EE,0,1,measured
55,9CF0,0,1,measured
56,14EE,0,1,measured
57,5DED,0,1,measured
58,A857,0,1,measured
59,F298,0,1,measured
60,3972,0,1,measured
61,804F,0,1,measured
62,C95F,0,1,measured
63,F26B,0,1,measured
64,B194,0,1,measured
65,CD3D,0,1,measured
66,1C76,0,1,measured
67,6404,0,1,measured
68,AE44,0,1,measured
69,F61B,0,1,measured
70,402A,0,1,measured
71,89F1,0,1,measured
72,D384,0,1,measured
73,4623,0,1,measured
74,653F,0,1,measured
75,AFBC,0,1,measured
76,F744,0,1,measured
77,42A2,0,1,measured
78,8A2E,0,1,measured
79,D422,0,1,measured
80,18D5,0,1,measured
81,6306,0,1,measured
82,D7A9,0,1,measured
83,F87F,0,1,measured
84,42F5,0,1,measured
85,8A80,0,1,measured
86,D4C4,0,1,measured
87,1D6B,0,1,measured
88,673B,0,1,measured
89,673B,0,1,measured
90,B059,0,1,measured
91,244F,0,1,measured
92,43CB,0,1,measured
93,8FBC,0,1,measured
94,D6E1,0,1,measured
95,6397,0,1,measured
96,B1E8,0,1,measured
97,FB9F,0,1,measured
98,4400,0,1,measured
99,B70D,0,1,measured
100,D70E,0,1,measured
101,2171,0,1,measured
102,690B,0,1,measured
103,B355,0,1,measured
104,FBF2,0,1,measured
105,45B4,0,1,measured
106,8EDB,0,1,measured
107,02AB,0,1,measured
108,2172,0,1,measured
109,68D1,0,1,measured
110,AE61,0,1,measured
111,AE61,0,1,measured
112,FAE3,0,1,measured
113,448D,0,1,measured
114,8E25,0,1,measured
115,D7EF,0,1,measured
116,203B,0,1,measured
117,957E,0,1,measured
118,AECE,0,1,measured
119,F7D3,0,1,measured
120,417E,0,1,measured
121,D2E6,0,1,measured
122,1D8A,0,1,measured
123,657F,0,1,measured
124,ADF3,0,1,measured
