offset,seed,band,boots,how
6,835A,0,1,measured
7,AB51,0,1,measured
8,F4C3,0,1,measured
9,3D9A,0,1,measured
10,86D1,0,1,measured
11,D011,0,1,measured
12,1951,0,1,measured
13,18C0,0,1,measured
14,3B62,0,1,measured
15,85AF,0,1,measured
16,85AF,0,1,measured
17,CFF3,0,1,measured
18,5F18,0,1,measured
19,A721,0,1,measured
20,EB8E,0,1,measured
21,3959,0,1,measured
22,597B,0,1,measured
23,9785,0,1,measured
24,DFDE,0,1,measured
25,2923,0,1,measured
26,725E,0,1,measured
27,BBA7,0,1,measured
28,E45C,0,1,measured
29,F778,0,1,measured
30,40BD,0,1,measured
31,891A,0,1,measured
32,D24F,0,1,measured
33,1B9A,0,1,measured
34,64D1,0,1,measured
35,AA29,0,1,measured
36,F752,0,1,measured
37,F752,0,1,measured
38,409A,0,1,measured
39,89D1,0,1,measured
40,8844,0,1,measured
41,ABE6,0,1,measured
42,F638,0,1,measured
43,3DEF,0,1,measured
44,8834,0,1,measured
45,CFF4,0,1,measured
46,1EF5,0,1,measured
47,68B8,0,1,measured
48,AF1E,0,1,measured
49,F0A9,0,1,measured
50,2EF7,0,1,measured
51,6EEE,0,1,measured
52,C203,0,1,measured
53,0BBD,0,1,measured
54,53DE,0,1,measured
55,9CE4,0,1,measured
56,14E2,0,1,measured
57,5DE8,0,1,measured
58,A844,0,1,measured
59,F28E,0,1,measured
60,396A,0,1,measured
61,8046,0,1,measured
62,C952,0,1,measured
63,F258,0,1,measured
64,B18E,0,1,measured
65,CD3C,0,1,measured
66,1C76,0,1,measured
67,6401,0,1,measured
68,AE3B,0,1,measured
69,F618,0,1,measured
70,401A,0,1,measured
71,89E6,0,1,measured
72,D37A,0,1,measured
73,461C,0,1,measured
74,6535,0,1,measured
75,AFAA,0,1,measured
76,F9E0,0,1,measured
77,400D,0,1,measured
78,8A2D,0,1,measured
79,D418,0,1,measured
80,18D5,0,1,measured
81,62F5,0,1,measured
82,D79F,0,1,measured
83,F881,0,1,measured
84,42E6,0,1,measured
85,8A78,0,1,measured
86,D4C0,0,1,measured
87,1D6E,0,1,measured
88,672B,0,1,measured
89,672B,0,1,measured
90,B056,0,1,measured
91,2446,0,1,measured
92,46DD,0,1,measured
93,8C97,0,1,measured
94,D6D5,0,1,measured
95,638F,0,1,measured
96,B1DF,0,1,measured
97,FB9E,0,1,measured
98,43EB,0,1,measured
99,B711,0,1,measured
100,D6FF,0,1,measured
101,2171,0,1,measured
102,690B,0,1,measured
103,B343,0,1,measured
104,FBF2,0,1,measured
105,45AA,0,1,measured
106,90AC,0,1,measured
107,0166,0,1,measured
108,200F,0,1,measured
109,6A5F,0,1,measured
110,AD42,0,1,measured
111,AD42,0,1,measured
112,FC3F,0,1,measured
113,4419,0,1,measured
114,8E17,0,1,measured
115,D7FE,0,1,measured
116,217F,0,1,measured
117,95F1,0,1,measured
118,AEBC,0,1,measured
119,F7CB,0,1,measured
120,4170,0,1,measured
121,D3D9,0,1,measured
122,1C85,0,1,measured
123,656E,0,1,measured
124,ADE9,0,1,measured
125,EC37,0,1,measured
126,2DE7,0,1,measured
127,76C7,0,1,measured
128,BFFA,0,1,measured
129,0FF2,0,1,measured
130,52E2,0,1,measured
131,A05F,0,1,measured
132,EA3E,0,1,measured
133,2E99,0,1,measured
134,7C30,0,1,measured
135,C5E5,0,1,measured
136,0EDC,0,1,measured
137,57FB,0,1,measured
138,82E2,0,1,measured
139,B151,0,1,measured
140,F0BE,0,1,measured
141,4427,0,1,measured
142,E9E9,0,1,measured
143,22D8,0,1,measured
144,6E51,0,1,measured
145,B6E5,0,1,measured
146,0032,0,1,measured
147,4986,0,1,measured
148,937B,0,1,measured
149,DCA4,0,1,measured
150,2541,0,1,measured
151,671E,0,1,measured
152,A52B,0,1,measured
153,EE14,0,1,measured
154,71D2,0,1,measured
155,95C1,0,1,measured
156,E378,0,1,measured
157,2D1F,0,1,measured
158,759B,0,1,measured
159,BF03,0,1,measured
160,0838,0,1,measured
161,51DC,0,1,measured
162,98AE,0,1,measured
163,C53C,0,1,measured
164,0EAB,0,1,measured
165,5773,0,1,measured
166,A096,0,1,measured
167,1D34,0,1,measured
168,34CA,0,1,measured
169,7E1C,0,1,measured
170,C2DE,0,1,measured
171,0FD0,0,1,measured
172,58B3,0,1,measured
173,A1EE,0,1,measured
174,EBA6,0,1,measured
175,348F,0,1,measured
176,5E32,0,1,measured
