offset,seed,band,boots,how
6,835B,0,1,measured
7,AB56,0,1,measured
8,F4BF,0,1,measured
9,3D9B,0,1,measured
10,86D2,0,1,measured
11,D012,0,1,measured
12,1952,0,1,measured
13,18C1,0,1,measured
14,3B66,0,1,measured
15,85B2,0,1,measured
16,85B2,0,1,measured
17,CD3F,0,1,measured
18,5F15,0,1,measured
19,A722,0,1,measured
20,EB98,0,1,measured
21,395F,0,1,measured
22,5976,0,1,measured
23,9786,0,1,measured
24,DFDF,0,1,measured
25,2924,0,1,measured
26,725F,0,1,measured
27,BB9F,0,1,measured
28,E461,0,1,measured
29,F77E,0,1,measured
30,40BD,0,1,measured
31,891B,0,1,measured
32,D252,0,1,measured
33,1B90,0,1,measured
34,64D2,0,1,measured
35,AA2E,0,1,measured
36,F75A,0,1,measured
37,F75A,0,1,measured
38,409D,0,1,measured
39,89DB,0,1,measured
40,8845,0,1,measured
41,ABE7,0,1,measured
42,F639,0,1,measured
43,3DEC,0,1,measured
44,882A,0,1,measured
45,CFF5,0,1,measured
46,1EFE,0,1,measured
47,684B,0,1,measured
48,AF86,0,1,measured
49,F0A7,0,1,measured
50,2EF2,0,1,measured
51,6EE9,0,1,measured
52,C204,0,1,measured
53,0BBE,0,1,measured
54,53DF,0,1,measured
55,9CE5,0,1,measured
56,14F0,0,1,measured
57,5DDB,0,1,measured
58,A847,0,1,measured
59,F28F,0,1,measured
60,3975,0,1,measured
61,8047,0,1,measured
62,C954,0,1,measured
63,F25A,0,1,measured
64,B18A,0,1,measured
65,CD33,0,1,measured
66,1C77,0,1,measured
67,6402,0,1,measured
68,AE3C,0,1,measured
69,F619,0,1,measured
70,401E,0,1,measured
71,89E2,0,1,measured
72,D37D,0,1,measured
73,4623,0,1,measured
74,6542,0,1,measured
75,AFAB,0,1,measured
76,F742,0,1,measured
77,42A4,0,1,measured
78,8A27,0,1,measured
79,D419,0,1,measured
80,18D6,0,1,measured
81,62F6,0,1,measured
82,D7A0,0,1,measured
83,F882,0,1,measured
84,42E9,0,1,measured
85,8A80,0,1,measured
86,D4BC,0,1,measured
87,1D64,0,1,measured
88,672C,0,1,measured
89,672C,0,1,measured
90,B057,0,1,measured
91,2447,0,1,measured
92,43C0,0,1,measured
93,8FAB,0,1,measured
94,D6E3,0,1,measured
95,6390,0,1,measured
96,B1E0,0,1,measured
97,FB9F,0,1,measured
98,43EF,0,1,measured
99,B70C,0,1,measured
100,D70D,0,1,measured
101,2172,0,1,measured
102,690C,0,1,measured
103,B344,0,1,measured
104,FBE7,0,1,measured
105,45B5,0,1,measured
106,8EDB,0,1,measured
107,02AC,0,1,measured
108,2162,0,1,measured
109,68C9,0,1,measured
110,AE59,0,1,measured
111,AE59,0,1,measured
112,FAE4,0,1,measured
113,448D,0,1,measured
114,8E14,0,1,measured
115,D7E2,0,1,measured
116,2030,0,1,measured
117,9577,0,1,measured
118,AEBD,0,1,measured
119,F7CC,0,1,measured
120,4176,0,1,measured
121,D2DD,0,1,measured
122,1D8C,0,1,measured
123,6577,0,1,measured
124,ADED,0,1,measured
125,EC38,0,1,measured
126,2DEC,0,1,measured
127,76C5,0,1,measured
128,BFF0,0,1,measured
129,0FFC,0,1,measured
130,52E3,0,1,measured
131,A060,0,1,measured
132,EA3F,0,1,measured
133,2E9E,0,1,measured
134,7C2E,0,1,measured
135,C5DC,0,1,measured
136,0E96,0,1,measured
137,584F,0,1,measured
138,82E2,0,1,measured
139,B147,0,1,measured
140,F0C3,0,1,measured
141,4419,0,1,measured
142,E9EA,0,1,measured
143,22D9,0,1,measured
144,6E52,0,1,measured
145,B6E6,0,1,measured
146,002A,0,1,measured
147,498D,0,1,measured
148,9377,0,1,measured
149,DCA5,0,1,measured
150,254B,0,1,measured
151,66D8,0,1,measured
152,A56C,0,1,measured
153,EE13,0,1,measured
154,71CC,0,1,measured
155,95BE,0,1,measured
156,E36E,0,1,measured
157,2D20,0,1,measured
158,7594,0,1,measured
159,BF04,0,1,measured
160,0839,0,1,measured
161,51E1,0,1,measured
162,98AA,0,1,measured
163,C53B,0,1,measured
164,0EAC,0,1,measured
165,5774,0,1,measured
166,A097,0,1,measured
167,1ED3,0,1,measured
168,34C4,0,1,measured
169,7E87,0,1,measured
170,C227,0,1,measured
171,0F74,0,1,measured
172,58B4,0,1,measured
173,A262,0,1,measured
174,EB34,0,1,measured
175,33D9,0,1,measured
176,5F51,0,1,measured
177,8D14,0,1,measured
178,D627,0,1,measured
179,200A,0,1,measured
180,D1B4,0,1,measured
181,02BA,0,1,measured
182,4DF6,0,1,measured
183,94BC,0,1,measured
184,DE3C,0,1,measured
185,22F7,0,1,measured
186,7101,0,1,measured
187,D3DA,0,1,measured
188,038D,0,1,measured
189,4C9F,0,1,measured
