offset,seed,band,boots,how
6,835B,0,1,measured
7,AB56,0,1,measured
8,F4BF,0,1,measured
9,3D9B,0,1,measured
10,86D2,0,1,measured
11,D012,0,1,measured
12,1952,0,1,measured
13,190E,0,1,measured
14,3B95,0,1,measured
15,85F5,0,1,measured
16,85F5,0,1,measured
17,CD3E,0,1,measured
18,5F21,0,1,measured
19,A719,0,1,measured
20,EBB5,0,1,measured
21,3973,0,1,measured
22,5981,0,1,measured
23,9790,0,1,measured
24,DFDF,0,1,measured
25,2924,0,1,measured
26,725F,0,1,measured
27,BBA8,0,1,measured
28,E461,0,1,measured
29,F77E,0,1,measured
30,40BD,0,1,measured
31,891B,0,1,measured
32,D252,0,1,measured
33,1B90,0,1,measured
34,64D2,0,1,measured
35,AA2E,0,1,measured
36,F75A,0,1,measured
37,F75A,0,1,measured
38,409D,0,1,measured
39,89DB,0,1,measured
40,8891,0,1,measured
41,AC15,0,1,measured
42,F678,0,1,measured
43,3E0A,0,1,measured
44,8856,0,1,measured
45,D00D,0,1,measured
46,1EF6,0,1,measured
47,6882,0,1,measured
48,AF86,0,1,measured
49,F0A7,0,1,measured
50,2EFB,0,1,measured
51,6EE9,0,1,measured
52,C21A,0,1,measured
53,0BEA,0,1,measured
54,53E7,0,1,measured
55,9CE5,0,1,measured
56,14E7,0,1,measured
57,5DE5,0,1,measured
58,A847,0,1,measured
59,F2BD,0,1,measured
60,3987,0,1,measured
61,8047,0,1,measured
62,C954,0,1,measured
63,F25A,0,1,measured
64,B1D7,0,1,measured
65,CD73,0,1,measured
66,1CB7,0,1,measured
67,6412,0,1,measured
68,AE6F,0,1,measured
69,F639,0,1,measured
70,402C,0,1,measured
71,8A2F,0,1,measured
72,D3C0,0,1,measured
73,4671,0,1,measured
74,6570,0,1,measured
75,AFF7,0,1,measured
76,F752,0,1,measured
77,42E5,0,1,measured
78,8A1D,0,1,measured
79,D45F,0,1,measured
80,1919,0,1,measured
81,62F6,0,1,measured
82,D7EB,0,1,measured
83,F8B6,0,1,measured
84,4345,0,1,measured
85,8A98,0,1,measured
86,D4F0,0,1,measured
87,1D64,0,1,measured
88,6778,0,1,measured
89,6778,0,1,measured
90,B09C,0,1,measured
91,2493,0,1,measured
92,43F8,0,1,measured
93,9010,0,1,measured
94,D70D,0,1,measured
95,639D,0,1,measured
96,B1E0,0,1,measured
97,FBE9,0,1,measured
98,442C,0,1,measured
99,B74E,0,1,measured
100,D743,0,1,measured
101,21C1,0,1,measured
102,691E,0,1,measured
103,B37E,0,1,measured
104,FBF3,0,1,measured
105,45F5,0,1,measured
106,8F27,0,1,measured
107,0326,0,1,measured
108,21AA,0,1,measured
109,68EB,0,1,measured
110,AE8D,0,1,measured
111,AE8D,0,1,measured
112,FAFA,0,1,measured
113,44A4,0,1,measured
114,8E14,0,1,measured
115,D833,0,1,measured
116,2073,0,1,measured
117,95B4,0,1,measured
118,AEFB,0,1,measured
119,F80C,0,1,measured
120,41AC,0,1,measured
121,D2EE,0,1,measured
122,1DC1,0,1,measured
123,658C,0,1,measured
124,ADE2,0,1,measured
125,EC56,0,1,measured
126,2DEC,0,1,measured
127,76C5,0,1,measured
128,BFF0,0,1,measured
129,0FF3,0,1,measured
130,52E3,0,1,measured
131,A056,0,1,measured
132,EA58,0,1,measured
133,2E9E,0,1,measured
134,7C2A,0,1,measured
135,C5FA,0,1,measured
136,0E9F,0,1,measured
137,584F,0,1,measured
138,8303,0,1,measured
139,B152,0,1,measured
140,F0B9,0,1,measured
141,4432,0,1,measured
142,E9EA,0,1,measured
143,22E4,0,1,measured
144,6E6C,0,1,measured
145,B6E5,0,1,measured
146,002A,0,1,measured
147,4995,0,1,measured
148,938D,0,1,measured
149,DCC4,0,1,measured
150,2542,0,1,measured
151,66D5,0,1,measured
152,A56C,0,1,measured
153,EE13,0,1,measured
154,7202,0,1,measured
155,95F4,0,1,measured
156,E3A6,0,1,measured
157,2D56,0,1,measured
158,7594,0,1,measured
159,BF3A,0,1,measured
160,086E,0,1,measured
161,5215,0,1,measured
162,98A9,0,1,measured
163,C53B,0,1,measured
164,0EAC,0,1,measured
165,5774,0,1,measured
166,A097,0,1,measured
167,1F43,0,1,measured
168,3504,0,1,measured
169,7EC9,0,1,measured
170,C244,0,1,measured
171,0F95,0,1,measured
172,58DC,0,1,measured
173,A284,0,1,measured
174,EB52,0,1,measured
175,33E2,0,1,measured
176,5F70,0,1,measured
177,8D14,0,1,measured
178,D627,0,1,measured
179,2027,0,1,measured
180,D1DC,0,1,measured
181,02F0,0,1,measured
182,4E60,0,1,measured
183,94BC,0,1,measured
184,DE72,0,1,measured
185,232B,0,1,measured
186,712D,0,1,measured
187,D410,0,1,measured
188,03C7,0,1,measured
189,4CDE,0,1,measured
