offset,seed,band,boots,how
7,AB52,0,1,measured
8,F4CC,0,1,measured
14,3BA3,0,1,measured
17,D04C,0,1,measured
18,5F36,0,1,measured
19,A721,0,1,measured
21,397F,0,1,measured
22,598D,0,1,measured
23,978F,0,1,measured
26,7270,0,1,measured
28,E46E,0,1,measured
29,F782,0,1,measured
30,40BC,0,1,measured
34,64DA,0,1,measured
35,AA32,0,1,measured
36,F75D,0,1,measured
37,F75D,0,1,measured
38,409A,0,1,measured
43,3E0F,0,1,measured
44,8872,0,1,measured
45,D009,0,1,measured
46,1EFE,0,1,measured
47,6900,0,1,measured
48,AF20,0,1,measured
49,F0B2,0,1,measured
50,2EFE,0,1,measured
51,6EFF,0,1,measured
52,C219,0,1,measured
53,0BF5,0,1,measured
56,14EC,0,1,measured
57,5DE9,0,1,measured
58,A84D,0,1,measured
59,F2BE,0,1,measured
62,C95C,0,1,measured
63,F269,0,1,measured
64,B1DC,0,1,measured
65,CD74,0,1,measured
67,6418,0,1,measured
70,4025,0,1,measured
71,8A43,0,1,measured
72,D3C7,0,1,measured
73,466F,0,1,measured
76,FA2F,0,1,measured
77,402D,0,1,measured
78,8A2D,0,1,measured
79,D46E,0,1,measured
84,433F,0,1,measured
85,8A98,0,1,measured
86,D4F2,0,1,measured
88,6780,0,1,measured
89,6780,0,1,measured
92,476A,0,1,measured
93,8CAF,0,1,measured
94,D718,0,1,measured
95,63A5,0,1,measured
98,4431,0,1,measured
99,B75E,0,1,measured
100,D741,0,1,measured
101,21C7,0,1,measured
105,45FA,0,1,measured
106,913A,0,1,measured
107,01AF,0,1,measured
108,204D,0,1,measured
109,6AB4,0,1,measured
110,AD63,0,1,measured
111,AD63,0,1,measured
112,FC74,0,1,measured
113,443D,0,1,measured
114,8E24,0,1,measured
115,D84C,0,1,measured
116,21CC,0,1,measured
117,962E,0,1,measured
118,AF04,0,1,measured
120,41B9,0,1,measured
121,D417,0,1,measured
122,1CA6,0,1,measured
123,659F,0,1,measured
124,ADEA,0,1,measured
126,2DF2,0,1,measured
127,76C9,0,1,measured
128,C001,0,1,measured
133,2E98,0,1,measured
134,7C37,0,1,measured
135,C60B,0,1,measured
136,0EE5,0,1,measured
137,5803,0,1,measured
139,B157,0,1,measured
140,F0C7,0,1,measured
141,4441,0,1,measured
142,E9FC,0,1,measured
143,22E5,0,1,measured
144,6E82,0,1,measured
147,4991,0,1,measured
148,9396,0,1,measured
149,DCC3,0,1,measured
151,671E,0,1,measured
152,A534,0,1,measured
153,EE26,0,1,measured
154,7204,0,1,measured
155,95FA,0,1,measured
156,E3AD,0,1,measured
161,5225,0,1,measured
162,98AD,0,1,measured
163,C53B,0,1,measured
165,577D,0,1,measured
167,1D7A,0,1,measured
168,3500,0,1,measured
169,7E5B,0,1,measured
170,C314,0,1,measured
171,0FF7,0,1,measured
172,58DD,0,1,measured
173,A21E,0,1,measured
174,EBC6,0,1,measured
175,34AD,0,1,measured
176,5E45,0,1,measured
177,8E54,0,1,measured
179,1EF8,0,1,measured
181,04D4,0,1,measured
182,4C8A,0,1,measured
183,94CB,0,1,measured
184,DE7B,0,1,measured
189,4CE1,0,1,measured
190,958B,0,1,measured
191,DF28,0,1,measured
193,93D1,0,1,measured
194,BA6B,0,1,measured
196,54BB,0,1,measured
197,99C9,0,1,measured
198,E089,0,1,measured
199,2C83,0,1,measured
203,3E8D,0,1,measured
204,8410,0,1,measured
205,CD70,0,1,measured
207,8286,0,1,measured
208,CB96,0,1,measured
209,1752,0,1,measured
210,5DDD,0,1,measured
211,A79C,0,1,measured
212,F1C4,0,1,measured
213,36A2,0,1,measured
214,7FA5,0,1,measured
217,3AB9,0,1,measured
218,841D,0,1,measured
219,075B,0,1,measured
220,2BE4,0,1,measured
224,4FE9,0,1,measured
225,991A,0,1,measured
226,E408,0,1,measured
227,2ADA,0,1,measured
228,5201,0,1,measured
231,20C8,0,1,measured
232,6D1A,0,1,measured
235,44E8,0,1,measured
238,20B7,0,1,measured
239,693F,0,1,measured
240,B297,0,1,measured
241,DE54,0,1,measured
242,082D,0,1,measured
243,513F,0,1,measured
244,1EF2,0,1,measured
245,2FAA,0,1,measured
246,7D9E,0,1,measured
247,C77A,0,1,measured
252,3480,0,1,measured
253,7589,0,1,measured
254,B3D1,0,1,measured
256,461C,0,1,measured
257,DC26,0,1,measured
258,122C,0,1,measured
259,5B49,0,1,measured
260,A08B,0,1,measured
261,EE29,0,1,measured
262,362F,0,1,measured
263,8051,0,1,measured
264,C8B7,0,1,measured
265,12C3,0,1,measured
266,12C3,0,1,measured
267,3ED7,0,1,measured
268,97C5,0,1,measured
269,D59D,0,1,measured
270,1DB2,0,1,measured
271,93A8,0,1,measured
272,CF7C,0,1,measured
273,171A,0,1,measured
274,5FF3,0,1,measured
275,A943,0,1,measured
276,EE06,0,1,measured
277,3C6D,0,1,measured
278,84F8,0,1,measured
280,13C9,0,1,measured
281,5C88,0,1,measured
283,5260,0,1,measured
284,7D95,0,1,measured
286,1106,0,1,measured
287,5954,0,1,measured
288,9FE9,0,1,measured
289,0476,0,1,measured
294,59C1,0,1,measured
295,A30B,0,1,measured
296,0956,0,1,measured
297,396F,0,1,measured
299,211F,0,1,measured
300,6A37,0,1,measured
301,AFD2,0,1,measured
308,48B9,0,1,measured
309,C8E3,0,1,measured
315,779D,0,1,measured
316,AADB,0,1,measured
317,282B,0,1,measured
318,7114,0,1,measured
321,80AC,0,1,measured
322,A3E9,0,1,measured
323,ED0C,0,1,measured
324,ED0C,0,1,measured
325,3696,0,1,measured
326,7F24,0,1,measured
327,C7DA,0,1,measured
329,5AE5,0,1,measured
330,A3A4,0,1,measured
331,E62B,0,1,measured
332,22CD,0,1,measured
333,6BAF,0,1,measured
334,B4EF,0,1,measured
335,F9A2,0,1,measured
336,9C4D,0,1,measured
337,E654,0,1,measured
338,2ED8,0,1,measured
339,7828,0,1,measured
342,2A7D,0,1,measured
343,2A7D,0,1,measured
344,57BF,0,1,measured
346,EA82,0,1,measured
347,9A3B,0,1,measured
348,CB6A,0,1,measured
350,5499,0,1,measured
351,ADCA,0,1,measured
352,F3AC,0,1,measured
356,5B1C,0,1,measured
357,A1C9,0,1,measured
358,EB3B,0,1,measured
360,932C,0,1,measured
361,DA8E,0,1,measured
362,DA8E,0,1,measured
363,271B,0,1,measured
364,6D1E,0,1,measured
365,A8E1,0,1,measured
366,FFA9,0,1,measured
367,4D3D,0,1,measured
369,BF62,0,1,measured
371,51B5,0,1,measured
372,9B31,0,1,measured
373,1AD8,0,1,measured
374,9B57,0,1,measured
375,E505,0,1,measured
376,2CFF,0,1,measured
377,7642,0,1,measured
378,95D4,0,1,measured
379,D9FE,0,1,measured
384,CB09,0,1,measured
385,150D,0,1,measured
386,BB42,0,1,measured
391,1C18,0,1,measured
392,7478,0,1,measured
393,031B,0,1,measured
394,4868,0,1,measured
396,DEE0,0,1,measured
398,7AC9,0,1,measured
399,B1EA,0,1,measured
400,B1EA,0,1,measured
406,6A36,0,1,measured
407,B27D,0,1,measured
408,F42D,0,1,measured
409,3270,0,1,measured
412,7DD3,0,1,measured
413,C703,0,1,measured
414,1016,0,1,measured
415,5964,0,1,measured
417,ED79,0,1,measured
420,7471,0,1,measured
421,9D74,0,1,measured
422,E6A5,0,1,measured
423,2F6A,0,1,measured
424,ABFE,0,1,measured
427,60D8,0,1,measured
428,A927,0,1,measured
429,F216,0,1,measured
430,3B58,0,1,measured
431,DA29,0,1,measured
433,59C9,0,1,measured
434,A1A7,0,1,measured
435,DF67,0,1,measured
436,2870,0,1,measured
437,718F,0,1,measured
438,718F,0,1,measured
441,4D57,0,1,measured
442,969A,0,1,measured
443,E066,0,1,measured
448,1835,0,1,measured
449,606D,0,1,measured
450,4ECF,0,1,measured
451,9AD4,0,1,measured
452,E584,0,1,measured
