offset,seed,band,boots,how
7,AB52,0,1,measured
8,F4C4,0,1,measured
14,3B92,0,1,measured
15,85F8,0,1,measured
16,85F8,0,1,measured
17,D03B,0,1,measured
18,5F25,0,1,measured
19,A722,0,1,measured
20,EBAD,0,1,measured
21,396F,0,1,measured
22,5983,0,1,measured
27,BB9F,0,1,measured
28,E45D,0,1,measured
29,F779,0,1,measured
30,40BE,0,1,measured
32,D250,0,1,measured
33,1B9B,0,1,measured
35,AA2A,0,1,measured
36,F753,0,1,measured
37,F753,0,1,measured
38,409B,0,1,measured
39,89D2,0,1,measured
43,3E08,0,1,measured
44,8867,0,1,measured
45,D005,0,1,measured
47,68E8,0,1,measured
48,AF1F,0,1,measured
49,F0A1,0,1,measured
50,2EF8,0,1,measured
51,6EEF,0,1,measured
53,0BF8,0,1,measured
55,9CEF,0,1,measured
56,14E3,0,1,measured
57,5DE0,0,1,measured
58,A845,0,1,measured
60,3992,0,1,measured
62,C953,0,1,measured
63,F259,0,1,measured
64,B1DB,0,1,measured
70,4026,0,1,measured
71,8A32,0,1,measured
72,D3C1,0,1,measured
73,4670,0,1,measured
76,FA22,0,1,measured
77,4036,0,1,measured
78,8A2D,0,1,measured
79,D45E,0,1,measured
84,4343,0,1,measured
85,8A99,0,1,measured
86,D4F7,0,1,measured
87,1D6D,0,1,measured
92,475F,0,1,measured
93,8CAC,0,1,measured
94,D70E,0,1,measured
95,63A5,0,1,measured
96,B1E6,0,1,measured
98,4426,0,1,measured
99,B755,0,1,measured
100,D744,0,1,measured
101,21B5,0,1,measured
105,45F1,0,1,measured
106,912A,0,1,measured
107,01B1,0,1,measured
108,203D,0,1,measured
109,6AA8,0,1,measured
110,AD65,0,1,measured
111,AD65,0,1,measured
112,FC6C,0,1,measured
113,443A,0,1,measured
114,8E1D,0,1,measured
115,D841,0,1,measured
116,21CB,0,1,measured
117,9627,0,1,measured
119,F80B,0,1,measured
120,41B0,0,1,measured
121,D406,0,1,measured
122,1C9E,0,1,measured
123,658E,0,1,measured
125,EC4D,0,1,measured
126,2DF2,0,1,measured
127,76C8,0,1,measured
128,BFEF,0,1,measured
133,2E9A,0,1,measured
134,7C26,0,1,measured
135,C604,0,1,measured
136,0EE7,0,1,measured
137,57FC,0,1,measured
138,8305,0,1,measured
139,B147,0,1,measured
140,F0B5,0,1,measured
141,4442,0,1,measured
142,E9F4,0,1,measured
143,22E6,0,1,measured
147,4993,0,1,measured
148,9391,0,1,measured
151,671E,0,1,measured
152,A52C,0,1,measured
153,EE15,0,1,measured
154,720A,0,1,measured
155,95ED,0,1,measured
156,E3AE,0,1,measured
161,5212,0,1,measured
162,98A5,0,1,measured
167,1D6C,0,1,measured
168,3502,0,1,measured
169,7E5D,0,1,measured
170,C315,0,1,measured
171,0FF9,0,1,measured
172,58D5,0,1,measured
173,A20D,0,1,measured
174,EBC9,0,1,measured
175,34AE,0,1,measured
176,5E3C,0,1,measured
177,8E4B,0,1,measured
178,D61D,0,1,measured
179,1EE7,0,1,measured
181,04CD,0,1,measured
182,4C79,0,1,measured
183,94B8,0,1,measured
189,4CDA,0,1,measured
190,9579,0,1,measured
191,DF20,0,1,measured
196,54B9,0,1,measured
197,99CC,0,1,measured
198,E08D,0,1,measured
199,2C82,0,1,measured
203,3E83,0,1,measured
204,8407,0,1,measured
205,CD5F,0,1,measured
206,4F89,0,1,measured
210,5DCD,0,1,measured
211,A792,0,1,measured
212,F1C7,0,1,measured
213,36A3,0,1,measured
217,3AB7,0,1,measured
218,841D,0,1,measured
219,075D,0,1,measured
221,7503,0,1,measured
224,4FE0,0,1,measured
225,991A,0,1,measured
226,E400,0,1,measured
227,2AC9,0,1,measured
231,20BE,0,1,measured
232,6D11,0,1,measured
238,20AF,0,1,measured
239,692E,0,1,measured
241,DE4C,0,1,measured
242,0825,0,1,measured
243,5137,0,1,measured
244,1EF2,0,1,measured
245,2FA2,0,1,measured
246,7D8D,0,1,measured
247,C772,0,1,measured
248,0ECD,0,1,measured
252,347E,0,1,measured
253,7580,0,1,measured
254,B3BF,0,1,measured
256,460B,0,1,measured
257,DC2B,0,1,measured
258,121B,0,1,measured
259,5B40,0,1,measured
260,A08C,0,1,measured
261,EE20,0,1,measured
262,3631,0,1,measured
263,803F,0,1,measured
264,C8B1,0,1,measured
265,12B5,0,1,measured
266,12B5,0,1,measured
267,3ED9,0,1,measured
268,97BC,0,1,measured
269,D595,0,1,measured
270,1DA0,0,1,measured
271,9396,0,1,measured
272,CF75,0,1,measured
273,1713,0,1,measured
274,5FF4,0,1,measured
275,A939,0,1,measured
276,EDFD,0,1,measured
277,3C6D,0,1,measured
278,84F8,0,1,measured
280,13CA,0,1,measured
281,5C7F,0,1,measured
282,A2FC,0,1,measured
286,1108,0,1,measured
287,5951,0,1,measured
288,9FFB,0,1,measured
290,3063,0,1,measured
294,59B7,0,1,measured
295,A306,0,1,measured
296,0959,0,1,measured
298,D6D5,0,1,measured
300,6A38,0,1,measured
301,AFC1,0,1,measured
308,48A9,0,1,measured
309,C8D3,0,1,measured
310,F4DF,0,1,measured
313,D056,0,1,measured
315,779E,0,1,measured
316,AAD2,0,1,measured
317,2823,0,1,measured
321,80A1,0,1,measured
322,A3DE,0,1,measured
323,ECFB,0,1,measured
324,ECFB,0,1,measured
329,5AD4,0,1,measured
330,A39B,0,1,measured
331,E62C,0,1,measured
332,22C5,0,1,measured
336,9C45,0,1,measured
337,E648,0,1,measured
342,2A7D,0,1,measured
343,2A7D,0,1,measured
344,57BC,0,1,measured
346,EA82,0,1,measured
347,9A3A,0,1,measured
348,CB5A,0,1,measured
349,17F9,0,1,measured
350,5488,0,1,measured
351,ADC2,0,1,measured
354,8AA5,0,1,measured
356,5B1C,0,1,measured
357,A1B8,0,1,measured
358,EB2C,0,1,measured
360,9325,0,1,measured
361,DA8D,0,1,measured
362,DA8D,0,1,measured
363,270A,0,1,measured
364,6D14,0,1,measured
365,A8D6,0,1,measured
366,FFA8,0,1,measured
371,51B7,0,1,measured
372,9B2F,0,1,measured
373,1AD7,0,1,measured
374,9B46,0,1,measured
375,E4FB,0,1,measured
376,2CFE,0,1,measured
377,7638,0,1,measured
378,95CB,0,1,measured
384,CAFF,0,1,measured
385,14FC,0,1,measured
386,BB31,0,1,measured
389,8949,0,1,measured
390,D1CC,0,1,measured
391,1C11,0,1,measured
392,7467,0,1,measured
398,7ABA,0,1,measured
399,B1E1,0,1,measured
400,B1E1,0,1,measured
403,8D7A,0,1,measured
406,6A22,0,1,measured
407,B26D,0,1,measured
408,F42E,0,1,measured
411,C51D,0,1,measured
