offset,seed,band,boots,how
6,835A,0,1,measured
7,AB51,0,1,measured
8,F4C3,0,1,measured
9,3D9A,0,1,measured
10,86D1,0,1,measured
11,D011,0,1,measured
12,1951,0,1,measured
13,190D,0,1,measured
14,3B91,0,1,measured
15,85F7,0,1,measured
16,85F7,0,1,measured
17,D03A,0,1,measured
18,5F24,0,1,measured
19,A721,0,1,measured
20,EBAC,0,1,measured
21,396E,0,1,measured
22,5982,0,1,measured
23,978F,0,1,measured
24,DFDE,0,1,measured
25,2923,0,1,measured
26,725E,0,1,measured
27,BB9E,0,1,measured
28,E45C,0,1,measured
29,F778,0,1,measured
30,40BD,0,1,measured
31,891A,0,1,measured
32,D24F,0,1,measured
33,1B9A,0,1,measured
34,64D1,0,1,measured
35,AA29,0,1,measured
36,F752,0,1,measured
37,F752,0,1,measured
38,409A,0,1,measured
39,89D1,0,1,measured
40,8890,0,1,measured
41,AC14,0,1,measured
42,F677,0,1,measured
43,3E07,0,1,measured
44,8866,0,1,measured
45,D004,0,1,measured
46,1EF5,0,1,measured
47,68E7,0,1,measured
48,AF1E,0,1,measured
49,F0A0,0,1,measured
50,2EF7,0,1,measured
51,6EEE,0,1,measured
52,C219,0,1,measured
53,0BF7,0,1,measured
54,53E6,0,1,measured
55,9CEE,0,1,measured
56,14E2,0,1,measured
57,5DDF,0,1,measured
58,A844,0,1,measured
59,F2BC,0,1,measured
60,3991,0,1,measured
61,8046,0,1,measured
62,C952,0,1,measured
63,F258,0,1,measured
64,B1DA,0,1,measured
65,CD72,0,1,measured
66,1CB6,0,1,measured
67,6411,0,1,measured
68,AE6E,0,1,measured
69,F638,0,1,measured
70,4025,0,1,measured
71,8A31,0,1,measured
72,D3C0,0,1,measured
73,466F,0,1,measured
74,656F,0,1,measured
75,AFF6,0,1,measured
76,FA21,0,1,measured
77,4035,0,1,measured
78,8A2C,0,1,measured
79,D45D,0,1,measured
80,1918,0,1,measured
81,62F5,0,1,measured
82,D7EA,0,1,measured
83,F8B5,0,1,measured
84,4342,0,1,measured
85,8A98,0,1,measured
86,D4F6,0,1,measured
87,1D6C,0,1,measured
88,6777,0,1,measured
89,6777,0,1,measured
90,B09B,0,1,measured
91,2492,0,1,measured
92,475E,0,1,measured
93,8CAB,0,1,measured
94,D70D,0,1,measured
95,63A4,0,1,measured
96,B1E5,0,1,measured
97,FBE8,0,1,measured
98,4425,0,1,measured
99,B754,0,1,measured
100,D743,0,1,measured
101,21B4,0,1,measured
102,691D,0,1,measured
103,B37D,0,1,measured
104,FBF2,0,1,measured
105,45F0,0,1,measured
106,9129,0,1,measured
107,01B0,0,1,measured
108,203C,0,1,measured
109,6AA7,0,1,measured
110,AD64,0,1,measured
111,AD64,0,1,measured
112,FC6B,0,1,measured
113,4439,0,1,measured
114,8E1C,0,1,measured
115,D840,0,1,measured
116,21CA,0,1,measured
117,9626,0,1,measured
118,AEFA,0,1,measured
119,F80A,0,1,measured
120,41AF,0,1,measured
121,D405,0,1,measured
122,1C9D,0,1,measured
123,658D,0,1,measured
124,ADE1,0,1,measured
125,EC4C,0,1,measured
126,2DF1,0,1,measured
127,76C7,0,1,measured
128,BFEE,0,1,measured
129,0FF2,0,1,measured
130,52E2,0,1,measured
131,A055,0,1,measured
132,EA57,0,1,measured
133,2E99,0,1,measured
134,7C25,0,1,measured
135,C603,0,1,measured
136,0EE6,0,1,measured
137,57FB,0,1,measured
138,8304,0,1,measured
139,B146,0,1,measured
140,F0B4,0,1,measured
141,4441,0,1,measured
142,E9F3,0,1,measured
143,22E5,0,1,measured
144,6E6B,0,1,measured
145,B6E4,0,1,measured
146,0029,0,1,measured
147,4992,0,1,measured
148,9390,0,1,measured
149,DCC3,0,1,measured
150,2541,0,1,measured
151,671D,0,1,measured
152,A52B,0,1,measured
153,EE14,0,1,measured
154,7209,0,1,measured
155,95EC,0,1,measured
156,E3AD,0,1,measured
157,2D55,0,1,measured
158,7593,0,1,measured
159,BF39,0,1,measured
160,086D,0,1,measured
161,5211,0,1,measured
162,98A4,0,1,measured
163,C53A,0,1,measured
164,0EAB,0,1,measured
165,5773,0,1,measured
166,A096,0,1,measured
167,1D6B,0,1,measured
168,3501,0,1,measured
169,7E5C,0,1,measured
170,C314,0,1,measured
171,0FF8,0,1,measured
172,58D4,0,1,measured
173,A20C,0,1,measured
174,EBC8,0,1,measured
175,34AD,0,1,measured
176,5E3B,0,1,measured
