offset,seed,band,boots,how
6,836C,0,1,measured
8,F4C7,0,1,measured
9,3D9A,0,1,measured
10,86DA,0,1,measured
11,D01C,0,1,measured
12,195A,0,1,measured
13,1917,0,1,measured
14,3B9F,0,1,measured
15,8605,0,1,measured
16,8605,0,1,measured
17,CD3D,0,1,measured
18,5F2D,0,1,measured
19,A729,0,1,measured
20,EBBD,0,1,measured
21,3984,0,1,measured
22,597F,0,1,measured
23,9796,0,1,measured
26,7267,0,1,measured
27,BBB0,0,1,measured
28,E46B,0,1,measured
29,F77D,0,1,measured
31,891A,0,1,measured
32,D25A,0,1,measured
33,1B9A,0,1,measured
34,64E3,0,1,measured
35,AA36,0,1,measured
36,F759,0,1,measured
37,F759,0,1,measured
38,40A4,0,1,measured
39,89DA,0,1,measured
40,889A,0,1,measured
41,AC1F,0,1,measured
42,F68D,0,1,measured
43,3E11,0,1,measured
44,8860,0,1,measured
45,D017,0,1,measured
46,1F01,0,1,measured
47,6894,0,1,measured
48,AF97,0,1,measured
49,F0A9,0,1,measured
50,2F03,0,1,measured
51,6EFA,0,1,measured
53,0BF6,0,1,measured
55,9CEE,0,1,measured
56,14F1,0,1,measured
57,5DE4,0,1,measured
58,A857,0,1,measured
59,F2C6,0,1,measured
60,3994,0,1,measured
61,804F,0,1,measured
62,C95F,0,1,measured
63,F26B,0,1,measured
64,B1DF,0,1,measured
65,CD75,0,1,measured
66,1CC9,0,1,measured
67,641B,0,1,measured
68,AE72,0,1,measured
69,F631,0,1,measured
70,402A,0,1,measured
71,8A31,0,1,measured
72,D3C8,0,1,measured
73,4670,0,1,measured
74,6578,0,1,measured
75,B001,0,1,measured
76,F762,0,1,measured
77,42EE,0,1,measured
78,8A2E,0,1,measured
79,D46F,0,1,measured
80,1922,0,1,measured
81,6306,0,1,measured
82,D7FD,0,1,measured
83,F8B8,0,1,measured
84,4343,0,1,measured
85,8A97,0,1,measured
86,D500,0,1,measured
87,1D6B,0,1,measured
88,6788,0,1,measured
89,6788,0,1,measured
90,B0A4,0,1,measured
91,249A,0,1,measured
92,4402,0,1,measured
93,9024,0,1,measured
94,D712,0,1,measured
95,63A7,0,1,measured
96,B1F1,0,1,measured
97,FBE4,0,1,measured
98,442E,0,1,measured
99,B75A,0,1,measured
100,D749,0,1,measured
101,21BF,0,1,measured
102,692E,0,1,measured
103,B381,0,1,measured
104,FBF8,0,1,measured
105,45FF,0,1,measured
106,8F21,0,1,measured
107,0336,0,1,measured
108,21BA,0,1,measured
109,68E9,0,1,measured
110,AE9E,0,1,measured
111,AE9E,0,1,measured
112,FB04,0,1,measured
113,44A3,0,1,measured
114,8E25,0,1,measured
115,D83A,0,1,measured
116,2079,0,1,measured
117,95BC,0,1,measured
119,F80B,0,1,measured
120,41BB,0,1,measured
121,D2FE,0,1,measured
122,1DC3,0,1,measured
123,6595,0,1,measured
124,ADF3,0,1,measured
125,EC58,0,1,measured
126,2DF6,0,1,measured
127,76C4,0,1,measured
128,C002,0,1,measured
129,1005,0,1,measured
130,52E1,0,1,measured
131,A05E,0,1,measured
132,EA56,0,1,measured
133,2E9C,0,1,measured
