offset,seed,band,boots,how
6,8353,0,1,measured
7,AB4E,0,1,measured
8,F4C0,0,1,measured
9,3D93,0,1,measured
10,86D4,0,1,measured
11,D013,0,1,measured
12,1953,0,1,measured
13,1910,0,1,measured
14,3B8D,0,1,measured
15,85EF,0,1,measured
16,85EF,0,1,measured
17,CD2D,0,1,measured
18,5F1A,0,1,measured
19,A71A,0,1,measured
20,EBA5,0,1,measured
21,3974,0,1,measured
22,5977,0,1,measured
23,977E,0,1,measured
24,DFDF,0,1,measured
25,291C,0,1,measured
26,7257,0,1,measured
27,BBA0,0,1,measured
28,E459,0,1,measured
29,F776,0,1,measured
30,40B5,0,1,measured
31,8913,0,1,measured
32,D253,0,1,measured
33,1B90,0,1,measured
34,64D3,0,1,measured
35,AA2E,0,1,measured
36,F746,0,1,measured
37,F746,0,1,measured
38,408B,0,1,measured
39,89D3,0,1,measured
40,8892,0,1,measured
41,AC16,0,1,measured
42,F672,0,1,measured
43,3DFB,0,1,measured
44,8850,0,1,measured
45,CFF9,0,1,measured
46,1EEE,0,1,measured
47,687A,0,1,measured
48,AF87,0,1,measured
49,F09F,0,1,measured
50,2EEA,0,1,measured
51,6EEA,0,1,measured
52,C20A,0,1,measured
53,0BE2,0,1,measured
54,53E0,0,1,measured
55,9CDD,0,1,measured
56,14DF,0,1,measured
57,5DDD,0,1,measured
58,A83F,0,1,measured
59,F2B5,0,1,measured
60,398B,0,1,measured
61,804B,0,1,measured
62,C94C,0,1,measured
63,F25B,0,1,measured
64,B1C3,0,1,measured
65,CD6B,0,1,measured
66,1CB1,0,1,measured
67,6408,0,1,measured
68,AE70,0,1,measured
69,F639,0,1,measured
70,401F,0,1,measured
71,8A21,0,1,measured
72,D3C0,0,1,measured
73,4668,0,1,measured
74,6568,0,1,measured
75,AFFA,0,1,measured
76,F748,0,1,measured
77,42E7,0,1,measured
78,8A1E,0,1,measured
79,D456,0,1,measured
80,1919,0,1,measured
81,62F5,0,1,measured
82,D7EC,0,1,measured
83,F8B3,0,1,measured
84,4339,0,1,measured
85,8A83,0,1,measured
86,D4E3,0,1,measured
87,1D65,0,1,measured
88,6770,0,1,measured
89,6770,0,1,measured
90,B093,0,1,measured
91,247F,0,1,measured
92,43F1,0,1,measured
93,9018,0,1,measured
94,D70F,0,1,measured
95,6395,0,1,measured
96,B1D7,0,1,measured
97,FBE3,0,1,measured
98,4423,0,1,measured
99,B751,0,1,measured
100,D732,0,1,measured
101,21AD,0,1,measured
102,691F,0,1,measured
103,B374,0,1,measured
104,FBE8,0,1,measured
105,45F4,0,1,measured
106,8F20,0,1,measured
107,031E,0,1,measured
108,21AE,0,1,measured
109,68D9,0,1,measured
110,AE90,0,1,measured
111,AE90,0,1,measured
112,FAEB,0,1,measured
113,449B,0,1,measured
114,8E0C,0,1,measured
115,D82A,0,1,measured
116,206B,0,1,measured
117,95A6,0,1,measured
118,AEF3,0,1,measured
119,F803,0,1,measured
120,41AC,0,1,measured
121,D2EF,0,1,measured
122,1DB9,0,1,measured
123,6584,0,1,measured
124,ADDA,0,1,measured
125,EC51,0,1,measured
126,2DEC,0,1,measured
127,76B2,0,1,measured
128,BFF3,0,1,measured
129,0FF4,0,1,measured
130,52DB,0,1,measured
131,A04E,0,1,measured
132,EA53,0,1,measured
133,2E8D,0,1,measured
134,7C22,0,1,measured
135,C5FB,0,1,measured
136,0E97,0,1,measured
137,583D,0,1,measured
138,82FB,0,1,measured
139,B141,0,1,measured
140,F0B1,0,1,measured
141,4432,0,1,measured
142,E9EC,0,1,measured
143,22DB,0,1,measured
144,6E72,0,1,measured
145,B6E1,0,1,measured
146,002A,0,1,measured
147,4985,0,1,measured
148,9387,0,1,measured
149,DCBB,0,1,measured
150,253A,0,1,measured
151,66D0,0,1,measured
152,A564,0,1,measured
153,EE13,0,1,measured
154,71FA,0,1,measured
155,95EC,0,1,measured
156,E39D,0,1,measured
157,2D57,0,1,measured
158,758C,0,1,measured
159,BF32,0,1,measured
160,0872,0,1,measured
161,520D,0,1,measured
162,98A0,0,1,measured
163,C533,0,1,measured
164,0EA4,0,1,measured
165,576D,0,1,measured
166,A08F,0,1,measured
167,1F3B,0,1,measured
168,34FC,0,1,measured
169,7EBD,0,1,measured
170,C23C,0,1,measured
171,0F8D,0,1,measured
172,58CA,0,1,measured
173,A27B,0,1,measured
174,EB4A,0,1,measured
175,33D1,0,1,measured
176,5F68,0,1,measured
177,8D13,0,1,measured
178,D615,0,1,measured
179,2017,0,1,measured
180,D1D4,0,1,measured
181,02E9,0,1,measured
182,4E57,0,1,measured
183,94B5,0,1,measured
184,DE62,0,1,measured
185,231B,0,1,measured
186,7125,0,1,measured
187,D408,0,1,measured
188,03BC,0,1,measured
