offset,seed,band,boots,how
6,4B21,0,1,measured
7,9469,0,1,measured
8,DD9A,0,1,measured
9,F070,0,1,measured
10,3546,0,1,measured
11,8358,0,1,measured
12,AB53,0,1,measured
13,F4BC,0,1,measured
14,3D90,0,1,measured
15,86D8,0,1,measured
16,D018,0,1,measured
17,1958,0,1,measured
18,18C8,0,1,measured
19,3B59,0,1,measured
20,85A6,0,1,measured
21,CD34,0,1,measured
22,19DB,0,1,measured
23,5F0A,0,1,measured
24,A720,0,1,measured
25,EB95,0,1,measured
26,395C,0,1,measured
27,597C,0,1,measured
28,978E,0,1,measured
29,DFE8,0,1,measured
30,2920,0,1,measured
31,725C,0,1,measured
32,BBA4,0,1,measured
33,E467,0,1,measured
34,F772,0,1,measured
35,40BC,0,1,measured
36,8918,0,1,measured
37,D258,0,1,measured
38,1B95,0,1,measured
39,64CF,0,1,measured
40,AA33,0,1,measured
41,F74B,0,1,measured
42,409A,0,1,measured
43,89D8,0,1,measured
44,884B,0,1,measured
45,ABE4,0,1,measured
46,F633,0,1,measured
47,3DE3,0,1,measured
48,8824,0,1,measured
49,D10D,0,1,measured
50,1EF2,0,1,measured
51,6856,0,1,measured
52,AF8F,0,1,measured
53,F09C,0,1,measured
54,2EFB,0,1,measured
55,6EF1,0,1,measured
56,C202,0,1,measured
57,0BB3,0,1,measured
58,5475,0,1,measured
59,9CEC,0,1,measured
60,CBE1,0,1,measured
61,14E4,0,1,measured
62,5DE5,0,1,measured
63,A844,0,1,measured
64,F28D,0,1,measured
65,3968,0,1,measured
66,804D,0,1,measured
67,C951,0,1,measured
68,F25F,0,1,measured
69,B187,0,1,measured
70,CD3A,0,1,measured
71,1C67,0,1,measured
72,63F7,0,1,measured
73,AE38,0,1,measured
74,F73C,0,1,measured
75,401B,0,1,measured
76,89DF,0,1,measured
77,D378,0,1,measured
78,461A,0,1,measured
79,6534,0,1,measured
80,AFA7,0,1,measured
81,F740,0,1,measured
82,4293,0,1,measured
83,8A1A,0,1,measured
84,D3F0,0,1,measured
85,18D3,0,1,measured
86,62FA,0,1,measured
87,D7A9,0,1,measured
88,F880,0,1,measured
89,42E7,0,1,measured
90,8A7A,0,1,measured
91,D4BE,0,1,measured
92,1D6C,0,1,measured
93,6729,0,1,measured
94,B055,0,1,measured
95,2438,0,1,measured
96,43BF,0,1,measured
97,8FB3,0,1,measured
98,D6BD,0,1,measured
99,1EA4,0,1,measured
100,6390,0,1,measured
101,B1E4,0,1,measured
102,FB9C,0,1,measured
103,43F3,0,1,measured
104,B701,0,1,measured
105,D700,0,1,measured
106,216F,0,1,measured
107,6900,0,1,measured
108,B34A,0,1,measured
109,FBF2,0,1,measured
110,45B3,0,1,measured
111,8ECF,0,1,measured
112,02A8,0,1,measured
113,215E,0,1,measured
114,68C4,0,1,measured
115,AE37,0,1,measured
116,FBEF,0,1,measured
117,448B,0,1,measured
118,8E19,0,1,measured
119,D7DD,0,1,measured
120,2037,0,1,measured
121,9581,0,1,measured
122,AEC1,0,1,measured
123,F7D1,0,1,measured
124,4173,0,1,measured
125,89F0,0,1,measured
126,D2DC,0,1,measured
127,1D7F,0,1,measured
128,656A,0,1,measured
129,ADDE,0,1,measured
130,EC36,0,1,measured
131,2DF1,0,1,measured
132,76C2,0,1,measured
133,C110,0,1,measured
134,0FFC,0,1,measured
135,52D7,0,1,measured
136,A05C,0,1,measured
137,EA3D,0,1,measured
138,2E92,0,1,measured
139,7C2B,0,1,measured
140,C5E4,0,1,measured
141,0E93,0,1,measured
142,584F,0,1,measured
143,82DF,0,1,measured
144,B1DD,0,1,measured
145,F0C0,0,1,measured
146,4416,0,1,measured
147,EA2E,0,1,measured
148,22D8,0,1,measured
149,6E50,0,1,measured
150,B6DF,0,1,measured
151,0025,0,1,measured
152,4993,0,1,measured
153,9375,0,1,measured
154,DCA4,0,1,measured
155,2541,0,1,measured
156,66CA,0,1,measured
157,A56A,0,1,measured
158,EE18,0,1,measured
159,7229,0,1,measured
160,95BB,0,1,measured
161,E36B,0,1,measured
162,2D27,0,1,measured
163,7599,0,1,measured
164,BF01,0,1,measured
165,0839,0,1,measured
166,51DE,0,1,measured
167,989D,0,1,measured
168,C53B,0,1,measured
169,0EA9,0,1,measured
170,5772,0,1,measured
171,A093,0,1,measured
172,1EBF,0,1,measured
173,34C1,0,1,measured
174,7E8D,0,1,measured
175,C21A,0,1,measured
176,0F79,0,1,measured
177,58B9,0,1,measured
178,A25F,0,1,measured
179,EB3A,0,1,measured
180,33DF,0,1,measured
181,5F4E,0,1,measured
182,8E34,0,1,measured
183,D625,0,1,measured
184,200A,0,1,measured
185,D127,0,1,measured
186,02B5,0,1,measured
187,4DEC,0,1,measured
188,94BB,0,1,measured
189,DE3A,0,1,measured
190,22F4,0,1,measured
191,70F2,0,1,measured
192,D412,0,1,measured
193,038A,0,1,measured
194,4C9B,0,1,measured
195,957B,0,1,measured
196,DEE8,0,1,measured
197,288D,0,1,measured
198,938E,0,1,measured
199,BA34,0,1,measured
200,06E3,0,1,measured
201,5301,0,1,measured
202,9B0E,0,1,measured
203,E07B,0,1,measured
204,2C82,0,1,measured
205,69B6,0,1,measured
206,BB6E,0,1,measured
207,FD10,0,1,measured
208,3E8D,0,1,measured
209,83F8,0,1,measured
210,CD64,0,1,measured
211,4F85,0,1,measured
212,824B,0,1,measured
213,CB5E,0,1,measured
214,174F,0,1,measured
215,5DA1,0,1,measured
216,A75F,0,1,measured
217,F1BD,0,1,measured
218,36A1,0,1,measured
219,7F9B,0,1,measured
220,9FBD,0,1,measured
221,F541,0,1,measured
222,3AB0,0,1,measured
223,840C,0,1,measured
224,0794,0,1,measured
225,2BA0,0,1,measured
226,74BE,0,1,measured
227,BE71,0,1,measured
