offset,seed,band,boots,how
6,4B24,0,1,measured
7,9475,0,1,measured
8,DDA6,0,1,measured
9,F076,0,1,measured
10,3541,0,1,measured
11,8364,0,1,measured
12,AB56,0,1,measured
13,F4BF,0,1,measured
14,3D9B,0,1,measured
15,86DB,0,1,measured
16,D01B,0,1,measured
17,1952,0,1,measured
18,190E,0,1,measured
19,3B9D,0,1,measured
20,85FE,0,1,measured
21,CD37,0,1,measured
22,1A5D,0,1,measured
23,5F2C,0,1,measured
24,A719,0,1,measured
25,EBB5,0,1,measured
26,397D,0,1,measured
27,597F,0,1,measured
28,9792,0,1,measured
29,DFE7,0,1,measured
30,2923,0,1,measured
31,725F,0,1,measured
32,BBA7,0,1,measured
33,E46A,0,1,measured
34,F77E,0,1,measured
35,40B5,0,1,measured
36,8912,0,1,measured
37,D25B,0,1,measured
38,1B98,0,1,measured
39,64DB,0,1,measured
40,AA36,0,1,measured
41,F74E,0,1,measured
42,409B,0,1,measured
43,89DB,0,1,measured
44,889A,0,1,measured
45,AC1F,0,1,measured
46,F678,0,1,measured
47,3E0A,0,1,measured
48,8856,0,1,measured
49,D145,0,1,measured
50,1F00,0,1,measured
51,6882,0,1,measured
52,AF91,0,1,measured
53,F0A7,0,1,measured
54,2EF2,0,1,measured
55,6EE9,0,1,measured
56,C212,0,1,measured
57,0BEA,0,1,measured
58,5491,0,1,measured
59,9CE5,0,1,measured
60,CC05,0,1,measured
61,14F0,0,1,measured
62,5DDB,0,1,measured
63,A851,0,1,measured
64,F2BD,0,1,measured
65,3992,0,1,measured
66,8050,0,1,measured
67,C95D,0,1,measured
68,F261,0,1,measured
69,B1D8,0,1,measured
70,CD73,0,1,measured
71,1CC5,0,1,measured
72,6419,0,1,measured
73,AE6F,0,1,measured
74,F76F,0,1,measured
75,4028,0,1,measured
76,8A2F,0,1,measured
77,D3C0,0,1,measured
78,4669,0,1,measured
79,6576,0,1,measured
80,B005,0,1,measured
81,F75A,0,1,measured
82,42E5,0,1,measured
83,8A1D,0,1,measured
84,D43F,0,1,measured
85,1921,0,1,measured
86,62FD,0,1,measured
87,D7EB,0,1,measured
88,F8B6,0,1,measured
89,4344,0,1,measured
90,8A98,0,1,measured
91,D4F0,0,1,measured
92,1D64,0,1,measured
93,6778,0,1,measured
94,B09C,0,1,measured
95,2493,0,1,measured
96,43F8,0,1,measured
97,9010,0,1,measured
98,D6EA,0,1,measured
99,1EBE,0,1,measured
100,639D,0,1,measured
101,B1E0,0,1,measured
102,FBEA,0,1,measured
103,4422,0,1,measured
104,B759,0,1,measured
105,D739,0,1,measured
106,21BF,0,1,measured
107,6925,0,1,measured
108,B37E,0,1,measured
109,FBE7,0,1,measured
110,45F5,0,1,measured
111,8F27,0,1,measured
112,0325,0,1,measured
113,21AA,0,1,measured
114,68EB,0,1,measured
115,AE6E,0,1,measured
116,FC33,0,1,measured
117,44A4,0,1,measured
118,8E1C,0,1,measured
119,D833,0,1,measured
120,2068,0,1,measured
121,95B4,0,1,measured
122,AEF2,0,1,measured
123,F80B,0,1,measured
124,41AC,0,1,measured
125,8A11,0,1,measured
126,D2EE,0,1,measured
127,1DB9,0,1,measured
128,658B,0,1,measured
129,ADE1,0,1,measured
130,EC4D,0,1,measured
131,2DEB,0,1,measured
132,76BB,0,1,measured
133,C128,0,1,measured
134,0FF4,0,1,measured
135,52DA,0,1,measured
136,A05F,0,1,measured
137,EA59,0,1,measured
138,2E95,0,1,measured
139,7C2A,0,1,measured
140,C603,0,1,measured
141,0EA2,0,1,measured
142,584F,0,1,measured
143,82FA,0,1,measured
144,B1F5,0,1,measured
145,F0C3,0,1,measured
146,443C,0,1,measured
147,EA31,0,1,measured
148,22E4,0,1,measured
149,6E78,0,1,measured
150,B6E6,0,1,measured
151,0033,0,1,measured
152,498D,0,1,measured
153,9386,0,1,measured
154,DCC4,0,1,measured
155,2542,0,1,measured
156,66CD,0,1,measured
157,A56D,0,1,measured
158,EE13,0,1,measured
159,7261,0,1,measured
160,95F4,0,1,measured
161,E3A6,0,1,measured
162,2D56,0,1,measured
163,7594,0,1,measured
164,BF2E,0,1,measured
165,087A,0,1,measured
166,521F,0,1,measured
167,98A9,0,1,measured
168,C533,0,1,measured
169,0EAC,0,1,measured
170,576C,0,1,measured
171,A0A0,0,1,measured
172,1F37,0,1,measured
173,34FA,0,1,measured
174,7EBD,0,1,measured
175,C244,0,1,measured
176,0F8C,0,1,measured
177,58DB,0,1,measured
178,A283,0,1,measured
