offset,seed,band,boots,how
268,AEC0,0,1,measured
269,EBAC,0,1,measured
270,3507,0,1,measured
271,A924,0,1,measured
272,E605,0,1,measured
273,2DDE,0,1,measured
274,76B4,0,1,measured
275,BFED,0,1,measured
276,04AC,0,1,measured
277,532A,0,1,measured
278,9BB5,0,1,measured
279,E4ED,0,1,measured
280,2A82,0,1,measured
281,7333,0,1,measured
282,B9B5,0,1,measured
283,6913,0,1,measured
284,944A,0,1,measured
285,DD58,0,1,measured
286,260F,0,1,measured
287,6FC5,0,1,measured
288,B952,0,1,measured
289,1C02,0,1,measured
290,472B,0,1,measured
291,94D8,0,1,measured
292,DE9B,0,1,measured
293,26DC,0,1,measured
294,7084,0,1,measured
295,B9C4,0,1,measured
296,200F,0,1,measured
297,51F2,0,1,measured
298,ED92,0,1,measured
299,37D4,0,1,measured
300,812A,0,1,measured
301,CA21,0,1,measured
302,050B,0,1,measured
303,4D68,0,1,measured
304,8ACB,0,1,measured
305,8ACB,0,1,measured
306,CD5A,0,1,measured
307,162E,0,1,measured
308,5F74,0,1,measured
309,DF90,0,1,measured
310,0B8E,0,1,measured
311,54AA,0,1,measured
312,9EF0,0,1,measured
313,E764,0,1,measured
314,2E05,0,1,measured
315,8D77,0,1,measured
316,C197,0,1,measured
317,3EE0,0,1,measured
318,87C8,0,1,measured
319,CC54,0,1,measured
320,19C6,0,1,measured
321,976C,0,1,measured
322,BA9C,0,1,measured
323,03B3,0,1,measured
324,03B3,0,1,measured
325,4D52,0,1,measured
326,95CE,0,1,measured
327,DFB1,0,1,measured
328,2841,0,1,measured
329,7131,0,1,measured
330,B990,0,1,measured
331,FC9D,0,1,measured
332,397C,0,1,measured
333,826E,0,1,measured
334,CBA6,0,1,measured
335,1056,0,1,measured
336,B30C,0,1,measured
337,FD0B,0,1,measured
338,458D,0,1,measured
339,8EDD,0,1,measured
340,CCF8,0,1,measured
341,15C8,0,1,measured
342,413C,0,1,measured
343,413C,0,1,measured
344,6F1F,0,1,measured
345,B78E,0,1,measured
346,003E,0,1,measured
347,B0F9,0,1,measured
348,E216,0,1,measured
349,2EBB,0,1,measured
350,6B53,0,1,measured
351,C476,0,1,measured
352,0A5C,0,1,measured
353,53C5,0,1,measured
354,A16D,0,1,measured
355,3213,0,1,measured
356,721D,0,1,measured
357,B87D,0,1,measured
358,01EF,0,1,measured
359,6D38,0,1,measured
360,A8F1,0,1,measured
361,F14F,0,1,measured
362,F14F,0,1,measured
363,3DCF,0,1,measured
364,83D5,0,1,measured
365,BF89,0,1,measured
366,1663,0,1,measured
367,63F2,0,1,measured
368,A9A1,0,1,measured
369,D60E,0,1,measured
370,22E0,0,1,measured
371,6877,0,1,measured
372,B22B,0,1,measured
373,318E,0,1,measured
374,B20D,0,1,measured
375,FB7C,0,1,measured
376,43DE,0,1,measured
377,8CF4,0,1,measured
378,AC23,0,1,measured
379,F124,0,1,measured
380,3ED6,0,1,measured
381,3ED6,0,1,measured
382,6CD9,0,1,measured
383,99E7,0,1,measured
384,E1BE,0,1,measured
385,2A86,0,1,measured
386,D330,0,1,measured
387,0D41,0,1,measured
388,5618,0,1,measured
389,A011,0,1,measured
390,E88C,0,1,measured
391,31D7,0,1,measured
392,8BE3,0,1,measured
393,19D6,0,1,measured
394,5E73,0,1,measured
395,AD0B,0,1,measured
396,F595,0,1,measured
397,3284,0,1,measured
398,9224,0,1,measured
399,C894,0,1,measured
400,C894,0,1,measured
401,11AE,0,1,measured
402,5BF0,0,1,measured
403,A436,0,1,measured
404,ED75,0,1,measured
405,376C,0,1,measured
406,7FF9,0,1,measured
407,C935,0,1,measured
408,0AE7,0,1,measured
409,4923,0,1,measured
410,88C5,0,1,measured
411,DB26,0,1,measured
412,953A,0,1,measured
413,DDB8,0,1,measured
414,26C8,0,1,measured
415,7018,0,1,measured
416,AE88,0,1,measured
417,0432,0,1,measured
418,42BA,0,1,measured
419,42BA,0,1,measured
420,8B20,0,1,measured
421,B3E8,0,1,measured
422,FD5E,0,1,measured
423,4626,0,1,measured
424,C2BE,0,1,measured
425,E035,0,1,measured
426,2DDB,0,1,measured
427,778F,0,1,measured
428,BFE7,0,1,measured
429,08CD,0,1,measured
430,5210,0,1,measured
431,F125,0,1,measured
432,32B2,0,1,measured
433,6F8A,0,1,measured
434,B85C,0,1,measured
435,F5C7,0,1,measured
436,3F1D,0,1,measured
437,8845,0,1,measured
438,8845,0,1,measured
439,D18B,0,1,measured
440,1705,0,1,measured
441,6419,0,1,measured
442,AD47,0,1,measured
443,F716,0,1,measured
444,3FCB,0,1,measured
445,891B,0,1,measured
446,B677,0,1,measured
447,E63E,0,1,measured
448,2E49,0,1,measured
449,77CA,0,1,measured
450,6548,0,1,measured
451,B193,0,1,measured
452,FC39,0,1,measured
453,41E1,0,1,measured
454,74FC,0,1,measured
455,CC7B,0,1,measured
456,1954,0,1,measured
457,1954,0,1,measured
458,5E76,0,1,measured
459,9FFD,0,1,measured
460,E17E,0,1,measured
461,26F7,0,1,measured
462,715D,0,1,measured
463,E135,0,1,measured
464,1D2C,0,1,measured
465,6149,0,1,measured
466,B995,0,1,measured
467,F481,0,1,measured
468,3ED2,0,1,measured
469,D40E,0,1,measured
470,252A,0,1,measured
471,5247,0,1,measured
472,A633,0,1,measured
473,DB04,0,1,measured
474,253E,0,1,measured
475,7FC2,0,1,measured
476,7FC2,0,1,measured
477,B45C,0,1,measured
478,FC31,0,1,measured
479,44A0,0,1,measured
480,8D96,0,1,measured
481,D6D7,0,1,measured
482,206B,0,1,measured
