offset,seed,band,boots,how
268,951B,0,1,measured
269,D445,0,1,measured
270,1DA3,0,1,measured
271,91B7,0,1,measured
272,CE98,0,1,measured
273,1671,0,1,measured
274,5F47,0,1,measured
275,A87C,0,1,measured
276,ED4E,0,1,measured
277,3BBD,0,1,measured
278,8448,0,1,measured
279,CD80,0,1,measured
280,1315,0,1,measured
281,5BC1,0,1,measured
282,A24B,0,1,measured
283,51A9,0,1,measured
284,7CDD,0,1,measured
285,C5F5,0,1,measured
286,0EA2,0,1,measured
287,5858,0,1,measured
288,A1E2,0,1,measured
289,049B,0,1,measured
290,2FB3,0,1,measured
291,7D72,0,1,measured
292,C72E,0,1,measured
293,0F6F,0,1,measured
294,5917,0,1,measured
295,A252,0,1,measured
296,0A7F,0,1,measured
297,38B4,0,1,measured
298,D61D,0,1,measured
299,2070,0,1,measured
300,69BD,0,1,measured
301,B2B1,0,1,measured
302,EDAE,0,1,measured
303,35F8,0,1,measured
304,7369,0,1,measured
305,7369,0,1,measured
306,B5ED,0,1,measured
307,FEC1,0,1,measured
308,4807,0,1,measured
309,C81E,0,1,measured
310,F426,0,1,measured
311,3F89,0,1,measured
312,85D5,0,1,measured
313,CF9E,0,1,measured
314,18E7,0,1,measured
315,7991,0,1,measured
316,AB00,0,1,measured
317,276A,0,1,measured
318,705B,0,1,measured
319,B4E7,0,1,measured
320,0259,0,1,measured
321,7FFF,0,1,measured
322,A32C,0,1,measured
323,EC4C,0,1,measured
324,EC4C,0,1,measured
325,35E5,0,1,measured
326,7F8D,0,1,measured
327,C727,0,1,measured
328,10CD,0,1,measured
329,59C5,0,1,measured
330,A21E,0,1,measured
331,E52B,0,1,measured
332,220E,0,1,measured
333,6B01,0,1,measured
334,B571,0,1,measured
335,F8E9,0,1,measured
336,9B9B,0,1,measured
337,E5A2,0,1,measured
338,2E20,0,1,measured
339,7770,0,1,measured
340,B5D3,0,1,measured
341,FE11,0,1,measured
342,29D0,0,1,measured
343,29D0,0,1,measured
344,57AF,0,1,measured
345,A023,0,1,measured
346,E8D1,0,1,measured
347,9981,0,1,measured
348,CAA9,0,1,measured
349,174E,0,1,measured
350,53E6,0,1,measured
351,AD02,0,1,measured
352,F2FE,0,1,measured
353,3C5E,0,1,measured
354,8A00,0,1,measured
355,1AE8,0,1,measured
356,5A66,0,1,measured
357,A10D,0,1,measured
358,EA86,0,1,measured
359,55CB,0,1,measured
360,918C,0,1,measured
361,D9E2,0,1,measured
362,D9E2,0,1,measured
363,265A,0,1,measured
364,6C68,0,1,measured
365,A818,0,1,measured
366,FEF8,0,1,measured
367,4C84,0,1,measured
368,922B,0,1,measured
369,BEA1,0,1,measured
370,0B73,0,1,measured
371,5151,0,1,measured
372,9A6E,0,1,measured
373,1A27,0,1,measured
374,9AA0,0,1,measured
375,E40F,0,1,measured
376,2C71,0,1,measured
377,7587,0,1,measured
378,94B2,0,1,measured
379,D9B3,0,1,measured
380,2768,0,1,measured
381,2768,0,1,measured
382,5562,0,1,measured
383,827A,0,1,measured
384,CA48,0,1,measured
385,1319,0,1,measured
386,BC07,0,1,measured
387,F589,0,1,measured
388,3EAC,0,1,measured
389,88A4,0,1,measured
390,D119,0,1,measured
391,1A6A,0,1,measured
392,7476,0,1,measured
393,0265,0,1,measured
394,470E,0,1,measured
395,959E,0,1,measured
396,DE28,0,1,measured
397,1B17,0,1,measured
398,7AB7,0,1,measured
399,B125,0,1,measured
400,B125,0,1,measured
401,FB3D,0,1,measured
402,4392,0,1,measured
403,8CC2,0,1,measured
404,D5FD,0,1,measured
405,1FFF,0,1,measured
406,6939,0,1,measured
407,B1C4,0,1,measured
408,F375,0,1,measured
409,31BE,0,1,measured
410,714E,0,1,measured
411,C3B9,0,1,measured
412,7DCD,0,1,measured
413,C646,0,1,measured
414,0F60,0,1,measured
415,58FB,0,1,measured
416,96C8,0,1,measured
417,ECC0,0,1,measured
418,2B4D,0,1,measured
419,2B4D,0,1,measured
420,73B3,0,1,measured
421,9C76,0,1,measured
422,E5ED,0,1,measured
423,2EB9,0,1,measured
424,AB51,0,1,measured
425,C8C8,0,1,measured
426,166E,0,1,measured
427,6022,0,1,measured
428,A876,0,1,measured
429,F15D,0,1,measured
430,3AAB,0,1,measured
431,D89C,0,1,measured
432,1B3D,0,1,measured
433,581D,0,1,measured
434,A0EA,0,1,measured
435,DE60,0,1,measured
436,27B0,0,1,measured
437,70D8,0,1,measured
438,70D8,0,1,measured
439,BA1E,0,1,measured
440,FF98,0,1,measured
441,4CAC,0,1,measured
442,95D6,0,1,measured
443,DFB7,0,1,measured
444,2855,0,1,measured
445,71A5,0,1,measured
446,9FF2,0,1,measured
447,CDE8,0,1,measured
448,16D5,0,1,measured
449,6059,0,1,measured
450,4DD9,0,1,measured
451,9A26,0,1,measured
452,E4CC,0,1,measured
453,2A74,0,1,measured
454,5D8F,0,1,measured
455,B509,0,1,measured
456,01E9,0,1,measured
457,01E9,0,1,measured
458,4701,0,1,measured
459,889A,0,1,measured
460,CA11,0,1,measured
461,0FD2,0,1,measured
462,599D,0,1,measured
463,C9CE,0,1,measured
464,05C9,0,1,measured
465,49DF,0,1,measured
466,A228,0,1,measured
467,DD14,0,1,measured
468,2765,0,1,measured
469,BC9D,0,1,measured
470,0DCC,0,1,measured
471,3AD9,0,1,measured
472,8EBB,0,1,measured
473,C38D,0,1,measured
474,0DC8,0,1,measured
475,6A3F,0,1,measured
476,6A3F,0,1,measured
477,9B1E,0,1,measured
478,E4D3,0,1,measured
479,2D3C,0,1,measured
480,7629,0,1,measured
481,BF6A,0,1,measured
482,08FE,0,1,measured
483,51EA,0,1,measured
484,9A46,0,1,measured
485,C488,0,1,measured
486,BC06,0,1,measured
487,0574,0,1,measured
488,4173,0,1,measured
489,7750,0,1,measured
490,C148,0,1,measured
491,09AA,0,1,measured
492,5161,0,1,measured
493,9158,0,1,measured
494,F552,0,1,measured
495,F552,0,1,measured
496,2491,0,1,measured
497,6CC9,0,1,measured
498,B5BA,0,1,measured
499,FEB4,0,1,measured
500,43F2,0,1,measured
501,913E,0,1,measured
502,F2F2,0,1,measured
503,2214,0,1,measured
504,69E2,0,1,measured
505,B336,0,1,measured
506,FDCA,0,1,measured
507,9B28,0,1,measured
508,E50D,0,1,measured
509,364E,0,1,measured
510,5512,0,1,measured
511,8744,0,1,measured
512,D013,0,1,measured
513,621A,0,1,measured
514,621A,0,1,measured
515,8CA5,0,1,measured
516,DA4D,0,1,measured
517,23DB,0,1,measured
518,6CF2,0,1,measured
519,B525,0,1,measured
520,FF8B,0,1,measured
521,6338,0,1,measured
522,9131,0,1,measured
523,DA33,0,1,measured
524,238B,0,1,measured
525,6CA9,0,1,measured
526,34FE,0,1,measured
527,5A8C,0,1,measured
528,A395,0,1,measured
529,E889,0,1,measured
530,2971,0,1,measured
531,7246,0,1,measured
532,BB91,0,1,measured
533,BB91,0,1,measured
534,0543,0,1,measured
535,4E14,0,1,measured
536,9088,0,1,measured
537,CD29,0,1,measured
538,1603,0,1,measured
539,5F38,0,1,measured
540,A890,0,1,measured
541,F1D0,0,1,measured
542,3B00,0,1,measured
543,84EC,0,1,measured
544,CD6F,0,1,measured
545,6C5F,0,1,measured
546,B4FD,0,1,measured
547,FE47,0,1,measured
548,2709,0,1,measured
549,4AE6,0,1,measured
550,9421,0,1,measured
551,DCB7,0,1,measured
552,DCB7,0,1,measured
553,8805,0,1,measured
554,BEA8,0,1,measured
555,0A46,0,1,measured
556,52AE,0,1,measured
557,9C12,0,1,measured
558,E569,0,1,measured
559,2F5D,0,1,measured
560,6D2D,0,1,measured
561,C123,0,1,measured
562,02D3,0,1,measured
563,40EB,0,1,measured
564,DD41,0,1,measured
565,581D,0,1,measured
566,846C,0,1,measured
567,CDCA,0,1,measured
568,09D4,0,1,measured
569,5381,0,1,measured
570,9CC5,0,1,measured
571,9CC5,0,1,measured
572,E656,0,1,measured
573,2CFE,0,1,measured
574,7555,0,1,measured
575,A018,0,1,measured
576,EE05,0,1,measured
577,36C0,0,1,measured
578,7FFA,0,1,measured
579,016E,0,1,measured
580,37B7,0,1,measured
581,831C,0,1,measured
582,C9BD,0,1,measured
583,682D,0,1,measured
584,B0B1,0,1,measured
585,DC83,0,1,measured
586,248F,0,1,measured
587,4517,0,1,measured
588,73DB,0,1,measured
589,B865,0,1,measured
590,B865,0,1,measured
591,063E,0,1,measured
592,BE5E,0,1,measured
593,E841,0,1,measured
594,3150,0,1,measured
595,79FE,0,1,measured
596,C5AB,0,1,measured
597,0A9B,0,1,measured
598,74C1,0,1,measured
599,9FC5,0,1,measured
600,E8DF,0,1,measured
601,317C,0,1,measured
602,D061,0,1,measured
603,3514,0,1,measured
604,5C6F,0,1,measured
605,AA38,0,1,measured
606,E985,0,1,measured
607,3352,0,1,measured
608,7B61,0,1,measured
609,7B61,0,1,measured
610,C4AF,0,1,measured
611,1018,0,1,measured
612,54E1,0,1,measured
613,95B3,0,1,measured
614,B76B,0,1,measured
615,FEB4,0,1,measured
616,4796,0,1,measured
617,EAEC,0,1,measured
618,1ACF,0,1,measured
619,63D5,0,1,measured
620,A6C5,0,1,measured
621,4B44,0,1,measured
622,946C,0,1,measured
623,DEA3,0,1,measured
624,232D,0,1,measured
625,4177,0,1,measured
626,6CE6,0,1,measured
627,B438,0,1,measured
628,B438,0,1,measured
629,FD1C,0,1,measured
630,972B,0,1,measured
631,BE4D,0,1,measured
632,0771,0,1,measured
633,510B,0,1,measured
634,9983,0,1,measured
635,DDCB,0,1,measured
636,2B9D,0,1,measured
637,7540,0,1,measured
638,BE2D,0,1,measured
639,C853,0,1,measured
640,59F1,0,1,measured
641,A2EE,0,1,measured
642,1017,0,1,measured
643,55DD,0,1,measured
644,93CA,0,1,measured
645,DDC6,0,1,measured
646,2656,0,1,measured
647,2656,0,1,measured
648,6F94,0,1,measured
649,B97C,0,1,measured
650,FDB6,0,1,measured
651,4B56,0,1,measured
652,59BB,0,1,measured
653,8567,0,1,measured
654,CDFB,0,1,measured
655,1618,0,1,measured
656,BA6C,0,1,measured
657,F276,0,1,measured
