offset,seed,band,boots,how
268,96D7,0,1,measured
269,D515,0,1,measured
270,1D7C,0,1,measured
271,91AF,0,1,measured
272,CE81,0,1,measured
273,1665,0,1,measured
274,5F3D,0,1,measured
275,A880,0,1,measured
276,ED42,0,1,measured
277,3B9D,0,1,measured
278,8440,0,1,measured
279,CD80,0,1,measured
280,1315,0,1,measured
281,5BA8,0,1,measured
282,A255,0,1,measured
283,5318,0,1,measured
284,7CAD,0,1,measured
285,C629,0,1,measured
286,0EA2,0,1,measured
287,5823,0,1,measured
288,A160,0,1,measured
289,03E1,0,1,measured
290,2F82,0,1,measured
291,7D38,0,1,measured
292,C6FB,0,1,measured
293,0F77,0,1,measured
294,58E1,0,1,measured
295,A215,0,1,measured
296,0870,0,1,measured
297,387D,0,1,measured
298,D61C,0,1,measured
299,2032,0,1,measured
300,6994,0,1,measured
301,B276,0,1,measured
302,EDAA,0,1,measured
303,3600,0,1,measured
304,735F,0,1,measured
305,735F,0,1,measured
306,B5ED,0,1,measured
307,FEC1,0,1,measured
308,4807,0,1,measured
309,C7ED,0,1,measured
310,F3FC,0,1,measured
311,3D03,0,1,measured
312,85D7,0,1,measured
313,D137,0,1,measured
314,1697,0,1,measured
315,760A,0,1,measured
316,AA2A,0,1,measured
317,276F,0,1,measured
318,7066,0,1,measured
319,B4E7,0,1,measured
320,0259,0,1,measured
321,7FC9,0,1,measured
322,A2FA,0,1,measured
323,EC03,0,1,measured
324,EC03,0,1,measured
325,35AD,0,1,measured
326,7E46,0,1,measured
327,C702,0,1,measured
328,11CA,0,1,measured
329,59A4,0,1,measured
330,A224,0,1,measured
331,E516,0,1,measured
332,2211,0,1,measured
333,6B03,0,1,measured
334,B439,0,1,measured
335,F8E9,0,1,measured
336,9B9E,0,1,measured
337,E58A,0,1,measured
338,2E1C,0,1,measured
339,777B,0,1,measured
340,B56C,0,1,measured
341,FE1F,0,1,measured
342,2A19,0,1,measured
343,2A19,0,1,measured
344,579D,0,1,measured
345,A019,0,1,measured
346,E8C3,0,1,measured
347,9975,0,1,measured
348,CAB5,0,1,measured
349,1757,0,1,measured
350,53C8,0,1,measured
351,AD12,0,1,measured
352,F2FE,0,1,measured
353,3C55,0,1,measured
354,89E9,0,1,measured
355,1AA5,0,1,measured
356,5A68,0,1,measured
357,A150,0,1,measured
358,EA85,0,1,measured
359,55AF,0,1,measured
360,916F,0,1,measured
361,D9E0,0,1,measured
362,D9E0,0,1,measured
363,2664,0,1,measured
364,6C68,0,1,measured
365,A81C,0,1,measured
366,FEF9,0,1,measured
367,4C69,0,1,measured
368,9216,0,1,measured
369,BEAA,0,1,measured
370,0B73,0,1,measured
371,510A,0,1,measured
372,9A76,0,1,measured
373,1B94,0,1,measured
374,9AA5,0,1,measured
375,E309,0,1,measured
376,2C2E,0,1,measured
377,7578,0,1,measured
378,9503,0,1,measured
379,D933,0,1,measured
380,269F,0,1,measured
381,269F,0,1,measured
382,567C,0,1,measured
383,814E,0,1,measured
384,CA51,0,1,measured
385,143C,0,1,measured
386,BA88,0,1,measured
387,F592,0,1,measured
388,3F79,0,1,measured
389,87FA,0,1,measured
390,D120,0,1,measured
391,1AF9,0,1,measured
392,73C6,0,1,measured
393,0263,0,1,measured
394,479B,0,1,measured
395,94FE,0,1,measured
396,DE28,0,1,measured
397,1BA6,0,1,measured
398,7A15,0,1,measured
399,B130,0,1,measured
400,B130,0,1,measured
401,FACD,0,1,measured
402,4389,0,1,measured
403,8D0B,0,1,measured
404,D694,0,1,measured
405,1F4B,0,1,measured
406,6884,0,1,measured
407,B1C7,0,1,measured
408,F37E,0,1,measured
409,31BB,0,1,measured
410,715A,0,1,measured
411,C44B,0,1,measured
412,7D1D,0,1,measured
413,C642,0,1,measured
414,0F68,0,1,measured
415,58A6,0,1,measured
416,96D5,0,1,measured
417,ED80,0,1,measured
418,2A95,0,1,measured
419,2A95,0,1,measured
420,73BE,0,1,measured
421,9C7B,0,1,measured
422,E5F5,0,1,measured
423,2EB4,0,1,measured
424,AB10,0,1,measured
425,C89B,0,1,measured
426,1630,0,1,measured
427,5FE5,0,1,measured
428,A859,0,1,measured
429,F14D,0,1,measured
430,3A8B,0,1,measured
431,D953,0,1,measured
432,1B70,0,1,measured
433,581B,0,1,measured
434,A0EF,0,1,measured
435,DE5E,0,1,measured
436,27AD,0,1,measured
437,70D8,0,1,measured
438,70D8,0,1,measured
439,BA1E,0,1,measured
440,FF81,0,1,measured
441,4CA0,0,1,measured
442,95DA,0,1,measured
443,DF90,0,1,measured
444,285A,0,1,measured
445,71AE,0,1,measured
446,9F0A,0,1,measured
447,CE71,0,1,measured
448,17B7,0,1,measured
449,604C,0,1,measured
450,4DCC,0,1,measured
451,9A02,0,1,measured
452,E4CC,0,1,measured
453,2A74,0,1,measured
454,5D8F,0,1,measured
455,B4F2,0,1,measured
456,01D0,0,1,measured
457,01D0,0,1,measured
458,4705,0,1,measured
459,8892,0,1,measured
460,CA11,0,1,measured
461,0F8A,0,1,measured
462,58FE,0,1,measured
463,CA47,0,1,measured
464,00E2,0,1,measured
465,48FA,0,1,measured
466,A1FE,0,1,measured
467,DCE8,0,1,measured
468,2730,0,1,measured
469,BC74,0,1,measured
470,0D8D,0,1,measured
471,3AD5,0,1,measured
472,8E8E,0,1,measured
473,C361,0,1,measured
474,0D93,0,1,measured
475,6814,0,1,measured
476,6814,0,1,measured
477,9AEE,0,1,measured
478,E632,0,1,measured
479,2D18,0,1,measured
480,760A,0,1,measured
481,BF4C,0,1,measured
482,08E6,0,1,measured
483,51CF,0,1,measured
484,9A4B,0,1,measured
485,C472,0,1,measured
486,BBF6,0,1,measured
487,0576,0,1,measured
488,4175,0,1,measured
489,7747,0,1,measured
490,C05C,0,1,measured
491,0A3B,0,1,measured
492,52D6,0,1,measured
493,9121,0,1,measured
494,F593,0,1,measured
495,F593,0,1,measured
496,23A0,0,1,measured
497,6C3E,0,1,measured
498,B5AB,0,1,measured
499,FF22,0,1,measured
500,4367,0,1,measured
501,9063,0,1,measured
502,F40D,0,1,measured
503,20DE,0,1,measured
504,69E2,0,1,measured
505,B44A,0,1,measured
506,FC55,0,1,measured
507,9BFC,0,1,measured
508,E468,0,1,measured
509,360A,0,1,measured
510,54DC,0,1,measured
511,8714,0,1,measured
512,CFE6,0,1,measured
513,6203,0,1,measured
514,6203,0,1,measured
515,8C84,0,1,measured
516,DA2F,0,1,measured
517,23C3,0,1,measured
518,6CCA,0,1,measured
519,B520,0,1,measured
520,FF6C,0,1,measured
521,62F9,0,1,measured
522,9135,0,1,measured
523,DB94,0,1,measured
524,237E,0,1,measured
525,6CA9,0,1,measured
526,34BE,0,1,measured
527,5A5B,0,1,measured
528,A35F,0,1,measured
529,E84A,0,1,measured
530,2957,0,1,measured
531,722E,0,1,measured
532,BB75,0,1,measured
533,BB75,0,1,measured
534,0534,0,1,measured
535,4DEB,0,1,measured
536,8F09,0,1,measured
537,CE51,0,1,measured
538,164C,0,1,measured
539,5F38,0,1,measured
540,A88B,0,1,measured
541,F1CE,0,1,measured
542,3AFD,0,1,measured
543,84D5,0,1,measured
544,CD7C,0,1,measured
545,6C4E,0,1,measured
546,B4F9,0,1,measured
547,FE47,0,1,measured
548,2704,0,1,measured
549,4ACA,0,1,measured
550,93C4,0,1,measured
551,DC11,0,1,measured
552,DC11,0,1,measured
553,88EA,0,1,measured
554,BEA2,0,1,measured
555,0A30,0,1,measured
556,52B2,0,1,measured
557,9C0C,0,1,measured
558,E569,0,1,measured
559,2F48,0,1,measured
560,6D07,0,1,measured
561,C126,0,1,measured
562,02DA,0,1,measured
563,40E4,0,1,measured
564,DD3E,0,1,measured
565,5616,0,1,measured
566,8437,0,1,measured
567,CF35,0,1,measured
568,09CC,0,1,measured
569,5347,0,1,measured
570,9C90,0,1,measured
571,9C90,0,1,measured
572,E617,0,1,measured
573,2D0A,0,1,measured
574,7555,0,1,measured
575,A01C,0,1,measured
576,EE05,0,1,measured
577,36BC,0,1,measured
578,7FFB,0,1,measured
579,0137,0,1,measured
580,378B,0,1,measured
581,80AD,0,1,measured
582,CA57,0,1,measured
583,6800,0,1,measured
584,B0BD,0,1,measured
585,DC57,0,1,measured
586,2478,0,1,measured
587,4523,0,1,measured
588,73BF,0,1,measured
589,B83F,0,1,measured
590,B83F,0,1,measured
591,0625,0,1,measured
592,BE32,0,1,measured
593,E811,0,1,measured
594,3128,0,1,measured
595,79F7,0,1,measured
596,C36D,0,1,measured
597,0D04,0,1,measured
598,7711,0,1,measured
599,9F8E,0,1,measured
600,E917,0,1,measured
601,3172,0,1,measured
602,D075,0,1,measured
603,3450,0,1,measured
604,5C29,0,1,measured
605,AA0C,0,1,measured
606,E956,0,1,measured
607,3352,0,1,measured
608,7B2E,0,1,measured
609,7B2E,0,1,measured
610,C47C,0,1,measured
611,0FE6,0,1,measured
612,54E0,0,1,measured
613,95B4,0,1,measured
614,B769,0,1,measured
615,FEB4,0,1,measured
616,478D,0,1,measured
617,EABB,0,1,measured
618,1A8F,0,1,measured
619,639B,0,1,measured
620,A68F,0,1,measured
621,4B0F,0,1,measured
622,9438,0,1,measured
623,DE71,0,1,measured
624,2324,0,1,measured
625,4174,0,1,measured
626,6CF2,0,1,measured
627,B441,0,1,measured
628,B441,0,1,measured
629,FD22,0,1,measured
630,96EE,0,1,measured
631,BE14,0,1,measured
632,0744,0,1,measured
633,50D2,0,1,measured
634,9965,0,1,measured
635,DDAA,0,1,measured
636,2B88,0,1,measured
637,7520,0,1,measured
638,BE13,0,1,measured
639,C85E,0,1,measured
640,59A9,0,1,measured
641,A2F9,0,1,measured
642,1068,0,1,measured
643,55DC,0,1,measured
644,93CE,0,1,measured
645,DDAE,0,1,measured
646,2649,0,1,measured
647,2649,0,1,measured
648,6F8C,0,1,measured
