offset,seed,band,boots,how
268,AE79,0,1,measured
269,ECA2,0,1,measured
270,3509,0,1,measured
271,A91C,0,1,measured
272,E605,0,1,measured
273,2DDE,0,1,measured
274,76AA,0,1,measured
275,BFED,0,1,measured
276,04AF,0,1,measured
277,5328,0,1,measured
278,9BB6,0,1,measured
279,E4ED,0,1,measured
280,2A82,0,1,measured
281,7333,0,1,measured
282,B9B9,0,1,measured
283,6AEB,0,1,measured
284,9450,0,1,measured
285,DDC7,0,1,measured
286,260F,0,1,measured
287,6FC5,0,1,measured
288,B904,0,1,measured
289,1B83,0,1,measured
290,4724,0,1,measured
291,94D8,0,1,measured
292,DE9B,0,1,measured
293,26DC,0,1,measured
294,7084,0,1,measured
295,B9C4,0,1,measured
296,2013,0,1,measured
297,5020,0,1,measured
298,ED92,0,1,measured
299,37D4,0,1,measured
300,8138,0,1,measured
301,CA21,0,1,measured
302,050F,0,1,measured
303,4D6D,0,1,measured
304,8AD4,0,1,measured
305,8AD4,0,1,measured
306,CD5A,0,1,measured
307,162E,0,1,measured
308,5F74,0,1,measured
309,DF90,0,1,measured
310,0B93,0,1,measured
311,54AE,0,1,measured
312,9D44,0,1,measured
313,E911,0,1,measured
314,2E04,0,1,measured
315,8D77,0,1,measured
316,C197,0,1,measured
317,3EDD,0,1,measured
318,87D3,0,1,measured
319,CC54,0,1,measured
320,19C6,0,1,measured
321,976C,0,1,measured
322,BA9C,0,1,measured
323,03B9,0,1,measured
324,03B9,0,1,measured
325,4D45,0,1,measured
326,95DA,0,1,measured
327,DE87,0,1,measured
328,296E,0,1,measured
329,7130,0,1,measured
330,B990,0,1,measured
331,FCA0,0,1,measured
332,3977,0,1,measured
333,8266,0,1,measured
334,CB9C,0,1,measured
335,1056,0,1,measured
336,B30C,0,1,measured
337,FD0F,0,1,measured
338,4589,0,1,measured
339,8EE8,0,1,measured
340,CCF8,0,1,measured
341,1580,0,1,measured
342,4186,0,1,measured
343,4186,0,1,measured
344,6F1E,0,1,measured
345,B786,0,1,measured
346,0030,0,1,measured
347,B0F9,0,1,measured
348,E216,0,1,measured
349,2EBB,0,1,measured
350,6B53,0,1,measured
351,C476,0,1,measured
352,0A5E,0,1,measured
353,53C2,0,1,measured
354,A16D,0,1,measured
355,3209,0,1,measured
356,71D5,0,1,measured
357,B8BD,0,1,measured
358,01F2,0,1,measured
359,6D34,0,1,measured
360,A8FB,0,1,measured
361,F143,0,1,measured
362,F143,0,1,measured
363,3DCF,0,1,measured
364,83D5,0,1,measured
365,BF89,0,1,measured
366,1666,0,1,measured
367,63EE,0,1,measured
368,A998,0,1,measured
369,D60E,0,1,measured
370,22E0,0,1,measured
371,6877,0,1,measured
372,B1E3,0,1,measured
373,336E,0,1,measured
374,B248,0,1,measured
375,FA8B,0,1,measured
376,43BD,0,1,measured
377,8D06,0,1,measured
378,AC91,0,1,measured
379,F0B2,0,1,measured
380,3E0C,0,1,measured
381,3E0C,0,1,measured
382,6E08,0,1,measured
383,98AE,0,1,measured
384,E1B5,0,1,measured
385,2BBA,0,1,measured
386,D1F5,0,1,measured
387,0CFF,0,1,measured
388,5705,0,1,measured
389,9F5C,0,1,measured
390,E886,0,1,measured
391,3283,0,1,measured
392,8B34,0,1,measured
393,19D9,0,1,measured
394,5F16,0,1,measured
395,AC63,0,1,measured
396,F595,0,1,measured
397,332A,0,1,measured
398,9182,0,1,measured
399,C894,0,1,measured
400,C894,0,1,measured
401,1262,0,1,measured
402,5AF6,0,1,measured
403,A478,0,1,measured
404,EE1A,0,1,measured
405,36B8,0,1,measured
406,7FFA,0,1,measured
407,C934,0,1,measured
408,0AEB,0,1,measured
409,4928,0,1,measured
410,88C7,0,1,measured
411,DBD0,0,1,measured
412,9494,0,1,measured
413,DDAF,0,1,measured
414,26D5,0,1,measured
415,7013,0,1,measured
416,AE37,0,1,measured
417,0523,0,1,measured
418,420B,0,1,measured
419,420B,0,1,measured
420,8B2B,0,1,measured
421,B3E8,0,1,measured
422,FD59,0,1,measured
423,4621,0,1,measured
424,C2B4,0,1,measured
425,E035,0,1,measured
426,2DDB,0,1,measured
427,778F,0,1,measured
428,BFE7,0,1,measured
429,08D1,0,1,measured
430,5213,0,1,measured
431,F0DF,0,1,measured
432,32F3,0,1,measured
433,6F92,0,1,measured
434,B853,0,1,measured
435,F5CB,0,1,measured
436,3F24,0,1,measured
437,8845,0,1,measured
438,8845,0,1,measured
439,D18B,0,1,measured
440,1705,0,1,measured
441,6419,0,1,measured
442,AD47,0,1,measured
443,F71B,0,1,measured
444,3FBE,0,1,measured
445,891D,0,1,measured
446,B677,0,1,measured
447,E5F6,0,1,measured
448,2F3B,0,1,measured
449,77D1,0,1,measured
450,6539,0,1,measured
451,B18C,0,1,measured
452,FC2F,0,1,measured
453,41ED,0,1,measured
454,74FC,0,1,measured
455,CC7B,0,1,measured
456,1956,0,1,measured
457,1956,0,1,measured
458,5E6C,0,1,measured
459,A007,0,1,measured
460,E176,0,1,measured
461,26F7,0,1,measured
462,706B,0,1,measured
463,E1EA,0,1,measured
464,184F,0,1,measured
465,6067,0,1,measured
466,B999,0,1,measured
467,F48C,0,1,measured
468,3ED2,0,1,measured
469,D40E,0,1,measured
470,252E,0,1,measured
471,524B,0,1,measured
472,A633,0,1,measured
473,DB04,0,1,measured
474,253E,0,1,measured
475,7FC2,0,1,measured
476,7FC2,0,1,measured
477,B292,0,1,measured
478,FE09,0,1,measured
479,4499,0,1,measured
480,8D96,0,1,measured
481,D6D7,0,1,measured
482,206B,0,1,measured
483,6957,0,1,measured
484,B1B8,0,1,measured
485,DBF3,0,1,measured
486,D36F,0,1,measured
487,1CE1,0,1,measured
488,58E0,0,1,measured
489,8EBD,0,1,measured
490,D7C9,0,1,measured
491,21C1,0,1,measured
492,6AAC,0,1,measured
493,A8BB,0,1,measured
494,0D35,0,1,measured
495,0D35,0,1,measured
496,3B23,0,1,measured
497,83B9,0,1,measured
498,CD28,0,1,measured
499,16A6,0,1,measured
500,5AE6,0,1,measured
501,A7D9,0,1,measured
502,0B97,0,1,measured
503,3840,0,1,measured
504,814F,0,1,measured
505,CBD5,0,1,measured
506,13BF,0,1,measured
507,B388,0,1,measured
508,FBD5,0,1,measured
509,4DB0,0,1,measured
510,6C7F,0,1,measured
511,9EB6,0,1,measured
512,E77E,0,1,measured
513,7983,0,1,measured
514,7983,0,1,measured
515,A412,0,1,measured
516,F1BB,0,1,measured
517,3B54,0,1,measured
518,845F,0,1,measured
519,CC96,0,1,measured
520,16FB,0,1,measured
521,7A65,0,1,measured
522,A8A0,0,1,measured
523,F31F,0,1,measured
524,3AF5,0,1,measured
525,8415,0,1,measured
526,4C6B,0,1,measured
527,71F3,0,1,measured
528,BAFA,0,1,measured
529,FFF6,0,1,measured
530,40DE,0,1,measured
531,89B3,0,1,measured
532,D302,0,1,measured
533,D302,0,1,measured
534,1CB0,0,1,measured
535,657E,0,1,measured
536,A675,0,1,measured
537,E5D8,0,1,measured
538,2DB9,0,1,measured
539,76A2,0,1,measured
540,C001,0,1,measured
541,0931,0,1,measured
542,526A,0,1,measured
543,9C5B,0,1,measured
544,E4DC,0,1,measured
545,83CC,0,1,measured
546,CC6F,0,1,measured
547,15B4,0,1,measured
548,3E71,0,1,measured
549,624D,0,1,measured
550,AB48,0,1,measured
551,F37E,0,1,measured
552,F37E,0,1,measured
553,A063,0,1,measured
554,D60F,0,1,measured
555,21BB,0,1,measured
556,6A18,0,1,measured
557,B37F,0,1,measured
558,FCD6,0,1,measured
559,46CA,0,1,measured
560,849A,0,1,measured
561,D893,0,1,measured
562,1A3F,0,1,measured
563,5854,0,1,measured
564,F4AB,0,1,measured
565,6DB9,0,1,measured
566,9BD9,0,1,measured
567,E70F,0,1,measured
568,2139,0,1,measured
569,6AE8,0,1,measured
570,B432,0,1,measured
571,B432,0,1,measured
572,FDC3,0,1,measured
573,446B,0,1,measured
574,8CC2,0,1,measured
575,B789,0,1,measured
576,0572,0,1,measured
577,4E29,0,1,measured
578,9768,0,1,measured
579,18DB,0,1,measured
580,4F24,0,1,measured
581,9845,0,1,measured
582,E202,0,1,measured
583,7F8B,0,1,measured
584,C81E,0,1,measured
585,F3F0,0,1,measured
586,3BFC,0,1,measured
587,5C84,0,1,measured
588,8B4D,0,1,measured
589,CFD2,0,1,measured
590,CFD2,0,1,measured
591,1DA9,0,1,measured
592,D5CB,0,1,measured
593,FFAE,0,1,measured
594,48BD,0,1,measured
595,916B,0,1,measured
596,DB18,0,1,measured
597,24A7,0,1,measured
598,8EF5,0,1,measured
599,B727,0,1,measured
600,00BA,0,1,measured
601,48E9,0,1,measured
602,E80F,0,1,measured
603,4BFC,0,1,measured
604,73D5,0,1,measured
605,C1A6,0,1,measured
606,00F2,0,1,measured
607,4ABF,0,1,measured
608,92D5,0,1,measured
609,92D5,0,1,measured
610,DC22,0,1,measured
611,2786,0,1,measured
612,6C58,0,1,measured
613,AD20,0,1,measured
614,CED6,0,1,measured
615,1621,0,1,measured
616,5F03,0,1,measured
617,025E,0,1,measured
618,3232,0,1,measured
619,7B47,0,1,measured
620,BE31,0,1,measured
621,62B1,0,1,measured
622,ABD9,0,1,measured
623,F614,0,1,measured
624,3A9A,0,1,measured
625,58E1,0,1,measured
626,845F,0,1,measured
627,CBAE,0,1,measured
628,CBAE,0,1,measured
629,148F,0,1,measured
630,AE98,0,1,measured
631,D5C0,0,1,measured
632,1EE7,0,1,measured
633,6874,0,1,measured
634,B0E6,0,1,measured
635,F52E,0,1,measured
636,4312,0,1,measured
637,8CAD,0,1,measured
638,D59D,0,1,measured
639,DFC0,0,1,measured
640,7116,0,1,measured
641,BA66,0,1,measured
642,27CC,0,1,measured
643,6D53,0,1,measured
644,AB32,0,1,measured
645,F533,0,1,measured
646,3DB6,0,1,measured
647,3DB6,0,1,measured
648,86F7,0,1,measured
649,D0F3,0,1,measured
650,1523,0,1,measured
651,62C3,0,1,measured
652,712C,0,1,measured
653,9CD4,0,1,measured
654,E564,0,1,measured
655,2D8D,0,1,measured
656,D194,0,1,measured
657,09E6,0,1,measured
658,5608,0,1,measured
659,F0B1,0,1,measured
660,3B93,0,1,measured
661,8589,0,1,measured
662,CE17,0,1,measured
663,0CA5,0,1,measured
664,47A5,0,1,measured
665,8C93,0,1,measured
666,8C93,0,1,measured
667,D558,0,1,measured
668,1E92,0,1,measured
669,B0E0,0,1,measured
670,ECF0,0,1,measured
671,357A,0,1,measured
672,7F18,0,1,measured
673,C837,0,1,measured
674,1068,0,1,measured
675,5AE7,0,1,measured
676,A3A2,0,1,measured
677,EC83,0,1,measured
678,7302,0,1,measured
679,B52D,0,1,measured
680,04AB,0,1,measured
681,A12C,0,1,measured
682,CCA0,0,1,measured
683,15D1,0,1,measured
684,5F87,0,1,measured
685,5F87,0,1,measured
686,A7F1,0,1,measured
687,F0D1,0,1,measured
688,3B8F,0,1,measured
689,834C,0,1,measured
690,CBBE,0,1,measured
691,FB0A,0,1,measured
692,24A7,0,1,measured
693,6DA3,0,1,measured
694,F549,0,1,measured
695,2AC1,0,1,measured
696,787B,0,1,measured
697,17F8,0,1,measured
698,711B,0,1,measured
699,AA53,0,1,measured
700,015E,0,1,measured
701,312E,0,1,measured
702,7A6E,0,1,measured
703,C259,0,1,measured
704,C259,0,1,measured
705,0BD4,0,1,measured
706,54C4,0,1,measured
707,B202,0,1,measured
708,EC24,0,1,measured
709,3404,0,1,measured
710,78AF,0,1,measured
711,C7BC,0,1,measured
712,0FB6,0,1,measured
713,590F,0,1,measured
714,A25C,0,1,measured
715,EC2A,0,1,measured
716,9C6F,0,1,measured
717,E7B7,0,1,measured
718,2E50,0,1,measured
719,6C30,0,1,measured
720,9BE4,0,1,measured
721,E56B,0,1,measured
722,2E2D,0,1,measured
723,2E2D,0,1,measured
724,7695,0,1,measured
725,BC7B,0,1,measured
726,091C,0,1,measured
727,525A,0,1,measured
728,9CE7,0,1,measured
729,DD5F,0,1,measured
730,1BB0,0,1,measured
731,646F,0,1,measured
732,AE49,0,1,measured
733,33E9,0,1,measured
734,55E6,0,1,measured
735,F3D9,0,1,measured
736,3CE2,0,1,measured
737,8622,0,1,measured
738,CF87,0,1,measured
739,07D6,0,1,measured
740,54E0,0,1,measured
741,97C1,0,1,measured
742,97C1,0,1,measured
743,D4CF,0,1,measured
744,1D97,0,1,measured
745,681D,0,1,measured
746,B02F,0,1,measured
747,F958,0,1,measured
748,437B,0,1,measured
749,8BD6,0,1,measured
750,D52B,0,1,measured
751,1F07,0,1,measured
752,6784,0,1,measured
753,B0D3,0,1,measured
754,2F77,0,1,measured
755,61AD,0,1,measured
756,AA3A,0,1,measured
757,F3AE,0,1,measured
758,958D,0,1,measured
759,CAD4,0,1,measured
760,1676,0,1,measured
761,1676,0,1,measured
762,60AF,0,1,measured
763,A6A9,0,1,measured
764,F254,0,1,measured
765,3C87,0,1,measured
766,8417,0,1,measured
767,CD4D,0,1,measured
768,10D2,0,1,measured
769,4D33,0,1,measured
770,8AC1,0,1,measured
771,DFFB,0,1,measured
772,4E5B,0,1,measured
773,DEE8,0,1,measured
774,292B,0,1,measured
775,714F,0,1,measured
776,BAB7,0,1,measured
777,FC9B,0,1,measured
778,4285,0,1,measured
779,8BAF,0,1,measured
780,8BAF,0,1,measured
781,BC84,0,1,measured
782,0478,0,1,measured
783,4D25,0,1,measured
784,CB59,0,1,measured
785,F605,0,1,measured
786,4283,0,1,measured
787,8BAB,0,1,measured
788,D3C7,0,1,measured
789,1DD9,0,1,measured
790,663A,0,1,measured
791,B0C0,0,1,measured
792,31D3,0,1,measured
793,6013,0,1,measured
794,A8AB,0,1,measured
795,F171,0,1,measured
796,7186,0,1,measured
797,A814,0,1,measured
798,F125,0,1,measured
799,F125,0,1,measured
800,366B,0,1,measured
801,835D,0,1,measured
802,D768,0,1,measured
803,1549,0,1,measured
804,7322,0,1,measured
805,A7E8,0,1,measured
806,F113,0,1,measured
807,3AA6,0,1,measured
808,8540,0,1,measured
809,CC33,0,1,measured
810,2CB4,0,1,measured
811,B546,0,1,measured
812,FEAF,0,1,measured
813,47E4,0,1,measured
814,89D3,0,1,measured
815,CF3C,0,1,measured
816,171D,0,1,measured
817,6109,0,1,measured
818,6109,0,1,measured
819,BD33,0,1,measured
820,FD06,0,1,measured
821,44FB,0,1,measured
822,8E1D,0,1,measured
823,DDC7,0,1,measured
824,2007,0,1,measured
825,685B,0,1,measured
826,AFEF,0,1,measured
827,FA0E,0,1,measured
828,4270,0,1,measured
829,A092,0,1,measured
830,2B50,0,1,measured
831,546B,0,1,measured
832,9C82,0,1,measured
833,E513,0,1,measured
834,22A2,0,1,measured
835,A552,0,1,measured
836,C9B0,0,1,measured
837,C9B0,0,1,measured
838,1503,0,1,measured
839,5BA9,0,1,measured
840,A466,0,1,measured
841,ED9D,0,1,measured
842,3749,0,1,measured
843,8035,0,1,measured
844,C896,0,1,measured
845,0704,0,1,measured
846,48A1,0,1,measured
847,9174,0,1,measured
848,DBDC,0,1,measured
849,7690,0,1,measured
850,BF41,0,1,measured
851,0916,0,1,measured
852,520A,0,1,measured
853,8FD8,0,1,measured
854,008F,0,1,measured
855,3F57,0,1,measured
856,3F57,0,1,measured
857,8892,0,1,measured
858,B67D,0,1,measured
859,E57D,0,1,measured
860,28FC,0,1,measured
861,77C2,0,1,measured
862,0D3F,0,1,measured
863,3C22,0,1,measured
864,85DC,0,1,measured
865,CE55,0,1,measured
866,17A8,0,1,measured
867,60ED,0,1,measured
868,FF34,0,1,measured
869,485E,0,1,measured
870,8A32,0,1,measured
871,C7D7,0,1,measured
872,057F,0,1,measured
873,7208,0,1,measured
874,AACF,0,1,measured
875,AACF,0,1,measured
876,FA6B,0,1,measured
877,43B0,0,1,measured
878,8CD9,0,1,measured
879,D61B,0,1,measured
880,1F76,0,1,measured
881,694C,0,1,measured
882,B288,0,1,measured
883,E15A,0,1,measured
884,2A8F,0,1,measured
885,7351,0,1,measured
886,BC86,0,1,measured
887,5948,0,1,measured
888,A374,0,1,measured
889,E682,0,1,measured
890,35F5,0,1,measured
891,71E1,0,1,measured
892,BD31,0,1,measured
893,0734,0,1,measured
894,0734,0,1,measured
895,506D,0,1,measured
896,7D28,0,1,measured
897,AC15,0,1,measured
898,F560,0,1,measured
899,3DEF,0,1,measured
900,F261,0,1,measured
901,219B,0,1,measured
902,6E56,0,1,measured
903,B7A4,0,1,measured
904,FDFF,0,1,measured
905,3E1C,0,1,measured
906,F419,0,1,measured
907,30D5,0,1,measured
908,78F8,0,1,measured
909,C307,0,1,measured
910,0169,0,1,measured
911,4A33,0,1,measured
912,AF8F,0,1,measured
913,AF8F,0,1,measured
914,DF49,0,1,measured
915,2834,0,1,measured
916,730E,0,1,measured
917,BA91,0,1,measured
918,0430,0,1,measured
919,4DF6,0,1,measured
920,8B82,0,1,measured
921,DF21,0,1,measured
922,21E1,0,1,measured
923,5FFF,0,1,measured
924,A86C,0,1,measured
925,6406,0,1,measured
926,9A81,0,1,measured
927,E4A9,0,1,measured
928,359D,0,1,measured
929,6B73,0,1,measured
930,B4E5,0,1,measured
931,0962,0,1,measured
932,0962,0,1,measured
933,4749,0,1,measured
934,8F93,0,1,measured
935,CEE9,0,1,measured
936,2D95,0,1,measured
937,6C33,0,1,measured
938,B61F,0,1,measured
939,2724,0,1,measured
940,4241,0,1,measured
941,8B2E,0,1,measured
942,D4F9,0,1,measured
943,1E52,0,1,measured
944,BBF9,0,1,measured
945,0507,0,1,measured
946,4D7E,0,1,measured
947,9015,0,1,measured
948,C127,0,1,measured
949,057E,0,1,measured
950,3405,0,1,measured
951,3405,0,1,measured
952,B646,0,1,measured
953,F5ED,0,1,measured
954,3F29,0,1,measured
955,890B,0,1,measured
956,D1BD,0,1,measured
957,1AE6,0,1,measured
958,6507,0,1,measured
959,AD6B,0,1,measured
960,F6A3,0,1,measured
961,1D4B,0,1,measured
962,4063,0,1,measured
963,0551,0,1,measured
964,3C9F,0,1,measured
965,8DC5,0,1,measured
966,D741,0,1,measured
967,1597,0,1,measured
968,5EF3,0,1,measured
969,A817,0,1,measured
970,A817,0,1,measured
971,F226,0,1,measured
972,3B56,0,1,measured
973,8424,0,1,measured
974,CD24,0,1,measured
975,1666,0,1,measured
976,5FA3,0,1,measured
977,FAD1,0,1,measured
978,1EF9,0,1,measured
979,6803,0,1,measured
980,AD22,0,1,measured
981,F9D2,0,1,measured
982,991F,0,1,measured
983,E23C,0,1,measured
984,27C8,0,1,measured
985,6897,0,1,measured
986,7E8A,0,1,measured
987,C77C,0,1,measured
988,1052,0,1,measured
989,1052,0,1,measured
990,8930,0,1,measured
991,C510,0,1,measured
992,0E51,0,1,measured
993,5805,0,1,measured
994,A07A,0,1,measured
995,E4E6,0,1,measured
996,16B8,0,1,measured
997,609E,0,1,measured
998,A914,0,1,measured
999,D58D,0,1,measured
1000,05B5,0,1,measured
1001,A096,0,1,measured
1002,67FD,0,1,measured
1003,A127,0,1,measured
1004,EA3A,0,1,measured
1005,27E4,0,1,measured
1006,7058,0,1,measured
1007,B9AE,0,1,measured
1008,B9AE,0,1,measured
1009,13A7,0,1,measured
1010,4742,0,1,measured
1011,9523,0,1,measured
1012,DE36,0,1,measured
1013,2845,0,1,measured
1014,7164,0,1,measured
1015,BA02,0,1,measured
1016,242B,0,1,measured
1017,50D1,0,1,measured
1018,9CA9,0,1,measured
1019,E6AD,0,1,measured
1020,820E,0,1,measured
1021,D2B2,0,1,measured
1022,1583,0,1,measured
1023,5EB1,0,1,measured
1024,8A69,0,1,measured
1025,D5AB,0,1,measured
1026,1CC8,0,1,measured
1027,1CC8,0,1,measured
1028,6602,0,1,measured
1029,DF87,0,1,measured
1030,17C2,0,1,measured
1031,6027,0,1,measured
1032,AB12,0,1,measured
1033,F2E8,0,1,measured
1034,3BED,0,1,measured
1035,8E0C,0,1,measured
1036,D03E,0,1,measured
1037,18B8,0,1,measured
1038,4327,0,1,measured
1039,D427,0,1,measured
1040,271D,0,1,measured
1041,9BBA,0,1,measured
1042,C51B,0,1,measured
1043,01E7,0,1,measured
1044,4B67,0,1,measured
1045,93F0,0,1,measured
1046,93F0,0,1,measured
1047,DCD7,0,1,measured
1048,27A6,0,1,measured
1049,6F43,0,1,measured
1050,B7C4,0,1,measured
1051,E0B1,0,1,measured
1052,1DF1,0,1,measured
1053,6635,0,1,measured
1054,BCD9,0,1,measured
1055,F831,0,1,measured
1056,4645,0,1,measured
1057,8F6F,0,1,measured
1058,2CD8,0,1,measured
1059,753E,0,1,measured
1060,C036,0,1,measured
1061,07C7,0,1,measured
1062,2AFD,0,1,measured
1063,555D,0,1,measured
1064,9E6C,0,1,measured
1065,9E6C,0,1,measured
1066,E73C,0,1,measured
1067,6E7F,0,1,measured
1068,A88B,0,1,measured
1069,F131,0,1,measured
1070,32B6,0,1,measured
1071,83B1,0,1,measured
1072,CCFD,0,1,measured
1073,163E,0,1,measured
1074,5F6D,0,1,measured
1075,A963,0,1,measured
1076,EA7B,0,1,measured
1077,7B8B,0,1,measured
1078,C474,0,1,measured
1079,7628,0,1,measured
1080,B06B,0,1,measured
1081,EDD6,0,1,measured
1082,36FB,0,1,measured
1083,80A8,0,1,measured
1084,80A8,0,1,measured
1085,C1A6,0,1,measured
1086,1374,0,1,measured
1087,5B48,0,1,measured
1088,A543,0,1,measured
1089,D4AA,0,1,measured
1090,2D90,0,1,measured
1091,6B11,0,1,measured
1092,B3CD,0,1,measured
1093,30AE,0,1,measured
1094,632D,0,1,measured
1095,AED0,0,1,measured
1096,4B22,0,1,measured
1097,952D,0,1,measured
1098,C143,0,1,measured
1099,0254,0,1,measured
1100,469D,0,1,measured
1101,7438,0,1,measured
1102,9F0A,0,1,measured
1103,9F0A,0,1,measured
1104,E818,0,1,measured
1105,30D8,0,1,measured
1106,DB96,0,1,measured
1107,1295,0,1,measured
1108,5DCD,0,1,measured
1109,A441,0,1,measured
1110,EE30,0,1,measured
1111,36AC,0,1,measured
1112,911F,0,1,measured
1113,CA02,0,1,measured
1114,1260,0,1,measured
1115,B0BA,0,1,measured
1116,F9E5,0,1,measured
1117,4325,0,1,measured
1118,A103,0,1,measured
1119,CC20,0,1,measured
1120,153E,0,1,measured
1121,5F2B,0,1,measured
1122,5F2B,0,1,measured
1123,A859,0,1,measured
1124,F10B,0,1,measured
1125,396C,0,1,measured
1126,837F,0,1,measured
1127,CBDD,0,1,measured
1128,0F96,0,1,measured
1129,4C82,0,1,measured
1130,9028,0,1,measured
1131,DFD0,0,1,measured
1132,57BC,0,1,measured
1133,878D,0,1,measured
1134,2654,0,1,measured
1135,6EA4,0,1,measured
1136,B8B4,0,1,measured
1137,1BDA,0,1,measured
1138,41D8,0,1,measured
1139,8B66,0,1,measured
1140,B39D,0,1,measured
1141,B39D,0,1,measured
1142,FDEC,0,1,measured
1143,45E4,0,1,measured
1144,CB8C,0,1,measured
1145,E97B,0,1,measured
1146,373F,0,1,measured
1147,80D3,0,1,measured
1148,C94E,0,1,measured
1149,120F,0,1,measured
1150,5B4D,0,1,measured
1151,A511,0,1,measured
1152,EDE2,0,1,measured
1153,78C4,0,1,measured
1154,C1B0,0,1,measured
1155,0AD4,0,1,measured
1156,5429,0,1,measured
1157,919F,0,1,measured
1158,DAC9,0,1,measured
1159,2050,0,1,measured
1160,2050,0,1,measured
1161,6D54,0,1,measured
1162,B69B,0,1,measured
1163,006E,0,1,measured
1164,4900,0,1,measured
1165,9273,0,1,measured
1166,BDE8,0,1,measured
1167,EBEA,0,1,measured
1168,3531,0,1,measured
1169,7DCD,0,1,measured
1170,2E9C,0,1,measured
1171,5EE3,0,1,measured
1172,00DA,0,1,measured
1173,47E5,0,1,measured
1174,85E1,0,1,measured
1175,DB61,0,1,measured
1176,1E46,0,1,measured
1177,6333,0,1,measured
1178,A4AF,0,1,measured
1179,A4AF,0,1,measured
1180,E611,0,1,measured
1181,2B9C,0,1,measured
1182,7528,0,1,measured
1183,EAEE,0,1,measured
1184,2514,0,1,measured
1185,6E0F,0,1,measured
1186,BA7B,0,1,measured
1187,0075,0,1,measured
1188,4A08,0,1,measured
1189,9770,0,1,measured
1190,CFF1,0,1,measured
1191,5CE2,0,1,measured
1192,A7F3,0,1,measured
1193,EEB9,0,1,measured
1194,3832,0,1,measured
1195,AB19,0,1,measured
1196,D7D0,0,1,measured
1197,2350,0,1,measured
1198,2350,0,1,measured
1199,69B3,0,1,measured
1200,B2AB,0,1,measured
1201,FBFB,0,1,measured
1202,27C5,0,1,measured
1203,70E4,0,1,measured
1204,B8C1,0,1,measured
1205,E4D0,0,1,measured
