offset,seed,band,boots,how
268,970C,0,1,measured
269,D535,0,1,measured
270,1D9C,0,1,measured
271,91AF,0,1,measured
272,CE98,0,1,measured
273,1671,0,1,measured
274,5F3D,0,1,measured
275,A880,0,1,measured
276,ED42,0,1,measured
277,3BBB,0,1,measured
278,8449,0,1,measured
279,CD80,0,1,measured
280,1315,0,1,measured
281,5BC6,0,1,measured
282,A24C,0,1,measured
283,537E,0,1,measured
284,7CE3,0,1,measured
285,C65A,0,1,measured
286,0EA2,0,1,measured
287,5858,0,1,measured
288,A197,0,1,measured
289,0416,0,1,measured
290,2FB7,0,1,measured
291,7D6B,0,1,measured
292,C72E,0,1,measured
293,0F6F,0,1,measured
294,5917,0,1,measured
295,A257,0,1,measured
296,08A6,0,1,measured
297,38B3,0,1,measured
298,D625,0,1,measured
299,2067,0,1,measured
300,69CB,0,1,measured
301,B2B4,0,1,measured
302,EDA2,0,1,measured
303,3600,0,1,measured
304,7367,0,1,measured
305,7367,0,1,measured
306,B5ED,0,1,measured
307,FEC1,0,1,measured
308,4807,0,1,measured
309,C823,0,1,measured
310,F426,0,1,measured
311,3D41,0,1,measured
312,85D7,0,1,measured
313,D1A4,0,1,measured
314,1697,0,1,measured
315,760A,0,1,measured
316,AA2A,0,1,measured
317,2770,0,1,measured
318,7066,0,1,measured
319,B4E7,0,1,measured
320,0259,0,1,measured
321,7FFF,0,1,measured
322,A32F,0,1,measured
323,EC4C,0,1,measured
324,EC4C,0,1,measured
325,35D8,0,1,measured
326,7E6D,0,1,measured
327,C71A,0,1,measured
328,1201,0,1,measured
329,59C3,0,1,measured
330,A223,0,1,measured
331,E533,0,1,measured
332,220A,0,1,measured
333,6AF9,0,1,measured
334,B42F,0,1,measured
335,F8E9,0,1,measured
336,9B9F,0,1,measured
337,E5A2,0,1,measured
338,2E1C,0,1,measured
339,777B,0,1,measured
340,B58B,0,1,measured
341,FE13,0,1,measured
342,2A19,0,1,measured
343,2A19,0,1,measured
344,57B1,0,1,measured
345,A019,0,1,measured
346,E8C3,0,1,measured
347,998C,0,1,measured
348,CAA9,0,1,measured
349,174E,0,1,measured
350,53E6,0,1,measured
351,AD09,0,1,measured
352,F2F1,0,1,measured
353,3C55,0,1,measured
354,8A00,0,1,measured
355,1A9C,0,1,measured
356,5A68,0,1,measured
357,A150,0,1,measured
358,EA85,0,1,measured
359,55C7,0,1,measured
360,918E,0,1,measured
361,D9D6,0,1,measured
362,D9D6,0,1,measured
363,2662,0,1,measured
364,6C68,0,1,measured
365,A81C,0,1,measured
366,FEF9,0,1,measured
367,4C81,0,1,measured
368,922B,0,1,measured
369,BEA1,0,1,measured
370,0B73,0,1,measured
371,510A,0,1,measured
372,9A76,0,1,measured
373,1C01,0,1,measured
374,9ADB,0,1,measured
375,E31E,0,1,measured
376,2C50,0,1,measured
377,7599,0,1,measured
378,9524,0,1,measured
379,D945,0,1,measured
380,269F,0,1,measured
381,269F,0,1,measured
382,569B,0,1,measured
383,8141,0,1,measured
384,CA48,0,1,measured
385,144D,0,1,measured
386,BA88,0,1,measured
387,F592,0,1,measured
388,3F98,0,1,measured
389,87EF,0,1,measured
390,D119,0,1,measured
391,1B16,0,1,measured
392,73C7,0,1,measured
393,026C,0,1,measured
394,47A9,0,1,measured
395,94F6,0,1,measured
396,DE28,0,1,measured
397,1BBD,0,1,measured
398,7A15,0,1,measured
399,B127,0,1,measured
400,B127,0,1,measured
401,FAF5,0,1,measured
402,4389,0,1,measured
403,8D0B,0,1,measured
404,D6AD,0,1,measured
405,1F4B,0,1,measured
406,688D,0,1,measured
407,B1C7,0,1,measured
408,F37E,0,1,measured
409,31BB,0,1,measured
410,715A,0,1,measured
411,C463,0,1,measured
412,7D27,0,1,measured
413,C642,0,1,measured
414,0F68,0,1,measured
415,58A6,0,1,measured
416,96CA,0,1,measured
417,EDB6,0,1,measured
418,2A9E,0,1,measured
419,2A9E,0,1,measured
420,73BE,0,1,measured
421,9C7B,0,1,measured
422,E5EC,0,1,measured
423,2EB4,0,1,measured
424,AB47,0,1,measured
425,C8C8,0,1,measured
426,166E,0,1,measured
427,6022,0,1,measured
428,A87A,0,1,measured
429,F164,0,1,measured
430,3AA6,0,1,measured
431,D972,0,1,measured
432,1B86,0,1,measured
433,5825,0,1,measured
434,A0E6,0,1,measured
435,DE5E,0,1,measured
436,27B7,0,1,measured
437,70D8,0,1,measured
438,70D8,0,1,measured
439,BA1E,0,1,measured
440,FF98,0,1,measured
441,4CAC,0,1,measured
442,95DA,0,1,measured
443,DFAE,0,1,measured
