offset,seed,band,boots,how
268,2C93,0,1,measured
269,6BAA,0,1,measured
270,B4F7,0,1,measured
271,291C,0,1,measured
272,65EE,0,1,measured
273,ADD2,0,1,measured
274,F6B4,0,1,measured
275,3FE9,0,1,measured
276,84BB,0,1,measured
277,D30D,0,1,measured
278,1BB5,0,1,measured
279,64ED,0,1,measured
280,AB26,0,1,measured
281,F171,0,1,measured
282,3945,0,1,measured
283,E8E8,0,1,measured
284,141A,0,1,measured
285,5D2C,0,1,measured
286,A60F,0,1,measured
287,EF92,0,1,measured
288,3919,0,1,measured
289,9BD5,0,1,measured
290,C6F6,0,1,measured
291,14A4,0,1,measured
292,5E65,0,1,measured
293,A6DC,0,1,measured
294,F04E,0,1,measured
295,3B4B,0,1,measured
296,A052,0,1,measured
297,CFF3,0,1,measured
298,6D92,0,1,measured
299,B79F,0,1,measured
300,00C5,0,1,measured
301,467A,0,1,measured
302,8438,0,1,measured
303,CD75,0,1,measured
304,0AD6,0,1,measured
305,0AD6,0,1,measured
306,4D5A,0,1,measured
307,962E,0,1,measured
308,DF74,0,1,measured
309,5F56,0,1,measured
310,8D02,0,1,measured
311,D4E0,0,1,measured
312,1D3B,0,1,measured
313,66D5,0,1,measured
314,B014,0,1,measured
315,10C9,0,1,measured
316,427A,0,1,measured
317,BED7,0,1,measured
318,07C8,0,1,measured
319,4C54,0,1,measured
320,99C6,0,1,measured
321,1736,0,1,measured
322,3A64,0,1,measured
323,837C,0,1,measured
324,837C,0,1,measured
325,CE74,0,1,measured
326,1553,0,1,measured
327,5E78,0,1,measured
328,A822,0,1,measured
329,F109,0,1,measured
330,398D,0,1,measured
331,7C83,0,1,measured
332,B983,0,1,measured
333,026E,0,1,measured
334,4CB6,0,1,measured
335,9056,0,1,measured
336,3306,0,1,measured
337,7CF7,0,1,measured
338,C58D,0,1,measured
339,0FB6,0,1,measured
340,4C47,0,1,measured
341,9589,0,1,measured
342,C13D,0,1,measured
343,C13D,0,1,measured
344,EF08,0,1,measured
