offset,seed,band,boots,how
268,1523,0,1,measured
269,5445,0,1,measured
270,9D8A,0,1,measured
271,11AF,0,1,measured
272,4E81,0,1,measured
273,9665,0,1,measured
274,DF44,0,1,measured
275,2889,0,1,measured
276,6D42,0,1,measured
277,BBA0,0,1,measured
278,0448,0,1,measured
279,4D80,0,1,measured
280,9317,0,1,measured
281,DBA8,0,1,measured
282,2256,0,1,measured
283,D179,0,1,measured
284,FCA7,0,1,measured
285,45C1,0,1,measured
286,8EA2,0,1,measured
287,D821,0,1,measured
288,21AA,0,1,measured
289,8464,0,1,measured
290,AF86,0,1,measured
291,FD3F,0,1,measured
292,46F8,0,1,measured
293,8F6F,0,1,measured
294,DA5B,0,1,measured
295,2266,0,1,measured
296,88F3,0,1,measured
297,B882,0,1,measured
298,5625,0,1,measured
299,A032,0,1,measured
300,E954,0,1,measured
301,2F1A,0,1,measured
302,6CC0,0,1,measured
303,B5F8,0,1,measured
304,F369,0,1,measured
305,F369,0,1,measured
306,35ED,0,1,measured
307,7EC1,0,1,measured
308,C803,0,1,measured
309,499B,0,1,measured
310,73F7,0,1,measured
311,BD76,0,1,measured
312,05CE,0,1,measured
313,4F68,0,1,measured
314,98A7,0,1,measured
315,F958,0,1,measured
316,2B0D,0,1,measured
317,A76A,0,1,measured
318,F066,0,1,measured
319,34E8,0,1,measured
320,8259,0,1,measured
321,FFC4,0,1,measured
322,2306,0,1,measured
323,6E20,0,1,measured
324,6E20,0,1,measured
325,B4E6,0,1,measured
326,FDE8,0,1,measured
327,470C,0,1,measured
328,90B5,0,1,measured
329,D9A1,0,1,measured
330,2224,0,1,measured
331,6519,0,1,measured
332,A216,0,1,measured
333,EB01,0,1,measured
334,3549,0,1,measured
335,78E9,0,1,measured
336,1B95,0,1,measured
337,658A,0,1,measured
338,AE68,0,1,measured
339,F807,0,1,measured
340,34DC,0,1,measured
341,7E1C,0,1,measured
342,A9CD,0,1,measured
343,A9CD,0,1,measured
344,D7A0,0,1,measured
345,20B3,0,1,measured
346,68D1,0,1,measured
347,1969,0,1,measured
348,4AB5,0,1,measured
349,9757,0,1,measured
350,D3C4,0,1,measured
351,2D12,0,1,measured
352,72FE,0,1,measured
353,BC57,0,1,measured
354,0A32,0,1,measured
355,9AA6,0,1,measured
356,DA63,0,1,measured
357,2108,0,1,measured
358,6A88,0,1,measured
359,D5B3,0,1,measured
360,1172,0,1,measured
361,59D6,0,1,measured
362,59D6,0,1,measured
363,A664,0,1,measured
364,EC64,0,1,measured
365,2820,0,1,measured
366,7EEF,0,1,measured
367,CC6D,0,1,measured
368,1216,0,1,measured
369,3EF0,0,1,measured
370,8B6E,0,1,measured
371,D105,0,1,measured
372,1A76,0,1,measured
373,99F2,0,1,measured
374,1A6A,0,1,measured
375,63D8,0,1,measured
376,AC54,0,1,measured
377,F573,0,1,measured
378,1499,0,1,measured
379,59A3,0,1,measured
380,A754,0,1,measured
381,A754,0,1,measured
382,D56B,0,1,measured
383,025D,0,1,measured
384,4A98,0,1,measured
385,931C,0,1,measured
386,3A81,0,1,measured
387,758B,0,1,measured
388,BEAC,0,1,measured
389,088C,0,1,measured
390,5119,0,1,measured
391,9A6A,0,1,measured
392,F454,0,1,measured
393,826C,0,1,measured
394,C70C,0,1,measured
395,1586,0,1,measured
396,5E28,0,1,measured
397,9B17,0,1,measured
398,FAE2,0,1,measured
399,3130,0,1,measured
400,3130,0,1,measured
401,7ACD,0,1,measured
402,C38C,0,1,measured
403,0CC2,0,1,measured
404,55FD,0,1,measured
405,9FE5,0,1,measured
406,E91B,0,1,measured
407,31BD,0,1,measured
408,737E,0,1,measured
409,B1BE,0,1,measured
410,F158,0,1,measured
411,43B9,0,1,measured
412,FDAB,0,1,measured
413,468A,0,1,measured
414,8F65,0,1,measured
415,D8B4,0,1,measured
416,16C9,0,1,measured
417,6CA8,0,1,measured
418,AB28,0,1,measured
419,AB28,0,1,measured
420,F3BA,0,1,measured
421,1C7B,0,1,measured
422,65F5,0,1,measured
423,AEB9,0,1,measured
424,2B10,0,1,measured
425,489B,0,1,measured
426,9630,0,1,measured
427,DFE0,0,1,measured
428,2859,0,1,measured
429,7247,0,1,measured
430,BAFE,0,1,measured
431,58A9,0,1,measured
432,9B29,0,1,measured
433,D819,0,1,measured
434,20E7,0,1,measured
435,5E68,0,1,measured
436,A7BA,0,1,measured
437,F0DB,0,1,measured
438,F0DB,0,1,measured
439,3A1E,0,1,measured
440,7F81,0,1,measured
441,CC9B,0,1,measured
442,15E4,0,1,measured
443,5F98,0,1,measured
444,A8A6,0,1,measured
445,F1A3,0,1,measured
446,1F9B,0,1,measured
447,4DE8,0,1,measured
448,96D1,0,1,measured
449,E046,0,1,measured
450,CDD0,0,1,measured
451,19FF,0,1,measured
452,64CC,0,1,measured
453,AA74,0,1,measured
454,DD8C,0,1,measured
455,34F0,0,1,measured
456,81D9,0,1,measured
457,81D9,0,1,measured
458,C708,0,1,measured
459,08D9,0,1,measured
460,4A05,0,1,measured
461,8F8C,0,1,measured
462,D982,0,1,measured
463,49D4,0,1,measured
464,858C,0,1,measured
465,C9DC,0,1,measured
466,21F4,0,1,measured
467,5CE8,0,1,measured
468,A730,0,1,measured
469,3C74,0,1,measured
470,8D8D,0,1,measured
471,BAD9,0,1,measured
472,0E86,0,1,measured
473,45CF,0,1,measured
474,8B65,0,1,measured
475,E81C,0,1,measured
476,E81C,0,1,measured
477,1AE5,0,1,measured
478,6425,0,1,measured
479,ADCE,0,1,measured
480,F665,0,1,measured
481,3F43,0,1,measured
482,8873,0,1,measured
483,D23B,0,1,measured
484,1B07,0,1,measured
485,434E,0,1,measured
486,3D1D,0,1,measured
487,8574,0,1,measured
488,C1BB,0,1,measured
489,F74C,0,1,measured
490,4051,0,1,measured
491,8A44,0,1,measured
492,D12C,0,1,measured
493,1121,0,1,measured
494,7524,0,1,measured
495,7524,0,1,measured
496,A45A,0,1,measured
497,ECA8,0,1,measured
498,35AA,0,1,measured
499,7E9E,0,1,measured
500,C3D2,0,1,measured
501,1120,0,1,measured
502,72F0,0,1,measured
503,A1F7,0,1,measured
504,EA1D,0,1,measured
505,3337,0,1,measured
506,7C55,0,1,measured
507,1B28,0,1,measured
508,6500,0,1,measured
509,B613,0,1,measured
510,D4D8,0,1,measured
511,0714,0,1,measured
512,4FE6,0,1,measured
513,E1FC,0,1,measured
514,E1FC,0,1,measured
515,0C8C,0,1,measured
516,5A2F,0,1,measured
517,A3C3,0,1,measured
518,ECC6,0,1,measured
519,368B,0,1,measured
520,7E47,0,1,measured
521,E2FC,0,1,measured
522,1133,0,1,measured
523,5A3D,0,1,measured
524,A38B,0,1,measured
525,ECA6,0,1,measured
526,B4BE,0,1,measured
527,DA5E,0,1,measured
528,2355,0,1,measured
529,6852,0,1,measured
530,A95C,0,1,measured
531,F229,0,1,measured
532,3B6F,0,1,measured
533,3B6F,0,1,measured
534,8633,0,1,measured
535,CD45,0,1,measured
536,1022,0,1,measured
537,4D33,0,1,measured
538,960D,0,1,measured
539,DF34,0,1,measured
540,288B,0,1,measured
541,71CE,0,1,measured
542,BB01,0,1,measured
543,04D3,0,1,measured
544,4D79,0,1,measured
545,EC3D,0,1,measured
546,3503,0,1,measured
547,7E50,0,1,measured
548,A7E2,0,1,measured
549,CA36,0,1,measured
550,1338,0,1,measured
551,5CA2,0,1,measured
552,5CA2,0,1,measured
553,080B,0,1,measured
554,3EA5,0,1,measured
555,8A30,0,1,measured
556,D2B8,0,1,measured
557,1C0A,0,1,measured
558,6569,0,1,measured
559,AF48,0,1,measured
560,ED03,0,1,measured
561,4128,0,1,measured
562,82DA,0,1,measured
563,C0E8,0,1,measured
564,5DC3,0,1,measured
565,D60F,0,1,measured
566,0434,0,1,measured
567,4D56,0,1,measured
568,89C7,0,1,measured
569,D34A,0,1,measured
570,1CDD,0,1,measured
571,1CDD,0,1,measured
572,63AF,0,1,measured
573,AC27,0,1,measured
574,F552,0,1,measured
575,2026,0,1,measured
576,6E05,0,1,measured
577,B6C0,0,1,measured
578,FFFA,0,1,measured
579,82D7,0,1,measured
580,B788,0,1,measured
581,0116,0,1,measured
582,499F,0,1,measured
583,E80F,0,1,measured
584,30BA,0,1,measured
585,5C4D,0,1,measured
586,A478,0,1,measured
587,C51D,0,1,measured
588,F3BF,0,1,measured
589,3848,0,1,measured
590,3848,0,1,measured
591,8627,0,1,measured
592,3E32,0,1,measured
593,6811,0,1,measured
594,B334,0,1,measured
595,F9F2,0,1,measured
596,436E,0,1,measured
597,8CB2,0,1,measured
598,F4FD,0,1,measured
599,1F90,0,1,measured
600,68AB,0,1,measured
601,B172,0,1,measured
602,5037,0,1,measured
603,B4D4,0,1,measured
604,DC2F,0,1,measured
605,2A0C,0,1,measured
606,6956,0,1,measured
607,B352,0,1,measured
608,FCAE,0,1,measured
609,FCAE,0,1,measured
610,44C3,0,1,measured
611,8D7E,0,1,measured
612,D3FA,0,1,measured
613,15AB,0,1,measured
614,376B,0,1,measured
615,7EB4,0,1,measured
616,C791,0,1,measured
617,6ABB,0,1,measured
618,9A8F,0,1,measured
619,E39E,0,1,measured
620,268D,0,1,measured
621,CB0F,0,1,measured
622,1435,0,1,measured
623,5E72,0,1,measured
624,A322,0,1,measured
625,C181,0,1,measured
626,ECF2,0,1,measured
627,3438,0,1,measured
628,3438,0,1,measured
629,7D25,0,1,measured
630,16F1,0,1,measured
631,3E15,0,1,measured
632,8744,0,1,measured
633,D0D6,0,1,measured
634,1965,0,1,measured
635,5DAA,0,1,measured
636,AB88,0,1,measured
637,F51C,0,1,measured
638,3E0A,0,1,measured
639,49B6,0,1,measured
640,D9A9,0,1,measured
641,22F1,0,1,measured
642,9020,0,1,measured
643,D5DA,0,1,measured
644,13CE,0,1,measured
645,5DAE,0,1,measured
646,A64D,0,1,measured
647,A64D,0,1,measured
648,EF94,0,1,measured
649,395D,0,1,measured
650,7DB6,0,1,measured
651,CB50,0,1,measured
652,D9B4,0,1,measured
653,054F,0,1,measured
654,4E2B,0,1,measured
655,96A7,0,1,measured
656,397E,0,1,measured
657,7279,0,1,measured
658,BE31,0,1,measured
659,5944,0,1,measured
660,A434,0,1,measured
661,EDFC,0,1,measured
662,36A0,0,1,measured
663,7538,0,1,measured
664,B030,0,1,measured
665,F526,0,1,measured
666,F526,0,1,measured
667,3DEB,0,1,measured
668,8729,0,1,measured
669,1ADF,0,1,measured
670,54BB,0,1,measured
671,9E6D,0,1,measured
672,E673,0,1,measured
673,3074,0,1,measured
674,7906,0,1,measured
675,C367,0,1,measured
676,0C18,0,1,measured
677,5520,0,1,measured
678,DB99,0,1,measured
679,1DC0,0,1,measured
680,6D3E,0,1,measured
681,098C,0,1,measured
682,34F3,0,1,measured
683,803C,0,1,measured
684,C721,0,1,measured
685,C721,0,1,measured
686,1005,0,1,measured
687,594A,0,1,measured
688,A2F2,0,1,measured
689,EBC6,0,1,measured
690,345B,0,1,measured
691,6380,0,1,measured
692,8D3A,0,1,measured
693,D63A,0,1,measured
694,5EF8,0,1,measured
695,934B,0,1,measured
696,E111,0,1,measured
697,806F,0,1,measured
698,DB1B,0,1,measured
699,12A1,0,1,measured
700,69F7,0,1,measured
701,98C7,0,1,measured
702,E177,0,1,measured
703,2AC9,0,1,measured
704,2AC9,0,1,measured
705,744F,0,1,measured
706,BD41,0,1,measured
707,1A89,0,1,measured
708,54A6,0,1,measured
709,9C97,0,1,measured
710,E144,0,1,measured
711,3032,0,1,measured
712,7853,0,1,measured
713,C19A,0,1,measured
714,0BB4,0,1,measured
715,541E,0,1,measured
716,04C7,0,1,measured
717,4DFA,0,1,measured
718,9795,0,1,measured
719,D4D1,0,1,measured
720,0450,0,1,measured
721,4D62,0,1,measured
722,972D,0,1,measured
723,972D,0,1,measured
724,DFE0,0,1,measured
725,23E1,0,1,measured
726,72E2,0,1,measured
727,BAF5,0,1,measured
728,042E,0,1,measured
729,474B,0,1,measured
730,8439,0,1,measured
731,CCFC,0,1,measured
732,16CA,0,1,measured
733,9A74,0,1,measured
734,BE47,0,1,measured
735,5D2A,0,1,measured
736,A57B,0,1,measured
737,EEA4,0,1,measured
738,37DC,0,1,measured
739,70B4,0,1,measured
740,BE1C,0,1,measured
741,FF20,0,1,measured
742,FF20,0,1,measured
743,3E85,0,1,measured
744,867D,0,1,measured
745,CF72,0,1,measured
746,18B8,0,1,measured
747,61EB,0,1,measured
748,AB1D,0,1,measured
749,F4F9,0,1,measured
750,3DBE,0,1,measured
751,86EB,0,1,measured
752,D0AC,0,1,measured
753,195D,0,1,measured
754,9761,0,1,measured
755,CAD6,0,1,measured
756,12CD,0,1,measured
757,5BA0,0,1,measured
758,FEFC,0,1,measured
759,3362,0,1,measured
760,7EEC,0,1,measured
761,7EEC,0,1,measured
762,C941,0,1,measured
763,0EF0,0,1,measured
764,5A3D,0,1,measured
765,A5A1,0,1,measured
766,ED35,0,1,measured
767,35E1,0,1,measured
768,796D,0,1,measured
769,B5C6,0,1,measured
770,F350,0,1,measured
771,47DB,0,1,measured
772,B6D2,0,1,measured
773,47C4,0,1,measured
774,91BD,0,1,measured
775,D9E2,0,1,measured
776,2344,0,1,measured
777,6420,0,1,measured
778,ABAA,0,1,measured
779,F447,0,1,measured
780,F447,0,1,measured
781,250E,0,1,measured
782,6D0B,0,1,measured
783,B5B8,0,1,measured
784,33D9,0,1,measured
785,5E63,0,1,measured
786,AAFB,0,1,measured
787,F42A,0,1,measured
788,3C5A,0,1,measured
789,866F,0,1,measured
790,CFFB,0,1,measured
791,1811,0,1,measured
792,9A4C,0,1,measured
793,C8A3,0,1,measured
794,113E,0,1,measured
795,5A04,0,1,measured
796,D9FB,0,1,measured
797,1085,0,1,measured
798,59A2,0,1,measured
799,59A2,0,1,measured
800,9EC8,0,1,measured
801,EBF4,0,1,measured
802,3FDC,0,1,measured
803,7DB4,0,1,measured
804,DC8D,0,1,measured
805,1059,0,1,measured
806,5A1C,0,1,measured
807,A285,0,1,measured
808,EBE9,0,1,measured
809,35C1,0,1,measured
810,955C,0,1,measured
811,1DAE,0,1,measured
812,672E,0,1,measured
813,B059,0,1,measured
814,F261,0,1,measured
815,3798,0,1,measured
816,7FA4,0,1,measured
817,C98F,0,1,measured
818,C98F,0,1,measured
819,272D,0,1,measured
820,6457,0,1,measured
