offset,seed,band,boots,how
268,2C95,0,1,measured
269,6BBC,0,1,measured
270,B501,0,1,measured
271,2930,0,1,measured
272,65F8,0,1,measured
273,ADE4,0,1,measured
274,F6BE,0,1,measured
275,3FFF,0,1,measured
276,84BB,0,1,measured
277,D315,0,1,measured
278,1BC0,0,1,measured
279,6503,0,1,measured
280,AB38,0,1,measured
281,F178,0,1,measured
282,3959,0,1,measured
283,E8EB,0,1,measured
284,1425,0,1,measured
285,5D2E,0,1,measured
286,A619,0,1,measured
287,EF90,0,1,measured
288,391C,0,1,measured
289,9BDC,0,1,measured
290,C6F4,0,1,measured
291,14B3,0,1,measured
292,5E6F,0,1,measured
293,A6ED,0,1,measured
294,F04E,0,1,measured
295,3B59,0,1,measured
296,A05C,0,1,measured
297,CFF0,0,1,measured
298,6D9C,0,1,measured
299,B7A9,0,1,measured
300,00CD,0,1,measured
301,468C,0,1,measured
302,843D,0,1,measured
303,CD75,0,1,measured
304,0ADE,0,1,measured
305,0ADE,0,1,measured
306,4D64,0,1,measured
307,962F,0,1,measured
308,DF73,0,1,measured
309,5F6B,0,1,measured
310,8D0C,0,1,measured
311,D4EA,0,1,measured
312,1D4E,0,1,measured
313,66E7,0,1,measured
314,B026,0,1,measured
315,10D3,0,1,measured
316,427D,0,1,measured
317,BEEA,0,1,measured
318,07D2,0,1,measured
319,4C5E,0,1,measured
320,99D1,0,1,measured
321,1740,0,1,measured
322,3A77,0,1,measured
323,8383,0,1,measured
324,8383,0,1,measured
325,CE7F,0,1,measured
326,155D,0,1,measured
327,5E85,0,1,measured
328,A82C,0,1,measured
329,F11E,0,1,measured
330,3995,0,1,measured
331,7C8D,0,1,measured
332,B985,0,1,measured
333,0278,0,1,measured
334,4CC0,0,1,measured
335,906A,0,1,measured
336,3310,0,1,measured
337,7D03,0,1,measured
338,C5A0,0,1,measured
339,0FC9,0,1,measured
340,4C51,0,1,measured
341,9596,0,1,measured
342,C13F,0,1,measured
343,C13F,0,1,measured
344,EF13,0,1,measured
345,382A,0,1,measured
346,803F,0,1,measured
347,30EC,0,1,measured
348,6221,0,1,measured
349,AECE,0,1,measured
350,EB3D,0,1,measured
351,4479,0,1,measured
352,8A74,0,1,measured
353,D3D9,0,1,measured
354,2160,0,1,measured
355,B211,0,1,measured
356,F1EB,0,1,measured
357,387A,0,1,measured
358,81FE,0,1,measured
359,ED2A,0,1,measured
360,28E6,0,1,measured
361,714D,0,1,measured
362,714D,0,1,measured
363,BDD1,0,1,measured
364,03DF,0,1,measured
365,3F9A,0,1,measured
366,9670,0,1,measured
367,E3ED,0,1,measured
368,2982,0,1,measured
369,5618,0,1,measured
370,A326,0,1,measured
371,E87F,0,1,measured
372,31F3,0,1,measured
373,B15E,0,1,measured
374,31E1,0,1,measured
375,7B45,0,1,measured
376,C3C2,0,1,measured
377,0CEE,0,1,measured
378,2C0C,0,1,measured
379,7111,0,1,measured
380,BEC0,0,1,measured
381,BEC0,0,1,measured
382,ECD9,0,1,measured
383,19D2,0,1,measured
384,61C3,0,1,measured
385,AAD6,0,1,measured
386,51FB,0,1,measured
387,8D07,0,1,measured
388,D624,0,1,measured
389,2002,0,1,measured
390,689C,0,1,measured
391,B1E2,0,1,measured
392,0BCE,0,1,measured
393,99DC,0,1,measured
394,DE7C,0,1,measured
395,2CFD,0,1,measured
396,7597,0,1,measured
397,B293,0,1,measured
398,1215,0,1,measured
399,48F0,0,1,measured
400,48F0,0,1,measured
401,9243,0,1,measured
402,DB0C,0,1,measured
403,2442,0,1,measured
404,6D74,0,1,measured
405,B75C,0,1,measured
406,0094,0,1,measured
407,4939,0,1,measured
408,8AEC,0,1,measured
409,C92D,0,1,measured
410,08C5,0,1,measured
411,5B3A,0,1,measured
412,1525,0,1,measured
413,5DC0,0,1,measured
414,A727,0,1,measured
415,F02B,0,1,measured
416,2E4A,0,1,measured
417,841F,0,1,measured
418,C29F,0,1,measured
419,C29F,0,1,measured
420,0B2A,0,1,measured
421,33F0,0,1,measured
422,7D6E,0,1,measured
423,C630,0,1,measured
424,4291,0,1,measured
425,6009,0,1,measured
426,ADA7,0,1,measured
427,F765,0,1,measured
428,3FC2,0,1,measured
429,88C4,0,1,measured
430,D372,0,1,measured
431,7017,0,1,measured
432,B295,0,1,measured
433,EF94,0,1,measured
434,3861,0,1,measured
435,75DF,0,1,measured
436,BF31,0,1,measured
437,0846,0,1,measured
438,0846,0,1,measured
439,518C,0,1,measured
440,96ED,0,1,measured
441,E417,0,1,measured
442,2D56,0,1,measured
443,7707,0,1,measured
444,BFD6,0,1,measured
445,096D,0,1,measured
446,3710,0,1,measured
447,655F,0,1,measured
448,AE4C,0,1,measured
449,F7B8,0,1,measured
450,E547,0,1,measured
451,317F,0,1,measured
452,7C39,0,1,measured
453,C1EB,0,1,measured
454,F506,0,1,measured
455,4C69,0,1,measured
456,9951,0,1,measured
457,9951,0,1,measured
458,DE81,0,1,measured
459,2007,0,1,measured
460,61C8,0,1,measured
461,A702,0,1,measured
462,F0FE,0,1,measured
463,6144,0,1,measured
464,9D04,0,1,measured
465,E155,0,1,measured
466,3975,0,1,measured
467,7456,0,1,measured
468,BE9D,0,1,measured
469,53DE,0,1,measured
470,A506,0,1,measured
471,D25A,0,1,measured
472,2606,0,1,measured
473,5AD9,0,1,measured
474,A55C,0,1,measured
475,FF95,0,1,measured
476,FF95,0,1,measured
477,3261,0,1,measured
478,7BA6,0,1,measured
479,C54E,0,1,measured
480,0DE6,0,1,measured
481,56C3,0,1,measured
482,9FF3,0,1,measured
483,E9AD,0,1,measured
484,3270,0,1,measured
485,5AC5,0,1,measured
486,548B,0,1,measured
487,9CEB,0,1,measured
488,D8EC,0,1,measured
489,0F10,0,1,measured
490,57CB,0,1,measured
491,A1BB,0,1,measured
492,E8A3,0,1,measured
493,2890,0,1,measured
494,8C93,0,1,measured
495,8C93,0,1,measured
496,BBC8,0,1,measured
497,0418,0,1,measured
498,4D01,0,1,measured
499,960C,0,1,measured
500,DB52,0,1,measured
501,2896,0,1,measured
502,8A5C,0,1,measured
503,B96E,0,1,measured
504,015A,0,1,measured
505,4AEB,0,1,measured
506,93BF,0,1,measured
507,32A0,0,1,measured
508,7C75,0,1,measured
509,CD8A,0,1,measured
510,EC5F,0,1,measured
511,1E86,0,1,measured
512,6753,0,1,measured
513,F97E,0,1,measured
514,F97E,0,1,measured
515,23FA,0,1,measured
516,71A6,0,1,measured
517,BB44,0,1,measured
518,0441,0,1,measured
519,4C9D,0,1,measured
520,9723,0,1,measured
521,FA71,0,1,measured
522,28AA,0,1,measured
523,71B3,0,1,measured
524,BAF8,0,1,measured
525,041F,0,1,measured
