offset,seed,band,boots,how
6,1A1A,0,1,measured
7,4215,0,1,measured
8,8B7E,0,1,measured
9,D45A,0,1,measured
10,1D91,0,1,measured
11,66CF,0,1,measured
12,B011,0,1,measured
13,AF80,0,1,measured
14,D225,0,1,measured
15,1C71,0,1,measured
16,1C71,0,1,measured
17,63F6,0,1,measured
18,F726,0,1,measured
19,3F9E,0,1,measured
20,824E,0,1,measured
21,D08E,0,1,measured
22,F03E,0,1,measured
23,2E45,0,1,measured
24,76A6,0,1,measured
25,BFE3,0,1,measured
26,091C,0,1,measured
27,525E,0,1,measured
28,7B2A,0,1,measured
29,8E3D,0,1,measured
30,D774,0,1,measured
31,1FDA,0,1,measured
32,6911,0,1,measured
33,B251,0,1,measured
34,FB91,0,1,measured
35,40ED,0,1,measured
36,8E19,0,1,measured
37,8E19,0,1,measured
38,D75C,0,1,measured
39,209A,0,1,measured
40,1F04,0,1,measured
41,45C5,0,1,measured
42,8B5C,0,1,measured
43,D5BC,0,1,measured
44,1D67,0,1,measured
45,6601,0,1,measured
46,B7F7,0,1,measured
47,FCD3,0,1,measured
48,45E1,0,1,measured
49,8760,0,1,measured
50,C5BB,0,1,measured
51,05B3,0,1,measured
52,58C3,0,1,measured
53,A27D,0,1,measured
54,EB2F,0,1,measured
55,33A4,0,1,measured
56,ABAD,0,1,measured
57,F579,0,1,measured
58,3F9E,0,1,measured
59,894E,0,1,measured
60,D02A,0,1,measured
61,1706,0,1,measured
62,6013,0,1,measured
63,891A,0,1,measured
64,483E,0,1,measured
65,63F2,0,1,measured
66,B336,0,1,measured
67,FAC1,0,1,measured
68,44FB,0,1,measured
69,8CD8,0,1,measured
70,D8FE,0,1,measured
71,20DB,0,1,measured
72,667C,0,1,measured
73,DB94,0,1,measured
74,FC01,0,1,measured
75,466A,0,1,measured
76,8E01,0,1,measured
77,D83A,0,1,measured
78,20EB,0,1,measured
79,6AB4,0,1,measured
80,AF42,0,1,measured
81,FC36,0,1,measured
82,6F4B,0,1,measured
83,8F41,0,1,measured
84,D9A8,0,1,measured
85,23D9,0,1,measured
86,6A08,0,1,measured
87,B42C,0,1,measured
88,FE18,0,1,measured
89,FE18,0,1,measured
90,476B,0,1,measured
91,BB87,0,1,measured
92,DA8C,0,1,measured
93,24E1,0,1,measured
94,6C86,0,1,measured
95,F9E9,0,1,measured
96,48A7,0,1,measured
97,9274,0,1,measured
98,DBF7,0,1,measured
99,4E3F,0,1,measured
100,70EA,0,1,measured
101,B68B,0,1,measured
102,00D5,0,1,measured
103,48A6,0,1,measured
104,92A6,0,1,measured
105,DC67,0,1,measured
106,25E9,0,1,measured
107,9829,0,1,measured
108,B6C7,0,1,measured
109,012A,0,1,measured
110,4402,0,1,measured
111,4402,0,1,measured
112,92FF,0,1,measured
113,DADC,0,1,measured
114,24DB,0,1,measured
115,6EBD,0,1,measured
116,B83F,0,1,measured
117,2CAF,0,1,measured
118,4586,0,1,measured
119,8E8B,0,1,measured
120,D835,0,1,measured
121,699C,0,1,measured
122,B2DC,0,1,measured
123,FCA2,0,1,measured
124,4554,0,1,measured
125,81DE,0,1,measured
126,C5C4,0,1,measured
127,0D84,0,1,measured
128,56AF,0,1,measured
129,A7CC,0,1,measured
130,E9E0,0,1,measured
131,3713,0,1,measured
132,80F5,0,1,measured
133,C55D,0,1,measured
134,12E9,0,1,measured
135,5C9B,0,1,measured
136,A555,0,1,measured
137,EEC7,0,1,measured
138,1911,0,1,measured
139,4897,0,1,measured
140,880A,0,1,measured
141,DA52,0,1,measured
142,813A,0,1,measured
143,B9A3,0,1,measured
144,0481,0,1,measured
145,4E7F,0,1,measured
146,96F0,0,1,measured
147,E04C,0,1,measured
148,2A36,0,1,measured
149,72D4,0,1,measured
150,BC0A,0,1,measured
151,FD94,0,1,measured
152,3BE2,0,1,measured
153,84D4,0,1,measured
154,088B,0,1,measured
155,2C7D,0,1,measured
156,7A2D,0,1,measured
157,C3DF,0,1,measured
158,0C53,0,1,measured
159,55C3,0,1,measured
160,A0CA,0,1,measured
161,E637,0,1,measured
162,2E7C,0,1,measured
163,5BF1,0,1,measured
164,A56E,0,1,measured
165,EE33,0,1,measured
166,3756,0,1,measured
167,B3F4,0,1,measured
168,CB8F,0,1,measured
169,14D7,0,1,measured
170,599D,0,1,measured
171,A690,0,1,measured
172,EF73,0,1,measured
173,38AE,0,1,measured
174,8266,0,1,measured
175,CB93,0,1,measured
176,F605,0,1,measured
177,23D2,0,1,measured
178,6CE4,0,1,measured
179,B5A6,0,1,measured
180,6873,0,1,measured
181,9979,0,1,measured
182,E2A9,0,1,measured
183,2B75,0,1,measured
