offset,seed,band,boots,how
6,1A1A,0,1,measured
7,4215,0,1,measured
8,8B7E,0,1,measured
9,D45A,0,1,measured
10,1D91,0,1,measured
11,66CF,0,1,measured
12,B011,0,1,measured
13,AFCD,0,1,measured
14,D254,0,1,measured
15,1CB4,0,1,measured
16,1CB4,0,1,measured
17,63FD,0,1,measured
18,F74E,0,1,measured
19,3FB3,0,1,measured
20,826C,0,1,measured
21,D0A2,0,1,measured
22,F040,0,1,measured
23,2E45,0,1,measured
24,769E,0,1,measured
25,BFE3,0,1,measured
26,091C,0,1,measured
27,5267,0,1,measured
28,7B2A,0,1,measured
29,8E3D,0,1,measured
30,D774,0,1,measured
31,1FDA,0,1,measured
32,6911,0,1,measured
33,B251,0,1,measured
34,FB91,0,1,measured
35,40ED,0,1,measured
36,8E19,0,1,measured
37,8E19,0,1,measured
38,D75C,0,1,measured
39,209A,0,1,measured
40,1F50,0,1,measured
41,463C,0,1,measured
42,8B71,0,1,measured
43,D5F9,0,1,measured
44,1D7A,0,1,measured
45,6601,0,1,measured
46,B82B,0,1,measured
47,FCD3,0,1,measured
48,45E1,0,1,measured
49,8760,0,1,measured
50,C5B1,0,1,measured
51,05B3,0,1,measured
52,58D9,0,1,measured
53,A2A9,0,1,measured
54,EB50,0,1,measured
55,33AE,0,1,measured
56,ABAD,0,1,measured
57,F590,0,1,measured
58,3FBD,0,1,measured
59,8980,0,1,measured
60,D051,0,1,measured
61,1706,0,1,measured
62,6013,0,1,measured
63,891A,0,1,measured
64,488A,0,1,measured
65,6432,0,1,measured
66,B376,0,1,measured
67,FAD1,0,1,measured
68,452E,0,1,measured
69,8CF8,0,1,measured
70,D958,0,1,measured
71,212E,0,1,measured
72,667F,0,1,measured
73,DBD2,0,1,measured
74,FC36,0,1,measured
75,46B6,0,1,measured
76,8E19,0,1,measured
77,D874,0,1,measured
78,20EA,0,1,measured
79,6AFE,0,1,measured
80,AF84,0,1,measured
81,FC61,0,1,measured
82,6F8D,0,1,measured
83,8F75,0,1,measured
84,D9F6,0,1,measured
85,2425,0,1,measured
86,6A21,0,1,measured
87,B42C,0,1,measured
88,FE5D,0,1,measured
89,FE5D,0,1,measured
90,47A9,0,1,measured
91,BBCA,0,1,measured
92,DAC2,0,1,measured
93,252E,0,1,measured
94,6C9E,0,1,measured
95,FA02,0,1,measured
96,48A5,0,1,measured
97,92BB,0,1,measured
98,DC46,0,1,measured
99,4E8A,0,1,measured
100,7161,0,1,measured
101,B6A2,0,1,measured
102,010D,0,1,measured
103,48C2,0,1,measured
104,92A6,0,1,measured
105,DCBB,0,1,measured
106,2638,0,1,measured
107,9869,0,1,measured
108,B703,0,1,measured
109,0175,0,1,measured
110,4424,0,1,measured
111,4424,0,1,measured
112,932B,0,1,measured
113,DB00,0,1,measured
114,24D3,0,1,measured
115,6F00,0,1,measured
116,B88B,0,1,measured
117,2CDB,0,1,measured
118,45BA,0,1,measured
119,8ECA,0,1,measured
120,D873,0,1,measured
121,69AD,0,1,measured
122,B2FE,0,1,measured
123,FCC1,0,1,measured
124,457B,0,1,measured
125,81DE,0,1,measured
126,C5EB,0,1,measured
127,0D87,0,1,measured
128,56B8,0,1,measured
129,A7EA,0,1,measured
130,E9E0,0,1,measured
131,371C,0,1,measured
132,810E,0,1,measured
133,C55D,0,1,measured
134,12ED,0,1,measured
135,5CB9,0,1,measured
136,A55E,0,1,measured
137,EEC7,0,1,measured
138,1911,0,1,measured
139,48BD,0,1,measured
140,8822,0,1,measured
141,DA44,0,1,measured
142,815E,0,1,measured
143,B9A3,0,1,measured
144,0481,0,1,measured
145,4EA1,0,1,measured
146,96E4,0,1,measured
147,E04C,0,1,measured
148,2A4C,0,1,measured
149,72D4,0,1,measured
150,BC01,0,1,measured
151,FD94,0,1,measured
152,3BE2,0,1,measured
153,84D4,0,1,measured
154,08C1,0,1,measured
155,2CB3,0,1,measured
156,7A6F,0,1,measured
157,C415,0,1,measured
158,0C53,0,1,measured
159,55F9,0,1,measured
160,A137,0,1,measured
161,E641,0,1,measured
162,2E7C,0,1,measured
163,5BF2,0,1,measured
164,A56E,0,1,measured
165,EE36,0,1,measured
166,3756,0,1,measured
167,B42B,0,1,measured
168,CBBB,0,1,measured
169,150D,0,1,measured
170,59D4,0,1,measured
171,A6BA,0,1,measured
172,EF8B,0,1,measured
173,38CC,0,1,measured
174,8288,0,1,measured
175,CBB0,0,1,measured
176,F624,0,1,measured
177,23D3,0,1,measured
178,6CDC,0,1,measured
179,B5AF,0,1,measured
180,689B,0,1,measured
181,99AF,0,1,measured
182,E2DC,0,1,measured
183,2B75,0,1,measured
184,7531,0,1,measured
