offset,seed,band,boots,how
6,1A10,0,1,measured
7,420B,0,1,measured
8,8B81,0,1,measured
9,D443,0,1,measured
10,1D90,0,1,measured
11,66D0,0,1,measured
12,B00D,0,1,measured
13,AF80,0,1,measured
14,D213,0,1,measured
15,1C63,0,1,measured
16,1C63,0,1,measured
17,63F1,0,1,measured
18,F71F,0,1,measured
19,3F95,0,1,measured
20,824D,0,1,measured
21,D07B,0,1,measured
22,F02F,0,1,measured
23,2E41,0,1,measured
24,769C,0,1,measured
25,BFCE,0,1,measured
26,091E,0,1,measured
27,5252,0,1,measured
28,7B16,0,1,measured
29,8E2E,0,1,measured
30,D76D,0,1,measured
31,1FC8,0,1,measured
32,6910,0,1,measured
33,B250,0,1,measured
34,FB90,0,1,measured
35,40EB,0,1,measured
36,8E10,0,1,measured
37,8E10,0,1,measured
38,D74C,0,1,measured
39,2090,0,1,measured
40,1F03,0,1,measured
41,4293,0,1,measured
42,8E67,0,1,measured
43,D5B8,0,1,measured
44,1D5C,0,1,measured
45,65E8,0,1,measured
46,B7F4,0,1,measured
47,FCBF,0,1,measured
48,45DA,0,1,measured
49,875F,0,1,measured
50,C5B1,0,1,measured
51,05AF,0,1,measured
52,58B8,0,1,measured
53,A273,0,1,measured
54,EB25,0,1,measured
55,33A5,0,1,measured
56,AC0F,0,1,measured
57,F569,0,1,measured
58,3F88,0,1,measured
59,8947,0,1,measured
60,D020,0,1,measured
61,16FC,0,1,measured
62,6012,0,1,measured
63,891B,0,1,measured
64,4844,0,1,measured
65,63EF,0,1,measured
66,B322,0,1,measured
67,FAB9,0,1,measured
68,44F1,0,1,measured
69,8CD7,0,1,measured
70,D6DD,0,1,measured
71,231E,0,1,measured
72,666E,0,1,measured
73,DB88,0,1,measured
74,FBF8,0,1,measured
75,466C,0,1,measured
76,8DEE,0,1,measured
77,D839,0,1,measured
78,20D8,0,1,measured
79,6A9D,0,1,measured
80,AF3A,0,1,measured
81,FC23,0,1,measured
82,6F37,0,1,measured
83,8F2D,0,1,measured
84,D9AC,0,1,measured
85,212E,0,1,measured
86,6C97,0,1,measured
87,B420,0,1,measured
88,FE02,0,1,measured
89,FE02,0,1,measured
90,4754,0,1,measured
91,BB74,0,1,measured
92,DA81,0,1,measured
93,24DD,0,1,measured
94,6C77,0,1,measured
95,F9DF,0,1,measured
96,489D,0,1,measured
97,9269,0,1,measured
98,DBE5,0,1,measured
99,4E2E,0,1,measured
100,6DBE,0,1,measured
101,B9A3,0,1,measured
102,00CB,0,1,measured
103,489D,0,1,measured
104,92A4,0,1,measured
105,DC69,0,1,measured
106,25E3,0,1,measured
107,980E,0,1,measured
108,B6C6,0,1,measured
109,0113,0,1,measured
110,4405,0,1,measured
111,4405,0,1,measured
112,92F0,0,1,measured
113,DADB,0,1,measured
114,24D6,0,1,measured
115,6EB0,0,1,measured
116,B82C,0,1,measured
117,2E49,0,1,measured
118,456F,0,1,measured
119,8EEF,0,1,measured
120,D77B,0,1,measured
121,698E,0,1,measured
122,B33D,0,1,measured
123,FC24,0,1,measured
124,449F,0,1,measured
125,82ED,0,1,measured
126,C4A9,0,1,measured
127,0D7D,0,1,measured
128,57BA,0,1,measured
129,A6B3,0,1,measured
130,E998,0,1,measured
131,37EC,0,1,measured
132,8059,0,1,measured
133,C54A,0,1,measured
134,1375,0,1,measured
135,5C04,0,1,measured
136,A554,0,1,measured
137,EEBF,0,1,measured
138,1998,0,1,measured
139,488E,0,1,measured
140,8778,0,1,measured
141,DADD,0,1,measured
142,809B,0,1,measured
143,B999,0,1,measured
144,050C,0,1,measured
145,4D9F,0,1,measured
146,9733,0,1,measured
147,E0D8,0,1,measured
148,29A0,0,1,measured
149,72C8,0,1,measured
150,BC02,0,1,measured
151,FD8A,0,1,measured
152,3BD8,0,1,measured
153,84CA,0,1,measured
154,088C,0,1,measured
155,2C78,0,1,measured
156,7A20,0,1,measured
157,C3DD,0,1,measured
158,0C49,0,1,measured
159,55B9,0,1,measured
160,9EF8,0,1,measured
161,E8A0,0,1,measured
162,2F60,0,1,measured
163,5BE4,0,1,measured
164,A561,0,1,measured
165,EE29,0,1,measured
166,3755,0,1,measured
167,B3EA,0,1,measured
168,CB7C,0,1,measured
169,14DB,0,1,measured
170,598F,0,1,measured
171,A686,0,1,measured
172,EF69,0,1,measured
173,38B0,0,1,measured
174,825C,0,1,measured
175,CB41,0,1,measured
176,F64A,0,1,measured
177,23C2,0,1,measured
178,6CDA,0,1,measured
179,B5A5,0,1,measured
180,685B,0,1,measured
181,9979,0,1,measured
182,E29E,0,1,measured
183,2B7A,0,1,measured
184,74EE,0,1,measured
185,B9F5,0,1,measured
186,0532,0,1,measured
187,69B7,0,1,measured
188,9A3B,0,1,measured
189,E35C,0,1,measured
190,2C38,0,1,measured
191,7774,0,1,measured
192,BCCC,0,1,measured
193,296F,0,1,measured
194,50DE,0,1,measured
195,9DA7,0,1,measured
196,E9BA,0,1,measured
197,2FEB,0,1,measured
198,79A6,0,1,measured
199,C41B,0,1,measured
200,0075,0,1,measured
201,5231,0,1,measured
202,93BE,0,1,measured
203,D545,0,1,measured
204,1ABC,0,1,measured
205,6410,0,1,measured
206,E7AA,0,1,measured
207,1900,0,1,measured
208,627C,0,1,measured
209,AE08,0,1,measured
210,F459,0,1,measured
211,3DC0,0,1,measured
212,8AE1,0,1,measured
213,CE3A,0,1,measured
214,165C,0,1,measured
215,367C,0,1,measured
216,8BF9,0,1,measured
217,D168,0,1,measured
218,1AC7,0,1,measured
219,9DDB,0,1,measured
220,C262,0,1,measured
221,0D8A,0,1,measured
222,5478,0,1,measured
223,9D34,0,1,measured
224,E682,0,1,measured
225,302C,0,1,measured
226,78FD,0,1,measured
227,C189,0,1,measured
228,E88F,0,1,measured
229,25F4,0,1,measured
