offset,seed,band,boots,how
6,1A10,0,1,measured
7,420B,0,1,measured
8,8B78,0,1,measured
9,D44C,0,1,measured
10,1D92,0,1,measured
11,66D0,0,1,measured
12,B005,0,1,measured
13,AF76,0,1,measured
14,D211,0,1,measured
15,1C6E,0,1,measured
16,1C6E,0,1,measured
17,63F1,0,1,measured
18,F71C,0,1,measured
19,3F94,0,1,measured
20,8244,0,1,measured
21,D084,0,1,measured
22,F038,0,1,measured
23,2E41,0,1,measured
24,7695,0,1,measured
25,BFDA,0,1,measured
26,091D,0,1,measured
27,5252,0,1,measured
28,7B16,0,1,measured
29,8E2E,0,1,measured
30,D76F,0,1,measured
31,1FC8,0,1,measured
32,6910,0,1,measured
33,B247,0,1,measured
34,FB87,0,1,measured
35,40E3,0,1,measured
36,8E07,0,1,measured
37,8E07,0,1,measured
38,D743,0,1,measured
39,2090,0,1,measured
40,1F03,0,1,measured
41,4291,0,1,measured
42,8E74,0,1,measured
43,D5B1,0,1,measured
44,1D69,0,1,measured
45,65F5,0,1,measured
46,B7F8,0,1,measured
47,FCC9,0,1,measured
48,45D7,0,1,measured
49,875F,0,1,measured
50,C5B1,0,1,measured
51,05AC,0,1,measured
52,58B5,0,1,measured
53,A273,0,1,measured
54,EB25,0,1,measured
55,33A4,0,1,measured
56,AC0F,0,1,measured
57,F571,0,1,measured
58,3F91,0,1,measured
59,8944,0,1,measured
60,D020,0,1,measured
61,16FC,0,1,measured
62,6009,0,1,measured
63,8910,0,1,measured
64,4837,0,1,measured
65,63EE,0,1,measured
66,B32C,0,1,measured
67,FAB7,0,1,measured
68,44F1,0,1,measured
69,8CCE,0,1,measured
70,D6D3,0,1,measured
71,2316,0,1,measured
72,6664,0,1,measured
73,DB89,0,1,measured
74,FBF7,0,1,measured
75,4660,0,1,measured
76,8DF7,0,1,measured
77,D830,0,1,measured
78,20E3,0,1,measured
79,6A9D,0,1,measured
80,AF3B,0,1,measured
81,FC2C,0,1,measured
82,6F41,0,1,measured
83,8F37,0,1,measured
84,D9AC,0,1,measured
85,2137,0,1,measured
86,6C95,0,1,measured
87,B419,0,1,measured
88,FE06,0,1,measured
89,FE06,0,1,measured
90,4761,0,1,measured
91,BB74,0,1,measured
92,DA82,0,1,measured
93,24D9,0,1,measured
94,6C75,0,1,measured
95,F9DF,0,1,measured
96,489D,0,1,measured
97,926A,0,1,measured
98,DBED,0,1,measured
99,4E3A,0,1,measured
100,6DB4,0,1,measured
101,B9A5,0,1,measured
102,00D8,0,1,measured
103,48A3,0,1,measured
104,92A9,0,1,measured
105,DC5D,0,1,measured
106,25E4,0,1,measured
107,9817,0,1,measured
108,B6C8,0,1,measured
109,0115,0,1,measured
110,43F8,0,1,measured
111,43F8,0,1,measured
112,92F5,0,1,measured
113,DAD2,0,1,measured
114,24D2,0,1,measured
115,6EAF,0,1,measured
116,B836,0,1,measured
117,2E49,0,1,measured
118,4579,0,1,measured
119,8EEF,0,1,measured
120,D772,0,1,measured
121,698E,0,1,measured
122,B345,0,1,measured
123,FC2E,0,1,measured
124,449F,0,1,measured
125,82ED,0,1,measured
126,C4AB,0,1,measured
127,0D7D,0,1,measured
128,57C5,0,1,measured
129,A6B3,0,1,measured
130,E998,0,1,measured
131,37EE,0,1,measured
132,8059,0,1,measured
133,C54A,0,1,measured
134,136A,0,1,measured
135,5C04,0,1,measured
136,A54C,0,1,measured
137,EEBF,0,1,measured
138,1998,0,1,measured
139,488D,0,1,measured
140,876E,0,1,measured
141,DADD,0,1,measured
142,809B,0,1,measured
143,B98E,0,1,measured
144,0507,0,1,measured
145,4D96,0,1,measured
146,9729,0,1,measured
147,E0D9,0,1,measured
148,29A0,0,1,measured
149,72BC,0,1,measured
150,BC01,0,1,measured
151,FD8D,0,1,measured
152,3BD8,0,1,measured
153,84CA,0,1,measured
154,0881,0,1,measured
155,2C77,0,1,measured
156,7A28,0,1,measured
157,C3D5,0,1,measured
158,0C49,0,1,measured
159,55B9,0,1,measured
160,9EEE,0,1,measured
161,E896,0,1,measured
162,2F61,0,1,measured
163,5BEE,0,1,measured
164,A561,0,1,measured
165,EE2C,0,1,measured
166,374C,0,1,measured
167,B3EA,0,1,measured
168,CB85,0,1,measured
169,14D1,0,1,measured
170,5991,0,1,measured
171,A686,0,1,measured
172,EF69,0,1,measured
173,38A4,0,1,measured
174,825C,0,1,measured
175,CB41,0,1,measured
176,F64A,0,1,measured
177,23C2,0,1,measured
178,6CD3,0,1,measured
179,B5A5,0,1,measured
180,6869,0,1,measured
181,996F,0,1,measured
182,E29F,0,1,measured
183,2B6D,0,1,measured
184,74E6,0,1,measured
185,B9F5,0,1,measured
186,053D,0,1,measured
187,69BA,0,1,measured
188,9A42,0,1,measured
189,E354,0,1,measured
190,2C2E,0,1,measured
191,776A,0,1,measured
192,BCD6,0,1,measured
193,296F,0,1,measured
194,50DE,0,1,measured
195,9D9A,0,1,measured
196,E9BB,0,1,measured
197,2FFA,0,1,measured
198,79A5,0,1,measured
199,C41C,0,1,measured
200,0075,0,1,measured
201,522E,0,1,measured
202,93BE,0,1,measured
203,D53B,0,1,measured
204,1AB4,0,1,measured
205,641B,0,1,measured
206,E79F,0,1,measured
207,18F8,0,1,measured
208,6284,0,1,measured
209,AE07,0,1,measured
210,F450,0,1,measured
211,3DC0,0,1,measured
212,8AD9,0,1,measured
213,CE3C,0,1,measured
214,165C,0,1,measured
215,3675,0,1,measured
216,8BFC,0,1,measured
217,D170,0,1,measured
218,1AC7,0,1,measured
219,9DD0,0,1,measured
220,C25B,0,1,measured
221,0D82,0,1,measured
222,5477,0,1,measured
223,9D34,0,1,measured
224,E683,0,1,measured
225,3037,0,1,measured
226,78F5,0,1,measured
227,C189,0,1,measured
228,E88F,0,1,measured
229,25F6,0,1,measured
