offset,seed,band,boots,how
6,2110,0,1,measured
7,490B,0,1,measured
8,9281,0,1,measured
9,DB43,0,1,measured
10,2490,0,1,measured
11,6DD0,0,1,measured
12,B710,0,1,measured
13,B67E,0,1,measured
14,D913,0,1,measured
15,2363,0,1,measured
16,2363,0,1,measured
17,6AF1,0,1,measured
18,FE1F,0,1,measured
19,4695,0,1,measured
20,894D,0,1,measured
21,D77B,0,1,measured
22,F72F,0,1,measured
23,3541,0,1,measured
24,7D9C,0,1,measured
25,C6CE,0,1,measured
26,101E,0,1,measured
27,5954,0,1,measured
28,8214,0,1,measured
29,952E,0,1,measured
30,DE6D,0,1,measured
31,26C8,0,1,measured
32,7010,0,1,measured
33,B950,0,1,measured
34,0290,0,1,measured
35,47EB,0,1,measured
36,9510,0,1,measured
37,9510,0,1,measured
38,DE4C,0,1,measured
39,2790,0,1,measured
40,2603,0,1,measured
41,4993,0,1,measured
42,93E3,0,1,measured
43,DE48,0,1,measured
44,2469,0,1,measured
45,6CE8,0,1,measured
46,BDDC,0,1,measured
47,03BF,0,1,measured
48,4CDA,0,1,measured
49,8E5F,0,1,measured
50,CCB1,0,1,measured
51,0CAF,0,1,measured
52,5FB8,0,1,measured
53,A973,0,1,measured
54,F19C,0,1,measured
55,3AA5,0,1,measured
56,B2A5,0,1,measured
57,FCD7,0,1,measured
58,468F,0,1,measured
59,903C,0,1,measured
60,D720,0,1,measured
61,1E08,0,1,measured
62,6709,0,1,measured
63,901B,0,1,measured
64,4F44,0,1,measured
65,6AEF,0,1,measured
66,BA22,0,1,measured
67,01B9,0,1,measured
68,4BF1,0,1,measured
69,93D7,0,1,measured
70,DDDD,0,1,measured
71,27A1,0,1,measured
72,7130,0,1,measured
73,E3D0,0,1,measured
74,02F8,0,1,measured
75,4D6C,0,1,measured
76,94EE,0,1,measured
77,DF39,0,1,measured
78,27D8,0,1,measured
79,719D,0,1,measured
80,B63A,0,1,measured
81,0323,0,1,measured
82,7637,0,1,measured
83,962D,0,1,measured
84,E0AC,0,1,measured
85,282E,0,1,measured
86,7278,0,1,measured
87,BD45,0,1,measured
88,04E8,0,1,measured
89,04E8,0,1,measured
90,4D1A,0,1,measured
91,C20E,0,1,measured
92,E181,0,1,measured
93,2BDD,0,1,measured
94,7377,0,1,measured
95,00DF,0,1,measured
96,4F9D,0,1,measured
97,9969,0,1,measured
98,E2E5,0,1,measured
99,552E,0,1,measured
100,74BE,0,1,measured
101,BF1F,0,1,measured
102,0956,0,1,measured
103,4F9A,0,1,measured
104,99A4,0,1,measured
105,E38B,0,1,measured
106,2CD7,0,1,measured
107,9F0E,0,1,measured
108,BDC6,0,1,measured
109,0813,0,1,measured
110,4B05,0,1,measured
111,4B05,0,1,measured
112,99F0,0,1,measured
113,E1DB,0,1,measured
114,2BD0,0,1,measured
115,75B0,0,1,measured
116,BF2C,0,1,measured
117,33A7,0,1,measured
118,4E19,0,1,measured
119,95F6,0,1,measured
120,DE72,0,1,measured
121,708E,0,1,measured
122,BA3D,0,1,measured
123,0324,0,1,measured
124,4B9F,0,1,measured
125,89ED,0,1,measured
126,CBA9,0,1,measured
127,147D,0,1,measured
128,5EBA,0,1,measured
129,ADB3,0,1,measured
130,F098,0,1,measured
131,3E14,0,1,measured
132,883B,0,1,measured
133,CC51,0,1,measured
134,1A75,0,1,measured
135,6304,0,1,measured
136,AC54,0,1,measured
137,F5BC,0,1,measured
138,20A1,0,1,measured
139,4F8E,0,1,measured
140,8E78,0,1,measured
141,E1DD,0,1,measured
142,87A6,0,1,measured
143,C099,0,1,measured
144,0C0C,0,1,measured
145,549F,0,1,measured
146,9DE7,0,1,measured
147,E821,0,1,measured
148,309F,0,1,measured
149,79BC,0,1,measured
150,C2FD,0,1,measured
151,048A,0,1,measured
152,42D8,0,1,measured
153,8BCA,0,1,measured
154,0F8C,0,1,measured
155,3378,0,1,measured
156,8120,0,1,measured
157,CADD,0,1,measured
