offset,seed,band,boots,how
6,2110,0,1,measured
7,490B,0,1,measured
8,9281,0,1,measured
9,DB43,0,1,measured
10,2490,0,1,measured
11,6DD0,0,1,measured
12,B710,0,1,measured
13,B6CA,0,1,measured
14,D94A,0,1,measured
15,23AE,0,1,measured
16,23AE,0,1,measured
17,6AE3,0,1,measured
18,FE4D,0,1,measured
19,46A4,0,1,measured
20,896C,0,1,measured
21,D7A5,0,1,measured
22,F738,0,1,measured
23,3541,0,1,measured
24,7D9C,0,1,measured
25,C6CE,0,1,measured
26,101E,0,1,measured
27,5954,0,1,measured
28,8214,0,1,measured
29,952E,0,1,measured
30,DE6D,0,1,measured
31,26C8,0,1,measured
32,7010,0,1,measured
33,B950,0,1,measured
34,0290,0,1,measured
35,47EB,0,1,measured
36,9510,0,1,measured
37,9510,0,1,measured
38,DE4C,0,1,measured
39,2790,0,1,measured
40,264F,0,1,measured
41,49D2,0,1,measured
42,9437,0,1,measured
43,DE87,0,1,measured
44,2480,0,1,measured
45,6CE8,0,1,measured
46,BDEE,0,1,measured
47,03BF,0,1,measured
48,4CDA,0,1,measured
49,8E5F,0,1,measured
50,CCB1,0,1,measured
51,0CAF,0,1,measured
52,5FCC,0,1,measured
53,A9A2,0,1,measured
54,F19C,0,1,measured
55,3AA5,0,1,measured
56,B2A5,0,1,measured
57,FCED,0,1,measured
58,46AD,0,1,measured
59,9074,0,1,measured
60,D73C,0,1,measured
61,1DFC,0,1,measured
62,6712,0,1,measured
63,901B,0,1,measured
64,4F90,0,1,measured
65,6B1A,0,1,measured
66,BA75,0,1,measured
67,01CE,0,1,measured
68,4C2B,0,1,measured
69,93EF,0,1,measured
70,DDDC,0,1,measured
71,27E4,0,1,measured
72,716F,0,1,measured
73,E41C,0,1,measured
74,032C,0,1,measured
75,4DB5,0,1,measured
76,950E,0,1,measured
77,DF6A,0,1,measured
78,27D8,0,1,measured
79,71E9,0,1,measured
80,B685,0,1,measured
81,0357,0,1,measured
82,7683,0,1,measured
83,966C,0,1,measured
84,E0F5,0,1,measured
85,284E,0,1,measured
86,72A9,0,1,measured
87,BD84,0,1,measured
88,0543,0,1,measured
89,0543,0,1,measured
90,4D51,0,1,measured
91,C24F,0,1,measured
92,E1B4,0,1,measured
93,2C2A,0,1,measured
94,7398,0,1,measured
95,00EE,0,1,measured
96,4F94,0,1,measured
97,99B5,0,1,measured
98,E333,0,1,measured
99,557B,0,1,measured
100,74F3,0,1,measured
101,BF6C,0,1,measured
102,09A9,0,1,measured
103,4FBC,0,1,measured
104,99A8,0,1,measured
105,E3DB,0,1,measured
106,2D28,0,1,measured
107,9F63,0,1,measured
108,BDFD,0,1,measured
109,086B,0,1,measured
110,4B1A,0,1,measured
111,4B1A,0,1,measured
112,9A28,0,1,measured
113,E1F6,0,1,measured
114,2BD0,0,1,measured
115,75F3,0,1,measured
116,BF78,0,1,measured
117,33D4,0,1,measured
118,4E85,0,1,measured
119,962E,0,1,measured
120,DE99,0,1,measured
121,70A4,0,1,measured
122,BA56,0,1,measured
123,034B,0,1,measured
124,4B97,0,1,measured
125,8A0B,0,1,measured
126,CBA1,0,1,measured
127,1473,0,1,measured
128,5ED8,0,1,measured
129,ADB3,0,1,measured
130,F098,0,1,measured
131,3E14,0,1,measured
132,8854,0,1,measured
133,CC51,0,1,measured
134,1A93,0,1,measured
135,62FC,0,1,measured
136,AC54,0,1,measured
137,F5BC,0,1,measured
138,20B1,0,1,measured
139,4FA6,0,1,measured
140,8E78,0,1,measured
141,E1E8,0,1,measured
142,87A4,0,1,measured
143,C098,0,1,measured
144,0C2E,0,1,measured
145,549F,0,1,measured
146,9DE7,0,1,measured
147,E83B,0,1,measured
148,3096,0,1,measured
149,79C5,0,1,measured
150,C2FD,0,1,measured
151,048A,0,1,measured
152,42D8,0,1,measured
153,8BD4,0,1,measured
154,0FC2,0,1,measured
155,33AE,0,1,measured
156,815D,0,1,measured
