offset,seed,band,boots,how
6,211A,0,1,measured
7,4915,0,1,measured
8,9282,0,1,measured
9,DB56,0,1,measured
10,249C,0,1,measured
11,6DDA,0,1,measured
12,B711,0,1,measured
13,B67F,0,1,measured
14,D91B,0,1,measured
15,2378,0,1,measured
16,2378,0,1,measured
17,6AEF,0,1,measured
18,FE26,0,1,measured
19,469E,0,1,measured
20,894E,0,1,measured
21,D78E,0,1,measured
22,F742,0,1,measured
23,354B,0,1,measured
24,7D9F,0,1,measured
25,C6E4,0,1,measured
26,1027,0,1,measured
27,595E,0,1,measured
28,821E,0,1,measured
29,9541,0,1,measured
30,DE79,0,1,measured
31,26D1,0,1,measured
32,701A,0,1,measured
33,B951,0,1,measured
34,0291,0,1,measured
35,47ED,0,1,measured
36,9511,0,1,measured
37,9511,0,1,measured
38,DE4D,0,1,measured
39,279A,0,1,measured
40,260D,0,1,measured
41,499B,0,1,measured
42,93F8,0,1,measured
43,DE51,0,1,measured
44,2473,0,1,measured
45,6D01,0,1,measured
46,BDDA,0,1,measured
47,03D3,0,1,measured
48,4CE1,0,1,measured
49,8E60,0,1,measured
50,CCB1,0,1,measured
51,0CB6,0,1,measured
52,5FBF,0,1,measured
53,A97D,0,1,measured
54,F19E,0,1,measured
55,3AAE,0,1,measured
56,B2AF,0,1,measured
57,FCE9,0,1,measured
58,4690,0,1,measured
59,9051,0,1,measured
60,D72A,0,1,measured
61,1E06,0,1,measured
62,6713,0,1,measured
63,901A,0,1,measured
64,4F41,0,1,measured
65,6AF8,0,1,measured
66,BA36,0,1,measured
67,01C1,0,1,measured
68,4BFB,0,1,measured
69,93D8,0,1,measured
70,DDDD,0,1,measured
71,27A5,0,1,measured
72,7137,0,1,measured
73,E3DA,0,1,measured
74,0301,0,1,measured
75,4D6A,0,1,measured
76,9501,0,1,measured
77,DF40,0,1,measured
78,27ED,0,1,measured
79,71A7,0,1,measured
80,B644,0,1,measured
81,0336,0,1,measured
82,764B,0,1,measured
83,9641,0,1,measured
84,E0B6,0,1,measured
85,2841,0,1,measured
86,727D,0,1,measured
87,BD45,0,1,measured
88,04FE,0,1,measured
89,04FE,0,1,measured
90,4D1A,0,1,measured
91,C20F,0,1,measured
92,E18C,0,1,measured
93,2BF1,0,1,measured
94,737F,0,1,measured
95,00E9,0,1,measured
96,4FA7,0,1,measured
97,9974,0,1,measured
98,E2F7,0,1,measured
99,5544,0,1,measured
100,74BE,0,1,measured
101,BF25,0,1,measured
102,0961,0,1,measured
103,4FA4,0,1,measured
104,99B2,0,1,measured
105,E392,0,1,measured
106,2CEE,0,1,measured
107,9F21,0,1,measured
108,BDD2,0,1,measured
109,081F,0,1,measured
110,4B02,0,1,measured
111,4B02,0,1,measured
112,99FF,0,1,measured
113,E1DC,0,1,measured
114,2BDC,0,1,measured
115,75B9,0,1,measured
116,BF40,0,1,measured
117,33B1,0,1,measured
118,4E1A,0,1,measured
119,9600,0,1,measured
120,DE85,0,1,measured
121,7098,0,1,measured
122,BA4F,0,1,measured
123,0338,0,1,measured
124,4BA9,0,1,measured
125,89F7,0,1,measured
126,CBB5,0,1,measured
127,1487,0,1,measured
128,5ECF,0,1,measured
129,ADBD,0,1,measured
130,F0A2,0,1,measured
131,3E1F,0,1,measured
132,8848,0,1,measured
133,CC52,0,1,measured
134,1A80,0,1,measured
135,630E,0,1,measured
136,AC56,0,1,measured
137,F5C9,0,1,measured
138,20A2,0,1,measured
139,4F97,0,1,measured
140,8E78,0,1,measured
141,E1E7,0,1,measured
142,87A5,0,1,measured
143,C098,0,1,measured
144,0C11,0,1,measured
145,54A0,0,1,measured
146,9DE9,0,1,measured
147,E824,0,1,measured
148,30A0,0,1,measured
149,79C6,0,1,measured
150,C30A,0,1,measured
151,0497,0,1,measured
152,42E2,0,1,measured
153,8BD4,0,1,measured
154,0F8B,0,1,measured
155,3381,0,1,measured
156,8132,0,1,measured
157,CADF,0,1,measured
158,1353,0,1,measured
159,5CC3,0,1,measured
160,A5F8,0,1,measured
161,EFA0,0,1,measured
162,366E,0,1,measured
163,62F6,0,1,measured
164,AC6B,0,1,measured
165,F536,0,1,measured
166,3E62,0,1,measured
167,BAF4,0,1,measured
168,D28F,0,1,measured
169,1BDB,0,1,measured
170,609B,0,1,measured
171,AD90,0,1,measured
172,F673,0,1,measured
173,3FAE,0,1,measured
174,8966,0,1,measured
175,D24B,0,1,measured
176,FBF2,0,1,measured
177,2C30,0,1,measured
178,73DB,0,1,measured
179,BCA6,0,1,measured
180,6F73,0,1,measured
181,A079,0,1,measured
182,E9A9,0,1,measured
183,3277,0,1,measured
184,7BF0,0,1,measured
185,C108,0,1,measured
186,0C47,0,1,measured
187,70C4,0,1,measured
188,A14C,0,1,measured
189,EA5E,0,1,measured
190,3338,0,1,measured
191,7CA4,0,1,measured
192,C652,0,1,measured
193,314F,0,1,measured
194,57E8,0,1,measured
195,A4B3,0,1,measured
196,F0C5,0,1,measured
197,36F9,0,1,measured
198,80AF,0,1,measured
199,CB1D,0,1,measured
200,077F,0,1,measured
201,5938,0,1,measured
202,9AC8,0,1,measured
203,DC45,0,1,measured
204,21BE,0,1,measured
205,6B25,0,1,measured
206,ED07,0,1,measured
207,21A2,0,1,measured
208,6982,0,1,measured
209,B511,0,1,measured
210,FB63,0,1,measured
211,44CA,0,1,measured
212,91EB,0,1,measured
213,D546,0,1,measured
214,1D66,0,1,measured
215,3D7F,0,1,measured
216,9306,0,1,measured
217,D87A,0,1,measured
218,21D1,0,1,measured
219,A4DA,0,1,measured
220,C965,0,1,measured
221,1280,0,1,measured
222,5D8A,0,1,measured
223,A43C,0,1,measured
224,ED8D,0,1,measured
225,3740,0,1,measured
226,7FFF,0,1,measured
227,C893,0,1,measured
228,EF99,0,1,measured
229,2D00,0,1,measured
230,70E7,0,1,measured
231,BF9D,0,1,measured
232,0ADA,0,1,measured
233,5000,0,1,measured
234,98C5,0,1,measured
235,E290,0,1,measured
236,2B3A,0,1,measured
237,7551,0,1,measured
238,BDC4,0,1,measured
239,06F6,0,1,measured
240,5040,0,1,measured
241,7BB4,0,1,measured
242,A677,0,1,measured
243,EEF6,0,1,measured
244,BC9B,0,1,measured
245,CD59,0,1,measured
246,1B3B,0,1,measured
247,64ED,0,1,measured
248,AC8E,0,1,measured
249,F67D,0,1,measured
250,3F00,0,1,measured
251,895A,0,1,measured
252,D264,0,1,measured
253,1344,0,1,measured
254,517B,0,1,measured
255,9A63,0,1,measured
256,E382,0,1,measured
257,79C1,0,1,measured
258,AFC6,0,1,measured
259,F8EF,0,1,measured
260,3E14,0,1,measured
261,8BC5,0,1,measured
262,D3E3,0,1,measured
263,1DDE,0,1,measured
264,6663,0,1,measured
265,B055,0,1,measured
266,B055,0,1,measured
267,DC92,0,1,measured
268,358D,0,1,measured
269,72A5,0,1,measured
270,BBFA,0,1,measured
271,3026,0,1,measured
272,6CF0,0,1,measured
273,B4D4,0,1,measured
274,FDB6,0,1,measured
275,46EF,0,1,measured
276,8BB9,0,1,measured
277,DA0D,0,1,measured
278,22AC,0,1,measured
279,6BEF,0,1,measured
280,B18D,0,1,measured
281,FA17,0,1,measured
282,40C1,0,1,measured
283,EFE7,0,1,measured
284,1B22,0,1,measured
285,642E,0,1,measured
286,AD13,0,1,measured
287,F686,0,1,measured
288,4015,0,1,measured
289,A2CD,0,1,measured
290,CDF5,0,1,measured
291,1BA3,0,1,measured
292,6567,0,1,measured
293,ADE5,0,1,measured
294,F750,0,1,measured
295,4090,0,1,measured
296,A6DC,0,1,measured
297,D888,0,1,measured
298,748C,0,1,measured
299,BEAA,0,1,measured
300,0801,0,1,measured
301,50E5,0,1,measured
302,8C0D,0,1,measured
303,D469,0,1,measured
304,11D6,0,1,measured
305,11D6,0,1,measured
306,545C,0,1,measured
307,9D27,0,1,measured
308,E66B,0,1,measured
309,665C,0,1,measured
310,9265,0,1,measured
311,DB7F,0,1,measured
312,25C4,0,1,measured
313,6E27,0,1,measured
314,B506,0,1,measured
315,1479,0,1,measured
316,489E,0,1,measured
317,C5E2,0,1,measured
318,0ED6,0,1,measured
319,534E,0,1,measured
320,A0C8,0,1,measured
321,1E2E,0,1,measured
322,4159,0,1,measured
323,8A78,0,1,measured
324,8A78,0,1,measured
325,D422,0,1,measured
326,1CBD,0,1,measured
327,6686,0,1,measured
328,AF21,0,1,measured
329,F80B,0,1,measured
330,4092,0,1,measured
331,8380,0,1,measured
332,C088,0,1,measured
333,0970,0,1,measured
334,529E,0,1,measured
335,9758,0,1,measured
336,3A04,0,1,measured
337,83EB,0,1,measured
338,CC8F,0,1,measured
339,15DF,0,1,measured
340,53D3,0,1,measured
341,9CD3,0,1,measured
342,C83F,0,1,measured
343,C83F,0,1,measured
344,F60D,0,1,measured
345,3E74,0,1,measured
346,8740,0,1,measured
347,37E4,0,1,measured
348,6919,0,1,measured
349,B5B8,0,1,measured
350,F22C,0,1,measured
351,4B81,0,1,measured
352,9169,0,1,measured
353,DAC7,0,1,measured
354,284F,0,1,measured
355,B914,0,1,measured
356,F91F,0,1,measured
357,3F7F,0,1,measured
358,88E7,0,1,measured
359,F418,0,1,measured
360,2FD5,0,1,measured
361,7845,0,1,measured
362,7845,0,1,measured
363,C4D1,0,1,measured
364,0AD7,0,1,measured
365,4695,0,1,measured
366,9D65,0,1,measured
367,EADD,0,1,measured
368,3087,0,1,measured
369,5D10,0,1,measured
370,A9D6,0,1,measured
371,EF79,0,1,measured
372,392D,0,1,measured
373,B84F,0,1,measured
374,38D0,0,1,measured
375,823D,0,1,measured
376,CABA,0,1,measured
377,13E7,0,1,measured
378,32FD,0,1,measured
379,7805,0,1,measured
380,C5C1,0,1,measured
381,C5C1,0,1,measured
382,F3D1,0,1,measured
383,20D3,0,1,measured
384,68BE,0,1,measured
385,B190,0,1,measured
386,5A09,0,1,measured
387,9435,0,1,measured
388,DD1B,0,1,measured
389,26FA,0,1,measured
390,6F91,0,1,measured
391,B8DA,0,1,measured
392,12C6,0,1,measured
393,A0D7,0,1,measured
394,E574,0,1,measured
395,33FE,0,1,measured
396,7C97,0,1,measured
397,B98F,0,1,measured
398,1915,0,1,measured
399,4F97,0,1,measured
400,4F97,0,1,measured
401,98AF,0,1,measured
402,E2DB,0,1,measured
403,2B2D,0,1,measured
404,746D,0,1,measured
405,BE4B,0,1,measured
406,06F2,0,1,measured
407,5036,0,1,measured
408,91E9,0,1,measured
409,D026,0,1,measured
410,0FC7,0,1,measured
411,6228,0,1,measured
412,1C28,0,1,measured
413,64BA,0,1,measured
414,ADD1,0,1,measured
415,F71A,0,1,measured
416,358A,0,1,measured
417,8B1E,0,1,measured
418,C9A1,0,1,measured
419,C9A1,0,1,measured
420,1222,0,1,measured
421,3AE0,0,1,measured
422,8460,0,1,measured
423,CD20,0,1,measured
424,4989,0,1,measured
425,670A,0,1,measured
426,B49F,0,1,measured
427,FE5D,0,1,measured
428,46BE,0,1,measured
429,8FB7,0,1,measured
430,D8FC,0,1,measured
431,780A,0,1,measured
432,B98C,0,1,measured
433,F68C,0,1,measured
434,3F5E,0,1,measured
435,7CD3,0,1,measured
436,C61F,0,1,measured
437,0F47,0,1,measured
438,0F47,0,1,measured
439,5884,0,1,measured
440,9DF0,0,1,measured
441,EB17,0,1,measured
442,3449,0,1,measured
443,7E04,0,1,measured
444,C6C4,0,1,measured
445,101C,0,1,measured
446,3D79,0,1,measured
447,6D28,0,1,measured
448,B541,0,1,measured
449,FEBD,0,1,measured
450,EC40,0,1,measured
451,386E,0,1,measured
452,833D,0,1,measured
453,C8E3,0,1,measured
454,FBFE,0,1,measured
455,5360,0,1,measured
456,A041,0,1,measured
457,A041,0,1,measured
458,E573,0,1,measured
459,26FF,0,1,measured
460,6878,0,1,measured
461,ADFB,0,1,measured
462,F83E,0,1,measured
463,6837,0,1,measured
464,A3F8,0,1,measured
465,E84E,0,1,measured
466,406D,0,1,measured
467,7B4D,0,1,measured
468,C59F,0,1,measured
469,5ADA,0,1,measured
470,AC03,0,1,measured
471,D949,0,1,measured
472,2CFF,0,1,measured
473,61C6,0,1,measured
474,AC0D,0,1,measured
475,0683,0,1,measured
476,0683,0,1,measured
477,3AFA,0,1,measured
478,82FD,0,1,measured
479,CB84,0,1,measured
480,1478,0,1,measured
481,5DB2,0,1,measured
482,A761,0,1,measured
483,F03B,0,1,measured
484,38C6,0,1,measured
485,62D4,0,1,measured
486,5A74,0,1,measured
487,A3E3,0,1,measured
488,DFE2,0,1,measured
489,15B6,0,1,measured
490,5EBF,0,1,measured
491,A8FA,0,1,measured
492,EF99,0,1,measured
493,2F91,0,1,measured
494,9393,0,1,measured
495,9393,0,1,measured
496,C2C2,0,1,measured
497,0B10,0,1,measured
498,5406,0,1,measured
499,9D09,0,1,measured
500,E242,0,1,measured
501,2F85,0,1,measured
502,915E,0,1,measured
503,C05C,0,1,measured
504,0851,0,1,measured
505,51A7,0,1,measured
506,9BD7,0,1,measured
507,3998,0,1,measured
508,836D,0,1,measured
509,D482,0,1,measured
510,F354,0,1,measured
511,2578,0,1,measured
512,6E4F,0,1,measured
513,006B,0,1,measured
514,006B,0,1,measured
515,2AFE,0,1,measured
516,78A1,0,1,measured
517,C23C,0,1,measured
518,0B42,0,1,measured
519,5399,0,1,measured
520,9DD8,0,1,measured
521,0161,0,1,measured
522,2FE1,0,1,measured
523,78A9,0,1,measured
524,C1FA,0,1,measured
525,0B17,0,1,measured
526,D333,0,1,measured
527,F8C6,0,1,measured
528,41CF,0,1,measured
529,86B9,0,1,measured
530,C7CF,0,1,measured
531,1094,0,1,measured
532,59DF,0,1,measured
533,59DF,0,1,measured
534,A395,0,1,measured
535,EC60,0,1,measured
