offset,seed,band,boots,how
6,211A,0,1,measured
7,4915,0,1,measured
8,9282,0,1,measured
9,DB56,0,1,measured
10,249C,0,1,measured
11,6DDA,0,1,measured
12,B711,0,1,measured
13,B6CB,0,1,measured
14,D95C,0,1,measured
15,23B7,0,1,measured
16,23B7,0,1,measured
17,6AFB,0,1,measured
18,FE4E,0,1,measured
19,46B3,0,1,measured
20,896C,0,1,measured
21,D7A2,0,1,measured
22,F743,0,1,measured
23,354B,0,1,measured
24,7D9F,0,1,measured
25,C6E4,0,1,measured
26,1027,0,1,measured
27,595E,0,1,measured
28,821E,0,1,measured
29,9541,0,1,measured
30,DE79,0,1,measured
31,26D1,0,1,measured
32,701A,0,1,measured
33,B951,0,1,measured
34,0291,0,1,measured
35,47ED,0,1,measured
36,9511,0,1,measured
37,9511,0,1,measured
38,DE4D,0,1,measured
39,279A,0,1,measured
40,2659,0,1,measured
41,49DC,0,1,measured
42,9437,0,1,measured
43,DE9B,0,1,measured
44,2482,0,1,measured
45,6CFB,0,1,measured
46,BDF5,0,1,measured
47,03CB,0,1,measured
48,4CE1,0,1,measured
49,8E69,0,1,measured
50,CCBB,0,1,measured
51,0CB6,0,1,measured
52,5FD5,0,1,measured
53,A9B6,0,1,measured
54,F1A7,0,1,measured
55,3AA4,0,1,measured
56,B2A6,0,1,measured
57,FCFF,0,1,measured
58,46AE,0,1,measured
59,9075,0,1,measured
60,D746,0,1,measured
61,1E06,0,1,measured
62,6713,0,1,measured
63,9021,0,1,measured
64,4F8D,0,1,measured
65,6B2E,0,1,measured
66,BA77,0,1,measured
67,01DE,0,1,measured
68,4C36,0,1,measured
69,93F8,0,1,measured
70,DDEB,0,1,measured
71,27F0,0,1,measured
72,7179,0,1,measured
73,E42D,0,1,measured
74,0335,0,1,measured
75,4DB6,0,1,measured
76,9519,0,1,measured
77,DF74,0,1,measured
78,27EC,0,1,measured
79,71F2,0,1,measured
80,B687,0,1,measured
81,0361,0,1,measured
82,768D,0,1,measured
83,9675,0,1,measured
84,E0F6,0,1,measured
85,2858,0,1,measured
86,72B1,0,1,measured
87,BD9D,0,1,measured
88,054E,0,1,measured
89,054E,0,1,measured
90,4D5B,0,1,measured
91,C263,0,1,measured
92,E1C2,0,1,measured
93,2C34,0,1,measured
94,7396,0,1,measured
95,0102,0,1,measured
96,4FA5,0,1,measured
97,99BB,0,1,measured
98,E346,0,1,measured
99,558F,0,1,measured
100,74F2,0,1,measured
101,BF74,0,1,measured
102,09AE,0,1,measured
103,4FBC,0,1,measured
104,99A6,0,1,measured
105,E3E4,0,1,measured
106,2D3A,0,1,measured
107,9F65,0,1,measured
108,BE02,0,1,measured
109,0867,0,1,measured
110,4B24,0,1,measured
111,4B24,0,1,measured
112,9A2B,0,1,measured
113,E200,0,1,measured
114,2BD6,0,1,measured
115,75FD,0,1,measured
116,BF8A,0,1,measured
117,33DE,0,1,measured
118,4E8F,0,1,measured
119,962C,0,1,measured
120,DE99,0,1,measured
121,70AE,0,1,measured
122,BA60,0,1,measured
123,034D,0,1,measured
124,4BAC,0,1,measured
125,8A15,0,1,measured
126,CBAB,0,1,measured
127,148B,0,1,measured
128,5EEE,0,1,measured
129,ADBD,0,1,measured
130,F0A2,0,1,measured
131,3E1F,0,1,measured
132,885E,0,1,measured
133,CC5B,0,1,measured
134,1A9F,0,1,measured
135,6306,0,1,measured
136,AC60,0,1,measured
137,F5C6,0,1,measured
138,20BB,0,1,measured
139,4FBD,0,1,measured
140,8E78,0,1,measured
141,E201,0,1,measured
142,87A5,0,1,measured
143,C0A4,0,1,measured
144,0C2B,0,1,measured
145,54A5,0,1,measured
146,9DE9,0,1,measured
147,E845,0,1,measured
148,30A0,0,1,measured
149,79C6,0,1,measured
150,C30A,0,1,measured
151,0494,0,1,measured
152,42E2,0,1,measured
153,8BD4,0,1,measured
154,0FC1,0,1,measured
155,33B5,0,1,measured
156,8167,0,1,measured
157,CB15,0,1,measured
158,135B,0,1,measured
159,5CF9,0,1,measured
160,A62D,0,1,measured
161,EFD4,0,1,measured
162,366E,0,1,measured
163,62EC,0,1,measured
164,AC63,0,1,measured
165,F536,0,1,measured
166,3E62,0,1,measured
167,BB2B,0,1,measured
168,D2BB,0,1,measured
169,1C10,0,1,measured
170,60D0,0,1,measured
171,ADB9,0,1,measured
172,F694,0,1,measured
173,3FCC,0,1,measured
174,8988,0,1,measured
175,D269,0,1,measured
176,FBF2,0,1,measured
177,2C57,0,1,measured
178,73E4,0,1,measured
179,BCA6,0,1,measured
180,6F9B,0,1,measured
181,A0AF,0,1,measured
182,E9DC,0,1,measured
183,3277,0,1,measured
184,7C24,0,1,measured
185,C135,0,1,measured
186,0C47,0,1,measured
187,70F0,0,1,measured
188,A17A,0,1,measured
189,EA9D,0,1,measured
190,3338,0,1,measured
191,7CDA,0,1,measured
192,C687,0,1,measured
193,3184,0,1,measured
194,583A,0,1,measured
195,A4E8,0,1,measured
196,F0C6,0,1,measured
197,3735,0,1,measured
198,80E7,0,1,measured
199,CB1D,0,1,measured
200,077F,0,1,measured
201,5938,0,1,measured
202,9AC8,0,1,measured
203,DC45,0,1,measured
204,21C6,0,1,measured
205,6B25,0,1,measured
206,ED3D,0,1,measured
207,2219,0,1,measured
208,69BA,0,1,measured
209,B512,0,1,measured
210,FB99,0,1,measured
211,4500,0,1,measured
212,9222,0,1,measured
213,D53C,0,1,measured
214,1D66,0,1,measured
215,3D7F,0,1,measured
216,92FA,0,1,measured
217,D87A,0,1,measured
218,21D1,0,1,measured
219,A511,0,1,measured
220,C998,0,1,measured
221,12B4,0,1,measured
222,5DDE,0,1,measured
223,A453,0,1,measured
224,EDBA,0,1,measured
225,3757,0,1,measured
226,801C,0,1,measured
227,C893,0,1,measured
228,EFC3,0,1,measured
229,2CF5,0,1,measured
230,70E7,0,1,measured
231,BFBA,0,1,measured
232,0AD0,0,1,measured
233,5000,0,1,measured
234,98C5,0,1,measured
235,E2A8,0,1,measured
236,2B43,0,1,measured
237,756F,0,1,measured
238,BDC4,0,1,measured
239,06F6,0,1,measured
240,5049,0,1,measured
241,7BCC,0,1,measured
242,A68F,0,1,measured
243,EEF6,0,1,measured
244,BCB3,0,1,measured
245,CD65,0,1,measured
246,1B54,0,1,measured
247,6523,0,1,measured
248,AC83,0,1,measured
249,F696,0,1,measured
250,3F08,0,1,measured
251,897F,0,1,measured
252,D28A,0,1,measured
253,133A,0,1,measured
254,5184,0,1,measured
255,9A63,0,1,measured
256,E382,0,1,measured
257,79DE,0,1,measured
258,AFDA,0,1,measured
259,F90D,0,1,measured
260,3E41,0,1,measured
261,8BE6,0,1,measured
262,D3F0,0,1,measured
263,1DFE,0,1,measured
264,6674,0,1,measured
265,B074,0,1,measured
266,B074,0,1,measured
267,DC9C,0,1,measured
268,35C4,0,1,measured
269,72AE,0,1,measured
270,BC12,0,1,measured
271,3026,0,1,measured
272,6D07,0,1,measured
273,B4DC,0,1,measured
274,FDAC,0,1,measured
275,46EF,0,1,measured
276,8BB9,0,1,measured
277,DA25,0,1,measured
278,22B7,0,1,measured
279,6BF8,0,1,measured
280,B18D,0,1,measured
281,FA3E,0,1,measured
282,40B7,0,1,measured
283,F01D,0,1,measured
284,1B54,0,1,measured
285,6463,0,1,measured
286,AD13,0,1,measured
287,F6C6,0,1,measured
288,404B,0,1,measured
289,A309,0,1,measured
290,CE22,0,1,measured
291,1BE3,0,1,measured
292,659B,0,1,measured
293,ADE5,0,1,measured
294,F778,0,1,measured
295,40B8,0,1,measured
296,A711,0,1,measured
297,D8FC,0,1,measured
298,748C,0,1,measured
299,BEDF,0,1,measured
300,0837,0,1,measured
301,511A,0,1,measured
302,8C17,0,1,measured
303,D469,0,1,measured
304,11D6,0,1,measured
305,11D6,0,1,measured
306,545C,0,1,measured
307,9D31,0,1,measured
308,E66B,0,1,measured
309,6692,0,1,measured
310,9299,0,1,measured
311,DBB3,0,1,measured
312,25F2,0,1,measured
313,6E66,0,1,measured
314,B506,0,1,measured
315,1479,0,1,measured
316,489E,0,1,measured
317,C5E2,0,1,measured
318,0ED6,0,1,measured
319,534E,0,1,measured
320,A0C8,0,1,measured
321,1E63,0,1,measured
322,419D,0,1,measured
323,8AB5,0,1,measured
324,8AB5,0,1,measured
325,D457,0,1,measured
326,1CDB,0,1,measured
327,66B3,0,1,measured
328,AF43,0,1,measured
329,F833,0,1,measured
330,4088,0,1,measured
331,8396,0,1,measured
332,C085,0,1,measured
333,0965,0,1,measured
334,52A6,0,1,measured
335,9762,0,1,measured
336,3A0D,0,1,measured
337,8404,0,1,measured
338,CC98,0,1,measured
339,15DF,0,1,measured
340,53F1,0,1,measured
341,9CD3,0,1,measured
342,C83F,0,1,measured
343,C83F,0,1,measured
344,F626,0,1,measured
345,3E74,0,1,measured
346,8740,0,1,measured
347,37FB,0,1,measured
348,6919,0,1,measured
349,B5B8,0,1,measured
350,F24A,0,1,measured
351,4B81,0,1,measured
352,9169,0,1,measured
353,DAC7,0,1,measured
354,2864,0,1,measured
355,B90A,0,1,measured
356,F926,0,1,measured
357,3F74,0,1,measured
358,88E7,0,1,measured
359,F430,0,1,measured
360,2FFD,0,1,measured
361,784F,0,1,measured
362,784F,0,1,measured
363,C4D1,0,1,measured
364,0AD7,0,1,measured
365,4695,0,1,measured
366,9D65,0,1,measured
367,EAF4,0,1,measured
368,30A3,0,1,measured
369,5D19,0,1,measured
370,A9D6,0,1,measured
371,EF79,0,1,measured
372,3937,0,1,measured
373,B885,0,1,measured
374,3905,0,1,measured
375,827B,0,1,measured
376,CAD8,0,1,measured
377,13F6,0,1,measured
378,3327,0,1,measured
379,7826,0,1,measured
380,C5D8,0,1,measured
381,C5D8,0,1,measured
382,F3DB,0,1,measured
383,20F3,0,1,measured
384,68BE,0,1,measured
385,B190,0,1,measured
386,5A27,0,1,measured
387,943F,0,1,measured
388,DD1B,0,1,measured
389,2711,0,1,measured
390,6F91,0,1,measured
391,B8DA,0,1,measured
392,12E5,0,1,measured
393,A0DB,0,1,measured
394,E574,0,1,measured
395,3418,0,1,measured
396,7C8F,0,1,measured
397,B98F,0,1,measured
398,192D,0,1,measured
399,4FA0,0,1,measured
400,4FA0,0,1,measured
401,98AF,0,1,measured
402,E2FC,0,1,measured
403,2B2D,0,1,measured
404,7474,0,1,measured
405,BE60,0,1,measured
406,06F2,0,1,measured
407,5036,0,1,measured
408,91E0,0,1,measured
409,D026,0,1,measured
410,0FC7,0,1,measured
411,6228,0,1,measured
412,1C3C,0,1,measured
413,64BA,0,1,measured
414,ADCA,0,1,measured
415,F71A,0,1,measured
416,358A,0,1,measured
417,8B36,0,1,measured
418,C9B5,0,1,measured
419,C9B5,0,1,measured
420,122D,0,1,measured
421,3AE0,0,1,measured
422,8460,0,1,measured
423,CD28,0,1,measured
424,49BF,0,1,measured
425,6737,0,1,measured
426,B4D4,0,1,measured
427,FE91,0,1,measured
428,46DC,0,1,measured
429,8FC6,0,1,measured
430,D91C,0,1,measured
431,782D,0,1,measured
432,B9B4,0,1,measured
433,F695,0,1,measured
434,3F5E,0,1,measured
435,7CD3,0,1,measured
436,C61F,0,1,measured
437,0F4A,0,1,measured
438,0F4A,0,1,measured
439,5890,0,1,measured
440,9E07,0,1,measured
441,EB17,0,1,measured
442,3449,0,1,measured
443,7E22,0,1,measured
444,C6C4,0,1,measured
445,101D,0,1,measured
446,3D79,0,1,measured
447,6D40,0,1,measured
448,B54B,0,1,measured
449,FED4,0,1,measured
450,EC3F,0,1,measured
451,388B,0,1,measured
452,833B,0,1,measured
453,C8E3,0,1,measured
454,FBFE,0,1,measured
455,5375,0,1,measured
456,A056,0,1,measured
457,A056,0,1,measured
458,E57D,0,1,measured
459,26FF,0,1,measured
460,6878,0,1,measured
461,ADFB,0,1,measured
462,F856,0,1,measured
463,6840,0,1,measured
464,A42E,0,1,measured
465,E850,0,1,measured
466,409B,0,1,measured
467,7B85,0,1,measured
468,C5D6,0,1,measured
469,5B10,0,1,measured
470,AC37,0,1,measured
471,D952,0,1,measured
472,2D2C,0,1,measured
473,6205,0,1,measured
474,AC40,0,1,measured
475,06B9,0,1,measured
476,06B9,0,1,measured
477,3B67,0,1,measured
478,833E,0,1,measured
479,CBA2,0,1,measured
480,1490,0,1,measured
481,5DCF,0,1,measured
482,A76D,0,1,measured
483,F04F,0,1,measured
484,38C3,0,1,measured
485,62F1,0,1,measured
486,5A72,0,1,measured
487,A3E4,0,1,measured
488,DFE2,0,1,measured
489,15B6,0,1,measured
490,5EBF,0,1,measured
491,A90F,0,1,measured
492,EFD9,0,1,measured
493,2FC8,0,1,measured
494,93C8,0,1,measured
495,93C8,0,1,measured
496,C2FD,0,1,measured
497,0B37,0,1,measured
498,5415,0,1,measured
499,9D26,0,1,measured
500,E25A,0,1,measured
501,2FAC,0,1,measured
502,915F,0,1,measured
503,C07B,0,1,measured
504,0851,0,1,measured
505,519F,0,1,measured
506,9BEB,0,1,measured
507,398C,0,1,measured
508,8385,0,1,measured
509,D4B2,0,1,measured
510,F381,0,1,measured
511,25B8,0,1,measured
512,6E7D,0,1,measured
513,0089,0,1,measured
514,0089,0,1,measured
515,2B09,0,1,measured
516,78BC,0,1,measured
517,C24A,0,1,measured
518,0B57,0,1,measured
519,539A,0,1,measured
520,9DF6,0,1,measured
521,015F,0,1,measured
522,2FED,0,1,measured
523,789F,0,1,measured
524,C1F0,0,1,measured
525,0B17,0,1,measured
526,D35F,0,1,measured
527,F8FC,0,1,measured
528,4204,0,1,measured
529,86ED,0,1,measured
530,C7E7,0,1,measured
531,10AA,0,1,measured
532,5A01,0,1,measured
533,5A01,0,1,measured
534,A3B8,0,1,measured
