offset,seed,band,boots,how
6,2110,0,1,measured
7,490B,0,1,measured
8,9281,0,1,measured
9,DB47,0,1,measured
10,248C,0,1,measured
11,6DD0,0,1,measured
12,B710,0,1,measured
13,B8C8,0,1,measured
14,DAC3,0,1,measured
15,21E1,0,1,measured
16,21E1,0,1,measured
17,6C1F,0,1,measured
18,FE18,0,1,measured
19,47F7,0,1,measured
20,8962,0,1,measured
21,D826,0,1,measured
22,F739,0,1,measured
23,3545,0,1,measured
24,7D99,0,1,measured
25,C6CE,0,1,measured
26,1014,0,1,measured
27,5954,0,1,measured
28,8216,0,1,measured
29,952C,0,1,measured
30,DE72,0,1,measured
31,26C3,0,1,measured
32,7008,0,1,measured
33,B950,0,1,measured
34,0290,0,1,measured
35,47EB,0,1,measured
36,9510,0,1,measured
37,9510,0,1,measured
38,DE50,0,1,measured
39,278C,0,1,measured
40,264F,0,1,measured
41,49D2,0,1,measured
42,9437,0,1,measured
43,DBB8,0,1,measured
44,2753,0,1,measured
45,6CEC,0,1,measured
46,BDE0,0,1,measured
47,03CB,0,1,measured
48,4CDA,0,1,measured
49,8E5F,0,1,measured
50,CCB1,0,1,measured
51,0CAF,0,1,measured
52,5FD2,0,1,measured
53,A99D,0,1,measured
54,F195,0,1,measured
55,3AA4,0,1,measured
56,B2A5,0,1,measured
57,FB95,0,1,measured
58,4850,0,1,measured
59,8DB4,0,1,measured
60,D65D,0,1,measured
61,1E05,0,1,measured
62,6712,0,1,measured
63,901B,0,1,measured
64,4F90,0,1,measured
65,6B1F,0,1,measured
66,BA6C,0,1,measured
67,01C6,0,1,measured
68,4C21,0,1,measured
69,93EF,0,1,measured
70,DDDC,0,1,measured
71,27E4,0,1,measured
72,7174,0,1,measured
73,E61B,0,1,measured
74,049A,0,1,measured
75,4BEB,0,1,measured
76,9638,0,1,measured
77,DDE8,0,1,measured
78,27D8,0,1,measured
79,71EC,0,1,measured
80,B6D2,0,1,measured
81,00AB,0,1,measured
82,75A0,0,1,measured
83,966E,0,1,measured
84,E0F6,0,1,measured
85,284E,0,1,measured
86,72AB,0,1,measured
87,BB15,0,1,measured
88,07D1,0,1,measured
89,07D1,0,1,measured
90,4D45,0,1,measured
91,C24F,0,1,measured
92,E1B4,0,1,measured
93,2C2A,0,1,measured
94,739B,0,1,measured
95,00EF,0,1,measured
96,4F9D,0,1,measured
97,99AD,0,1,measured
98,E333,0,1,measured
99,557B,0,1,measured
100,74F4,0,1,measured
101,BF65,0,1,measured
102,06D2,0,1,measured
103,5264,0,1,measured
104,99A3,0,1,measured
105,E3DB,0,1,measured
106,2D28,0,1,measured
107,9F68,0,1,measured
108,BDF8,0,1,measured
109,0861,0,1,measured
110,4B11,0,1,measured
111,4B11,0,1,measured
112,9A23,0,1,measured
113,E1F6,0,1,measured
114,2BD0,0,1,measured
115,75F6,0,1,measured
116,BF7D,0,1,measured
117,33D4,0,1,measured
118,4CB0,0,1,measured
119,9801,0,1,measured
120,DE8E,0,1,measured
121,70B4,0,1,measured
122,BA5C,0,1,measured
123,0344,0,1,measured
124,4B97,0,1,measured
125,8A02,0,1,measured
126,CBA1,0,1,measured
127,1473,0,1,measured
128,5EDD,0,1,measured
129,ADAE,0,1,measured
130,F098,0,1,measured
131,3E14,0,1,measured
132,8810,0,1,measured
133,CC90,0,1,measured
134,1A87,0,1,measured
135,62FF,0,1,measured
136,AC50,0,1,measured
137,F5BC,0,1,measured
138,20BA,0,1,measured
139,4FA6,0,1,measured
140,8E78,0,1,measured
141,E1F4,0,1,measured
142,87A9,0,1,measured
143,C097,0,1,measured
144,0C26,0,1,measured
145,549F,0,1,measured
146,9DE7,0,1,measured
147,E749,0,1,measured
148,3192,0,1,measured
149,79C6,0,1,measured
150,C2FA,0,1,measured
151,048A,0,1,measured
152,42D8,0,1,measured
153,8BD4,0,1,measured
154,0FC2,0,1,measured
155,33A3,0,1,measured
156,8163,0,1,measured
