offset,seed,band,boots,how
6,2110,0,1,measured
7,490B,0,1,measured
8,9278,0,1,measured
9,DB50,0,1,measured
10,2483,0,1,measured
11,6DD0,0,1,measured
12,B707,0,1,measured
13,B83D,0,1,measured
14,DA74,0,1,measured
15,21CC,0,1,measured
16,21CC,0,1,measured
17,6C05,0,1,measured
18,FDEA,0,1,measured
19,47D9,0,1,measured
20,894E,0,1,measured
21,D806,0,1,measured
22,F738,0,1,measured
23,3545,0,1,measured
24,7D8F,0,1,measured
25,C6D8,0,1,measured
26,101D,0,1,measured
27,595D,0,1,measured
28,8216,0,1,measured
29,9535,0,1,measured
30,DE72,0,1,measured
31,26CC,0,1,measured
32,7010,0,1,measured
33,B950,0,1,measured
34,0287,0,1,measured
35,47E3,0,1,measured
36,9513,0,1,measured
37,9513,0,1,measured
38,DE47,0,1,measured
39,2783,0,1,measured
40,2603,0,1,measured
41,4991,0,1,measured
42,93EE,0,1,measured
43,DBA1,0,1,measured
44,2706,0,1,measured
45,6CF7,0,1,measured
46,BDD6,0,1,measured
47,03C3,0,1,measured
48,4CD7,0,1,measured
49,8E5F,0,1,measured
50,CCA7,0,1,measured
51,0CAC,0,1,measured
52,5FB9,0,1,measured
53,A966,0,1,measured
54,F195,0,1,measured
55,3A9A,0,1,measured
56,B2A5,0,1,measured
57,FB9E,0,1,measured
58,47F9,0,1,measured
59,8DBE,0,1,measured
60,D648,0,1,measured
61,1DFC,0,1,measured
62,6709,0,1,measured
63,9017,0,1,measured
64,4F37,0,1,measured
65,6AF2,0,1,measured
66,BA28,0,1,measured
67,01AE,0,1,measured
68,4BF6,0,1,measured
69,93D1,0,1,measured
70,DDD3,0,1,measured
71,279B,0,1,measured
72,7132,0,1,measured
73,E594,0,1,measured
74,0450,0,1,measured
75,4BD5,0,1,measured
76,9605,0,1,measured
77,DDCC,0,1,measured
78,27D9,0,1,measured
79,71AA,0,1,measured
80,B685,0,1,measured
81,00AB,0,1,measured
82,7561,0,1,measured
83,9637,0,1,measured
84,E09E,0,1,measured
85,2837,0,1,measured
86,7271,0,1,measured
87,BB1D,0,1,measured
88,0738,0,1,measured
89,0738,0,1,measured
90,4D1B,0,1,measured
91,C205,0,1,measured
92,E182,0,1,measured
93,2BE7,0,1,measured
94,7378,0,1,measured
95,00D8,0,1,measured
96,4F95,0,1,measured
97,996A,0,1,measured
98,E2ED,0,1,measured
99,553A,0,1,measured
100,74B5,0,1,measured
101,BF22,0,1,measured
102,06BC,0,1,measured
103,5219,0,1,measured
104,999A,0,1,measured
105,E388,0,1,measured
106,2CE4,0,1,measured
107,9F1C,0,1,measured
108,BDBA,0,1,measured
109,0822,0,1,measured
110,4AF8,0,1,measured
111,4AF8,0,1,measured
112,99F5,0,1,measured
113,E1D2,0,1,measured
114,2BD2,0,1,measured
115,75B4,0,1,measured
116,BF31,0,1,measured
117,33A7,0,1,measured
118,4C72,0,1,measured
119,978E,0,1,measured
120,DE79,0,1,measured
121,7092,0,1,measured
122,BA38,0,1,measured
123,0326,0,1,measured
124,4B9F,0,1,measured
125,89ED,0,1,measured
126,CBAB,0,1,measured
127,147D,0,1,measured
128,5ECA,0,1,measured
129,ADA5,0,1,measured
130,F098,0,1,measured
131,3E14,0,1,measured
132,87F4,0,1,measured
133,CC9B,0,1,measured
134,1A6A,0,1,measured
135,6309,0,1,measured
136,AC50,0,1,measured
137,F5B4,0,1,measured
138,2098,0,1,measured
139,4F8D,0,1,measured
140,8E78,0,1,measured
141,E1DD,0,1,measured
142,87AC,0,1,measured
143,C08C,0,1,measured
144,0C07,0,1,measured
145,549B,0,1,measured
146,9DE8,0,1,measured
147,E742,0,1,measured
148,3179,0,1,measured
149,79C0,0,1,measured
150,C2FA,0,1,measured
151,048A,0,1,measured
152,42D8,0,1,measured
153,8BCA,0,1,measured
154,0F81,0,1,measured
155,3377,0,1,measured
156,812E,0,1,measured
157,CAD1,0,1,measured
