offset,seed,band,boots,how
268,CCFE,0,1,measured
269,0B91,0,1,measured
273,4DB5,0,1,measured
274,968C,0,1,measured
275,DFD5,0,1,measured
276,2490,0,1,measured
278,BBB9,0,1,measured
279,04CA,0,1,measured
280,4A63,0,1,measured
282,D9A2,0,1,measured
283,88C0,0,1,measured
286,45EC,0,1,measured
287,8F65,0,1,measured
288,D8F6,0,1,measured
292,FF9A,0,1,measured
293,46B5,0,1,measured
294,902C,0,1,measured
295,D963,0,1,measured
296,3FBC,0,1,measured
297,6FD1,0,1,measured
299,577A,0,1,measured
300,A09A,0,1,measured
302,2412,0,1,measured
303,6D45,0,1,measured
307,3600,0,1,measured
308,7F50,0,1,measured
309,FF45,0,1,measured
311,7453,0,1,measured
314,5040,0,1,measured
315,AE3E,0,1,measured
320,3998,0,1,measured
321,B8AB,0,1,measured
322,DA34,0,1,measured
323,23D8,0,1,measured
324,23D8,0,1,measured
325,6C35,0,1,measured
328,47FD,0,1,measured
329,90F1,0,1,measured
330,D965,0,1,measured
335,303B,0,1,measured
336,D3C3,0,1,measured
337,1C39,0,1,measured
338,656C,0,1,measured
339,AF4D,0,1,measured
341,3567,0,1,measured
342,6114,0,1,measured
343,6114,0,1,measured
349,4E9D,0,1,measured
350,8B0A,0,1,measured
351,E455,0,1,measured
352,2A88,0,1,measured
353,743C,0,1,measured
354,C0A5,0,1,measured
355,51EC,0,1,measured
356,91B4,0,1,measured
357,D85F,0,1,measured
363,5DA2,0,1,measured
364,A3B6,0,1,measured
367,849B,0,1,measured
368,C8C5,0,1,measured
370,42B8,0,1,measured
371,884D,0,1,measured
372,D1CD,0,1,measured
373,5131,0,1,measured
376,6393,0,1,measured
377,ACBA,0,1,measured
378,CBDA,0,1,measured
382,8E10,0,1,measured
383,B896,0,1,measured
384,0191,0,1,measured
385,4A6B,0,1,measured
386,F1CC,0,1,measured
387,2CDC,0,1,measured
391,51B2,0,1,measured
392,AB9A,0,1,measured
395,CCDB,0,1,measured
396,15BD,0,1,measured
397,52EC,0,1,measured
398,B161,0,1,measured
404,0D49,0,1,measured
405,572C,0,1,measured
406,A060,0,1,measured
407,E909,0,1,measured
412,B472,0,1,measured
413,FD97,0,1,measured
414,46B4,0,1,measured
418,6270,0,1,measured
419,6270,0,1,measured
420,AB0A,0,1,measured
421,D3CA,0,1,measured
422,1D41,0,1,measured
425,FFDE,0,1,measured
426,4D78,0,1,measured
427,9888,0,1,measured
428,DF3D,0,1,measured
429,288F,0,1,measured
432,5267,0,1,measured
433,8F6A,0,1,measured
434,D83E,0,1,measured
436,5EFC,0,1,measured
437,A81B,0,1,measured
438,A81B,0,1,measured
440,36BF,0,1,measured
441,83F5,0,1,measured
442,CDFF,0,1,measured
443,1649,0,1,measured
444,5FA1,0,1,measured
447,05C2,0,1,measured
448,4E22,0,1,measured
453,61BC,0,1,measured
454,94DD,0,1,measured
455,EC40,0,1,measured
456,396D,0,1,measured
457,396D,0,1,measured
458,7E4B,0,1,measured
459,BFE6,0,1,measured
461,46D4,0,1,measured
462,90DC,0,1,measured
463,011F,0,1,measured
465,812A,0,1,measured
468,5E71,0,1,measured
469,F3C3,0,1,measured
471,7428,0,1,measured
472,C5D9,0,1,measured
473,FAAD,0,1,measured
474,44E5,0,1,measured
475,9F62,0,1,measured
476,9F62,0,1,measured
482,3FC4,0,1,measured
483,898B,0,1,measured
484,D253,0,1,measured
485,FA9A,0,1,measured
487,3D08,0,1,measured
488,78BE,0,1,measured
489,AE95,0,1,measured
496,5B99,0,1,measured
497,A3ED,0,1,measured
498,ECDA,0,1,measured
