offset,seed,band,boots,how
268,CC78,0,1,measured
269,0B86,0,1,measured
270,54E6,0,1,measured
271,C903,0,1,measured
272,05E4,0,1,measured
273,4DB9,0,1,measured
274,9690,0,1,measured
275,DFCE,0,1,measured
276,2498,0,1,measured
277,7309,0,1,measured
278,BB89,0,1,measured
279,04FD,0,1,measured
280,4A66,0,1,measured
281,9313,0,1,measured
282,D998,0,1,measured
283,88FB,0,1,measured
284,B434,0,1,measured
285,FD3C,0,1,measured
286,45EE,0,1,measured
287,8F98,0,1,measured
288,D926,0,1,measured
289,3BEA,0,1,measured
290,66FF,0,1,measured
291,B4BC,0,1,measured
292,FE79,0,1,measured
293,4878,0,1,measured
294,905B,0,1,measured
295,D9E6,0,1,measured
296,4074,0,1,measured
297,6FFC,0,1,measured
298,0D69,0,1,measured
299,57BF,0,1,measured
300,A0D4,0,1,measured
301,E65F,0,1,measured
302,2408,0,1,measured
303,6D45,0,1,measured
304,AAB3,0,1,measured
305,AAB3,0,1,measured
306,ED39,0,1,measured
307,3604,0,1,measured
308,7F45,0,1,measured
309,FF76,0,1,measured
310,2B7B,0,1,measured
311,7492,0,1,measured
312,BD1A,0,1,measured
313,06F6,0,1,measured
314,507B,0,1,measured
315,AE33,0,1,measured
316,E176,0,1,measured
317,5EC1,0,1,measured
318,A7B1,0,1,measured
319,EC2B,0,1,measured
320,399C,0,1,measured
321,B73D,0,1,measured
322,DC5B,0,1,measured
323,240A,0,1,measured
324,240A,0,1,measured
325,6C48,0,1,measured
326,B54B,0,1,measured
327,FE75,0,1,measured
328,4821,0,1,measured
329,910C,0,1,measured
330,D967,0,1,measured
331,1C7F,0,1,measured
332,595A,0,1,measured
333,A242,0,1,measured
334,ECB2,0,1,measured
335,3035,0,1,measured
336,D2E1,0,1,measured
337,1D2D,0,1,measured
338,6568,0,1,measured
339,AF6A,0,1,measured
340,EC1F,0,1,measured
341,356B,0,1,measured
342,6110,0,1,measured
343,6110,0,1,measured
344,8F03,0,1,measured
345,D818,0,1,measured
346,2014,0,1,measured
347,D0CD,0,1,measured
348,01FF,0,1,measured
349,4EA3,0,1,measured
350,8B2D,0,1,measured
351,E45E,0,1,measured
352,2A49,0,1,measured
353,749C,0,1,measured
354,C0A2,0,1,measured
355,51F1,0,1,measured
356,91BD,0,1,measured
357,D85D,0,1,measured
358,21D3,0,1,measured
359,8D17,0,1,measured
360,C8D0,0,1,measured
361,112C,0,1,measured
362,112C,0,1,measured
363,5DA6,0,1,measured
364,A3B0,0,1,measured
365,DF72,0,1,measured
366,3644,0,1,measured
367,83DA,0,1,measured
368,C9CB,0,1,measured
369,F5EB,0,1,measured
370,42B3,0,1,measured
371,8848,0,1,measured
372,D1C2,0,1,measured
373,5173,0,1,measured
374,D1EC,0,1,measured
375,1B58,0,1,measured
376,63B5,0,1,measured
377,ACD7,0,1,measured
378,CBFB,0,1,measured
379,1108,0,1,measured
380,5EB4,0,1,measured
381,5EB4,0,1,measured
382,8CB8,0,1,measured
383,BA0F,0,1,measured
384,0197,0,1,measured
385,4A69,0,1,measured
386,F1CD,0,1,measured
387,2CDB,0,1,measured
388,75F9,0,1,measured
389,BFEF,0,1,measured
390,0870,0,1,measured
391,51B7,0,1,measured
392,ABBE,0,1,measured
393,39B8,0,1,measured
394,7E51,0,1,measured
395,CCEA,0,1,measured
396,1578,0,1,measured
397,535B,0,1,measured
398,B15A,0,1,measured
399,E874,0,1,measured
400,E874,0,1,measured
401,3240,0,1,measured
402,7AD8,0,1,measured
403,C417,0,1,measured
404,0D49,0,1,measured
405,5748,0,1,measured
406,A077,0,1,measured
407,E913,0,1,measured
408,2AC1,0,1,measured
409,6902,0,1,measured
410,A89A,0,1,measured
411,FB0F,0,1,measured
412,B568,0,1,measured
413,FD95,0,1,measured
414,46B4,0,1,measured
415,8FF6,0,1,measured
416,CE1F,0,1,measured
417,240C,0,1,measured
418,6292,0,1,measured
419,6292,0,1,measured
420,AAFC,0,1,measured
421,D3BD,0,1,measured
422,1D38,0,1,measured
423,6605,0,1,measured
424,E29C,0,1,measured
425,0014,0,1,measured
426,4DBA,0,1,measured
427,9763,0,1,measured
428,E0CC,0,1,measured
429,28AC,0,1,measured
430,7266,0,1,measured
431,0FF5,0,1,measured
432,5289,0,1,measured
433,8F65,0,1,measured
434,D833,0,1,measured
435,16EC,0,1,measured
436,5EFC,0,1,measured
437,A824,0,1,measured
438,A824,0,1,measured
439,F161,0,1,measured
440,36DB,0,1,measured
441,83E7,0,1,measured
442,CD30,0,1,measured
443,174B,0,1,measured
444,5FA8,0,1,measured
445,A8F1,0,1,measured
446,D6FF,0,1,measured
447,0534,0,1,measured
448,4E25,0,1,measured
449,97A9,0,1,measured
450,8525,0,1,measured
451,D168,0,1,measured
452,1C1A,0,1,measured
453,61C0,0,1,measured
454,94D7,0,1,measured
455,EC50,0,1,measured
456,3944,0,1,measured
457,3944,0,1,measured
458,7E97,0,1,measured
459,BFDB,0,1,measured
460,0155,0,1,measured
461,46D6,0,1,measured
462,90EF,0,1,measured
463,0116,0,1,measured
464,3D15,0,1,measured
465,812C,0,1,measured
466,D978,0,1,measured
467,1463,0,1,measured
468,5EB1,0,1,measured
469,F3F6,0,1,measured
470,4518,0,1,measured
471,7225,0,1,measured
472,C7E9,0,1,measured
473,FBB1,0,1,measured
474,42B2,0,1,measured
475,9F9D,0,1,measured
476,9F9D,0,1,measured
477,D270,0,1,measured
478,1BA6,0,1,measured
479,6550,0,1,measured
480,ADD9,0,1,measured
481,F6B0,0,1,measured
482,3FE9,0,1,measured
483,899F,0,1,measured
484,D271,0,1,measured
485,FAA4,0,1,measured
486,F47D,0,1,measured
487,3CC3,0,1,measured
488,78C9,0,1,measured
489,AE98,0,1,measured
490,F7A6,0,1,measured
491,41A8,0,1,measured
492,88AD,0,1,measured
493,C8A2,0,1,measured
494,2C9E,0,1,measured
495,2C9E,0,1,measured
496,5BD7,0,1,measured
497,A40F,0,1,measured
498,ED0C,0,1,measured
499,3609,0,1,measured
500,7B36,0,1,measured
501,C880,0,1,measured
502,2A31,0,1,measured
503,59A9,0,1,measured
504,A129,0,1,measured
505,EA87,0,1,measured
506,3395,0,1,measured
507,D274,0,1,measured
508,1C59,0,1,measured
509,6D8F,0,1,measured
510,8C63,0,1,measured
511,BE95,0,1,measured
512,0767,0,1,measured
513,9966,0,1,measured
514,9966,0,1,measured
515,C3F0,0,1,measured
516,1190,0,1,measured
517,5B27,0,1,measured
518,A478,0,1,measured
519,EDAB,0,1,measured
520,359F,0,1,measured
521,9A46,0,1,measured
522,C876,0,1,measured
523,1188,0,1,measured
524,5ACD,0,1,measured
525,A3F0,0,1,measured
526,6C4C,0,1,measured
527,91E0,0,1,measured
528,DAD8,0,1,measured
529,1FD5,0,1,measured
530,60BC,0,1,measured
531,A990,0,1,measured
532,F46A,0,1,measured
533,F46A,0,1,measured
534,3C24,0,1,measured
535,8491,0,1,measured
536,C783,0,1,measured
537,0481,0,1,measured
538,4D4F,0,1,measured
539,9676,0,1,measured
540,DFD7,0,1,measured
541,291B,0,1,measured
542,7242,0,1,measured
543,BC3B,0,1,measured
544,04BB,0,1,measured
545,A3B0,0,1,measured
546,EC4F,0,1,measured
547,35E3,0,1,measured
548,5EF3,0,1,measured
549,8186,0,1,measured
550,CA7E,0,1,measured
551,1406,0,1,measured
552,1406,0,1,measured
553,BF4E,0,1,measured
554,F5F9,0,1,measured
555,419A,0,1,measured
556,89FC,0,1,measured
557,D357,0,1,measured
558,1CA8,0,1,measured
559,66AC,0,1,measured
560,A46D,0,1,measured
561,F872,0,1,measured
562,3A28,0,1,measured
563,7873,0,1,measured
564,152F,0,1,measured
565,8D99,0,1,measured
566,BBAC,0,1,measured
567,04D5,0,1,measured
568,4114,0,1,measured
569,8ACA,0,1,measured
570,D461,0,1,measured
571,D461,0,1,measured
572,1B07,0,1,measured
573,6372,0,1,measured
574,AC96,0,1,measured
575,D770,0,1,measured
576,2547,0,1,measured
577,6E15,0,1,measured
578,B73C,0,1,measured
579,38B0,0,1,measured
580,6F0F,0,1,measured
581,B829,0,1,measured
582,01E1,0,1,measured
583,9F6A,0,1,measured
584,E8D7,0,1,measured
585,1308,0,1,measured
586,5CB6,0,1,measured
587,7C5E,0,1,measured
588,AB29,0,1,measured
589,EFA9,0,1,measured
590,EFA9,0,1,measured
591,3DFC,0,1,measured
592,F574,0,1,measured
593,2160,0,1,measured
594,6916,0,1,measured
595,B149,0,1,measured
596,FAF0,0,1,measured
