offset,seed,band,boots,how
268,CD17,0,1,measured
269,0B91,0,1,measured
270,54EE,0,1,measured
273,4DB5,0,1,measured
274,968C,0,1,measured
275,DFD5,0,1,measured
278,BBAE,0,1,measured
279,04CA,0,1,measured
280,4A63,0,1,measured
281,9312,0,1,measured
284,B437,0,1,measured
286,45EC,0,1,measured
287,8F9A,0,1,measured
292,FFED,0,1,measured
293,46B5,0,1,measured
294,9063,0,1,measured
295,D9A4,0,1,measured
296,3FF2,0,1,measured
299,57BC,0,1,measured
300,A0D0,0,1,measured
301,E666,0,1,measured
307,3600,0,1,measured
308,7F50,0,1,measured
309,FF7B,0,1,measured
310,2B7D,0,1,measured
314,5075,0,1,measured
315,AE3E,0,1,measured
320,3998,0,1,measured
321,B919,0,1,measured
322,DA7A,0,1,measured
323,2410,0,1,measured
324,2410,0,1,measured
328,4815,0,1,measured
329,9110,0,1,measured
330,D96F,0,1,measured
335,3031,0,1,measured
336,D3DA,0,1,measured
337,1C39,0,1,measured
338,656C,0,1,measured
339,AF74,0,1,measured
340,EC28,0,1,measured
341,3564,0,1,measured
342,6114,0,1,measured
343,6114,0,1,measured
349,4E9D,0,1,measured
350,8B31,0,1,measured
352,2A88,0,1,measured
353,7456,0,1,measured
354,C09C,0,1,measured
355,51E3,0,1,measured
356,91B4,0,1,measured
357,D85F,0,1,measured
363,5DA2,0,1,measured
364,A3B6,0,1,measured
367,84D1,0,1,measured
368,C8C5,0,1,measured
369,F5F6,0,1,measured
370,42AD,0,1,measured
371,884D,0,1,measured
372,D1CD,0,1,measured
373,5167,0,1,measured
376,63BA,0,1,measured
377,ACDC,0,1,measured
378,CBF9,0,1,measured
379,1107,0,1,measured
382,8E37,0,1,measured
383,B896,0,1,measured
384,0191,0,1,measured
385,4A65,0,1,measured
386,F1D8,0,1,measured
387,2CD0,0,1,measured
391,51B2,0,1,measured
392,ABB9,0,1,measured
393,39BB,0,1,measured
394,7E58,0,1,measured
396,15C0,0,1,measured
397,5305,0,1,measured
398,B15B,0,1,measured
401,323F,0,1,measured
403,C418,0,1,measured
405,5746,0,1,measured
406,A087,0,1,measured
407,E914,0,1,measured
412,B467,0,1,measured
413,FD8E,0,1,measured
414,46AB,0,1,measured
418,628B,0,1,measured
419,628B,0,1,measured
420,AAFF,0,1,measured
421,D3CA,0,1,measured
422,1D42,0,1,measured
426,4DB6,0,1,measured
427,98DB,0,1,measured
428,DF53,0,1,measured
429,28AE,0,1,measured
430,725B,0,1,measured
432,5286,0,1,measured
433,8F6A,0,1,measured
434,D83E,0,1,measured
435,16E3,0,1,measured
440,36D6,0,1,measured
441,83F7,0,1,measured
442,CE26,0,1,measured
443,1652,0,1,measured
444,5FA1,0,1,measured
447,05D9,0,1,measured
448,4E22,0,1,measured
453,61BC,0,1,measured
454,94DB,0,1,measured
455,EC59,0,1,measured
456,398E,0,1,measured
457,398E,0,1,measured
458,7E55,0,1,measured
459,BFDC,0,1,measured
461,46D1,0,1,measured
462,90F4,0,1,measured
468,5EAD,0,1,measured
470,450D,0,1,measured
471,744F,0,1,measured
472,C60E,0,1,measured
473,FAD9,0,1,measured
474,451A,0,1,measured
475,9FA1,0,1,measured
476,9FA1,0,1,measured
477,D271,0,1,measured
482,3FE5,0,1,measured
483,899B,0,1,measured
487,3D0B,0,1,measured
488,78C7,0,1,measured
489,AE95,0,1,measured
496,5BD4,0,1,measured
497,A415,0,1,measured
498,ECF2,0,1,measured
502,2BB1,0,1,measured
503,5819,0,1,measured
504,A12E,0,1,measured
505,EA7C,0,1,measured
507,D275,0,1,measured
509,6D8B,0,1,measured
510,8C67,0,1,measured
511,BE96,0,1,measured
515,C3F1,0,1,measured
517,5C3D,0,1,measured
518,A360,0,1,measured
519,EDAD,0,1,measured
520,3596,0,1,measured
524,5ACA,0,1,measured
525,A3EB,0,1,measured
526,6C40,0,1,measured
527,91D8,0,1,measured
529,1FCA,0,1,measured
530,60C6,0,1,measured
531,AAAC,0,1,measured
532,F34D,0,1,measured
533,F34D,0,1,measured
534,3C26,0,1,measured
535,8488,0,1,measured
536,C78D,0,1,measured
538,4D4B,0,1,measured
539,9686,0,1,measured
541,291C,0,1,measured
545,A3B5,0,1,measured
546,EC96,0,1,measured
547,359A,0,1,measured
548,5EFE,0,1,measured
549,818C,0,1,measured
551,13F9,0,1,measured
552,13F9,0,1,measured
553,BF51,0,1,measured
554,F5FA,0,1,measured
555,418E,0,1,measured
559,66A8,0,1,measured
560,A479,0,1,measured
562,3A6F,0,1,measured
563,7829,0,1,measured
564,1531,0,1,measured
565,8D95,0,1,measured
566,BBBC,0,1,measured
567,04CD,0,1,measured
573,636F,0,1,measured
574,AC99,0,1,measured
575,D772,0,1,measured
577,6E16,0,1,measured
578,B73A,0,1,measured
580,6F0B,0,1,measured
581,B830,0,1,measured
582,01D8,0,1,measured
585,12FF,0,1,measured
586,5CB2,0,1,measured
587,7C6C,0,1,measured
588,AB28,0,1,measured
589,EFB3,0,1,measured
590,EFB3,0,1,measured
592,F74B,0,1,measured
593,1F89,0,1,measured
594,6908,0,1,measured
595,B14E,0,1,measured
596,FAF9,0,1,measured
597,4434,0,1,measured
601,68C6,0,1,measured
602,07BB,0,1,measured
606,224B,0,1,measured
607,6A97,0,1,measured
608,B2AB,0,1,measured
609,B2AB,0,1,measured
610,FC01,0,1,measured
611,4749,0,1,measured
612,8D81,0,1,measured
613,CD74,0,1,measured
614,EEBF,0,1,measured
615,35FA,0,1,measured
616,7EE2,0,1,measured
621,843F,0,1,measured
622,CB7D,0,1,measured
623,1259,0,1,measured
625,78D0,0,1,measured
629,346E,0,1,measured
630,CE77,0,1,measured
631,F596,0,1,measured
632,3EC6,0,1,measured
636,62EE,0,1,measured
637,AD9E,0,1,measured
638,F4AA,0,1,measured
639,00E2,0,1,measured
640,90F8,0,1,measured
642,476B,0,1,measured
643,8D32,0,1,measured
644,CB11,0,1,measured
645,1513,0,1,measured
646,5DA2,0,1,measured
647,5DA2,0,1,measured
649,F0D2,0,1,measured
650,3508,0,1,measured
651,82A3,0,1,measured
652,91FA,0,1,measured
653,BC08,0,1,measured
654,0495,0,1,measured
655,4E0D,0,1,measured
657,29B7,0,1,measured
658,75AA,0,1,measured
659,1099,0,1,measured
660,5B80,0,1,measured
663,2C80,0,1,measured
664,677A,0,1,measured
665,AC67,0,1,measured
666,AC67,0,1,measured
667,F588,0,1,measured
668,3F1D,0,1,measured
671,555E,0,1,measured
672,9F00,0,1,measured
673,E703,0,1,measured
677,0C6C,0,1,measured
678,92E2,0,1,measured
681,C2E7,0,1,measured
682,EC7D,0,1,measured
683,3617,0,1,measured
684,7E93,0,1,measured
685,7E93,0,1,measured
686,C76D,0,1,measured
687,10AC,0,1,measured
688,5A57,0,1,measured
689,A327,0,1,measured
692,447A,0,1,measured
693,8D8C,0,1,measured
697,3729,0,1,measured
698,9100,0,1,measured
699,CA33,0,1,measured
700,213D,0,1,measured
702,994A,0,1,measured
706,7515,0,1,measured
708,0ACD,0,1,measured
712,3116,0,1,measured
713,78EA,0,1,measured
714,C23B,0,1,measured
715,0C13,0,1,measured
719,8C2D,0,1,measured
720,BBAE,0,1,measured
721,04C1,0,1,measured
724,974B,0,1,measured
727,7286,0,1,measured
728,BB7D,0,1,measured
729,FD3D,0,1,measured
730,3B8F,0,1,measured
731,8448,0,1,measured
734,75B9,0,1,measured
735,14A0,0,1,measured
740,7582,0,1,measured
741,B7F1,0,1,measured
742,B7F1,0,1,measured
743,F4B6,0,1,measured
748,6264,0,1,measured
749,AC61,0,1,measured
750,F50A,0,1,measured
752,8819,0,1,measured
754,4EA8,0,1,measured
755,8236,0,1,measured
756,CA61,0,1,measured
757,139A,0,1,measured
758,B57A,0,1,measured
762,808C,0,1,measured
763,C637,0,1,measured
764,117E,0,1,measured
765,5D0F,0,1,measured
769,6D04,0,1,measured
770,AA97,0,1,measured
771,FF31,0,1,measured
772,6F2F,0,1,measured
774,490A,0,1,measured
775,912B,0,1,measured
776,DAA2,0,1,measured
777,1B84,0,1,measured
779,ABA0,0,1,measured
780,ABA0,0,1,measured
783,6D0C,0,1,measured
784,EB42,0,1,measured
785,15E4,0,1,measured
786,626A,0,1,measured
787,ABBC,0,1,measured
788,F473,0,1,measured
789,3CE4,0,1,measured
790,875D,0,1,measured
791,CF62,0,1,measured
792,518F,0,1,measured
795,1146,0,1,measured
796,9162,0,1,measured
797,C7F5,0,1,measured
801,A335,0,1,measured
802,F83F,0,1,measured
803,354E,0,1,measured
804,9349,0,1,measured
805,C7C7,0,1,measured
807,5A88,0,1,measured
810,4CFA,0,1,measured
811,D51C,0,1,measured
812,1E99,0,1,measured
816,3809,0,1,measured
817,801D,0,1,measured
818,801D,0,1,measured
819,DE53,0,1,measured
820,1BA5,0,1,measured
825,87C6,0,1,measured
826,D0FD,0,1,measured
827,1919,0,1,measured
828,6313,0,1,measured
831,748F,0,1,measured
832,BC34,0,1,measured
834,42E5,0,1,measured
839,7C56,0,1,measured
840,C4A7,0,1,measured
841,0D83,0,1,measured
846,69B3,0,1,measured
847,B19B,0,1,measured
848,FA81,0,1,measured
849,9667,0,1,measured
850,DF18,0,1,measured
852,7194,0,1,measured
853,AF0B,0,1,measured
854,2113,0,1,measured
855,5F44,0,1,measured
856,5F44,0,1,measured
857,A87E,0,1,measured
858,D5BB,0,1,measured
860,4981,0,1,measured
861,96F7,0,1,measured
862,2E0F,0,1,measured
863,5C00,0,1,measured
864,A5BE,0,1,measured
865,EE34,0,1,measured
867,80C7,0,1,measured
868,1F16,0,1,measured
869,6849,0,1,measured
871,E7B8,0,1,measured
873,9143,0,1,measured
874,CAB1,0,1,measured
875,CAB1,0,1,measured
876,1B01,0,1,measured
877,63D6,0,1,measured
878,ACBC,0,1,measured
879,F603,0,1,measured
880,3F52,0,1,measured
881,8933,0,1,measured
882,D25D,0,1,measured
883,00F0,0,1,measured
887,791C,0,1,measured
888,C3F8,0,1,measured
889,0658,0,1,measured
891,920E,0,1,measured
892,DD0E,0,1,measured
893,2713,0,1,measured
894,2713,0,1,measured
895,7052,0,1,measured
896,9D07,0,1,measured
897,CC00,0,1,measured
902,8E3D,0,1,measured
903,D77D,0,1,measured
904,1D36,0,1,measured
905,5E97,0,1,measured
906,1512,0,1,measured
907,4FD8,0,1,measured
908,99D5,0,1,measured
909,E1F5,0,1,measured
916,927D,0,1,measured
917,DAF5,0,1,measured
918,23EA,0,1,measured
919,6EA6,0,1,measured
922,4209,0,1,measured
923,7FD9,0,1,measured
924,C84D,0,1,measured
925,83E5,0,1,measured
929,8BD1,0,1,measured
