offset,seed,band,boots,how
268,CC61,0,1,measured
269,0B80,0,1,measured
270,54CD,0,1,measured
271,C8F2,0,1,measured
272,05C4,0,1,measured
273,4DA8,0,1,measured
274,968A,0,1,measured
275,DFBF,0,1,measured
276,2491,0,1,measured
277,72E3,0,1,measured
278,BB8B,0,1,measured
279,04C3,0,1,measured
280,4A5F,0,1,measured
281,92E7,0,1,measured
282,D999,0,1,measured
283,88BC,0,1,measured
284,B3EA,0,1,measured
285,FD04,0,1,measured
286,45E5,0,1,measured
287,8F68,0,1,measured
288,D8EF,0,1,measured
289,3BAB,0,1,measured
290,66CC,0,1,measured
291,B47A,0,1,measured
292,FE3B,0,1,measured
293,46B2,0,1,measured
294,91A2,0,1,measured
295,D9A1,0,1,measured
296,402A,0,1,measured
297,6FBD,0,1,measured
298,0D68,0,1,measured
299,5775,0,1,measured
300,A09B,0,1,measured
301,E650,0,1,measured
302,240E,0,1,measured
303,6D4B,0,1,measured
304,AAAC,0,1,measured
305,AAAC,0,1,measured
306,ED30,0,1,measured
307,3604,0,1,measured
308,7F4A,0,1,measured
309,00CE,0,1,measured
310,2B32,0,1,measured
311,74C1,0,1,measured
312,BD11,0,1,measured
313,06AB,0,1,measured
314,4FEA,0,1,measured
315,B09F,0,1,measured
316,E250,0,1,measured
317,5EAD,0,1,measured
318,A79E,0,1,measured
319,EC2A,0,1,measured
320,399C,0,1,measured
321,B70C,0,1,measured
322,DA3A,0,1,measured
323,2571,0,1,measured
324,2571,0,1,measured
325,6C29,0,1,measured
326,B537,0,1,measured
327,FE4F,0,1,measured
328,47F8,0,1,measured
329,90E8,0,1,measured
330,D963,0,1,measured
331,1C59,0,1,measured
332,595B,0,1,measured
333,A244,0,1,measured
334,EC8C,0,1,measured
335,302C,0,1,measured
336,D2DC,0,1,measured
337,1CCD,0,1,measured
338,65AB,0,1,measured
339,AF4A,0,1,measured
340,EC1F,0,1,measured
341,355F,0,1,measured
342,6113,0,1,measured
343,6113,0,1,measured
344,8EDE,0,1,measured
345,D7F6,0,1,measured
346,2014,0,1,measured
347,D0AC,0,1,measured
348,01F8,0,1,measured
349,4E9A,0,1,measured
350,8B0B,0,1,measured
351,E452,0,1,measured
352,2A36,0,1,measured
353,739A,0,1,measured
354,C16A,0,1,measured
355,51E9,0,1,measured
356,91AB,0,1,measured
357,D846,0,1,measured
358,21C9,0,1,measured
359,8CF6,0,1,measured
360,C8B5,0,1,measured
361,1119,0,1,measured
362,1119,0,1,measured
363,5DA7,0,1,measured
364,A3AB,0,1,measured
365,DF5B,0,1,measured
366,363B,0,1,measured
367,83B0,0,1,measured
368,C959,0,1,measured
369,F633,0,1,measured
370,42B1,0,1,measured
371,884D,0,1,measured
372,D1BE,0,1,measured
373,5133,0,1,measured
374,D1A4,0,1,measured
375,1B1B,0,1,measured
376,6397,0,1,measured
377,ACBA,0,1,measured
378,CBD8,0,1,measured
379,10DD,0,1,measured
380,5E97,0,1,measured
381,5E97,0,1,measured
382,8CAE,0,1,measured
383,B9A0,0,1,measured
384,01DB,0,1,measured
385,4A61,0,1,measured
386,F1C9,0,1,measured
387,2CD5,0,1,measured
388,75EF,0,1,measured
389,BFCF,0,1,measured
390,085C,0,1,measured
391,51AD,0,1,measured
392,AB9A,0,1,measured
393,39B2,0,1,measured
394,7E51,0,1,measured
395,CCC9,0,1,measured
396,156B,0,1,measured
397,525A,0,1,measured
398,B22A,0,1,measured
399,E872,0,1,measured
400,E872,0,1,measured
401,3210,0,1,measured
402,7ACF,0,1,measured
403,C405,0,1,measured
404,0D40,0,1,measured
405,5728,0,1,measured
406,A060,0,1,measured
407,E905,0,1,measured
408,2AB8,0,1,measured
409,6903,0,1,measured
410,A89B,0,1,measured
411,FAFC,0,1,measured
412,B4F1,0,1,measured
413,FDC8,0,1,measured
414,46A1,0,1,measured
415,8FF6,0,1,measured
416,CE0C,0,1,measured
417,23EB,0,1,measured
418,626B,0,1,measured
419,626B,0,1,measured
420,AB01,0,1,measured
421,D3B9,0,1,measured
422,1D30,0,1,measured
423,65F2,0,1,measured
424,E25D,0,1,measured
425,FFDE,0,1,measured
426,4D73,0,1,measured
427,9728,0,1,measured
428,DF99,0,1,measured
429,2983,0,1,measured
430,7241,0,1,measured
431,0FEC,0,1,measured
432,526C,0,1,measured
433,8F60,0,1,measured
434,D82D,0,1,measured
435,15A3,0,1,measured
436,5EFD,0,1,measured
437,A81B,0,1,measured
438,A81B,0,1,measured
