offset,seed,band,boots,how
6,B9E6,0,1,measured
7,E1E1,0,1,measured
8,2B53,0,1,measured
9,7428,0,1,measured
10,BD5B,0,1,measured
11,06A6,0,1,measured
12,4FE6,0,1,measured
13,4FA3,0,1,measured
14,7220,0,1,measured
15,BC8B,0,1,measured
16,BC8B,0,1,measured
17,03CB,0,1,measured
18,9723,0,1,measured
19,DF7A,0,1,measured
20,2242,0,1,measured
21,707B,0,1,measured
22,900A,0,1,measured
23,CE1B,0,1,measured
24,1673,0,1,measured
25,5FA2,0,1,measured
26,A8F3,0,1,measured
27,F22A,0,1,measured
28,1AEC,0,1,measured
29,2E00,0,1,measured
30,7740,0,1,measured
31,BF9D,0,1,measured
32,08E6,0,1,measured
33,5226,0,1,measured
34,9B66,0,1,measured
35,E0C1,0,1,measured
36,2DE2,0,1,measured
37,2DE2,0,1,measured
38,771E,0,1,measured
39,C066,0,1,measured
40,C121,0,1,measured
41,E40F,0,1,measured
42,2B37,0,1,measured
43,75BF,0,1,measured
44,BD4A,0,1,measured
45,05C7,0,1,measured
46,57F7,0,1,measured
47,9CA1,0,1,measured
48,E5B0,0,1,measured
49,2735,0,1,measured
50,6586,0,1,measured
51,A581,0,1,measured
52,F8A7,0,1,measured
53,4275,0,1,measured
54,8B13,0,1,measured
55,D485,0,1,measured
56,4B72,0,1,measured
57,9553,0,1,measured
58,DF81,0,1,measured
59,2948,0,1,measured
60,7012,0,1,measured
61,B6D2,0,1,measured
62,FFE8,0,1,measured
63,28F1,0,1,measured
64,E856,0,1,measured
65,03F6,0,1,measured
66,5344,0,1,measured
67,9AA4,0,1,measured
68,E4F7,0,1,measured
69,2E5A,0,1,measured
70,76A7,0,1,measured
71,C0A4,0,1,measured
72,08FA,0,1,measured
73,7C8D,0,1,measured
74,9C01,0,1,measured
75,E68B,0,1,measured
76,2DE4,0,1,measured
77,7840,0,1,measured
78,C0AB,0,1,measured
79,0ACD,0,1,measured
80,4F50,0,1,measured
81,9C2D,0,1,measured
82,0F59,0,1,measured
83,2F42,0,1,measured
84,7B6B,0,1,measured
85,C251,0,1,measured
86,0A08,0,1,measured
87,53F8,0,1,measured
88,9E02,0,1,measured
89,9E02,0,1,measured
90,E782,0,1,measured
91,5BA0,0,1,measured
92,7A8A,0,1,measured
93,C4FB,0,1,measured
94,0C66,0,1,measured
95,99C4,0,1,measured
96,E86A,0,1,measured
97,328B,0,1,measured
98,7C09,0,1,measured
99,F049,0,1,measured
100,0F3E,0,1,measured
101,567B,0,1,measured
102,A0E0,0,1,measured
103,E889,0,1,measured
104,3275,0,1,measured
105,7C8B,0,1,measured
106,C5FA,0,1,measured
107,383E,0,1,measured
108,56D3,0,1,measured
109,A141,0,1,measured
110,E3E7,0,1,measured
111,E3E7,0,1,measured
112,32FE,0,1,measured
113,7ACC,0,1,measured
114,C49F,0,1,measured
115,1193,0,1,measured
116,544B,0,1,measured
117,CB57,0,1,measured
118,E57D,0,1,measured
119,2E96,0,1,measured
120,7837,0,1,measured
121,0979,0,1,measured
122,52C7,0,1,measured
123,9C8D,0,1,measured
124,E53E,0,1,measured
125,21AA,0,1,measured
126,65B7,0,1,measured
127,AD45,0,1,measured
128,F67B,0,1,measured
129,4808,0,1,measured
130,896C,0,1,measured
131,D6EA,0,1,measured
132,20E4,0,1,measured
133,652C,0,1,measured
134,B2B5,0,1,measured
135,FC85,0,1,measured
136,4521,0,1,measured
137,8E95,0,1,measured
138,B8E7,0,1,measured
139,E882,0,1,measured
140,27F6,0,1,measured
141,7A1B,0,1,measured
142,2129,0,1,measured
143,596E,0,1,measured
144,A54D,0,1,measured
145,ED68,0,1,measured
146,36BD,0,1,measured
147,801F,0,1,measured
148,CA1B,0,1,measured
149,134D,0,1,measured
150,5BCD,0,1,measured
151,9D60,0,1,measured
152,DBAE,0,1,measured
153,24AA,0,1,measured
154,A898,0,1,measured
155,CC74,0,1,measured
156,1A31,0,1,measured
157,63E1,0,1,measured
158,AC1F,0,1,measured
159,F77A,0,1,measured
160,3F56,0,1,measured
161,8603,0,1,measured
162,CE54,0,1,measured
163,FBBE,0,1,measured
164,4537,0,1,measured
165,8DF7,0,1,measured
166,D72C,0,1,measured
167,53F7,0,1,measured
168,6B90,0,1,measured
169,B4E2,0,1,measured
170,F998,0,1,measured
171,467A,0,1,measured
172,8F57,0,1,measured
173,D898,0,1,measured
174,2363,0,1,measured
175,6A6B,0,1,measured
176,95F2,0,1,measured
177,C39F,0,1,measured
178,0CB0,0,1,measured
179,5572,0,1,measured
180,0875,0,1,measured
181,3985,0,1,measured
182,82A0,0,1,measured
183,CB41,0,1,measured
184,1500,0,1,measured
185,5A08,0,1,measured
186,A512,0,1,measured
187,09C3,0,1,measured
188,3A4E,0,1,measured
189,85A4,0,1,measured
190,CBFD,0,1,measured
191,15A9,0,1,measured
192,5F01,0,1,measured
193,C9CF,0,1,measured
194,F0FB,0,1,measured
195,3DAC,0,1,measured
196,8989,0,1,measured
197,CFF7,0,1,measured
198,19AE,0,1,measured
199,63F2,0,1,measured
200,A04B,0,1,measured
201,F1FB,0,1,measured
202,3394,0,1,measured
203,751B,0,1,measured
204,BA8E,0,1,measured
205,03F1,0,1,measured
206,8614,0,1,measured
207,B905,0,1,measured
208,0222,0,1,measured
209,4DD4,0,1,measured
210,9467,0,1,measured
211,DE24,0,1,measured
212,2854,0,1,measured
213,6D23,0,1,measured
214,B632,0,1,measured
215,D652,0,1,measured
216,2BCF,0,1,measured
217,713E,0,1,measured
218,BA9A,0,1,measured
219,3FC5,0,1,measured
220,626C,0,1,measured
221,ABF7,0,1,measured
222,F46E,0,1,measured
223,3D3C,0,1,measured
224,867D,0,1,measured
225,D017,0,1,measured
226,18FE,0,1,measured
227,6157,0,1,measured
228,8884,0,1,measured
229,C5CA,0,1,measured
230,09A9,0,1,measured
231,5890,0,1,measured
232,A3A2,0,1,measured
233,E8C8,0,1,measured
234,327A,0,1,measured
235,7AC8,0,1,measured
236,C406,0,1,measured
237,0DFB,0,1,measured
238,5692,0,1,measured
239,9FBD,0,1,measured
240,E911,0,1,measured
241,148F,0,1,measured
242,3F63,0,1,measured
243,87CA,0,1,measured
244,5572,0,1,measured
245,6639,0,1,measured
246,B413,0,1,measured
247,FDFD,0,1,measured
248,454E,0,1,measured
249,8FA8,0,1,measured
250,D911,0,1,measured
251,2109,0,1,measured
252,6A57,0,1,measured
253,AC0F,0,1,measured
254,EA4C,0,1,measured
255,3331,0,1,measured
256,7C5B,0,1,measured
257,12B6,0,1,measured
258,48B0,0,1,measured
259,91D9,0,1,measured
