offset,seed,band,boots,how
268,CC75,0,1,measured
269,0B89,0,1,measured
270,54D6,0,1,measured
271,C903,0,1,measured
272,05CD,0,1,measured
273,4DB9,0,1,measured
274,9693,0,1,measured
275,DFD4,0,1,measured
276,2490,0,1,measured
277,72EA,0,1,measured
278,BB95,0,1,measured
279,04D8,0,1,measured
280,4A6B,0,1,measured
281,92F0,0,1,measured
282,D9A2,0,1,measured
283,88C5,0,1,measured
284,B3FA,0,1,measured
285,FD03,0,1,measured
286,45EE,0,1,measured
287,8F65,0,1,measured
288,D8F1,0,1,measured
289,3BB1,0,1,measured
290,66C9,0,1,measured
291,B488,0,1,measured
292,FE44,0,1,measured
293,46C2,0,1,measured
294,91A1,0,1,measured
295,D9AF,0,1,measured
296,4033,0,1,measured
297,6FC5,0,1,measured
298,0D71,0,1,measured
299,577E,0,1,measured
300,A0A2,0,1,measured
301,E661,0,1,measured
302,2412,0,1,measured
303,6D4A,0,1,measured
304,AAB3,0,1,measured
305,AAB3,0,1,measured
306,ED39,0,1,measured
307,3604,0,1,measured
308,7F48,0,1,measured
309,00E2,0,1,measured
310,2B3B,0,1,measured
311,74CA,0,1,measured
312,BD24,0,1,measured
313,06BC,0,1,measured
314,4FFB,0,1,measured
315,B0A8,0,1,measured
316,E252,0,1,measured
317,5EBF,0,1,measured
318,A7A7,0,1,measured
319,EC33,0,1,measured
320,39A6,0,1,measured
321,B715,0,1,measured
322,DA4C,0,1,measured
323,2576,0,1,measured
324,2576,0,1,measured
325,6C32,0,1,measured
326,B53D,0,1,measured
327,FE57,0,1,measured
328,4801,0,1,measured
329,90F3,0,1,measured
330,D96A,0,1,measured
331,1C62,0,1,measured
332,595A,0,1,measured
333,A24D,0,1,measured
334,EC95,0,1,measured
335,303F,0,1,measured
336,D2E5,0,1,measured
337,1CD8,0,1,measured
338,65BD,0,1,measured
339,AF53,0,1,measured
340,EC28,0,1,measured
341,3568,0,1,measured
342,6114,0,1,measured
343,6114,0,1,measured
344,8EE8,0,1,measured
345,D7FF,0,1,measured
346,2014,0,1,measured
347,D0B5,0,1,measured
348,01F6,0,1,measured
349,4EA3,0,1,measured
350,8B12,0,1,measured
351,E44E,0,1,measured
352,2A49,0,1,measured
353,73AE,0,1,measured
354,C17E,0,1,measured
355,51F1,0,1,measured
356,91B4,0,1,measured
357,D84F,0,1,measured
358,21D3,0,1,measured
359,8CFF,0,1,measured
360,C8BB,0,1,measured
361,1122,0,1,measured
362,1122,0,1,measured
363,5DA6,0,1,measured
364,A3B4,0,1,measured
365,DF6F,0,1,measured
366,3645,0,1,measured
367,83C2,0,1,measured
368,C957,0,1,measured
369,F634,0,1,measured
370,42B1,0,1,measured
371,8856,0,1,measured
372,D1BE,0,1,measured
373,513C,0,1,measured
374,D1B6,0,1,measured
375,1B1A,0,1,measured
376,6397,0,1,measured
377,ACC3,0,1,measured
378,CBE1,0,1,measured
379,10E6,0,1,measured
380,5E95,0,1,measured
381,5E95,0,1,measured
382,8CAE,0,1,measured
383,B9A7,0,1,measured
384,01E5,0,1,measured
385,4A6A,0,1,measured
386,F1D2,0,1,measured
387,2CD0,0,1,measured
388,75F9,0,1,measured
389,BFD7,0,1,measured
390,0871,0,1,measured
391,51B7,0,1,measured
392,ABA3,0,1,measured
393,39B1,0,1,measured
394,7E51,0,1,measured
395,CCD2,0,1,measured
396,156C,0,1,measured
397,5268,0,1,measured
398,B233,0,1,measured
399,E86E,0,1,measured
400,E86E,0,1,measured
401,3224,0,1,measured
402,7AD8,0,1,measured
403,C418,0,1,measured
404,0D52,0,1,measured
405,5731,0,1,measured
406,A069,0,1,measured
407,E90E,0,1,measured
408,2AC1,0,1,measured
409,6902,0,1,measured
410,A89A,0,1,measured
411,FB0F,0,1,measured
412,B4FA,0,1,measured
413,FDDC,0,1,measured
414,46B4,0,1,measured
415,8FF6,0,1,measured
416,CE1F,0,1,measured
417,23F4,0,1,measured
418,6274,0,1,measured
419,6274,0,1,measured
420,AAFF,0,1,measured
421,D3C5,0,1,measured
422,1D43,0,1,measured
423,6605,0,1,measured
424,E266,0,1,measured
425,FFDE,0,1,measured
426,4D7C,0,1,measured
427,973A,0,1,measured
428,DF97,0,1,measured
429,2993,0,1,measured
430,724A,0,1,measured
431,0FEC,0,1,measured
