offset,seed,band,boots,how
268,CC74,0,1,measured
269,0B91,0,1,measured
270,54EE,0,1,measured
271,C903,0,1,measured
272,05E4,0,1,measured
273,4DB9,0,1,measured
274,9693,0,1,measured
275,DFD1,0,1,measured
276,2490,0,1,measured
277,7309,0,1,measured
278,BB89,0,1,measured
279,04D8,0,1,measured
280,4A60,0,1,measured
281,930D,0,1,measured
282,D9A1,0,1,measured
283,88F5,0,1,measured
284,B437,0,1,measured
285,FD3C,0,1,measured
286,45EE,0,1,measured
287,8F9A,0,1,measured
288,D924,0,1,measured
289,3BEA,0,1,measured
290,66FF,0,1,measured
291,B4BC,0,1,measured
292,FE79,0,1,measured
293,46C2,0,1,measured
294,9217,0,1,measured
295,D9E8,0,1,measured
296,4074,0,1,measured
297,6FFC,0,1,measured
298,0D69,0,1,measured
299,57BF,0,1,measured
300,A0D8,0,1,measured
301,E659,0,1,measured
302,2408,0,1,measured
303,6D45,0,1,measured
304,AAB3,0,1,measured
305,AAB3,0,1,measured
306,ED39,0,1,measured
307,3604,0,1,measured
308,7F48,0,1,measured
309,014D,0,1,measured
310,2B70,0,1,measured
311,7501,0,1,measured
312,BD23,0,1,measured
313,06F2,0,1,measured
314,5029,0,1,measured
315,B0DD,0,1,measured
316,E252,0,1,measured
317,5EBF,0,1,measured
318,A7A7,0,1,measured
319,EC2B,0,1,measured
320,39A6,0,1,measured
321,B74B,0,1,measured
322,DA78,0,1,measured
323,25E4,0,1,measured
324,25E4,0,1,measured
325,6C51,0,1,measured
326,B554,0,1,measured
327,FE75,0,1,measured
328,4821,0,1,measured
329,9110,0,1,measured
330,D96A,0,1,measured
331,1C7F,0,1,measured
332,595A,0,1,measured
333,A242,0,1,measured
334,ECB2,0,1,measured
335,3035,0,1,measured
336,D2E5,0,1,measured
337,1CEF,0,1,measured
338,65BD,0,1,measured
339,AF68,0,1,measured
340,EC1F,0,1,measured
341,3568,0,1,measured
342,6114,0,1,measured
343,6114,0,1,measured
344,8EFE,0,1,measured
345,D818,0,1,measured
346,2014,0,1,measured
347,D0CD,0,1,measured
348,01FF,0,1,measured
349,4EA3,0,1,measured
350,8B31,0,1,measured
351,E45A,0,1,measured
352,2A41,0,1,measured
353,73A3,0,1,measured
354,C192,0,1,measured
355,51F1,0,1,measured
356,91B4,0,1,measured
357,D85B,0,1,measured
358,21D3,0,1,measured
359,8D17,0,1,measured
360,C8D0,0,1,measured
361,112C,0,1,measured
362,112C,0,1,measured
363,5DA6,0,1,measured
364,A3B4,0,1,measured
365,DF6F,0,1,measured
366,363D,0,1,measured
367,83DA,0,1,measured
368,C983,0,1,measured
369,F63F,0,1,measured
370,42B9,0,1,measured
371,8856,0,1,measured
372,D1BE,0,1,measured
373,5173,0,1,measured
374,D1EC,0,1,measured
375,1B58,0,1,measured
376,63BD,0,1,measured
377,ACDC,0,1,measured
378,CBF6,0,1,measured
379,1107,0,1,measured
380,5EB4,0,1,measured
381,5EB4,0,1,measured
382,8CB8,0,1,measured
383,B9C8,0,1,measured
384,01E5,0,1,measured
385,4A6A,0,1,measured
386,F1C8,0,1,measured
387,2CD0,0,1,measured
388,75F9,0,1,measured
389,BFEF,0,1,measured
390,0870,0,1,measured
391,51B7,0,1,measured
392,ABC2,0,1,measured
393,39BB,0,1,measured
394,7E5A,0,1,measured
395,CCEA,0,1,measured
396,1578,0,1,measured
397,5268,0,1,measured
398,B251,0,1,measured
399,E87C,0,1,measured
400,E87C,0,1,measured
401,3241,0,1,measured
