offset,seed,band,boots,how
6,B9EF,0,1,measured
7,E1EA,0,1,measured
8,2B53,0,1,measured
9,742F,0,1,measured
10,BD64,0,1,measured
11,06A6,0,1,measured
12,4FE6,0,1,measured
13,4FA2,0,1,measured
14,7229,0,1,measured
15,BC89,0,1,measured
16,BC89,0,1,measured
17,03D2,0,1,measured
18,9723,0,1,measured
19,DF88,0,1,measured
20,2241,0,1,measured
21,7077,0,1,measured
22,9015,0,1,measured
23,CE1A,0,1,measured
24,1673,0,1,measured
25,5FB6,0,1,measured
26,A8FD,0,1,measured
27,F23C,0,1,measured
28,1AFF,0,1,measured
29,2E12,0,1,measured
30,7751,0,1,measured
31,BFAF,0,1,measured
32,08E6,0,1,measured
33,5226,0,1,measured
34,9B66,0,1,measured
35,E0C2,0,1,measured
36,2DEE,0,1,measured
37,2DEE,0,1,measured
38,7731,0,1,measured
39,C06F,0,1,measured
40,C121,0,1,measured
41,E421,0,1,measured
42,2B49,0,1,measured
43,75CE,0,1,measured
44,BD4F,0,1,measured
45,05D6,0,1,measured
46,5800,0,1,measured
47,9CA8,0,1,measured
48,E5B6,0,1,measured
49,2735,0,1,measured
50,6586,0,1,measured
51,A588,0,1,measured
52,F8AE,0,1,measured
53,427E,0,1,measured
54,8B25,0,1,measured
55,D498,0,1,measured
56,4B84,0,1,measured
57,955C,0,1,measured
58,DF92,0,1,measured
59,2955,0,1,measured
60,7026,0,1,measured
61,B6DB,0,1,measured
62,FFE8,0,1,measured
63,28EF,0,1,measured
64,E85F,0,1,measured
65,0407,0,1,measured
66,534B,0,1,measured
67,9AA6,0,1,measured
68,E503,0,1,measured
69,2E67,0,1,measured
70,76B1,0,1,measured
71,C0AD,0,1,measured
72,08F7,0,1,measured
73,7C89,0,1,measured
74,9C04,0,1,measured
75,E68B,0,1,measured
76,2DE6,0,1,measured
77,7849,0,1,measured
78,C0BF,0,1,measured
79,0AD3,0,1,measured
80,4F59,0,1,measured
81,9C36,0,1,measured
82,0F62,0,1,measured
83,2F4A,0,1,measured
84,7B6D,0,1,measured
85,C252,0,1,measured
86,0A10,0,1,measured
87,53F8,0,1,measured
88,9E0C,0,1,measured
89,9E0C,0,1,measured
90,E77E,0,1,measured
91,5B9F,0,1,measured
92,7A97,0,1,measured
93,C503,0,1,measured
94,0C73,0,1,measured
95,99D7,0,1,measured
96,E87A,0,1,measured
97,3290,0,1,measured
98,7C1B,0,1,measured
99,F05C,0,1,measured
100,0F47,0,1,measured
101,5681,0,1,measured
102,A0EC,0,1,measured
103,E898,0,1,measured
104,327B,0,1,measured
105,7C90,0,1,measured
106,C60D,0,1,measured
107,3847,0,1,measured
108,56D8,0,1,measured
109,A14A,0,1,measured
110,E3F9,0,1,measured
111,E3F9,0,1,measured
112,3300,0,1,measured
113,7AD5,0,1,measured
114,C4A8,0,1,measured
115,119D,0,1,measured
116,5454,0,1,measured
117,CB66,0,1,measured
118,E58F,0,1,measured
119,2E9F,0,1,measured
120,7840,0,1,measured
121,0982,0,1,measured
122,52D0,0,1,measured
123,9C96,0,1,measured
124,E550,0,1,measured
125,21B3,0,1,measured
126,65C0,0,1,measured
127,AD5C,0,1,measured
128,F68D,0,1,measured
129,4807,0,1,measured
130,896B,0,1,measured
131,D6F3,0,1,measured
132,20ED,0,1,measured
133,6532,0,1,measured
134,B2BE,0,1,measured
135,FC8E,0,1,measured
136,4533,0,1,measured
137,8E9C,0,1,measured
138,B8E6,0,1,measured
139,E892,0,1,measured
140,27F7,0,1,measured
141,7A19,0,1,measured
142,2133,0,1,measured
143,5978,0,1,measured
144,A548,0,1,measured
145,ED74,0,1,measured
146,36C7,0,1,measured
147,8021,0,1,measured
148,CA21,0,1,measured
149,1358,0,1,measured
150,5BD6,0,1,measured
151,9D69,0,1,measured
152,DBB7,0,1,measured
153,24A9,0,1,measured
154,A896,0,1,measured
155,CC88,0,1,measured
156,1A44,0,1,measured
157,63EA,0,1,measured
158,AC28,0,1,measured
159,F783,0,1,measured
160,3F5F,0,1,measured
161,860E,0,1,measured
162,CE51,0,1,measured
163,FBC6,0,1,measured
164,4543,0,1,measured
165,8E0B,0,1,measured
166,D72B,0,1,measured
167,5400,0,1,measured
168,6B90,0,1,measured
169,B4E2,0,1,measured
170,F9A9,0,1,measured
171,468F,0,1,measured
172,8F60,0,1,measured
173,D8A1,0,1,measured
174,2376,0,1,measured
175,6A74,0,1,measured
176,9604,0,1,measured
177,C3A8,0,1,measured
178,0CB1,0,1,measured
179,5584,0,1,measured
180,0870,0,1,measured
181,398D,0,1,measured
182,82B1,0,1,measured
183,CB4A,0,1,measured
184,1506,0,1,measured
185,5A08,0,1,measured
186,A51C,0,1,measured
187,09C5,0,1,measured
188,3A4F,0,1,measured
189,85B4,0,1,measured
190,CC10,0,1,measured
191,15BE,0,1,measured
192,5F08,0,1,measured
193,C9D8,0,1,measured
194,F0F4,0,1,measured
195,3DBC,0,1,measured
196,899B,0,1,measured
197,D008,0,1,measured
198,19B7,0,1,measured
199,63F2,0,1,measured
200,A054,0,1,measured
201,F20D,0,1,measured
202,33A6,0,1,measured
203,751A,0,1,measured
204,BA97,0,1,measured
205,03FA,0,1,measured
206,861D,0,1,measured
207,B91B,0,1,measured
208,022B,0,1,measured
209,4DE6,0,1,measured
210,9464,0,1,measured
211,DE23,0,1,measured
212,285D,0,1,measured
213,6D2C,0,1,measured
214,B63B,0,1,measured
215,D654,0,1,measured
216,2BDB,0,1,measured
217,714F,0,1,measured
218,BAA3,0,1,measured
219,3FC2,0,1,measured
220,6271,0,1,measured
221,AC01,0,1,measured
222,F475,0,1,measured
223,3D2B,0,1,measured
224,868F,0,1,measured
225,D029,0,1,measured
226,190F,0,1,measured
227,6168,0,1,measured
228,888D,0,1,measured
229,C5CA,0,1,measured
230,09BC,0,1,measured
231,588F,0,1,measured
232,A3A1,0,1,measured
233,E8D9,0,1,measured
234,328C,0,1,measured
235,7AD1,0,1,measured
236,C40F,0,1,measured
237,0DFC,0,1,measured
238,5698,0,1,measured
239,9FBE,0,1,measured
240,E923,0,1,measured
241,1498,0,1,measured
242,3F64,0,1,measured
243,87CB,0,1,measured
244,5588,0,1,measured
245,663A,0,1,measured
246,B424,0,1,measured
247,FE08,0,1,measured
248,455F,0,1,measured
249,8FB1,0,1,measured
250,D91A,0,1,measured
251,2112,0,1,measured
252,6A6A,0,1,measured
253,AC19,0,1,measured
254,EA5C,0,1,measured
255,3337,0,1,measured
256,7C61,0,1,measured
257,12B3,0,1,measured
258,48AF,0,1,measured
259,91E2,0,1,measured
260,D711,0,1,measured
261,24BE,0,1,measured
262,6CB8,0,1,measured
263,B6D3,0,1,measured
264,005E,0,1,measured
265,487B,0,1,measured
266,487B,0,1,measured
267,7748,0,1,measured
268,CC6A,0,1,measured
269,0B81,0,1,measured
270,54DE,0,1,measured
271,C8FB,0,1,measured
272,05DC,0,1,measured
273,4DB1,0,1,measured
274,9681,0,1,measured
275,DFC0,0,1,measured
276,2491,0,1,measured
277,7301,0,1,measured
278,BB8C,0,1,measured
279,04CD,0,1,measured
280,4A58,0,1,measured
281,9305,0,1,measured
282,D99A,0,1,measured
283,88F4,0,1,measured
284,B426,0,1,measured
285,FD38,0,1,measured
286,45E8,0,1,measured
287,8F9B,0,1,measured
288,D91E,0,1,measured
289,3BE2,0,1,measured
290,6700,0,1,measured
291,B4B8,0,1,measured
292,FE70,0,1,measured
293,46BA,0,1,measured
294,9205,0,1,measured
295,D9DC,0,1,measured
296,406C,0,1,measured
297,6FF2,0,1,measured
298,0D69,0,1,measured
299,57B7,0,1,measured
300,A0D0,0,1,measured
301,E659,0,1,measured
302,2404,0,1,measured
303,6D44,0,1,measured
304,AAAB,0,1,measured
305,AAAB,0,1,measured
306,ED31,0,1,measured
307,3606,0,1,measured
308,7F40,0,1,measured
309,013B,0,1,measured
310,2B71,0,1,measured
311,74F9,0,1,measured
312,BD12,0,1,measured
313,06E2,0,1,measured
314,5029,0,1,measured
315,B0CA,0,1,measured
316,E24A,0,1,measured
317,5EB7,0,1,measured
318,A7AB,0,1,measured
319,EC23,0,1,measured
320,399D,0,1,measured
321,B738,0,1,measured
322,DA6E,0,1,measured
323,25DC,0,1,measured
324,25DC,0,1,measured
325,6C49,0,1,measured
326,B543,0,1,measured
327,FE6D,0,1,measured
328,4819,0,1,measured
329,9108,0,1,measured
330,D95A,0,1,measured
331,1C6F,0,1,measured
332,595C,0,1,measured
333,A23A,0,1,measured
334,ECB4,0,1,measured
335,3037,0,1,measured
336,D2DD,0,1,measured
337,1CDE,0,1,measured
338,65B5,0,1,measured
339,AF60,0,1,measured
340,EC20,0,1,measured
341,3563,0,1,measured
342,6118,0,1,measured
343,6118,0,1,measured
344,8EF8,0,1,measured
345,D80F,0,1,measured
346,2015,0,1,measured
347,D0D0,0,1,measured
348,01EE,0,1,measured
349,4E8D,0,1,measured
350,8B1F,0,1,measured
351,E453,0,1,measured
352,2A41,0,1,measured
353,73A5,0,1,measured
354,C18A,0,1,measured
355,51E9,0,1,measured
356,91AC,0,1,measured
357,D851,0,1,measured
358,21C1,0,1,measured
359,8D0F,0,1,measured
360,C8D0,0,1,measured
361,111A,0,1,measured
362,111A,0,1,measured
363,5DA6,0,1,measured
364,A3AC,0,1,measured
365,DF67,0,1,measured
366,363D,0,1,measured
367,83D3,0,1,measured
368,C978,0,1,measured
369,F637,0,1,measured
370,42A9,0,1,measured
371,884E,0,1,measured
372,D1C0,0,1,measured
373,515F,0,1,measured
374,D1E4,0,1,measured
375,1B49,0,1,measured
376,63AD,0,1,measured
377,ACCB,0,1,measured
378,CBFA,0,1,measured
379,10F7,0,1,measured
380,5EB5,0,1,measured
381,5EB5,0,1,measured
382,8CB0,0,1,measured
383,B9CA,0,1,measured
384,01D9,0,1,measured
385,4A65,0,1,measured
386,F1CA,0,1,measured
387,2CD2,0,1,measured
388,75F4,0,1,measured
389,BFE6,0,1,measured
390,0866,0,1,measured
391,51AF,0,1,measured
392,ABBA,0,1,measured
393,39B3,0,1,measured
394,7E52,0,1,measured
395,CCE2,0,1,measured
396,1564,0,1,measured
397,5264,0,1,measured
398,B249,0,1,measured
399,E874,0,1,measured
400,E874,0,1,measured
401,3236,0,1,measured
402,7AD0,0,1,measured
403,C40E,0,1,measured
