offset,seed,band,boots,how
7,E8DD,0,1,measured
8,3257,0,1,measured
9,7B1D,0,1,measured
10,C463,0,1,measured
11,0DA6,0,1,measured
14,78E4,0,1,measured
15,C341,0,1,measured
16,C341,0,1,measured
17,0AC9,0,1,measured
18,9DF6,0,1,measured
21,774C,0,1,measured
22,970E,0,1,measured
23,D51E,0,1,measured
24,1D72,0,1,measured
25,66A2,0,1,measured
26,AFF3,0,1,measured
28,21E8,0,1,measured
29,350E,0,1,measured
30,7E3F,0,1,measured
35,E7BE,0,1,measured
36,34DE,0,1,measured
37,34DE,0,1,measured
38,7E26,0,1,measured
40,C79F,0,1,measured
41,EAC3,0,1,measured
42,3229,0,1,measured
43,7C8B,0,1,measured
44,C441,0,1,measured
45,0CD0,0,1,measured
50,6C83,0,1,measured
51,AC82,0,1,measured
53,494C,0,1,measured
54,91FB,0,1,measured
55,DB78,0,1,measured
56,526E,0,1,measured
57,9C49,0,1,measured
58,E662,0,1,measured
59,301A,0,1,measured
63,2FEC,0,1,measured
64,EF0E,0,1,measured
65,0ABE,0,1,measured
66,59F6,0,1,measured
69,352F,0,1,measured
70,7DAD,0,1,measured
71,C75B,0,1,measured
72,0FC1,0,1,measured
73,8340,0,1,measured
74,A2CC,0,1,measured
77,7F09,0,1,measured
78,C7BA,0,1,measured
80,5606,0,1,measured
82,1617,0,1,measured
84,8204,0,1,measured
85,C923,0,1,measured
86,10F0,0,1,measured
88,A4B5,0,1,measured
89,A4B5,0,1,measured
92,8154,0,1,measured
93,CBB5,0,1,measured
94,134F,0,1,measured
97,393F,0,1,measured
98,82B7,0,1,measured
99,F6CC,0,1,measured
100,15F2,0,1,measured
101,5D59,0,1,measured
103,EF77,0,1,measured
105,8338,0,1,measured
106,CCB1,0,1,measured
107,3EE9,0,1,measured
109,A7F2,0,1,measured
113,81AF,0,1,measured
114,CBAE,0,1,measured
115,1806,0,1,measured
116,5B4B,0,1,measured
117,D221,0,1,measured
118,EC4F,0,1,measured
120,7EFC,0,1,measured
121,1060,0,1,measured
125,28AA,0,1,measured
126,6C8D,0,1,measured
127,B453,0,1,measured
128,FD7A,0,1,measured
129,4EEA,0,1,measured
130,906D,0,1,measured
131,DDEA,0,1,measured
132,27CC,0,1,measured
133,6C1B,0,1,measured
134,B9BA,0,1,measured
135,0370,0,1,measured
136,4C21,0,1,measured
140,2EDA,0,1,measured
141,811A,0,1,measured
144,AC2C,0,1,measured
145,F468,0,1,measured
147,871B,0,1,measured
148,D105,0,1,measured
149,1A30,0,1,measured
154,AF5E,0,1,measured
155,D34E,0,1,measured
156,20F9,0,1,measured
157,6AB3,0,1,measured
