offset,seed,band,boots,how
7,E8DD,0,1,measured
8,3257,0,1,measured
9,7B1D,0,1,measured
10,C463,0,1,measured
11,0DA6,0,1,measured
14,791A,0,1,measured
17,0ABB,0,1,measured
18,9E23,0,1,measured
21,7777,0,1,measured
22,970E,0,1,measured
23,D51E,0,1,measured
24,1D72,0,1,measured
25,66A2,0,1,measured
26,AFF3,0,1,measured
28,21E8,0,1,measured
29,350E,0,1,measured
30,7E3F,0,1,measured
35,E7BE,0,1,measured
36,34DE,0,1,measured
37,34DE,0,1,measured
38,7E26,0,1,measured
40,C821,0,1,measured
41,EB0F,0,1,measured
42,3237,0,1,measured
43,7CBB,0,1,measured
44,C44E,0,1,measured
45,0CCF,0,1,measured
50,6C83,0,1,measured
51,AC82,0,1,measured
52,FFA5,0,1,measured
53,4980,0,1,measured
54,921C,0,1,measured
55,DB85,0,1,measured
56,526E,0,1,measured
57,9C60,0,1,measured
58,E67F,0,1,measured
63,2FEC,0,1,measured
64,EF5A,0,1,measured
65,0AF5,0,1,measured
69,355A,0,1,measured
70,7DA3,0,1,measured
71,C7A8,0,1,measured
72,0FEE,0,1,measured
73,838D,0,1,measured
75,ED8B,0,1,measured
77,7F3F,0,1,measured
78,C7AE,0,1,measured
79,11C2,0,1,measured
80,565B,0,1,measured
84,8267,0,1,measured
85,C957,0,1,measured
86,1108,0,1,measured
87,5AF8,0,1,measured
88,A502,0,1,measured
89,A502,0,1,measured
92,8189,0,1,measured
93,CC02,0,1,measured
94,1371,0,1,measured
98,8302,0,1,measured
99,F757,0,1,measured
100,1633,0,1,measured
105,8387,0,1,measured
106,CCFF,0,1,measured
110,EAF0,0,1,measured
111,EAF0,0,1,measured
113,81C9,0,1,measured
114,CBA7,0,1,measured
115,189E,0,1,measured
116,5B4B,0,1,measured
117,D257,0,1,measured
118,EC7D,0,1,measured
120,7F33,0,1,measured
121,1080,0,1,measured
122,59CA,0,1,measured
123,A392,0,1,measured
126,6CB2,0,1,measured
127,B44C,0,1,measured
128,FD7A,0,1,measured
129,4F08,0,1,measured
130,906C,0,1,measured
131,DDEA,0,1,measured
132,27E4,0,1,measured
133,6C1B,0,1,measured
134,B9BA,0,1,measured
135,038E,0,1,measured
139,EF7C,0,1,measured
140,2EF3,0,1,measured
141,811A,0,1,measured
142,282A,0,1,measured
144,AC4D,0,1,measured
145,F468,0,1,measured
146,3DBD,0,1,measured
147,871B,0,1,measured
148,D11F,0,1,measured
149,1A44,0,1,measured
154,AF94,0,1,measured
155,D384,0,1,measured
156,2139,0,1,measured
157,6AEC,0,1,measured
158,B327,0,1,measured
159,FE7A,0,1,measured
