offset,seed,band,boots,how
7,E8E6,0,1,measured
8,3258,0,1,measured
10,C464,0,1,measured
11,0DAF,0,1,measured
14,7926,0,1,measured
15,C38C,0,1,measured
16,C38C,0,1,measured
17,0ACA,0,1,measured
18,9E2C,0,1,measured
21,7773,0,1,measured
22,971A,0,1,measured
23,D524,0,1,measured
25,66B6,0,1,measured
26,AFFD,0,1,measured
28,21FB,0,1,measured
29,350D,0,1,measured
30,7E52,0,1,measured
35,E7BE,0,1,measured
36,34E7,0,1,measured
37,34E7,0,1,measured
38,7E26,0,1,measured
39,C766,0,1,measured
40,C821,0,1,measured
41,EB21,0,1,measured
42,3249,0,1,measured
43,7CCA,0,1,measured
44,C459,0,1,measured
45,0CD9,0,1,measured
49,2E3E,0,1,measured
50,6C8C,0,1,measured
51,AC83,0,1,measured
53,498C,0,1,measured
55,DB8E,0,1,measured
56,527E,0,1,measured
57,9C6A,0,1,measured
59,3049,0,1,measured
63,2FED,0,1,measured
64,EF6F,0,1,measured
69,3567,0,1,measured
70,7DAD,0,1,measured
71,C7B4,0,1,measured
72,0FF7,0,1,measured
73,8389,0,1,measured
74,A304,0,1,measured
76,34E6,0,1,measured
77,7F46,0,1,measured
78,C7C1,0,1,measured
79,11CC,0,1,measured
84,8267,0,1,measured
85,C954,0,1,measured
86,1110,0,1,measured
87,5AF8,0,1,measured
88,A513,0,1,measured
89,A513,0,1,measured
92,818F,0,1,measured
93,CC0B,0,1,measured
94,1377,0,1,measured
95,A0CD,0,1,measured
98,8317,0,1,measured
99,F760,0,1,measured
100,1649,0,1,measured
101,5D78,0,1,measured
103,EF98,0,1,measured
105,8385,0,1,measured
106,CD07,0,1,measured
113,81CE,0,1,measured
114,CBB1,0,1,measured
115,189C,0,1,measured
116,5B54,0,1,measured
117,D266,0,1,measured
120,7F3C,0,1,measured
121,1080,0,1,measured
122,59D0,0,1,measured
126,6CBB,0,1,measured
127,B455,0,1,measured
129,4F07,0,1,measured
130,906B,0,1,measured
131,DDF3,0,1,measured
132,27ED,0,1,measured
133,6C2E,0,1,measured
134,B9BA,0,1,measured
135,0398,0,1,measured
137,9592,0,1,measured
140,2EF3,0,1,measured
141,8121,0,1,measured
142,2827,0,1,measured
144,AC48,0,1,measured
145,F474,0,1,measured
146,3DC7,0,1,measured
147,8727,0,1,measured
148,D125,0,1,measured
149,1A4D,0,1,measured
154,AF92,0,1,measured
155,D38B,0,1,measured
156,2142,0,1,measured
159,FE83,0,1,measured
160,465F,0,1,measured
161,8D08,0,1,measured
162,D557,0,1,measured
163,02D2,0,1,measured
164,4C40,0,1,measured
168,728B,0,1,measured
169,BBF1,0,1,measured
171,4D8D,0,1,measured
172,9669,0,1,measured
174,2A76,0,1,measured
175,7170,0,1,measured
176,9D07,0,1,measured
177,CAB1,0,1,measured
182,89AE,0,1,measured
183,D24C,0,1,measured
184,1BFF,0,1,measured
189,8CAF,0,1,measured
190,D317,0,1,measured
191,1CB4,0,1,measured
192,6608,0,1,measured
193,D0D8,0,1,measured
194,F80F,0,1,measured
195,44BC,0,1,measured
196,9095,0,1,measured
197,D70A,0,1,measured
198,20B6,0,1,measured
203,7C17,0,1,measured
204,C19B,0,1,measured
205,0AF0,0,1,measured
206,8D1D,0,1,measured
209,54DD,0,1,measured
210,9B61,0,1,measured
211,E526,0,1,measured
213,7438,0,1,measured
215,DD5E,0,1,measured
217,784B,0,1,measured
218,C1B1,0,1,measured
219,46CB,0,1,measured
220,6971,0,1,measured
221,B301,0,1,measured
222,FB75,0,1,measured
224,8D8C,0,1,measured
225,D72C,0,1,measured
226,1FF6,0,1,measured
228,8F98,0,1,measured
231,5F8B,0,1,measured
232,AAA5,0,1,measured
234,398C,0,1,measured
235,81D1,0,1,measured
236,CB18,0,1,measured
238,5D93,0,1,measured
239,A6CB,0,1,measured
245,6D36,0,1,measured
246,BB21,0,1,measured
247,0506,0,1,measured
248,4C61,0,1,measured
249,96B1,0,1,measured
250,E01A,0,1,measured
251,2814,0,1,measured
252,715C,0,1,measured
253,B31D,0,1,measured
256,8357,0,1,measured
259,98DE,0,1,measured
260,DE20,0,1,measured
261,2BB4,0,1,measured
262,73C5,0,1,measured
264,075E,0,1,measured
265,4F7B,0,1,measured
266,4F7B,0,1,measured
267,7E45,0,1,measured
268,D367,0,1,measured
269,1289,0,1,measured
274,9D7F,0,1,measured
275,E6C6,0,1,measured
280,5153,0,1,measured
281,9A0B,0,1,measured
282,E09A,0,1,measured
283,8FF4,0,1,measured
284,BB26,0,1,measured
287,9698,0,1,measured
288,E020,0,1,measured
294,9901,0,1,measured
295,E0E1,0,1,measured
296,476C,0,1,measured
298,1461,0,1,measured
300,A7CC,0,1,measured
301,ED57,0,1,measured
302,2B02,0,1,measured
306,F431,0,1,measured
308,863D,0,1,measured
309,083F,0,1,measured
310,3271,0,1,measured
311,7BF9,0,1,measured
312,C41C,0,1,measured
314,5721,0,1,measured
315,B7C7,0,1,measured
316,E951,0,1,measured
318,AE9F,0,1,measured
321,BE35,0,1,measured
322,E172,0,1,measured
323,2CCE,0,1,measured
324,2CCE,0,1,measured
325,7349,0,1,measured
326,BC43,0,1,measured
329,9804,0,1,measured
330,E05F,0,1,measured
331,2377,0,1,measured
332,605A,0,1,measured
336,D9D9,0,1,measured
338,6CB5,0,1,measured
339,B660,0,1,measured
340,F320,0,1,measured
341,3C63,0,1,measured
342,6814,0,1,measured
343,6814,0,1,measured
344,95FC,0,1,measured
350,921C,0,1,measured
351,EB56,0,1,measured
353,7A9A,0,1,measured
354,C884,0,1,measured
355,58E9,0,1,measured
356,98A7,0,1,measured
357,DF55,0,1,measured
358,28C0,0,1,measured
361,1824,0,1,measured
362,1824,0,1,measured
364,AAA8,0,1,measured
365,E66A,0,1,measured
369,FD37,0,1,measured
370,49A9,0,1,measured
371,8F49,0,1,measured
372,D8BA,0,1,measured
373,586B,0,1,measured
374,D8DA,0,1,measured
377,B3C7,0,1,measured
378,D2F3,0,1,measured
379,17FF,0,1,measured
380,65AC,0,1,measured
381,65AC,0,1,measured
384,08D9,0,1,measured
385,5160,0,1,measured
386,F8C5,0,1,measured
387,33D2,0,1,measured
388,7CE7,0,1,measured
389,C6E6,0,1,measured
392,B2B6,0,1,measured
393,40B0,0,1,measured
398,B946,0,1,measured
399,EF75,0,1,measured
400,EF75,0,1,measured
401,3936,0,1,measured
403,CB10,0,1,measured
406,A771,0,1,measured
407,F002,0,1,measured
411,0207,0,1,measured
412,BC0A,0,1,measured
413,04CE,0,1,measured
414,4DAD,0,1,measured
415,96EE,0,1,measured
420,B1FE,0,1,measured
421,DAB5,0,1,measured
422,2439,0,1,measured
427,9E63,0,1,measured
428,E6B1,0,1,measured
429,30B9,0,1,measured
430,795B,0,1,measured
431,16ED,0,1,measured
433,9666,0,1,measured
434,DF33,0,1,measured
437,AF13,0,1,measured
438,AF13,0,1,measured
439,F859,0,1,measured
441,8AE9,0,1,measured
442,D427,0,1,measured
443,1DFB,0,1,measured
444,66EA,0,1,measured
445,AFF0,0,1,measured
446,DDF7,0,1,measured
447,0C30,0,1,measured
448,5515,0,1,measured
449,9EA9,0,1,measured
454,9BCF,0,1,measured
455,F34B,0,1,measured
456,402D,0,1,measured
457,402D,0,1,measured
459,C71D,0,1,measured
460,0855,0,1,measured
461,4DCE,0,1,measured
462,97DF,0,1,measured
463,080E,0,1,measured
464,440D,0,1,measured
466,E070,0,1,measured
469,FAEE,0,1,measured
473,0480,0,1,measured
474,49B2,0,1,measured
475,A695,0,1,measured
476,A695,0,1,measured
477,D95F,0,1,measured
483,9097,0,1,measured
484,D969,0,1,measured
485,0192,0,1,measured
488,7FFF,0,1,measured
489,B584,0,1,measured
490,FE9E,0,1,measured
491,48A4,0,1,measured
492,8FB1,0,1,measured
494,3396,0,1,measured
495,3396,0,1,measured
497,AB09,0,1,measured
498,F3F5,0,1,measured
499,3D03,0,1,measured
501,CF78,0,1,measured
504,A86A,0,1,measured
505,F171,0,1,measured
506,3A8D,0,1,measured
510,935B,0,1,measured
511,C58D,0,1,measured
512,0E55,0,1,measured
513,A05E,0,1,measured
514,A05E,0,1,measured
518,AB28,0,1,measured
519,F4E4,0,1,measured
520,3C8B,0,1,measured
521,A134,0,1,measured
522,CF78,0,1,measured
525,AAE9,0,1,measured
526,7342,0,1,measured
527,98D0,0,1,measured
528,E1D9,0,1,measured
531,B07A,0,1,measured
532,F9DB,0,1,measured
533,F9DB,0,1,measured
534,44AC,0,1,measured
535,8B88,0,1,measured
536,CE85,0,1,measured
537,0B6F,0,1,measured
539,9D78,0,1,measured
540,E6CF,0,1,measured
541,3014,0,1,measured
545,AAAA,0,1,measured
546,F346,0,1,measured
548,6640,0,1,measured
549,8879,0,1,measured
550,D180,0,1,measured
551,1AFF,0,1,measured
552,1AFF,0,1,measured
553,C64F,0,1,measured
554,FCE9,0,1,measured
555,488F,0,1,measured
556,90F1,0,1,measured
557,DA59,0,1,measured
558,23AD,0,1,measured
560,AB65,0,1,measured
561,FF68,0,1,measured
564,1C26,0,1,measured
565,948A,0,1,measured
566,C2A4,0,1,measured
567,0BCE,0,1,measured
568,4814,0,1,measured
572,21F8,0,1,measured
574,B397,0,1,measured
575,DE61,0,1,measured
579,418B,0,1,measured
580,7603,0,1,measured
581,BF91,0,1,measured
582,0809,0,1,measured
584,EEFE,0,1,measured
587,835F,0,1,measured
588,B223,0,1,measured
589,F6A9,0,1,measured
590,F6A9,0,1,measured
591,4489,0,1,measured
594,71E0,0,1,measured
595,B843,0,1,measured
596,01F0,0,1,measured
597,4B35,0,1,measured
598,B379,0,1,measured
599,DE09,0,1,measured
602,0EB3,0,1,measured
603,734F,0,1,measured
608,BB56,0,1,measured
609,BB56,0,1,measured
610,033A,0,1,measured
611,4BBE,0,1,measured
612,923F,0,1,measured
616,85D5,0,1,measured
617,292C,0,1,measured
618,5913,0,1,measured
622,D2B9,0,1,measured
623,1CF4,0,1,measured
624,6166,0,1,measured
625,7FC5,0,1,measured
626,AB2B,0,1,measured
627,F285,0,1,measured
628,F285,0,1,measured
630,D56C,0,1,measured
631,FC97,0,1,measured
632,45BF,0,1,measured
637,B379,0,1,measured
638,FC6D,0,1,measured
639,0818,0,1,measured
640,97ED,0,1,measured
643,941E,0,1,measured
644,D20A,0,1,measured
645,1C01,0,1,measured
651,898C,0,1,measured
652,97F8,0,1,measured
653,C3A1,0,1,measured
654,0C87,0,1,measured
655,5503,0,1,measured
656,F7C2,0,1,measured
658,7C92,0,1,measured
659,1788,0,1,measured
661,AC60,0,1,measured
664,6E6D,0,1,measured
665,B369,0,1,measured
666,B369,0,1,measured
667,FC3B,0,1,measured
669,D971,0,1,measured
670,1317,0,1,measured
671,5CBF,0,1,measured
672,A4C2,0,1,measured
673,EEC7,0,1,measured
674,374A,0,1,measured
678,99DE,0,1,measured
679,DC05,0,1,measured
680,2B8A,0,1,measured
681,C813,0,1,measured
683,3EEB,0,1,measured
684,8581,0,1,measured
685,8581,0,1,measured
687,17AD,0,1,measured
692,4B7E,0,1,measured
693,947E,0,1,measured
694,1D59,0,1,measured
695,518F,0,1,measured
698,99D1,0,1,measured
699,D11A,0,1,measured
700,2875,0,1,measured
701,572A,0,1,measured
707,D8D6,0,1,measured
708,1307,0,1,measured
