offset,seed,band,boots,how
6,C0E6,0,1,measured
7,E8E1,0,1,measured
8,3257,0,1,measured
9,7B19,0,1,measured
10,C466,0,1,measured
11,0DA6,0,1,measured
12,56E3,0,1,measured
13,5656,0,1,measured
14,78E9,0,1,measured
15,C339,0,1,measured
16,C339,0,1,measured
17,0AC7,0,1,measured
18,9DF5,0,1,measured
19,E66B,0,1,measured
20,2923,0,1,measured
21,7751,0,1,measured
22,9705,0,1,measured
23,D517,0,1,measured
24,1D72,0,1,measured
25,66A4,0,1,measured
26,AFF4,0,1,measured
27,F928,0,1,measured
28,21EC,0,1,measured
29,3504,0,1,measured
30,7E43,0,1,measured
31,C69E,0,1,measured
32,0FE6,0,1,measured
33,5926,0,1,measured
34,A266,0,1,measured
35,E7C1,0,1,measured
36,34E6,0,1,measured
37,34E6,0,1,measured
38,7E22,0,1,measured
39,C766,0,1,measured
40,C5D9,0,1,measured
41,E969,0,1,measured
42,353D,0,1,measured
43,7C8E,0,1,measured
44,C432,0,1,measured
45,0CBE,0,1,measured
46,5ECA,0,1,measured
47,A395,0,1,measured
48,ECB0,0,1,measured
49,2E35,0,1,measured
50,6C87,0,1,measured
51,AC85,0,1,measured
52,FF8E,0,1,measured
53,4949,0,1,measured
54,91FB,0,1,measured
55,DA7B,0,1,measured
56,52E5,0,1,measured
57,9C3F,0,1,measured
58,E65E,0,1,measured
59,301D,0,1,measured
60,76F6,0,1,measured
61,BDD2,0,1,measured
62,06E8,0,1,measured
63,2FF1,0,1,measured
64,EF1A,0,1,measured
65,0AC5,0,1,measured
66,59F8,0,1,measured
67,A18F,0,1,measured
68,EBC7,0,1,measured
69,33AD,0,1,measured
70,7DB3,0,1,measured
71,C9F4,0,1,measured
72,0D44,0,1,measured
73,825E,0,1,measured
74,A2CE,0,1,measured
75,ED42,0,1,measured
76,34C4,0,1,measured
77,7F0F,0,1,measured
78,C7AE,0,1,measured
79,1173,0,1,measured
80,5610,0,1,measured
81,A2F9,0,1,measured
82,160D,0,1,measured
83,3603,0,1,measured
84,8082,0,1,measured
85,C804,0,1,measured
86,136D,0,1,measured
87,5AF6,0,1,measured
88,A4D8,0,1,measured
89,A4D8,0,1,measured
90,EE2A,0,1,measured
91,624A,0,1,measured
92,8157,0,1,measured
93,CBB3,0,1,measured
94,134D,0,1,measured
95,A0B5,0,1,measured
96,EF73,0,1,measured
97,393F,0,1,measured
98,82BB,0,1,measured
99,F504,0,1,measured
100,1494,0,1,measured
101,6079,0,1,measured
102,A7A1,0,1,measured
103,EF73,0,1,measured
104,397A,0,1,measured
105,833F,0,1,measured
106,CCB9,0,1,measured
107,3EE4,0,1,measured
108,5D9C,0,1,measured
109,A7E9,0,1,measured
110,EADB,0,1,measured
111,EADB,0,1,measured
112,39C6,0,1,measured
113,81B1,0,1,measured
114,CBAC,0,1,measured
115,1586,0,1,measured
116,5F02,0,1,measured
117,D51F,0,1,measured
118,EC45,0,1,measured
119,35C5,0,1,measured
120,7E51,0,1,measured
121,1064,0,1,measured
122,5A13,0,1,measured
123,A2FA,0,1,measured
124,EB75,0,1,measured
125,29C3,0,1,measured
126,6B7F,0,1,measured
127,B453,0,1,measured
128,FE90,0,1,measured
129,4D89,0,1,measured
130,906E,0,1,measured
131,DEC2,0,1,measured
132,272F,0,1,measured
133,6C20,0,1,measured
134,BA4B,0,1,measured
135,02DA,0,1,measured
136,4C2A,0,1,measured
137,9595,0,1,measured
138,C06E,0,1,measured
139,EF64,0,1,measured
140,2E4E,0,1,measured
141,81B3,0,1,measured
142,2771,0,1,measured
143,606F,0,1,measured
144,ABE2,0,1,measured
145,F475,0,1,measured
146,3E09,0,1,measured
147,87AE,0,1,measured
148,D076,0,1,measured
149,199E,0,1,measured
150,62D8,0,1,measured
151,A460,0,1,measured
152,E2AE,0,1,measured
153,2BA0,0,1,measured
154,AF62,0,1,measured
155,D34E,0,1,measured
156,20F6,0,1,measured
