offset,seed,band,boots,how
6,C0EF,0,1,measured
7,E8EA,0,1,measured
8,3257,0,1,measured
9,7B2B,0,1,measured
10,C471,0,1,measured
11,0DAF,0,1,measured
12,56E4,0,1,measured
13,56A2,0,1,measured
14,7929,0,1,measured
15,C38C,0,1,measured
16,C38C,0,1,measured
17,0AD0,0,1,measured
18,9E23,0,1,measured
19,E688,0,1,measured
20,2941,0,1,measured
21,7777,0,1,measured
22,9718,0,1,measured
23,D520,0,1,measured
24,1D74,0,1,measured
25,66B9,0,1,measured
26,AFFC,0,1,measured
27,F931,0,1,measured
28,21F5,0,1,measured
29,350D,0,1,measured
30,7E4E,0,1,measured
31,C6A7,0,1,measured
32,0FEF,0,1,measured
33,5926,0,1,measured
34,A266,0,1,measured
35,E7C2,0,1,measured
36,34E6,0,1,measured
37,34E6,0,1,measured
38,7E22,0,1,measured
39,C76F,0,1,measured
40,C62E,0,1,measured
41,E9B1,0,1,measured
42,35AE,0,1,measured
43,7CC5,0,1,measured
44,C461,0,1,measured
45,0CD4,0,1,measured
46,5F0C,0,1,measured
47,A3A0,0,1,measured
48,ECB6,0,1,measured
49,2E3E,0,1,measured
50,6C90,0,1,measured
51,AC8B,0,1,measured
52,FFAA,0,1,measured
53,498B,0,1,measured
54,9225,0,1,measured
55,DA79,0,1,measured
56,52E7,0,1,measured
57,9C67,0,1,measured
58,E68D,0,1,measured
59,3053,0,1,measured
60,771B,0,1,measured
61,BDDB,0,1,measured
62,06E8,0,1,measured
63,2FF6,0,1,measured
64,EF62,0,1,measured
65,0B03,0,1,measured
66,5A4C,0,1,measured
67,A1B3,0,1,measured
68,EC0B,0,1,measured
69,33CD,0,1,measured
70,7DC0,0,1,measured
71,CA8A,0,1,measured
72,0D4D,0,1,measured
73,82B2,0,1,measured
74,A304,0,1,measured
75,ED99,0,1,measured
76,34EE,0,1,measured
77,7F49,0,1,measured
78,C7C1,0,1,measured
79,11C7,0,1,measured
80,565C,0,1,measured
81,A341,0,1,measured
82,1662,0,1,measured
83,364A,0,1,measured
84,80CB,0,1,measured
85,C82D,0,1,measured
86,13BD,0,1,measured
87,5B01,0,1,measured
88,A532,0,1,measured
89,A532,0,1,measured
90,EE7E,0,1,measured
91,629F,0,1,measured
92,8197,0,1,measured
93,CC09,0,1,measured
94,1375,0,1,measured
95,A0CD,0,1,measured
96,EF7A,0,1,measured
97,3990,0,1,measured
98,831B,0,1,measured
99,F564,0,1,measured
100,14C7,0,1,measured
101,60EC,0,1,measured
102,A7E0,0,1,measured
103,EF97,0,1,measured
104,397B,0,1,measured
105,8389,0,1,measured
106,CD0F,0,1,measured
107,3F3A,0,1,measured
108,5DD7,0,1,measured
109,A83C,0,1,measured
110,EAF9,0,1,measured
111,EAF9,0,1,measured
112,3A00,0,1,measured
113,81D5,0,1,measured
114,CBAB,0,1,measured
115,15D2,0,1,measured
116,5F5F,0,1,measured
117,D58B,0,1,measured
118,EC91,0,1,measured
119,360F,0,1,measured
