offset,seed,band,boots,how
6,82A6,0,1,measured
7,AA97,0,1,measured
8,F416,0,1,measured
9,3CD9,0,1,measured
10,861C,0,1,measured
11,CF65,0,1,measured
12,18A5,0,1,measured
13,1810,0,1,measured
14,3AB2,0,1,measured
15,84F8,0,1,measured
16,84F8,0,1,measured
17,CC7B,0,1,measured
18,5FA9,0,1,measured
19,A82A,0,1,measured
20,EADA,0,1,measured
21,3913,0,1,measured
22,58CD,0,1,measured
23,96CF,0,1,measured
24,DF33,0,1,measured
25,286D,0,1,measured
26,71B2,0,1,measured
27,BAF2,0,1,measured
28,E3B2,0,1,measured
29,F6C3,0,1,measured
30,4003,0,1,measured
31,8866,0,1,measured
32,D1A5,0,1,measured
33,1AE5,0,1,measured
34,6425,0,1,measured
35,A981,0,1,measured
36,F69C,0,1,measured
37,F69C,0,1,measured
38,3FE1,0,1,measured
39,8926,0,1,measured
40,879B,0,1,measured
41,AB2A,0,1,measured
42,F579,0,1,measured
43,3FD1,0,1,measured
44,85F7,0,1,measured
45,CE80,0,1,measured
46,1F72,0,1,measured
47,6557,0,1,measured
48,AE64,0,1,measured
49,EFED,0,1,measured
50,2E3E,0,1,measured
51,6E41,0,1,measured
52,C142,0,1,measured
53,0B01,0,1,measured
54,5329,0,1,measured
55,9C30,0,1,measured
56,143A,0,1,measured
57,5E74,0,1,measured
58,A823,0,1,measured
59,F1D1,0,1,measured
60,38B4,0,1,measured
61,7F91,0,1,measured
62,C8A7,0,1,measured
63,F1A5,0,1,measured
64,B0D9,0,1,measured
65,CC82,0,1,measured
66,1BBA,0,1,measured
67,6342,0,1,measured
68,AD8E,0,1,measured
69,F55B,0,1,measured
70,3F72,0,1,measured
71,8937,0,1,measured
72,D2BC,0,1,measured
73,456F,0,1,measured
74,6482,0,1,measured
75,AEFE,0,1,measured
76,F684,0,1,measured
77,40CE,0,1,measured
78,896E,0,1,measured
79,D33A,0,1,measured
80,17C5,0,1,measured
81,64C1,0,1,measured
82,D7CF,0,1,measured
83,F7C5,0,1,measured
84,423F,0,1,measured
85,89C4,0,1,measured
86,D404,0,1,measured
87,1ED3,0,1,measured
88,668D,0,1,measured
89,668D,0,1,measured
90,AEB1,0,1,measured
91,2398,0,1,measured
92,4318,0,1,measured
93,8D77,0,1,measured
94,D50A,0,1,measured
95,6274,0,1,measured
96,B125,0,1,measured
97,FAF6,0,1,measured
98,4485,0,1,measured
99,B6CB,0,1,measured
100,D652,0,1,measured
101,20BC,0,1,measured
102,6AEE,0,1,measured
103,B137,0,1,measured
104,FB38,0,1,measured
105,451C,0,1,measured
106,8E6E,0,1,measured
107,00AC,0,1,measured
108,1F53,0,1,measured
109,69B3,0,1,measured
110,AC97,0,1,measured
111,AC97,0,1,measured
112,FB81,0,1,measured
113,4373,0,1,measured
114,8D66,0,1,measured
115,D73C,0,1,measured
116,20CB,0,1,measured
117,9534,0,1,measured
118,AFAD,0,1,measured
119,F783,0,1,measured
120,4010,0,1,measured
121,D21D,0,1,measured
122,1BD4,0,1,measured
123,64C2,0,1,measured
124,AD2C,0,1,measured
125,EB82,0,1,measured
126,2D38,0,1,measured
127,7609,0,1,measured
128,C050,0,1,measured
129,0F3E,0,1,measured
130,5223,0,1,measured
131,9FA0,0,1,measured
132,E9C9,0,1,measured
133,2DE5,0,1,measured
134,7C0A,0,1,measured
135,C493,0,1,measured
136,0DE9,0,1,measured
