offset,seed,band,boots,how
6,829C,0,1,measured
7,AA97,0,1,measured
8,F40D,0,1,measured
9,3CCF,0,1,measured
10,861C,0,1,measured
11,CF5C,0,1,measured
12,189C,0,1,measured
13,180A,0,1,measured
14,3A9F,0,1,measured
15,84EF,0,1,measured
16,84EF,0,1,measured
17,CC7D,0,1,measured
18,5FAB,0,1,measured
19,A821,0,1,measured
20,EAD9,0,1,measured
21,3907,0,1,measured
22,58BB,0,1,measured
23,96CD,0,1,measured
24,DF28,0,1,measured
25,285A,0,1,measured
26,71AA,0,1,measured
27,BAE0,0,1,measured
28,E3A0,0,1,measured
29,F6BA,0,1,measured
30,3FF9,0,1,measured
31,8854,0,1,measured
32,D19C,0,1,measured
33,1ADC,0,1,measured
34,641C,0,1,measured
35,A977,0,1,measured
36,F69C,0,1,measured
37,F69C,0,1,measured
38,3FD8,0,1,measured
39,891C,0,1,measured
40,878F,0,1,measured
41,AB1F,0,1,measured
42,F56F,0,1,measured
43,3FD4,0,1,measured
44,85F5,0,1,measured
45,CE74,0,1,measured
46,1F68,0,1,measured
47,654B,0,1,measured
48,AE66,0,1,measured
49,EFEB,0,1,measured
50,2E3D,0,1,measured
51,6E3B,0,1,measured
52,C144,0,1,measured
53,0AFF,0,1,measured
54,5328,0,1,measured
55,9C31,0,1,measured
56,1431,0,1,measured
57,5E63,0,1,measured
58,A81B,0,1,measured
59,F1C8,0,1,measured
60,38AC,0,1,measured
61,7F94,0,1,measured
62,C895,0,1,measured
63,F1A7,0,1,measured
64,B0D0,0,1,measured
65,CC7B,0,1,measured
66,1BB8,0,1,measured
67,6345,0,1,measured
68,AD7D,0,1,measured
69,F563,0,1,measured
70,3F69,0,1,measured
71,892D,0,1,measured
72,D2BC,0,1,measured
73,455C,0,1,measured
74,6484,0,1,measured
75,AEF8,0,1,measured
76,F67A,0,1,measured
77,40C5,0,1,measured
78,8964,0,1,measured
79,D329,0,1,measured
80,17C6,0,1,measured
81,64AF,0,1,measured
82,D7C3,0,1,measured
83,F7B9,0,1,measured
84,4238,0,1,measured
85,89BA,0,1,measured
86,D404,0,1,measured
87,1ED1,0,1,measured
88,6674,0,1,measured
89,6674,0,1,measured
90,AEA6,0,1,measured
91,239A,0,1,measured
92,430D,0,1,measured
93,8D69,0,1,measured
94,D503,0,1,measured
95,626B,0,1,measured
96,B129,0,1,measured
97,FAEA,0,1,measured
98,4471,0,1,measured
99,B6BA,0,1,measured
100,D64A,0,1,measured
101,20AB,0,1,measured
102,6AE2,0,1,measured
103,B126,0,1,measured
104,FB30,0,1,measured
105,4517,0,1,measured
106,8E63,0,1,measured
107,009A,0,1,measured
108,1F52,0,1,measured
109,699F,0,1,measured
110,AC91,0,1,measured
111,AC91,0,1,measured
112,FB7C,0,1,measured
113,4367,0,1,measured
114,8D5C,0,1,measured
115,D73C,0,1,measured
116,20B8,0,1,measured
117,9533,0,1,measured
118,AFA5,0,1,measured
119,F782,0,1,measured
120,3FFE,0,1,measured
121,D21A,0,1,measured
122,1BC9,0,1,measured
123,64B0,0,1,measured
124,AD2B,0,1,measured
125,EB79,0,1,measured
126,2D35,0,1,measured
127,7609,0,1,measured
128,C046,0,1,measured
129,0F3F,0,1,measured
130,5224,0,1,measured
131,9FA0,0,1,measured
132,E9C7,0,1,measured
133,2DDD,0,1,measured
134,7C01,0,1,measured
135,C490,0,1,measured
136,0DE0,0,1,measured
137,5748,0,1,measured
138,822D,0,1,measured
139,B11A,0,1,measured
140,F004,0,1,measured
141,4369,0,1,measured
142,E932,0,1,measured
143,2225,0,1,measured
144,6D98,0,1,measured
145,B62B,0,1,measured
146,FF73,0,1,measured
147,49AD,0,1,measured
148,922B,0,1,measured
149,DB48,0,1,measured
150,2489,0,1,measured
151,6616,0,1,measured
152,A464,0,1,measured
153,ED56,0,1,measured
154,7118,0,1,measured
155,9504,0,1,measured
156,E2AC,0,1,measured
157,2C69,0,1,measured
158,74D5,0,1,measured
159,BE45,0,1,measured
160,0784,0,1,measured
161,512C,0,1,measured
162,97ED,0,1,measured
163,C46E,0,1,measured
164,0DE5,0,1,measured
165,56AD,0,1,measured
166,9FE2,0,1,measured
167,1C76,0,1,measured
168,3408,0,1,measured
169,7D67,0,1,measured
