offset,seed,band,boots,how
6,829C,0,1,measured
7,AA97,0,1,measured
8,F40D,0,1,measured
9,3CCF,0,1,measured
10,861C,0,1,measured
11,CF5C,0,1,measured
12,189C,0,1,measured
13,1856,0,1,measured
14,3AD6,0,1,measured
15,853A,0,1,measured
16,853A,0,1,measured
17,CC6F,0,1,measured
18,5FD9,0,1,measured
19,A830,0,1,measured
20,EAF8,0,1,measured
21,3931,0,1,measured
22,58C4,0,1,measured
23,96CD,0,1,measured
24,DF28,0,1,measured
25,285A,0,1,measured
26,71AA,0,1,measured
27,BAE0,0,1,measured
28,E3A0,0,1,measured
29,F6BA,0,1,measured
30,3FF9,0,1,measured
31,8854,0,1,measured
32,D19C,0,1,measured
33,1ADC,0,1,measured
34,641C,0,1,measured
35,A977,0,1,measured
36,F69C,0,1,measured
37,F69C,0,1,measured
38,3FD8,0,1,measured
39,891C,0,1,measured
40,87DB,0,1,measured
41,AB5E,0,1,measured
42,F5C3,0,1,measured
43,4013,0,1,measured
44,860C,0,1,measured
45,CE74,0,1,measured
46,1F7A,0,1,measured
47,654B,0,1,measured
48,AE66,0,1,measured
49,EFEB,0,1,measured
50,2E3D,0,1,measured
51,6E3B,0,1,measured
52,C158,0,1,measured
53,0B2E,0,1,measured
54,5328,0,1,measured
55,9C31,0,1,measured
56,1431,0,1,measured
57,5E79,0,1,measured
58,A839,0,1,measured
59,F200,0,1,measured
60,38C8,0,1,measured
61,7F88,0,1,measured
62,C89E,0,1,measured
63,F1A7,0,1,measured
64,B11C,0,1,measured
65,CCA6,0,1,measured
66,1C01,0,1,measured
67,635A,0,1,measured
68,ADB7,0,1,measured
69,F57B,0,1,measured
70,3F68,0,1,measured
71,8970,0,1,measured
72,D2FB,0,1,measured
73,45A8,0,1,measured
74,64B8,0,1,measured
75,AF41,0,1,measured
76,F69A,0,1,measured
77,40F6,0,1,measured
78,8964,0,1,measured
79,D375,0,1,measured
80,1811,0,1,measured
81,64E3,0,1,measured
82,D80F,0,1,measured
83,F7F8,0,1,measured
84,4281,0,1,measured
85,89DA,0,1,measured
86,D435,0,1,measured
87,1F10,0,1,measured
88,66CF,0,1,measured
89,66CF,0,1,measured
90,AEDD,0,1,measured
91,23DB,0,1,measured
92,4340,0,1,measured
93,8DB6,0,1,measured
94,D524,0,1,measured
95,627A,0,1,measured
96,B120,0,1,measured
97,FB41,0,1,measured
98,44BF,0,1,measured
99,B707,0,1,measured
100,D67F,0,1,measured
101,20F8,0,1,measured
102,6B35,0,1,measured
103,B148,0,1,measured
104,FB34,0,1,measured
105,4567,0,1,measured
106,8EB4,0,1,measured
107,00EF,0,1,measured
108,1F89,0,1,measured
109,69F7,0,1,measured
110,ACA6,0,1,measured
111,ACA6,0,1,measured
112,FBB4,0,1,measured
113,4382,0,1,measured
114,8D5C,0,1,measured
115,D77F,0,1,measured
116,2104,0,1,measured
117,9560,0,1,measured
118,B011,0,1,measured
119,F7BA,0,1,measured
120,4025,0,1,measured
121,D230,0,1,measured
122,1BE2,0,1,measured
123,64D7,0,1,measured
124,AD23,0,1,measured
125,EB97,0,1,measured
126,2D2D,0,1,measured
127,75FF,0,1,measured
128,C064,0,1,measured
129,0F3F,0,1,measured
130,5224,0,1,measured
131,9FA0,0,1,measured
132,E9E0,0,1,measured
133,2DDD,0,1,measured
134,7C1F,0,1,measured
135,C488,0,1,measured
136,0DE0,0,1,measured
137,5748,0,1,measured
138,823D,0,1,measured
139,B132,0,1,measured
140,F004,0,1,measured
141,4374,0,1,measured
142,E930,0,1,measured
143,2224,0,1,measured
144,6DBA,0,1,measured
145,B62B,0,1,measured
146,FF73,0,1,measured
147,49C7,0,1,measured
148,9222,0,1,measured
149,DB51,0,1,measured
150,2489,0,1,measured
151,6616,0,1,measured
152,A464,0,1,measured
153,ED60,0,1,measured
154,714E,0,1,measured
155,953A,0,1,measured
156,E2E9,0,1,measured
157,2C97,0,1,measured
158,74DD,0,1,measured
159,BE7B,0,1,measured
160,07AF,0,1,measured
161,5156,0,1,measured
162,97ED,0,1,measured
163,C46E,0,1,measured
164,0DE5,0,1,measured
165,56AD,0,1,measured
166,9FE2,0,1,measured
167,1CAD,0,1,measured
168,3446,0,1,measured
169,7D9C,0,1,measured
