offset,seed,band,boots,how
8,F412,0,1,measured
9,3CDC,0,1,measured
10,8625,0,1,measured
12,18A3,0,1,measured
13,1857,0,1,measured
15,854A,0,1,measured
16,854A,0,1,measured
17,CC7F,0,1,measured
22,58C9,0,1,measured
23,96DB,0,1,measured
24,DF29,0,1,measured
27,BAF0,0,1,measured
28,E3B4,0,1,measured
29,F6BF,0,1,measured
30,4001,0,1,measured
31,8865,0,1,measured
36,F699,0,1,measured
37,F699,0,1,measured
38,3FE6,0,1,measured
39,8925,0,1,measured
42,F766,0,1,measured
43,3E7C,0,1,measured
44,8612,0,1,measured
45,CE82,0,1,measured
46,20C1,0,1,measured
47,655E,0,1,measured
48,AE64,0,1,measured
51,6E3C,0,1,measured
52,C15E,0,1,measured
53,0B3F,0,1,measured
54,53D5,0,1,measured
55,9C30,0,1,measured
56,149B,0,1,measured
57,5E0F,0,1,measured
58,A83E,0,1,measured
59,F208,0,1,measured
61,7F9A,0,1,measured
62,C89E,0,1,measured
64,B121,0,1,measured
65,CCBD,0,1,measured
70,3F6A,0,1,measured
71,8C49,0,1,measured
72,CF08,0,1,measured
73,446B,0,1,measured
75,AF4E,0,1,measured
78,8973,0,1,measured
79,D38A,0,1,measured
80,181A,0,1,measured
85,89E0,0,1,measured
86,D574,0,1,measured
87,1CB4,0,1,measured
88,66ED,0,1,measured
89,66ED,0,1,measured
90,B040,0,1,measured
91,2458,0,1,measured
92,4343,0,1,measured
93,8DC3,0,1,measured
94,D523,0,1,measured
99,B70C,0,1,measured
100,D68E,0,1,measured
101,22A2,0,1,measured
102,69A0,0,1,measured
103,B143,0,1,measured
104,FB3D,0,1,measured
105,4540,0,1,measured
106,8EC1,0,1,measured
107,00FC,0,1,measured
114,8D67,0,1,measured
115,D78C,0,1,measured
116,2110,0,1,measured
117,9747,0,1,measured
118,AE3B,0,1,measured
119,F7BD,0,1,measured
120,4026,0,1,measured
121,D23E,0,1,measured
122,1BE8,0,1,measured
127,760F,0,1,measured
128,C07B,0,1,measured
129,0F47,0,1,measured
131,A091,0,1,measured
132,E8EF,0,1,measured
133,2DE8,0,1,measured
134,7C24,0,1,measured
135,C49E,0,1,measured
136,0DE9,0,1,measured
141,4384,0,1,measured
142,E938,0,1,measured
143,222C,0,1,measured
146,FFC5,0,1,measured
147,497C,0,1,measured
148,9232,0,1,measured
149,DB60,0,1,measured
150,248B,0,1,measured
155,953D,0,1,measured
156,E2F0,0,1,measured
157,2CA8,0,1,measured
158,74E7,0,1,measured
162,97EA,0,1,measured
164,0DEF,0,1,measured
169,7D98,0,1,measured
170,C256,0,1,measured
171,0F3B,0,1,measured
176,5EFA,0,1,measured
177,8C5E,0,1,measured
178,D567,0,1,measured
179,1E3A,0,1,measured
183,9402,0,1,measured
184,DDB5,0,1,measured
185,22C1,0,1,measured
190,94C0,0,1,measured
191,E077,0,1,measured
192,2569,0,1,measured
193,9233,0,1,measured
194,B9C4,0,1,measured
197,98BF,0,1,measured
198,E26D,0,1,measured
199,2CA7,0,1,measured
200,6903,0,1,measured
202,FC55,0,1,measured
204,834E,0,1,measured
205,CCB2,0,1,measured
206,50A7,0,1,measured
207,81C4,0,1,measured
208,CB46,0,1,measured
211,A687,0,1,measured
212,F3A9,0,1,measured
215,9F0B,0,1,measured
218,8361,0,1,measured
219,06A7,0,1,measured
220,2B26,0,1,measured
221,7683,0,1,measured
222,BD21,0,1,measured
223,05FA,0,1,measured
224,4F45,0,1,measured
225,98D6,0,1,measured
226,E1C8,0,1,measured
227,2A1F,0,1,measured
228,514B,0,1,measured
230,D272,0,1,measured
232,6C60,0,1,measured
233,B189,0,1,measured
234,FA4A,0,1,measured
235,4433,0,1,measured
236,8D0B,0,1,measured
237,D6B9,0,1,measured
238,1F45,0,1,measured
239,687D,0,1,measured
240,B1D9,0,1,measured
241,DD56,0,1,measured
242,0823,0,1,measured
246,7CD4,0,1,measured
247,C6B3,0,1,measured
251,EB48,0,1,measured
252,331C,0,1,measured
253,74CE,0,1,measured
