offset,seed,band,boots,how
6,82A5,0,1,measured
8,F409,0,1,measured
9,3CDE,0,1,measured
10,8613,0,1,measured
12,1899,0,1,measured
13,1859,0,1,measured
15,8541,0,1,measured
16,8541,0,1,measured
17,CC81,0,1,measured
22,58C0,0,1,measured
23,96D1,0,1,measured
24,DF29,0,1,measured
27,BADE,0,1,measured
28,E3A2,0,1,measured
29,F6BF,0,1,measured
30,3FF6,0,1,measured
31,8853,0,1,measured
36,F698,0,1,measured
37,F698,0,1,measured
38,3FD4,0,1,measured
41,AB60,0,1,measured
42,F763,0,1,measured
43,3E7D,0,1,measured
44,8600,0,1,measured
45,CE7D,0,1,measured
46,20AD,0,1,measured
47,6557,0,1,measured
50,2E3C,0,1,measured
51,6E37,0,1,measured
52,C15D,0,1,measured
53,0B2B,0,1,measured
54,53C9,0,1,measured
55,9C26,0,1,measured
56,149B,0,1,measured
57,5E06,0,1,measured
58,A837,0,1,measured
59,F1FE,0,1,measured
60,38D3,0,1,measured
64,B10C,0,1,measured
65,CCAC,0,1,measured
66,1BFA,0,1,measured
68,ADAD,0,1,measured
71,8C3E,0,1,measured
72,CEFE,0,1,measured
73,4462,0,1,measured
74,64B1,0,1,measured
75,AF3A,0,1,measured
78,8961,0,1,measured
79,D383,0,1,measured
80,1806,0,1,measured
85,89D8,0,1,measured
86,D563,0,1,measured
87,1CA2,0,1,measured
88,66EB,0,1,measured
89,66EB,0,1,measured
90,B02E,0,1,measured
91,2456,0,1,measured
93,8DB1,0,1,measured
94,D51C,0,1,measured
99,B703,0,1,measured
100,D67D,0,1,measured
101,2291,0,1,measured
102,698C,0,1,measured
103,B13F,0,1,measured
105,4541,0,1,measured
106,8EB0,0,1,measured
107,00F4,0,1,measured
110,AC9D,0,1,measured
111,AC9D,0,1,measured
114,8D55,0,1,measured
115,D782,0,1,measured
116,210C,0,1,measured
117,9738,0,1,measured
118,AE31,0,1,measured
119,F7B2,0,1,measured
121,D23D,0,1,measured
122,1BE8,0,1,measured
127,75FB,0,1,measured
128,C06A,0,1,measured
129,0F3D,0,1,measured
131,A090,0,1,measured
132,E8E5,0,1,measured
133,2DD6,0,1,measured
134,7C1B,0,1,measured
135,C48B,0,1,measured
136,0DE1,0,1,measured
138,8246,0,1,measured
139,B138,0,1,measured
141,4372,0,1,measured
142,E935,0,1,measured
143,2226,0,1,measured
145,B622,0,1,measured
146,FFBF,0,1,measured
147,497A,0,1,measured
148,9228,0,1,measured
149,DB56,0,1,measured
155,952A,0,1,measured
156,E2E7,0,1,measured
158,74D5,0,1,measured
162,97E1,0,1,measured
163,C474,0,1,measured
164,0DED,0,1,measured
165,56B5,0,1,measured
166,9FE1,0,1,measured
169,7D98,0,1,measured
170,C24E,0,1,measured
175,33EB,0,1,measured
176,5EF9,0,1,measured
177,8C52,0,1,measured
179,1E28,0,1,measured
183,93F7,0,1,measured
184,DDB6,0,1,measured
185,22BE,0,1,measured
190,94BF,0,1,measured
191,E06B,0,1,measured
192,2558,0,1,measured
193,9231,0,1,measured
194,B9BC,0,1,measured
197,98AD,0,1,measured
198,E264,0,1,measured
199,2CA8,0,1,measured
