offset,seed,band,boots,how
6,82AC,0,1,measured
7,AA96,0,1,measured
8,F40A,0,1,measured
9,3CD6,0,1,measured
10,8624,0,1,measured
11,CF5A,0,1,measured
12,189A,0,1,measured
13,1808,0,1,measured
14,3AA7,0,1,measured
15,84F5,0,1,measured
16,84F5,0,1,measured
17,CC7B,0,1,measured
18,5FB1,0,1,measured
19,A831,0,1,measured
20,EAD8,0,1,measured
21,390E,0,1,measured
22,58C3,0,1,measured
23,96CE,0,1,measured
24,DF27,0,1,measured
25,2862,0,1,measured
26,71B0,0,1,measured
27,BAF0,0,1,measured
28,E3A9,0,1,measured
29,F6C1,0,1,measured
30,3FFA,0,1,measured
31,8864,0,1,measured
32,D19A,0,1,measured
33,1ADC,0,1,measured
34,641A,0,1,measured
35,A978,0,1,measured
36,F69D,0,1,measured
37,F69D,0,1,measured
38,3FD6,0,1,measured
39,8924,0,1,measured
40,8790,0,1,measured
41,AB31,0,1,measured
42,F575,0,1,measured
43,3FD2,0,1,measured
44,85F9,0,1,measured
45,CE7E,0,1,measured
46,1F66,0,1,measured
47,6557,0,1,measured
48,AE66,0,1,measured
49,EFE9,0,1,measured
50,2E43,0,1,measured
51,6E3F,0,1,measured
52,C147,0,1,measured
53,0B08,0,1,measured
54,532E,0,1,measured
55,9C2E,0,1,measured
56,142E,0,1,measured
57,5E72,0,1,measured
58,A81C,0,1,measured
59,F1CF,0,1,measured
60,38B6,0,1,measured
61,7F98,0,1,measured
62,C89F,0,1,measured
63,F1AC,0,1,measured
64,B0D0,0,1,measured
65,CC7B,0,1,measured
66,1BB5,0,1,measured
67,6349,0,1,measured
68,AD84,0,1,measured
69,F558,0,1,measured
70,3F6A,0,1,measured
71,8935,0,1,measured
72,D2C0,0,1,measured
73,4561,0,1,measured
74,647F,0,1,measured
75,AEF5,0,1,measured
76,F684,0,1,measured
77,40C5,0,1,measured
78,896B,0,1,measured
79,D338,0,1,measured
80,17CD,0,1,measured
81,64B6,0,1,measured
82,D7CF,0,1,measured
83,F7C9,0,1,measured
84,423D,0,1,measured
85,89C4,0,1,measured
86,D408,0,1,measured
87,1ED7,0,1,measured
88,667F,0,1,measured
89,667F,0,1,measured
90,AEA7,0,1,measured
91,239F,0,1,measured
92,430B,0,1,measured
93,8D71,0,1,measured
94,D510,0,1,measured
95,626A,0,1,measured
96,B126,0,1,measured
97,FAF4,0,1,measured
98,4481,0,1,measured
99,B6C4,0,1,measured
100,D64F,0,1,measured
101,20B6,0,1,measured
102,6AF2,0,1,measured
103,B135,0,1,measured
104,FB32,0,1,measured
105,4519,0,1,measured
106,8E70,0,1,measured
107,00A2,0,1,measured
108,1F4C,0,1,measured
109,69B1,0,1,measured
110,AC95,0,1,measured
111,AC95,0,1,measured
112,FB81,0,1,measured
113,4369,0,1,measured
114,8D64,0,1,measured
115,D734,0,1,measured
116,20BD,0,1,measured
117,9530,0,1,measured
118,AFA3,0,1,measured
119,F782,0,1,measured
120,4005,0,1,measured
121,D218,0,1,measured
122,1BD1,0,1,measured
123,64B9,0,1,measured
124,AD2B,0,1,measured
125,EB7A,0,1,measured
126,2D3C,0,1,measured
127,7607,0,1,measured
128,C057,0,1,measured
129,0F46,0,1,measured
130,5221,0,1,measured
131,9F9E,0,1,measured
132,E9CF,0,1,measured
133,2DE3,0,1,measured
134,7BFF,0,1,measured
135,C498,0,1,measured
136,0DE7,0,1,measured
137,574E,0,1,measured
138,8234,0,1,measured
139,B129,0,1,measured
140,F002,0,1,measured
141,436C,0,1,measured
142,E938,0,1,measured
143,222A,0,1,measured
144,6DA2,0,1,measured
145,B631,0,1,measured
146,FF73,0,1,measured
147,49B7,0,1,measured
148,9232,0,1,measured
149,DB51,0,1,measured
150,248E,0,1,measured
151,6615,0,1,measured
152,A476,0,1,measured
153,ED66,0,1,measured
154,7112,0,1,measured
155,950A,0,1,measured
156,E2BB,0,1,measured
157,2C6F,0,1,measured
158,74E5,0,1,measured
159,BE43,0,1,measured
160,0789,0,1,measured
