offset,seed,band,boots,how
8,F407,0,1,measured
9,3CDA,0,1,measured
10,861A,0,1,measured
11,CF5C,0,1,measured
12,1897,0,1,measured
13,1856,0,1,measured
14,3ADF,0,1,measured
15,8545,0,1,measured
16,8545,0,1,measured
17,CC7D,0,1,measured
22,58BF,0,1,measured
23,96D6,0,1,measured
25,2864,0,1,measured
26,71A7,0,1,measured
27,BAE7,0,1,measured
28,E3B2,0,1,measured
29,F6BD,0,1,measured
30,3FFD,0,1,measured
31,885A,0,1,measured
35,A976,0,1,measured
36,F699,0,1,measured
37,F699,0,1,measured
38,3FE4,0,1,measured
39,891A,0,1,measured
42,F76A,0,1,measured
43,3E81,0,1,measured
44,860C,0,1,measured
45,CE8A,0,1,measured
46,20B8,0,1,measured
47,6558,0,1,measured
51,6E3A,0,1,measured
52,C163,0,1,measured
53,0B36,0,1,measured
54,53D9,0,1,measured
55,9C36,0,1,measured
56,149C,0,1,measured
57,5E17,0,1,measured
58,A846,0,1,measured
59,F1FE,0,1,measured
64,B118,0,1,measured
65,CCB4,0,1,measured
70,3F6A,0,1,measured
71,8C3D,0,1,measured
72,CF06,0,1,measured
73,4469,0,1,measured
74,64B9,0,1,measured
75,AF43,0,1,measured
78,8969,0,1,measured
79,D388,0,1,measured
85,89E0,0,1,measured
86,D577,0,1,measured
87,1CB4,0,1,measured
88,66EE,0,1,measured
89,66EE,0,1,measured
90,B03C,0,1,measured
91,245F,0,1,measured
92,4349,0,1,measured
93,8DC0,0,1,measured
94,D526,0,1,measured
96,B131,0,1,measured
99,B712,0,1,measured
100,D682,0,1,measured
101,22A8,0,1,measured
102,699E,0,1,measured
103,B14E,0,1,measured
104,FB38,0,1,measured
105,453E,0,1,measured
106,8EB6,0,1,measured
107,00FA,0,1,measured
114,8D5F,0,1,measured
115,D78A,0,1,measured
117,9745,0,1,measured
118,AE3C,0,1,measured
119,F7B9,0,1,measured
121,D23C,0,1,measured
127,760D,0,1,measured
128,C079,0,1,measured
129,0F45,0,1,measured
130,5221,0,1,measured
131,A08F,0,1,measured
132,E8F5,0,1,measured
133,2DE6,0,1,measured
134,7C19,0,1,measured
135,C494,0,1,measured
136,0DE7,0,1,measured
137,574E,0,1,measured
141,437D,0,1,measured
142,E936,0,1,measured
143,2224,0,1,measured
144,6DB6,0,1,measured
146,FFB9,0,1,measured
147,4978,0,1,measured
148,9227,0,1,measured
149,DB55,0,1,measured
150,2489,0,1,measured
155,9537,0,1,measured
156,E2F6,0,1,measured
157,2CA6,0,1,measured
159,BE82,0,1,measured
160,07C2,0,1,measured
161,5161,0,1,measured
162,97E5,0,1,measured
163,C47D,0,1,measured
164,0DEE,0,1,measured
165,56B6,0,1,measured
169,7D9E,0,1,measured
170,C25E,0,1,measured
171,0F39,0,1,measured
176,5EF8,0,1,measured
177,8C5A,0,1,measured
178,D565,0,1,measured
179,1E2E,0,1,measured
183,93EC,0,1,measured
184,DDBC,0,1,measured
185,22C6,0,1,measured
186,6DCF,0,1,measured
190,94C6,0,1,measured
