offset,seed,band,boots,how
6,829B,0,1,measured
7,AA96,0,1,measured
8,F403,0,1,measured
9,3CD7,0,1,measured
10,861D,0,1,measured
11,CF5B,0,1,measured
12,1892,0,1,measured
13,184C,0,1,measured
14,3ADD,0,1,measured
15,8538,0,1,measured
16,8538,0,1,measured
17,CC7C,0,1,measured
18,5FCF,0,1,measured
19,A834,0,1,measured
20,EAED,0,1,measured
21,3923,0,1,measured
22,58C4,0,1,measured
23,96CC,0,1,measured
24,DF20,0,1,measured
25,2865,0,1,measured
26,71A8,0,1,measured
27,BADF,0,1,measured
28,E39F,0,1,measured
29,F6C2,0,1,measured
30,3FFA,0,1,measured
31,8852,0,1,measured
32,D19B,0,1,measured
33,1AD2,0,1,measured
34,6412,0,1,measured
35,A96E,0,1,measured
36,F692,0,1,measured
37,F692,0,1,measured
38,3FCE,0,1,measured
39,891B,0,1,measured
40,87DA,0,1,measured
41,AB5D,0,1,measured
42,F5B8,0,1,measured
43,401C,0,1,measured
44,8603,0,1,measured
45,CE7C,0,1,measured
46,1F76,0,1,measured
47,654C,0,1,measured
48,AE62,0,1,measured
49,EFEA,0,1,measured
50,2E3C,0,1,measured
51,6E37,0,1,measured
52,C156,0,1,measured
53,0B37,0,1,measured
54,5328,0,1,measured
55,9C25,0,1,measured
56,1427,0,1,measured
57,5E80,0,1,measured
58,A82F,0,1,measured
59,F1F6,0,1,measured
60,38C7,0,1,measured
61,7F87,0,1,measured
62,C894,0,1,measured
63,F1A2,0,1,measured
64,B10E,0,1,measured
65,CCAF,0,1,measured
66,1BF8,0,1,measured
67,635F,0,1,measured
68,ADB7,0,1,measured
69,F579,0,1,measured
70,3F6C,0,1,measured
71,8971,0,1,measured
72,D2FA,0,1,measured
73,45AE,0,1,measured
74,64B6,0,1,measured
75,AF37,0,1,measured
76,F69A,0,1,measured
77,40F5,0,1,measured
78,896D,0,1,measured
79,D373,0,1,measured
80,1808,0,1,measured
81,64E2,0,1,measured
82,D80E,0,1,measured
83,F7F6,0,1,measured
84,4277,0,1,measured
85,89D9,0,1,measured
86,D432,0,1,measured
87,1F1E,0,1,measured
88,66CF,0,1,measured
89,66CF,0,1,measured
90,AEDC,0,1,measured
91,23E4,0,1,measured
92,4343,0,1,measured
93,8DB5,0,1,measured
94,D521,0,1,measured
95,6283,0,1,measured
96,B126,0,1,measured
97,FB3C,0,1,measured
98,44C7,0,1,measured
99,B710,0,1,measured
100,D673,0,1,measured
101,20F5,0,1,measured
102,6B2F,0,1,measured
103,B13D,0,1,measured
104,FB27,0,1,measured
105,4565,0,1,measured
106,8EBB,0,1,measured
107,00E6,0,1,measured
108,1F83,0,1,measured
109,69E8,0,1,measured
110,ACA5,0,1,measured
111,ACA5,0,1,measured
112,FBAC,0,1,measured
113,4381,0,1,measured
114,8D57,0,1,measured
115,D77E,0,1,measured
116,210B,0,1,measured
117,955F,0,1,measured
118,B010,0,1,measured
119,F7AD,0,1,measured
120,401A,0,1,measured
121,D22F,0,1,measured
122,1BE1,0,1,measured
123,64CE,0,1,measured
124,AD2D,0,1,measured
125,EB96,0,1,measured
126,2D2C,0,1,measured
127,760C,0,1,measured
128,C06F,0,1,measured
129,0F3E,0,1,measured
130,5223,0,1,measured
131,9FA0,0,1,measured
132,E9DF,0,1,measured
133,2DDC,0,1,measured
134,7C20,0,1,measured
135,C487,0,1,measured
136,0DE1,0,1,measured
137,574A,0,1,measured
