offset,seed,band,boots,how
6,82A4,0,1,measured
7,AA98,0,1,measured
8,F416,0,1,measured
9,3CDE,0,1,measured
10,8621,0,1,measured
11,CF65,0,1,measured
12,18A5,0,1,measured
13,19DA,0,1,measured
14,3C0A,0,1,measured
15,835E,0,1,measured
16,835E,0,1,measured
17,CD9A,0,1,measured
18,5F85,0,1,measured
19,A964,0,1,measured
20,EADA,0,1,measured
21,3999,0,1,measured
22,58CD,0,1,measured
23,96D3,0,1,measured
24,DF25,0,1,measured
25,2867,0,1,measured
26,71B2,0,1,measured
27,BAF2,0,1,measured
28,E3B4,0,1,measured
29,F6C1,0,1,measured
30,4000,0,1,measured
31,8858,0,1,measured
32,D19C,0,1,measured
33,1AE5,0,1,measured
34,6425,0,1,measured
35,A981,0,1,measured
36,F69C,0,1,measured
37,F69C,0,1,measured
38,3FE5,0,1,measured
39,8921,0,1,measured
40,8791,0,1,measured
41,AB31,0,1,measured
42,F578,0,1,measured
43,3D32,0,1,measured
44,889C,0,1,measured
45,CE89,0,1,measured
46,1F6D,0,1,measured
47,6557,0,1,measured
48,AE65,0,1,measured
49,EFEB,0,1,measured
50,2E3E,0,1,measured
51,6E40,0,1,measured
52,C147,0,1,measured
53,0B04,0,1,measured
54,5331,0,1,measured
55,9C39,0,1,measured
56,1438,0,1,measured
57,5D29,0,1,measured
58,A997,0,1,measured
59,EF4C,0,1,measured
60,37D6,0,1,measured
61,7F93,0,1,measured
62,C89E,0,1,measured
63,F1B0,0,1,measured
64,B0DA,0,1,measured
65,CC7E,0,1,measured
66,1BB7,0,1,measured
67,634E,0,1,measured
68,AD8E,0,1,measured
69,F55C,0,1,measured
70,3F72,0,1,measured
71,893A,0,1,measured
72,D2C6,0,1,measured
73,472F,0,1,measured
74,65DB,0,1,measured
75,AD68,0,1,measured
76,F79E,0,1,measured
77,3F5D,0,1,measured
78,8975,0,1,measured
79,D33C,0,1,measured
80,181B,0,1,measured
81,6248,0,1,measured
82,D6EB,0,1,measured
83,F7CC,0,1,measured
84,423F,0,1,measured
85,89C4,0,1,measured
86,D40E,0,1,measured
87,1CAB,0,1,measured
88,68CC,0,1,measured
89,68CC,0,1,measured
90,AEAE,0,1,measured
91,23A1,0,1,measured
92,4318,0,1,measured
93,8D7A,0,1,measured
94,D517,0,1,measured
95,626C,0,1,measured
96,B125,0,1,measured
97,FAF6,0,1,measured
98,4484,0,1,measured
99,B6CD,0,1,measured
100,D658,0,1,measured
101,20B7,0,1,measured
102,6857,0,1,measured
103,B3AE,0,1,measured
104,FB32,0,1,measured
105,451C,0,1,measured
106,8E78,0,1,measured
107,00B1,0,1,measured
108,1F55,0,1,measured
109,69AF,0,1,measured
110,AC97,0,1,measured
111,AC97,0,1,measured
112,FB81,0,1,measured
113,4372,0,1,measured
114,8D5E,0,1,measured
115,D73D,0,1,measured
116,20C4,0,1,measured
117,9534,0,1,measured
118,AE06,0,1,measured
119,F92B,0,1,measured
120,4007,0,1,measured
121,D21F,0,1,measured
122,1BD6,0,1,measured
123,64C2,0,1,measured
124,AD2C,0,1,measured
125,EB7B,0,1,measured
126,2D36,0,1,measured
127,7609,0,1,measured
128,C054,0,1,measured
129,0F3A,0,1,measured
130,5223,0,1,measured
131,9FA0,0,1,measured
132,E980,0,1,measured
133,2E27,0,1,measured
134,7C08,0,1,measured
135,C495,0,1,measured
136,0DE3,0,1,measured
137,574B,0,1,measured
138,822E,0,1,measured
139,B123,0,1,measured
140,F004,0,1,measured
141,4370,0,1,measured
142,E941,0,1,measured
143,2221,0,1,measured
144,6D9D,0,1,measured
145,B634,0,1,measured
146,FF7F,0,1,measured
147,48D7,0,1,measured
148,9305,0,1,measured
149,DB5F,0,1,measured
150,2489,0,1,measured
151,6619,0,1,measured
152,A46E,0,1,measured
153,ED68,0,1,measured
154,7114,0,1,measured
155,950D,0,1,measured
156,E2C1,0,1,measured
157,2C64,0,1,measured
158,74DE,0,1,measured
159,BE4D,0,1,measured
160,0785,0,1,measured
161,512C,0,1,measured
162,97ED,0,1,measured
163,C47D,0,1,measured
164,0DE9,0,1,measured
165,56B8,0,1,measured
166,9FE3,0,1,measured
167,1C89,0,1,measured
168,3419,0,1,measured
169,7D6E,0,1,measured
170,C220,0,1,measured
171,0F20,0,1,measured
172,57FE,0,1,measured
173,A139,0,1,measured
174,EAF1,0,1,measured
175,33D6,0,1,measured
176,5D84,0,1,measured
177,8D80,0,1,measured
178,D5B4,0,1,measured
179,1E38,0,1,measured
180,D0FE,0,1,measured
181,020F,0,1,measured
182,4B30,0,1,measured
183,9402,0,1,measured
184,DD86,0,1,measured
185,228D,0,1,measured
186,6DC9,0,1,measured
187,D250,0,1,measured
188,02D9,0,1,measured
189,4BF0,0,1,measured
190,94C2,0,1,measured
191,DE3E,0,1,measured
192,27D8,0,1,measured
193,9488,0,1,measured
194,B972,0,1,measured
195,06AC,0,1,measured
196,5251,0,1,measured
197,9883,0,1,measured
198,E1E1,0,1,measured
199,2F14,0,1,measured
200,690C,0,1,measured
201,BBA7,0,1,measured
202,FC5D,0,1,measured
203,3DDA,0,1,measured
204,8347,0,1,measured
205,CCB2,0,1,measured
206,4E98,0,1,measured
207,8197,0,1,measured
208,CCAE,0,1,measured
209,1690,0,1,measured
210,5CEC,0,1,measured
211,A65D,0,1,measured
212,F372,0,1,measured
213,36C0,0,1,measured
214,7EEB,0,1,measured
215,9F0A,0,1,measured
216,F48D,0,1,measured
217,3A05,0,1,measured
218,8366,0,1,measured
219,066F,0,1,measured
220,2AEA,0,1,measured
221,7414,0,1,measured
222,BDB9,0,1,measured
223,073B,0,1,measured
224,4F15,0,1,measured
225,98C1,0,1,measured
226,E196,0,1,measured
227,2A12,0,1,measured
228,512D,0,1,measured
229,8E80,0,1,measured
230,D272,0,1,measured
231,2128,0,1,measured
232,6C63,0,1,measured
233,B186,0,1,measured
234,FA44,0,1,measured
235,4412,0,1,measured
236,8CC5,0,1,measured
237,D602,0,1,measured
238,2026,0,1,measured
239,687E,0,1,measured
240,B1CF,0,1,measured
241,DD3A,0,1,measured
242,077A,0,1,measured
243,5081,0,1,measured
244,1E24,0,1,measured
245,2EE0,0,1,measured
246,7CC7,0,1,measured
247,C67D,0,1,measured
248,0E0C,0,1,measured
249,580B,0,1,measured
250,A094,0,1,measured
251,EAE8,0,1,measured
252,33B0,0,1,measured
253,7513,0,1,measured
254,B308,0,1,measured
255,FBE0,0,1,measured
256,4511,0,1,measured
257,DB4B,0,1,measured
258,1148,0,1,measured
259,5A6F,0,1,measured
260,9F92,0,1,measured
261,ED4E,0,1,measured
262,3578,0,1,measured
263,7F72,0,1,measured
264,C7F0,0,1,measured
265,11E9,0,1,measured
266,11E9,0,1,measured
267,3E20,0,1,measured
268,96C9,0,1,measured
269,D50F,0,1,measured
270,1D76,0,1,measured
271,91A8,0,1,measured
272,CE83,0,1,measured
273,165F,0,1,measured
274,5F42,0,1,measured
275,A87B,0,1,measured
276,ED3E,0,1,measured
277,3B96,0,1,measured
278,843C,0,1,measured
279,CD7C,0,1,measured
280,1310,0,1,measured
281,5BAB,0,1,measured
282,A246,0,1,measured
283,5313,0,1,measured
284,7CA1,0,1,measured
285,C627,0,1,measured
286,0E94,0,1,measured
287,581B,0,1,measured
288,A151,0,1,measured
289,03D9,0,1,measured
290,2F7C,0,1,measured
291,7D30,0,1,measured
292,C6E8,0,1,measured
293,0F66,0,1,measured
294,58D1,0,1,measured
