offset,seed,band,boots,how
7,AA97,0,1,measured
8,F416,0,1,measured
9,3CDC,0,1,measured
10,8621,0,1,measured
11,CF5C,0,1,measured
12,18A5,0,1,measured
13,1A5B,0,1,measured
14,3C4D,0,1,measured
15,837F,0,1,measured
16,837F,0,1,measured
17,CDBE,0,1,measured
18,5FB7,0,1,measured
19,A98E,0,1,measured
20,EAFF,0,1,measured
21,39B7,0,1,measured
23,96D1,0,1,measured
24,DF25,0,1,measured
25,2865,0,1,measured
26,71B2,0,1,measured
27,BAF2,0,1,measured
28,E3B4,0,1,measured
29,F6C1,0,1,measured
30,3FFF,0,1,measured
31,8858,0,1,measured
32,D1A6,0,1,measured
33,1AE5,0,1,measured
34,6425,0,1,measured
35,A981,0,1,measured
36,F69C,0,1,measured
37,F69C,0,1,measured
38,3FE5,0,1,measured
39,8921,0,1,measured
40,87DC,0,1,measured
41,AB68,0,1,measured
42,F5C9,0,1,measured
43,3D50,0,1,measured
44,88E0,0,1,measured
45,CE89,0,1,measured
46,1F82,0,1,measured
47,6557,0,1,measured
48,AE64,0,1,measured
49,EFEB,0,1,measured
50,2E3C,0,1,measured
51,6E41,0,1,measured
52,C15B,0,1,measured
53,0B32,0,1,measured
56,1430,0,1,measured
57,5D33,0,1,measured
58,A9E2,0,1,measured
59,EF4B,0,1,measured
60,37F3,0,1,measured
61,7F91,0,1,measured
62,C89E,0,1,measured
63,F1A5,0,1,measured
64,B126,0,1,measured
65,CCBD,0,1,measured
66,1C01,0,1,measured
67,6367,0,1,measured
68,ADC0,0,1,measured
69,F58C,0,1,measured
70,3F72,0,1,measured
71,8981,0,1,measured
72,D311,0,1,measured
73,47A8,0,1,measured
74,6625,0,1,measured
75,AD75,0,1,measured
76,F7D0,0,1,measured
77,3F7E,0,1,measured
78,8972,0,1,measured
79,D37F,0,1,measured
80,1868,0,1,measured
81,6241,0,1,measured
82,D736,0,1,measured
83,F7F6,0,1,measured
84,428E,0,1,measured
85,89E3,0,1,measured
86,D440,0,1,measured
87,1CB3,0,1,measured
90,AEE2,0,1,measured
91,23EE,0,1,measured
92,434E,0,1,measured
93,8DC9,0,1,measured
94,D523,0,1,measured
95,628E,0,1,measured
96,B129,0,1,measured
97,FB3E,0,1,measured
98,44D0,0,1,measured
99,B717,0,1,measured
100,D68E,0,1,measured
101,2103,0,1,measured
102,686F,0,1,measured
103,B3FB,0,1,measured
104,FB32,0,1,measured
105,4565,0,1,measured
106,8EC3,0,1,measured
108,1F7E,0,1,measured
109,69F7,0,1,measured
110,ACAF,0,1,measured
111,ACAF,0,1,measured
112,FBC1,0,1,measured
113,4382,0,1,measured
114,8D6D,0,1,measured
116,210A,0,1,measured
117,9571,0,1,measured
118,AE3E,0,1,measured
119,F98D,0,1,measured
120,402C,0,1,measured
121,D23F,0,1,measured
122,1BE4,0,1,measured
123,64E2,0,1,measured
124,AD35,0,1,measured
125,EBA1,0,1,measured
126,2D36,0,1,measured
127,7613,0,1,measured
129,0F43,0,1,measured
130,5225,0,1,measured
