offset,seed,band,boots,how
6,82AC,0,1,measured
7,AA95,0,1,measured
8,F40A,0,1,measured
9,3CDA,0,1,measured
10,8616,0,1,measured
11,CF5A,0,1,measured
12,189A,0,1,measured
13,19CF,0,1,measured
14,3C06,0,1,measured
15,8357,0,1,measured
16,8357,0,1,measured
17,CD97,0,1,measured
18,5F85,0,1,measured
19,A96C,0,1,measured
20,EAD8,0,1,measured
21,3993,0,1,measured
22,58CB,0,1,measured
23,96CF,0,1,measured
24,DF23,0,1,measured
25,286B,0,1,measured
26,71A7,0,1,measured
27,BAE8,0,1,measured
28,E3AB,0,1,measured
29,F6C8,0,1,measured
30,3FFC,0,1,measured
31,8856,0,1,measured
32,D19A,0,1,measured
33,1ADA,0,1,measured
34,641A,0,1,measured
35,A976,0,1,measured
36,F6A2,0,1,measured
37,F6A2,0,1,measured
38,3FDA,0,1,measured
39,8916,0,1,measured
40,8799,0,1,measured
41,AB31,0,1,measured
42,F575,0,1,measured
43,3D31,0,1,measured
44,8892,0,1,measured
45,CE81,0,1,measured
46,1F62,0,1,measured
47,655E,0,1,measured
48,AE66,0,1,measured
49,EFF2,0,1,measured
50,2E43,0,1,measured
51,6E3E,0,1,measured
52,C14C,0,1,measured
53,0B03,0,1,measured
54,5327,0,1,measured
55,9C37,0,1,measured
56,142E,0,1,measured
57,5D31,0,1,measured
58,A98C,0,1,measured
59,EF52,0,1,measured
60,37D9,0,1,measured
61,7F98,0,1,measured
62,C89C,0,1,measured
63,F1AC,0,1,measured
64,B0CF,0,1,measured
65,CC7E,0,1,measured
66,1BB3,0,1,measured
67,6343,0,1,measured
68,AD84,0,1,measured
69,F560,0,1,measured
70,3F68,0,1,measured
71,8937,0,1,measured
72,D2C3,0,1,measured
73,4725,0,1,measured
74,65D9,0,1,measured
75,AD65,0,1,measured
76,F793,0,1,measured
77,3F53,0,1,measured
78,8974,0,1,measured
79,D334,0,1,measured
80,1811,0,1,measured
81,623F,0,1,measured
82,D6E9,0,1,measured
83,F7BF,0,1,measured
84,423D,0,1,measured
85,89C1,0,1,measured
86,D404,0,1,measured
87,1CA6,0,1,measured
88,68CA,0,1,measured
89,68CA,0,1,measured
90,AEAB,0,1,measured
91,239F,0,1,measured
92,4312,0,1,measured
93,8D70,0,1,measured
94,D517,0,1,measured
95,6273,0,1,measured
96,B126,0,1,measured
97,FAF4,0,1,measured
98,4480,0,1,measured
99,B6C4,0,1,measured
100,D652,0,1,measured
101,20AC,0,1,measured
102,6857,0,1,measured
103,B3B5,0,1,measured
104,FB37,0,1,measured
105,4518,0,1,measured
106,8E70,0,1,measured
107,00AF,0,1,measured
108,1F48,0,1,measured
109,69B1,0,1,measured
110,AC95,0,1,measured
111,AC95,0,1,measured
112,FB81,0,1,measured
113,4368,0,1,measured
114,8D67,0,1,measured
115,D743,0,1,measured
116,20B6,0,1,measured
117,9530,0,1,measured
118,AE0E,0,1,measured
119,F921,0,1,measured
120,4003,0,1,measured
121,D21D,0,1,measured
122,1BCA,0,1,measured
123,64C0,0,1,measured
124,AD32,0,1,measured
125,EB80,0,1,measured
126,2D3C,0,1,measured
127,7611,0,1,measured
128,C05B,0,1,measured
129,0F38,0,1,measured
130,522B,0,1,measured
131,9F9E,0,1,measured
132,E988,0,1,measured
133,2E25,0,1,measured
134,7C06,0,1,measured
135,C49B,0,1,measured
136,0DE3,0,1,measured
137,5746,0,1,measured
138,8235,0,1,measured
139,B128,0,1,measured
140,F002,0,1,measured
141,436C,0,1,measured
142,E936,0,1,measured
143,2220,0,1,measured
144,6D9C,0,1,measured
145,B631,0,1,measured
146,FF72,0,1,measured
147,48D4,0,1,measured
148,9308,0,1,measured
149,DB52,0,1,measured
150,2488,0,1,measured
151,6615,0,1,measured
152,A476,0,1,measured
153,ED66,0,1,measured
154,7112,0,1,measured
155,950A,0,1,measured
156,E2BF,0,1,measured
157,2C6B,0,1,measured
158,74E6,0,1,measured
159,BE43,0,1,measured
160,0784,0,1,measured
161,512C,0,1,measured
162,97F6,0,1,measured
163,C47D,0,1,measured
164,0DE7,0,1,measured
165,56B6,0,1,measured
166,9FE8,0,1,measured
167,1C87,0,1,measured
168,340F,0,1,measured
169,7D6B,0,1,measured
170,C226,0,1,measured
171,0F1E,0,1,measured
172,5805,0,1,measured
173,A13F,0,1,measured
174,EAF0,0,1,measured
175,33DC,0,1,measured
176,5D7A,0,1,measured
177,8D75,0,1,measured
178,D5A9,0,1,measured
179,1E36,0,1,measured
180,D0F3,0,1,measured
181,020C,0,1,measured
182,4B27,0,1,measured
183,940B,0,1,measured
184,DD7F,0,1,measured
185,2284,0,1,measured
186,6DC9,0,1,measured
187,D246,0,1,measured
188,02CD,0,1,measured
189,4BF0,0,1,measured
190,94CB,0,1,measured
191,DE34,0,1,measured
192,27DE,0,1,measured
193,9486,0,1,measured
194,B970,0,1,measured
195,069F,0,1,measured
196,5243,0,1,measured
197,9881,0,1,measured
198,E1EB,0,1,measured
199,2F09,0,1,measured
200,690A,0,1,measured
201,BB9B,0,1,measured
202,FC5B,0,1,measured
203,3DD1,0,1,measured
204,834F,0,1,measured
205,CCA6,0,1,measured
206,4E96,0,1,measured
207,8195,0,1,measured
208,CCAC,0,1,measured
209,168E,0,1,measured
210,5CEC,0,1,measured
211,A65B,0,1,measured
212,F370,0,1,measured
213,36BE,0,1,measured
214,7EE9,0,1,measured
215,9F10,0,1,measured
216,F482,0,1,measured
217,39F9,0,1,measured
218,835A,0,1,measured
219,0664,0,1,measured
220,2AF1,0,1,measured
221,7412,0,1,measured
222,BDC4,0,1,measured
223,0739,0,1,measured
224,4F0A,0,1,measured
225,98C0,0,1,measured
226,E194,0,1,measured
227,2A10,0,1,measured
228,5126,0,1,measured
229,8E7E,0,1,measured
230,D270,0,1,measured
231,2126,0,1,measured
232,6C61,0,1,measured
233,B18D,0,1,measured
234,FA42,0,1,measured
235,4419,0,1,measured
236,8CC3,0,1,measured
237,D609,0,1,measured
238,2024,0,1,measured
239,687C,0,1,measured
240,B1D6,0,1,measured
241,DD30,0,1,measured
242,0778,0,1,measured
243,507F,0,1,measured
244,1E22,0,1,measured
245,2ED8,0,1,measured
246,7CC5,0,1,measured
247,C682,0,1,measured
248,0E07,0,1,measured
249,580F,0,1,measured
250,A092,0,1,measured
251,EAED,0,1,measured
252,33A7,0,1,measured
253,750E,0,1,measured
254,B30F,0,1,measured
255,FBDE,0,1,measured
256,450C,0,1,measured
257,DB53,0,1,measured
258,1146,0,1,measured
259,5A73,0,1,measured
260,9F92,0,1,measured
261,ED4C,0,1,measured
262,3573,0,1,measured
263,7F6A,0,1,measured
264,C7F6,0,1,measured
265,11DD,0,1,measured
266,11E7,0,1,measured
267,3E25,0,1,measured
268,96CD,0,1,measured
269,D50F,0,1,measured
270,1D74,0,1,measured
271,91A9,0,1,measured
272,CE79,0,1,measured
273,1665,0,1,measured
274,5F36,0,1,measured
275,A87A,0,1,measured
276,ED46,0,1,measured
277,3B8B,0,1,measured
278,8438,0,1,measured
279,CD81,0,1,measured
280,1316,0,1,measured
281,5BA9,0,1,measured
282,A245,0,1,measured
283,5308,0,1,measured
284,7CA4,0,1,measured
285,C61C,0,1,measured
286,0E92,0,1,measured
287,581B,0,1,measured
288,A14E,0,1,measured
289,03D7,0,1,measured
290,2F71,0,1,measured
291,7D34,0,1,measured
292,C6F2,0,1,measured
293,0F67,0,1,measured
294,58D3,0,1,measured
295,A20E,0,1,measured
296,086B,0,1,measured
297,3870,0,1,measured
298,D614,0,1,measured
299,2033,0,1,measured
300,6980,0,1,measured
301,B26D,0,1,measured
302,ED9F,0,1,measured
303,35F0,0,1,measured
304,7359,0,1,measured
305,7359,0,1,measured
306,B5EE,0,1,measured
307,FEB1,0,1,measured
308,47FE,0,1,measured
309,C7E7,0,1,measured
310,F3F0,0,1,measured
311,3CFB,0,1,measured
312,85CE,0,1,measured
313,D130,0,1,measured
314,1684,0,1,measured
315,7604,0,1,measured
316,AA1A,0,1,measured
317,2767,0,1,measured
318,705D,0,1,measured
319,B4D7,0,1,measured
320,0251,0,1,measured
321,7FC0,0,1,measured
322,A2EB,0,1,measured
323,EC03,0,1,measured
324,EC03,0,1,measured
325,35A7,0,1,measured
326,7E46,0,1,measured
327,C701,0,1,measured
328,11B5,0,1,measured
329,599C,0,1,measured
330,A212,0,1,measured
331,E50B,0,1,measured
332,2201,0,1,measured
333,6AEF,0,1,measured
334,B429,0,1,measured
335,F8EB,0,1,measured
336,9B95,0,1,measured
337,E581,0,1,measured
338,2E1C,0,1,measured
339,7771,0,1,measured
340,B565,0,1,measured
341,FE0D,0,1,measured
342,2A07,0,1,measured
343,2A07,0,1,measured
344,578B,0,1,measured
345,A009,0,1,measured
346,E8C5,0,1,measured
347,9967,0,1,measured
348,CAAB,0,1,measured
349,174B,0,1,measured
350,53BE,0,1,measured
351,AD00,0,1,measured
352,F2EC,0,1,measured
353,3C49,0,1,measured
354,89E1,0,1,measured
355,1A94,0,1,measured
356,5A5F,0,1,measured
