offset,seed,band,boots,how
6,829B,0,1,measured
7,AA96,0,1,measured
8,F403,0,1,measured
9,3CDB,0,1,measured
10,860E,0,1,measured
11,CF5B,0,1,measured
12,1892,0,1,measured
13,1A4A,0,1,measured
14,3C45,0,1,measured
15,8375,0,1,measured
16,8375,0,1,measured
17,CDB7,0,1,measured
18,5FA2,0,1,measured
19,A98F,0,1,measured
20,EAED,0,1,measured
21,39B0,0,1,measured
22,58C4,0,1,measured
23,96D0,0,1,measured
24,DF1A,0,1,measured
25,2863,0,1,measured
26,71A8,0,1,measured
27,BAE8,0,1,measured
28,E3A1,0,1,measured
29,F6C0,0,1,measured
30,3FFD,0,1,measured
31,8857,0,1,measured
32,D19B,0,1,measured
33,1ADB,0,1,measured
34,6412,0,1,measured
35,A96E,0,1,measured
36,F69E,0,1,measured
37,F69E,0,1,measured
38,3FD2,0,1,measured
39,890E,0,1,measured
40,87DA,0,1,measured
41,AB5D,0,1,measured
42,F5B8,0,1,measured
43,3D4A,0,1,measured
44,88D5,0,1,measured
45,CE80,0,1,measured
46,1F78,0,1,measured
47,6554,0,1,measured
48,AE62,0,1,measured
49,EFEA,0,1,measured
50,2E32,0,1,measured
51,6E37,0,1,measured
52,C15A,0,1,measured
53,0B28,0,1,measured
54,5327,0,1,measured
55,9C25,0,1,measured
56,1431,0,1,measured
57,5D29,0,1,measured
58,A9D1,0,1,measured
59,EF49,0,1,measured
60,37F2,0,1,measured
61,7F87,0,1,measured
62,C89D,0,1,measured
63,F1A2,0,1,measured
64,B10E,0,1,measured
65,CCB3,0,1,measured
66,1BF4,0,1,measured
67,6352,0,1,measured
68,ADAF,0,1,measured
69,F582,0,1,measured
70,3F6C,0,1,measured
71,8971,0,1,measured
72,D301,0,1,measured
73,47A6,0,1,measured
74,6625,0,1,measured
75,AD73,0,1,measured
76,F7C1,0,1,measured
77,3F7D,0,1,measured
78,896D,0,1,measured
79,D378,0,1,measured
80,1854,0,1,measured
81,6240,0,1,measured
82,D72B,0,1,measured
83,F7F6,0,1,measured
84,4285,0,1,measured
85,89D2,0,1,measured
86,D437,0,1,measured
87,1C9F,0,1,measured
88,695A,0,1,measured
89,695A,0,1,measured
90,AED2,0,1,measured
91,23E4,0,1,measured
92,4343,0,1,measured
93,8DB5,0,1,measured
94,D51E,0,1,measured
95,627A,0,1,measured
96,B120,0,1,measured
97,FB3C,0,1,measured
98,44BE,0,1,measured
99,B710,0,1,measured
100,D683,0,1,measured
101,20EF,0,1,measured
102,685F,0,1,measured
103,B3FA,0,1,measured
104,FB25,0,1,measured
105,4565,0,1,measured
106,8EB2,0,1,measured
107,00EA,0,1,measured
108,1F81,0,1,measured
109,69F6,0,1,measured
110,ACA5,0,1,measured
111,ACA5,0,1,measured
112,FBAC,0,1,measured
113,4381,0,1,measured
114,8D57,0,1,measured
115,D781,0,1,measured
116,2107,0,1,measured
117,9567,0,1,measured
118,AE32,0,1,measured
119,F98C,0,1,measured
120,4019,0,1,measured
121,D233,0,1,measured
122,1BE4,0,1,measured
123,64CF,0,1,measured
124,AD22,0,1,measured
125,EB8D,0,1,measured
126,2D2C,0,1,measured
127,760C,0,1,measured
128,C074,0,1,measured
129,0F30,0,1,measured
130,521B,0,1,measured
131,9F9F,0,1,measured
132,E998,0,1,measured
133,2E27,0,1,measured
134,7C1F,0,1,measured
135,C494,0,1,measured
136,0DDB,0,1,measured
137,5747,0,1,measured
