offset,seed,band,boots,how
6,029C,0,1,measured
7,2A97,0,1,measured
8,7409,0,1,measured
9,BCDE,0,1,measured
10,0613,0,1,measured
11,4F59,0,1,measured
12,989C,0,1,measured
13,980C,0,1,measured
14,BA9F,0,1,measured
15,04F4,0,1,measured
16,04F4,0,1,measured
17,4C72,0,1,measured
18,DFAB,0,1,measured
19,2821,0,1,measured
20,6AD9,0,1,measured
21,B907,0,1,measured
22,D8B7,0,1,measured
23,16D1,0,1,measured
24,5F29,0,1,measured
25,A85A,0,1,measured
26,F1A8,0,1,measured
27,3AE0,0,1,measured
28,63A2,0,1,measured
29,76B6,0,1,measured
30,BFF6,0,1,measured
31,0853,0,1,measured
32,519C,0,1,measured
33,9ADC,0,1,measured
34,E41C,0,1,measured
35,2977,0,1,measured
36,7698,0,1,measured
37,7698,0,1,measured
38,BFD4,0,1,measured
39,091C,0,1,measured
40,078F,0,1,measured
41,2E3B,0,1,measured
42,73CF,0,1,measured
43,BE4C,0,1,measured
44,05F2,0,1,measured
45,4E7D,0,1,measured
46,A079,0,1,measured
47,E54B,0,1,measured
48,2E66,0,1,measured
49,6FEB,0,1,measured
50,AE3D,0,1,measured
51,EE37,0,1,measured
52,4146,0,1,measured
53,8B00,0,1,measured
54,D3B9,0,1,measured
55,1C31,0,1,measured
56,9426,0,1,measured
57,DDF3,0,1,measured
58,2819,0,1,measured
59,71D1,0,1,measured
60,B8AC,0,1,measured
61,FF88,0,1,measured
62,489E,0,1,measured
63,71A7,0,1,measured
64,30CD,0,1,measured
65,4C7E,0,1,measured
66,9BB8,0,1,measured
67,E33A,0,1,measured
68,2D86,0,1,measured
69,7563,0,1,measured
70,C18C,0,1,measured
71,0965,0,1,measured
72,4EF7,0,1,measured
73,C409,0,1,measured
74,E484,0,1,measured
75,2EF8,0,1,measured
76,767A,0,1,measured
77,C0C5,0,1,measured
78,0961,0,1,measured
79,5331,0,1,measured
80,97C4,0,1,measured
81,E4AF,0,1,measured
82,57C3,0,1,measured
83,77B9,0,1,measured
84,C238,0,1,measured
85,0C53,0,1,measured
86,528A,0,1,measured
87,9CAE,0,1,measured
88,E68E,0,1,measured
89,E68E,0,1,measured
90,2FE0,0,1,measured
91,A400,0,1,measured
