offset,seed,band,boots,how
7,2A93,0,1,measured
8,740D,0,1,measured
9,BCD3,0,1,measured
10,0619,0,1,measured
11,4F5C,0,1,measured
14,BA9A,0,1,measured
15,04F7,0,1,measured
16,04F7,0,1,measured
17,4C7F,0,1,measured
18,DFAC,0,1,measured
21,B902,0,1,measured
22,D8C4,0,1,measured
23,16D4,0,1,measured
24,5F28,0,1,measured
25,A858,0,1,measured
26,F1A9,0,1,measured
28,639E,0,1,measured
29,76C4,0,1,measured
30,BFF5,0,1,measured
35,2974,0,1,measured
36,7694,0,1,measured
37,7694,0,1,measured
38,BFDC,0,1,measured
40,0955,0,1,measured
41,2C79,0,1,measured
42,73DF,0,1,measured
43,BE41,0,1,measured
44,05F7,0,1,measured
45,4E86,0,1,measured
50,AE39,0,1,measured
51,EE38,0,1,measured
53,8B02,0,1,measured
54,D3B1,0,1,measured
55,1D2E,0,1,measured
56,9424,0,1,measured
57,DDFF,0,1,measured
58,2818,0,1,measured
59,71D0,0,1,measured
63,71A2,0,1,measured
64,30C4,0,1,measured
65,4C74,0,1,measured
66,9BAC,0,1,measured
69,76E5,0,1,measured
70,BF63,0,1,measured
71,0911,0,1,measured
72,5177,0,1,measured
73,C4F6,0,1,measured
74,E482,0,1,measured
77,C0BF,0,1,measured
78,0970,0,1,measured
80,97BC,0,1,measured
82,57CD,0,1,measured
84,C3BA,0,1,measured
85,0AD9,0,1,measured
86,52A6,0,1,measured
88,E66B,0,1,measured
89,E66B,0,1,measured
92,C30A,0,1,measured
93,0D6B,0,1,measured
94,5505,0,1,measured
97,7AF5,0,1,measured
98,C46D,0,1,measured
99,3882,0,1,measured
100,57A8,0,1,measured
101,9F0F,0,1,measured
103,312D,0,1,measured
105,C4EE,0,1,measured
106,0E67,0,1,measured
107,809F,0,1,measured
109,E9A8,0,1,measured
113,C365,0,1,measured
114,0D64,0,1,measured
115,59BC,0,1,measured
116,9D01,0,1,measured
117,13D7,0,1,measured
118,2E05,0,1,measured
120,C0B2,0,1,measured
121,5216,0,1,measured
125,6A60,0,1,measured
126,AE43,0,1,measured
127,F609,0,1,measured
128,3F30,0,1,measured
129,90A0,0,1,measured
130,D223,0,1,measured
131,1FA0,0,1,measured
132,6982,0,1,measured
133,ADD1,0,1,measured
134,FB70,0,1,measured
135,4526,0,1,measured
136,8DD7,0,1,measured
140,7090,0,1,measured
141,C2D0,0,1,measured
144,EDE2,0,1,measured
145,361E,0,1,measured
147,C8D1,0,1,measured
148,12BB,0,1,measured
149,5BE6,0,1,measured
154,F114,0,1,measured
155,1504,0,1,measured
156,62AF,0,1,measured
157,AC69,0,1,measured
159,3FC3,0,1,measured
160,87D3,0,1,measured
161,CEB5,0,1,measured
162,170C,0,1,measured
163,4473,0,1,measured
164,8DED,0,1,measured
168,B404,0,1,measured
169,FD5E,0,1,measured
174,6BE3,0,1,measured
175,B313,0,1,measured
176,DE8E,0,1,measured
177,0C5C,0,1,measured
178,5568,0,1,measured
182,CB23,0,1,measured
183,1405,0,1,measured
188,82CE,0,1,measured
189,CDEE,0,1,measured
