offset,seed,band,boots,how
7,2A93,0,1,measured
8,7417,0,1,measured
10,0623,0,1,measured
11,4F65,0,1,measured
12,98A5,0,1,measured
14,BAAB,0,1,measured
15,04FB,0,1,measured
16,04FB,0,1,measured
17,4C7D,0,1,measured
21,B915,0,1,measured
22,D8C6,0,1,measured
23,16D4,0,1,measured
25,A86B,0,1,measured
26,F1B2,0,1,measured
28,63B0,0,1,measured
29,76CD,0,1,measured
30,C007,0,1,measured
31,085C,0,1,measured
35,297D,0,1,measured
36,76A6,0,1,measured
37,76A6,0,1,measured
38,BFE5,0,1,measured
40,0961,0,1,measured
41,2C82,0,1,measured
42,73DE,0,1,measured
43,BE47,0,1,measured
44,05FA,0,1,measured
45,4E85,0,1,measured
50,AE39,0,1,measured
51,EE38,0,1,measured
52,4147,0,1,measured
53,8B09,0,1,measured
55,1D35,0,1,measured
56,9436,0,1,measured
57,DE09,0,1,measured
58,2829,0,1,measured
61,FF92,0,1,measured
63,719F,0,1,measured
64,30D9,0,1,measured
65,4C7F,0,1,measured
66,9BBA,0,1,measured
69,76EF,0,1,measured
70,BF63,0,1,measured
71,091B,0,1,measured
72,5181,0,1,measured
73,C4F5,0,1,measured
74,E485,0,1,measured
77,C0C4,0,1,measured
78,096E,0,1,measured
79,533C,0,1,measured
81,E4B7,0,1,measured
84,C3C3,0,1,measured
85,0ADE,0,1,measured
86,5298,0,1,measured
88,E67C,0,1,measured
89,E67C,0,1,measured
92,C30A,0,1,measured
93,0D7C,0,1,measured
94,5511,0,1,measured
95,E26E,0,1,measured
98,C47E,0,1,measured
99,3895,0,1,measured
100,57B0,0,1,measured
101,9F17,0,1,measured
105,C4F7,0,1,measured
106,0E78,0,1,measured
107,80B1,0,1,measured
113,C36F,0,1,measured
114,0D66,0,1,measured
115,59BB,0,1,measured
116,9D02,0,1,measured
117,13E6,0,1,measured
119,7715,0,1,measured
120,C0BE,0,1,measured
121,5227,0,1,measured
122,9B60,0,1,measured
123,E52F,0,1,measured
124,2DE7,0,1,measured
126,AE4C,0,1,measured
127,F60C,0,1,measured
128,3F43,0,1,measured
129,90A3,0,1,measured
130,D223,0,1,measured
131,1FA8,0,1,measured
132,6980,0,1,measured
133,ADDD,0,1,measured
134,FB79,0,1,measured
135,4526,0,1,measured
136,8DE9,0,1,measured
140,7092,0,1,measured
141,C2DA,0,1,measured
144,EDED,0,1,measured
145,3624,0,1,measured
146,7F7F,0,1,measured
147,C8D5,0,1,measured
148,12BC,0,1,measured
149,5BF0,0,1,measured
151,E617,0,1,measured
154,F10F,0,1,measured
155,1506,0,1,measured
159,3FC5,0,1,measured
160,87D4,0,1,measured
161,CEBE,0,1,measured
162,1717,0,1,measured
163,4486,0,1,measured
164,8DED,0,1,measured
168,B40F,0,1,measured
169,FD6F,0,1,measured
170,4220,0,1,measured
171,8F1A,0,1,measured
172,D800,0,1,measured
174,6BF5,0,1,measured
175,B31D,0,1,measured
176,DEA1,0,1,measured
177,0C66,0,1,measured
179,9E3A,0,1,measured
182,CB2D,0,1,measured
183,140E,0,1,measured
184,5D85,0,1,measured
186,EDCB,0,1,measured
189,CDF7,0,1,measured
190,14C2,0,1,measured
191,5E34,0,1,measured
192,A78A,0,1,measured
193,1258,0,1,measured
195,8637,0,1,measured
196,D24D,0,1,measured
197,1883,0,1,measured
198,6239,0,1,measured
203,BDD5,0,1,measured
204,034A,0,1,measured
205,4CB0,0,1,measured
206,CE93,0,1,measured
210,DCE1,0,1,measured
211,26B1,0,1,measured
212,7111,0,1,measured
213,B5EC,0,1,measured
217,BA02,0,1,measured
218,0366,0,1,measured
219,880C,0,1,measured
220,AAF5,0,1,measured
221,F483,0,1,measured
224,CF11,0,1,measured
225,18C4,0,1,measured
226,6196,0,1,measured
231,A123,0,1,measured
232,EC5E,0,1,measured
234,7B20,0,1,measured
235,C388,0,1,measured
236,0CCD,0,1,measured
238,9F4A,0,1,measured
239,E879,0,1,measured
240,31CF,0,1,measured
241,5D36,0,1,measured
245,AEDC,0,1,measured
246,FCC8,0,1,measured
248,8E0F,0,1,measured
249,D854,0,1,measured
250,21B8,0,1,measured
251,69C0,0,1,measured
252,B31B,0,1,measured
253,F4D3,0,1,measured
254,3309,0,1,measured
255,7BE4,0,1,measured
259,DA6B,0,1,measured
260,1F92,0,1,measured
261,6D4E,0,1,measured
264,48EF,0,1,measured
265,9126,0,1,measured
266,9126,0,1,measured
267,BFC4,0,1,measured
268,1524,0,1,measured
269,543F,0,1,measured
271,11A8,0,1,measured
274,DF3D,0,1,measured
275,287C,0,1,measured
278,0442,0,1,measured
279,4D7B,0,1,measured
280,9309,0,1,measured
281,DBAC,0,1,measured
282,2247,0,1,measured
283,D176,0,1,measured
285,45B0,0,1,measured
287,D818,0,1,measured
288,21A8,0,1,measured
291,FD30,0,1,measured
294,DA54,0,1,measured
