offset,seed,band,boots,how
6,02A6,0,1,measured
8,7412,0,1,measured
9,BCDC,0,1,measured
10,0625,0,1,measured
11,4F63,0,1,measured
13,9813,0,1,measured
14,BAB2,0,1,measured
15,04F3,0,1,measured
16,04F3,0,1,measured
17,4C84,0,1,measured
18,DFA9,0,1,measured
19,282A,0,1,measured
20,6ADA,0,1,measured
21,B913,0,1,measured
22,D8C1,0,1,measured
23,16DB,0,1,measured
25,A86D,0,1,measured
26,F1B0,0,1,measured
27,3AF2,0,1,measured
28,63B4,0,1,measured
29,76BF,0,1,measured
30,C001,0,1,measured
31,085E,0,1,measured
32,51A5,0,1,measured
33,9AE5,0,1,measured
34,E425,0,1,measured
35,2981,0,1,measured
36,7699,0,1,measured
37,7699,0,1,measured
38,BFE6,0,1,measured
39,0925,0,1,measured
40,079B,0,1,measured
41,2E4D,0,1,measured
42,73E1,0,1,measured
43,BE4A,0,1,measured
45,4E8E,0,1,measured
46,A08A,0,1,measured
47,E557,0,1,measured
48,2E64,0,1,measured
49,6FED,0,1,measured
50,AE3E,0,1,measured
51,EE3C,0,1,measured
52,4148,0,1,measured
54,D3C3,0,1,measured
55,1C38,0,1,measured
56,9438,0,1,measured
57,DDFE,0,1,measured
58,2823,0,1,measured
60,B8B4,0,1,measured
61,FF94,0,1,measured
62,48A7,0,1,measured
63,71A5,0,1,measured
64,30D6,0,1,measured
65,4C87,0,1,measured
66,9BB9,0,1,measured
67,E344,0,1,measured
68,2D8E,0,1,measured
69,755C,0,1,measured
70,C195,0,1,measured
71,096F,0,1,measured
72,4F01,0,1,measured
73,C413,0,1,measured
74,E48C,0,1,measured
75,2EFE,0,1,measured
76,7684,0,1,measured
77,C0CE,0,1,measured
78,096B,0,1,measured
79,533D,0,1,measured
80,97C7,0,1,measured
81,E4B8,0,1,measured
82,57CF,0,1,measured
83,77C5,0,1,measured
84,C23F,0,1,measured
85,0C5F,0,1,measured
86,529D,0,1,measured
87,9CAD,0,1,measured
88,E69F,0,1,measured
89,E69F,0,1,measured
90,2FEF,0,1,measured
91,A414,0,1,measured
92,C30E,0,1,measured
93,0D72,0,1,measured
94,5518,0,1,measured
95,E26C,0,1,measured
96,3125,0,1,measured
98,C485,0,1,measured
99,36C8,0,1,measured
100,5975,0,1,measured
101,9F1F,0,1,measured
102,E965,0,1,measured
103,3132,0,1,measured
104,7B3D,0,1,measured
105,C4FB,0,1,measured
106,0E73,0,1,measured
107,80B2,0,1,measured
108,9F51,0,1,measured
109,E9B3,0,1,measured
110,2C97,0,1,measured
111,2C97,0,1,measured
112,7B81,0,1,measured
113,C373,0,1,measured
114,0D5C,0,1,measured
115,573F,0,1,measured
116,A0CA,0,1,measured
117,1534,0,1,measured
118,2E10,0,1,measured
119,771F,0,1,measured
120,C0C9,0,1,measured
121,5221,0,1,measured
122,9B5F,0,1,measured
123,E536,0,1,measured
124,2DDF,0,1,measured
125,6A62,0,1,measured
