offset,seed,band,boots,how
6,02AC,0,1,measured
8,7407,0,1,measured
9,BCDA,0,1,measured
10,061A,0,1,measured
11,4F5A,0,1,measured
12,98A3,0,1,measured
13,980A,0,1,measured
14,BAB1,0,1,measured
15,04F3,0,1,measured
16,04F3,0,1,measured
17,4C7D,0,1,measured
18,DFB1,0,1,measured
19,2831,0,1,measured
20,6AD8,0,1,measured
21,B90E,0,1,measured
23,16D6,0,1,measured
26,F1AE,0,1,measured
27,3AF0,0,1,measured
29,76BD,0,1,measured
30,BFFD,0,1,measured
31,085A,0,1,measured
32,519A,0,1,measured
33,9ADC,0,1,measured
34,E41A,0,1,measured
35,2976,0,1,measured
36,7699,0,1,measured
37,7699,0,1,measured
38,BFE4,0,1,measured
39,091A,0,1,measured
40,078F,0,1,measured
41,2E47,0,1,measured
42,73D6,0,1,measured
43,BE4E,0,1,measured
44,05EC,0,1,measured
45,4E84,0,1,measured
46,A088,0,1,measured
47,E55E,0,1,measured
48,2E66,0,1,measured
49,6FE9,0,1,measured
50,AE43,0,1,measured
51,EE3A,0,1,measured
52,414D,0,1,measured
54,D3C1,0,1,measured
55,1C2E,0,1,measured
56,942C,0,1,measured
57,DDF9,0,1,measured
59,71D1,0,1,measured
60,B8B2,0,1,measured
61,FF98,0,1,measured
62,489F,0,1,measured
63,71AC,0,1,measured
64,30CB,0,1,measured
65,4C7D,0,1,measured
66,9BB6,0,1,measured
67,E344,0,1,measured
68,2D84,0,1,measured
69,755B,0,1,measured
70,C18A,0,1,measured
71,0961,0,1,measured
72,4F06,0,1,measured
73,C413,0,1,measured
74,E489,0,1,measured
75,2EF5,0,1,measured
76,7681,0,1,measured
77,C0CC,0,1,measured
78,096A,0,1,measured
80,97C2,0,1,measured
81,E4B6,0,1,measured
82,57CF,0,1,measured
83,77C9,0,1,measured
84,C23D,0,1,measured
85,0C5C,0,1,measured
86,5294,0,1,measured
88,E6A1,0,1,measured
89,E6A1,0,1,measured
90,2FE9,0,1,measured
91,A40A,0,1,measured
92,C30B,0,1,measured
93,0D6C,0,1,measured
94,5518,0,1,measured
95,E272,0,1,measured
96,3126,0,1,measured
97,7AF4,0,1,measured
98,C481,0,1,measured
99,36C1,0,1,measured
100,5974,0,1,measured
101,9F1C,0,1,measured
102,E966,0,1,measured
103,312F,0,1,measured
104,7B38,0,1,measured
105,C4F4,0,1,measured
106,0E74,0,1,measured
107,80B0,0,1,measured
108,9F54,0,1,measured
109,E9AC,0,1,measured
110,2C95,0,1,measured
111,2C95,0,1,measured
112,7B81,0,1,measured
113,C369,0,1,measured
114,0D61,0,1,measured
115,5747,0,1,measured
116,A0C8,0,1,measured
117,152F,0,1,measured
118,2E06,0,1,measured
119,771D,0,1,measured
120,C0BE,0,1,measured
