offset,seed,band,boots,how
6,029B,0,1,measured
7,2A96,0,1,measured
8,73FF,0,1,measured
9,BCDB,0,1,measured
10,0612,0,1,measured
11,4F50,0,1,measured
12,9892,0,1,measured
13,9801,0,1,measured
14,BAA6,0,1,measured
15,04F2,0,1,measured
16,04F2,0,1,measured
17,4C77,0,1,measured
18,DFA7,0,1,measured
19,281F,0,1,measured
20,6ACF,0,1,measured
21,B90F,0,1,measured
22,D8BF,0,1,measured
23,16C6,0,1,measured
24,5F27,0,1,measured
25,A864,0,1,measured
26,F19D,0,1,measured
27,3ADF,0,1,measured
28,63AB,0,1,measured
29,76BE,0,1,measured
30,BFF5,0,1,measured
31,085B,0,1,measured
32,5192,0,1,measured
33,9AD2,0,1,measured
34,E412,0,1,measured
35,296E,0,1,measured
36,769A,0,1,measured
37,769A,0,1,measured
38,BFDD,0,1,measured
39,091B,0,1,measured
40,0785,0,1,measured
41,2E46,0,1,measured
42,73DD,0,1,measured
43,BE3D,0,1,measured
44,05E8,0,1,measured
45,4E82,0,1,measured
46,A078,0,1,measured
47,E554,0,1,measured
48,2E62,0,1,measured
49,6FE1,0,1,measured
50,AE3C,0,1,measured
51,EE34,0,1,measured
52,4144,0,1,measured
53,8AFE,0,1,measured
54,D3B0,0,1,measured
55,1C25,0,1,measured
56,942E,0,1,measured
57,DDFA,0,1,measured
58,281F,0,1,measured
59,71CF,0,1,measured
60,B8AB,0,1,measured
61,FF87,0,1,measured
62,4894,0,1,measured
63,719B,0,1,measured
64,30BF,0,1,measured
65,4C73,0,1,measured
66,9BB7,0,1,measured
67,E342,0,1,measured
68,2D7C,0,1,measured
69,7559,0,1,measured
70,C17F,0,1,measured
71,095C,0,1,measured
72,4EFD,0,1,measured
73,C415,0,1,measured
74,E482,0,1,measured
75,2EEB,0,1,measured
76,7682,0,1,measured
77,C0C1,0,1,measured
78,096C,0,1,measured
79,5335,0,1,measured
80,97C3,0,1,measured
81,E4B7,0,1,measured
82,57CC,0,1,measured
83,77C2,0,1,measured
84,C229,0,1,measured
85,0C5A,0,1,measured
86,5289,0,1,measured
87,9CAD,0,1,measured
88,E699,0,1,measured
89,E699,0,1,measured
90,2FEC,0,1,measured
91,A408,0,1,measured
92,C30D,0,1,measured
93,0D62,0,1,measured
94,5507,0,1,measured
95,E26A,0,1,measured
96,3128,0,1,measured
97,7AF5,0,1,measured
98,C478,0,1,measured
99,36C0,0,1,measured
100,596B,0,1,measured
101,9F0C,0,1,measured
102,E956,0,1,measured
103,3127,0,1,measured
104,7B27,0,1,measured
105,C4E8,0,1,measured
106,0E6A,0,1,measured
107,80AA,0,1,measured
108,9F48,0,1,measured
109,E9AB,0,1,measured
110,2C83,0,1,measured
111,2C83,0,1,measured
112,7B80,0,1,measured
113,C35D,0,1,measured
114,0D5C,0,1,measured
115,573E,0,1,measured
116,A0C0,0,1,measured
117,1530,0,1,measured
118,2E07,0,1,measured
119,770C,0,1,measured
120,C0B6,0,1,measured
121,521D,0,1,measured
122,9B5D,0,1,measured
123,E523,0,1,measured
124,2DD5,0,1,measured
125,6A5F,0,1,measured
126,AE45,0,1,measured
127,F605,0,1,measured
128,3F30,0,1,measured
129,904D,0,1,measured
130,D261,0,1,measured
131,1F94,0,1,measured
132,6976,0,1,measured
133,ADDE,0,1,measured
134,FB6A,0,1,measured
135,451C,0,1,measured
136,8DD6,0,1,measured
137,D748,0,1,measured
138,0192,0,1,measured
139,3118,0,1,measured
140,708B,0,1,measured
141,C2D3,0,1,measured
142,69BB,0,1,measured
143,A224,0,1,measured
144,ED02,0,1,measured
145,3700,0,1,measured
146,7F71,0,1,measured
147,C8CD,0,1,measured
148,12B7,0,1,measured
149,5B55,0,1,measured
150,A48B,0,1,measured
151,E615,0,1,measured
152,2463,0,1,measured
153,6D55,0,1,measured
154,F10C,0,1,measured
155,14FE,0,1,measured
156,62AE,0,1,measured
