offset,seed,band,boots,how
268,1520,0,1,measured
269,543D,0,1,measured
270,9D92,0,1,measured
271,11AF,0,1,measured
272,4E90,0,1,measured
273,9665,0,1,measured
274,DF3F,0,1,measured
275,287D,0,1,measured
276,6D3C,0,1,measured
277,BBB5,0,1,measured
278,0435,0,1,measured
279,4D84,0,1,measured
280,93D8,0,1,measured
281,D9F0,0,1,measured
282,21DA,0,1,measured
283,D1A1,0,1,measured
284,FCE0,0,1,measured
285,45E8,0,1,measured
286,8E9A,0,1,measured
287,D846,0,1,measured
288,21D0,0,1,measured
289,8496,0,1,measured
290,AFAB,0,1,measured
291,FD68,0,1,measured
292,4725,0,1,measured
293,8F6E,0,1,measured
294,D910,0,1,measured
295,2444,0,1,measured
296,891D,0,1,measured
297,B8A8,0,1,measured
298,5615,0,1,measured
299,A06B,0,1,measured
300,E979,0,1,measured
301,2F05,0,1,measured
302,6CB4,0,1,measured
303,B5F1,0,1,measured
304,F35F,0,1,measured
305,F35F,0,1,measured
306,35E5,0,1,measured
307,7EB0,0,1,measured
308,C7F4,0,1,measured
309,4822,0,1,measured
310,75FA,0,1,measured
311,BDAA,0,1,measured
312,05CF,0,1,measured
313,4FA2,0,1,measured
314,98D5,0,1,measured
315,F989,0,1,measured
316,2AFE,0,1,measured
317,A76B,0,1,measured
318,F053,0,1,measured
319,34D7,0,1,measured
320,8252,0,1,measured
321,FFF7,0,1,measured
322,2324,0,1,measured
323,6C4D,0,1,measured
324,6C4D,0,1,measured
325,B755,0,1,measured
326,FDFF,0,1,measured
327,4721,0,1,measured
328,90CD,0,1,measured
329,D9BC,0,1,measured
330,2216,0,1,measured
331,652B,0,1,measured
332,A206,0,1,measured
333,EAEE,0,1,measured
334,355E,0,1,measured
335,78E1,0,1,measured
336,1B91,0,1,measured
337,659B,0,1,measured
338,AE21,0,1,measured
339,F85F,0,1,measured
340,34D3,0,1,measured
341,7E14,0,1,measured
342,A9C0,0,1,measured
343,A9C0,0,1,measured
344,D7AA,0,1,measured
345,20C4,0,1,measured
346,68C0,0,1,measured
347,1984,0,1,measured
348,4AAB,0,1,measured
349,974F,0,1,measured
350,D3DD,0,1,measured
351,2D06,0,1,measured
352,72ED,0,1,measured
353,BC4F,0,1,measured
354,09F8,0,1,measured
355,9A9E,0,1,measured
356,DA60,0,1,measured
357,2107,0,1,measured
358,6A7F,0,1,measured
359,D5C3,0,1,measured
360,117C,0,1,measured
361,59D8,0,1,measured
362,59D8,0,1,measured
363,A652,0,1,measured
364,EC60,0,1,measured
365,281B,0,1,measured
366,7EE9,0,1,measured
367,CC86,0,1,measured
368,122F,0,1,measured
369,3EA2,0,1,measured
370,8BB1,0,1,measured
371,D100,0,1,measured
372,1A74,0,1,measured
373,9A15,0,1,measured
374,1A98,0,1,measured
375,6404,0,1,measured
376,AC69,0,1,measured
377,F588,0,1,measured
378,14A2,0,1,measured
379,59B3,0,1,measured
380,A760,0,1,measured
381,A760,0,1,measured
382,D564,0,1,measured
383,0274,0,1,measured
384,4A44,0,1,measured
385,935F,0,1,measured
386,3A72,0,1,measured
387,7588,0,1,measured
388,BEA5,0,1,measured
389,089B,0,1,measured
390,511C,0,1,measured
391,9A63,0,1,measured
392,F46E,0,1,measured
393,8267,0,1,measured
394,C706,0,1,measured
395,1596,0,1,measured
396,5E24,0,1,measured
397,9B14,0,1,measured
398,FAB6,0,1,measured
399,316F,0,1,measured
400,316F,0,1,measured
401,7AE1,0,1,measured
402,C384,0,1,measured
403,0CC3,0,1,measured
404,55F5,0,1,measured
405,9FF4,0,1,measured
406,E92A,0,1,measured
407,31BB,0,1,measured
408,736D,0,1,measured
409,B1AE,0,1,measured
410,F146,0,1,measured
411,43BB,0,1,measured
412,FDD0,0,1,measured
413,4636,0,1,measured
414,8F9F,0,1,measured
415,D8AC,0,1,measured
416,16CB,0,1,measured
417,6CB8,0,1,measured
418,AB3E,0,1,measured
419,AB3E,0,1,measured
420,F3AB,0,1,measured
421,1C71,0,1,measured
422,65EF,0,1,measured
423,AEB1,0,1,measured
424,2B48,0,1,measured
425,48C9,0,1,measured
426,9666,0,1,measured
427,E013,0,1,measured
428,2862,0,1,measured
429,7155,0,1,measured
430,BC1F,0,1,measured
431,5898,0,1,measured
432,9B35,0,1,measured
433,D815,0,1,measured
434,20E2,0,1,measured
435,5E60,0,1,measured
436,A7A8,0,1,measured
437,F0D0,0,1,measured
438,F0D0,0,1,measured
439,3A0D,0,1,measured
440,7F87,0,1,measured
441,CC98,0,1,measured
442,15CE,0,1,measured
443,5FAF,0,1,measured
444,A857,0,1,measured
445,F1E5,0,1,measured
446,1FAA,0,1,measured
447,4DE0,0,1,measured
448,96CD,0,1,measured
449,E051,0,1,measured
450,CDC8,0,1,measured
451,1A14,0,1,measured
452,64C6,0,1,measured
453,AA6C,0,1,measured
454,DD87,0,1,measured
455,34FC,0,1,measured
456,81F0,0,1,measured
457,81F0,0,1,measured
458,C702,0,1,measured
459,0888,0,1,measured
460,4A49,0,1,measured
461,8F83,0,1,measured
462,D996,0,1,measured
463,49BE,0,1,measured
464,85C5,0,1,measured
465,C9D8,0,1,measured
466,2224,0,1,measured
467,5D15,0,1,measured
468,A754,0,1,measured
469,3C9E,0,1,measured
470,8DB9,0,1,measured
471,BADB,0,1,measured
472,0EBC,0,1,measured
473,4385,0,1,measured
474,8E12,0,1,measured
475,E841,0,1,measured
476,E841,0,1,measured
477,1B0F,0,1,measured
478,6453,0,1,measured
479,ADFC,0,1,measured
480,F685,0,1,measured
481,3F5C,0,1,measured
482,8895,0,1,measured
483,D24F,0,1,measured
484,1B19,0,1,measured
485,4348,0,1,measured
486,3D29,0,1,measured
487,856F,0,1,measured
488,C16D,0,1,measured
489,F791,0,1,measured
490,404C,0,1,measured
491,8A4C,0,1,measured
492,D162,0,1,measured
493,114E,0,1,measured
494,754A,0,1,measured
495,754A,0,1,measured
496,A483,0,1,measured
497,ECC1,0,1,measured
498,35A2,0,1,measured
499,7EAC,0,1,measured
500,C3E2,0,1,measured
501,112C,0,1,measured
502,72E8,0,1,measured
503,A20C,0,1,measured
504,E9DA,0,1,measured
505,336C,0,1,measured
506,7C48,0,1,measured
507,1B23,0,1,measured
508,6505,0,1,measured
509,B63B,0,1,measured
510,D513,0,1,measured
511,073D,0,1,measured
512,500B,0,1,measured
513,E216,0,1,measured
514,E216,0,1,measured
515,0C9C,0,1,measured
516,5A3C,0,1,measured
517,A3D3,0,1,measured
518,ECE0,0,1,measured
519,351F,0,1,measured
520,7FC3,0,1,measured
521,E2F2,0,1,measured
522,112B,0,1,measured
523,5A34,0,1,measured
524,A379,0,1,measured
525,ECA0,0,1,measured
526,B4EE,0,1,measured
527,DA84,0,1,measured
528,2384,0,1,measured
529,6876,0,1,measured
530,A968,0,1,measured
531,F23F,0,1,measured
532,3B80,0,1,measured
533,3B80,0,1,measured
534,8548,0,1,measured
535,CE53,0,1,measured
536,102C,0,1,measured
537,4D23,0,1,measured
538,9605,0,1,measured
539,DF26,0,1,measured
540,2888,0,1,measured
541,71C8,0,1,measured
542,BAEE,0,1,measured
543,04D9,0,1,measured
544,4D67,0,1,measured
545,EC61,0,1,measured
546,34F6,0,1,measured
547,7E48,0,1,measured
548,A702,0,1,measured
549,CB2C,0,1,measured
550,1328,0,1,measured
551,5CB2,0,1,measured
552,5CB2,0,1,measured
553,080A,0,1,measured
554,3E97,0,1,measured
555,8A46,0,1,measured
556,D2A8,0,1,measured
557,1C03,0,1,measured
558,6554,0,1,measured
559,AF58,0,1,measured
560,ED1C,0,1,measured
561,411A,0,1,measured
562,82D4,0,1,measured
563,C0D6,0,1,measured
564,5E1A,0,1,measured
565,D63B,0,1,measured
566,0464,0,1,measured
567,4D74,0,1,measured
568,89C0,0,1,measured
569,D376,0,1,measured
570,1D0D,0,1,measured
571,1D0D,0,1,measured
572,63B3,0,1,measured
573,AC1E,0,1,measured
574,F544,0,1,measured
575,201A,0,1,measured
576,6DF5,0,1,measured
577,B6C1,0,1,measured
578,FFE8,0,1,measured
579,815C,0,1,measured
580,B98F,0,1,measured
581,013C,0,1,measured
582,49B8,0,1,measured
583,E825,0,1,measured
584,30B2,0,1,measured
585,5C7B,0,1,measured
586,A491,0,1,measured
587,C51B,0,1,measured
588,F3C9,0,1,measured
589,385D,0,1,measured
590,385D,0,1,measured
591,8643,0,1,measured
592,3E5F,0,1,measured
593,6841,0,1,measured
594,B151,0,1,measured
595,FBA6,0,1,measured
596,43E7,0,1,measured
597,8A9F,0,1,measured
598,F4C5,0,1,measured
599,1FB8,0,1,measured
600,68CE,0,1,measured
601,B173,0,1,measured
602,5059,0,1,measured
603,B50D,0,1,measured
604,DC5E,0,1,measured
605,2A39,0,1,measured
606,6985,0,1,measured
607,B34A,0,1,measured
608,FB63,0,1,measured
609,FB63,0,1,measured
610,46AD,0,1,measured
611,8D76,0,1,measured
612,D3F2,0,1,measured
613,15AB,0,1,measured
614,376C,0,1,measured
615,7EAC,0,1,measured
616,C785,0,1,measured
617,6ADC,0,1,measured
618,9AC7,0,1,measured
619,E3D5,0,1,measured
620,26BD,0,1,measured
621,CB31,0,1,measured
622,1464,0,1,measured
623,5EA3,0,1,measured
624,A325,0,1,measured
625,C178,0,1,measured
626,ECE9,0,1,measured
627,343D,0,1,measured
628,343D,0,1,measured
629,7D14,0,1,measured
630,1723,0,1,measured
631,3E3E,0,1,measured
632,8772,0,1,measured
633,D103,0,1,measured
634,197B,0,1,measured
635,5DC3,0,1,measured
636,AB9D,0,1,measured
637,F531,0,1,measured
638,3E1B,0,1,measured
639,484C,0,1,measured
640,D9A0,0,1,measured
641,22F4,0,1,measured
642,900F,0,1,measured
643,D5DE,0,1,measured
644,13B9,0,1,measured
645,5DB5,0,1,measured
646,A64E,0,1,measured
647,A64E,0,1,measured
648,EF8C,0,1,measured
649,397D,0,1,measured
650,7DB8,0,1,measured
651,CB50,0,1,measured
652,D9B3,0,1,measured
653,0557,0,1,measured
654,4DEA,0,1,measured
655,9709,0,1,measured
656,396B,0,1,measured
657,7271,0,1,measured
658,BE4A,0,1,measured
659,5945,0,1,measured
660,A42C,0,1,measured
661,EE14,0,1,measured
662,36A0,0,1,measured
663,7530,0,1,measured
664,B032,0,1,measured
665,F510,0,1,measured
666,F510,0,1,measured
667,3DE3,0,1,measured
668,8718,0,1,measured
669,1971,0,1,measured
670,567E,0,1,measured
671,9E72,0,1,measured
672,E679,0,1,measured
673,3077,0,1,measured
674,78FE,0,1,measured
675,C36E,0,1,measured
676,0C2D,0,1,measured
677,5518,0,1,measured
678,DB96,0,1,measured
679,1DAB,0,1,measured
680,6D37,0,1,measured
681,09C7,0,1,measured
682,352B,0,1,measured
683,7E5C,0,1,measured
684,C989,0,1,measured
685,C989,0,1,measured
686,1018,0,1,measured
687,595D,0,1,measured
688,A303,0,1,measured
689,EBD3,0,1,measured
690,3453,0,1,measured
691,639F,0,1,measured
692,8D2A,0,1,measured
693,D639,0,1,measured
694,5F10,0,1,measured
695,934C,0,1,measured
696,E108,0,1,measured
697,8076,0,1,measured
698,D9A6,0,1,measured
699,14B4,0,1,measured
700,6A23,0,1,measured
701,98E0,0,1,measured
702,E187,0,1,measured
703,2AEA,0,1,measured
704,2AEA,0,1,measured
705,7460,0,1,measured
706,BD4E,0,1,measured
707,1A84,0,1,measured
708,54B5,0,1,measured
709,9C89,0,1,measured
710,E13E,0,1,measured
711,303F,0,1,measured
712,784B,0,1,measured
713,C192,0,1,measured
714,0ADE,0,1,measured
715,54FC,0,1,measured
716,0501,0,1,measured
717,4E28,0,1,measured
718,97C4,0,1,measured
719,D4DD,0,1,measured
720,0476,0,1,measured
721,4D69,0,1,measured
722,9741,0,1,measured
723,9741,0,1,measured
724,DFF7,0,1,measured
725,23D9,0,1,measured
726,72F0,0,1,measured
727,BAED,0,1,measured
728,042B,0,1,measured
729,471C,0,1,measured
730,847A,0,1,measured
731,CCFB,0,1,measured
732,16D3,0,1,measured
733,9A9C,0,1,measured
734,BE6A,0,1,measured
735,5D49,0,1,measured
736,A592,0,1,measured
737,EEB4,0,1,measured
738,37F1,0,1,measured
739,70C5,0,1,measured
740,BE34,0,1,measured
741,FF1C,0,1,measured
742,FF1C,0,1,measured
743,3E97,0,1,measured
744,8625,0,1,measured
745,CFBD,0,1,measured
746,18AE,0,1,measured
747,61DA,0,1,measured
748,AB15,0,1,measured
749,F50C,0,1,measured
750,3DB2,0,1,measured
751,86DA,0,1,measured
752,D0B9,0,1,measured
753,1955,0,1,measured
754,9759,0,1,measured
755,CAE0,0,1,measured
756,12C1,0,1,measured
757,5B9A,0,1,measured
758,FEC5,0,1,measured
759,33AD,0,1,measured
760,7EFE,0,1,measured
761,7EFE,0,1,measured
762,C92F,0,1,measured
763,0EE3,0,1,measured
764,5A28,0,1,measured
765,A5B4,0,1,measured
766,ED53,0,1,measured
767,35D9,0,1,measured
768,795D,0,1,measured
769,B5B5,0,1,measured
770,F342,0,1,measured
771,47D9,0,1,measured
772,B6DC,0,1,measured
773,4765,0,1,measured
774,91F8,0,1,measured
775,D9E6,0,1,measured
776,234E,0,1,measured
777,642B,0,1,measured
778,ABC1,0,1,measured
779,F447,0,1,measured
780,F447,0,1,measured
781,2506,0,1,measured
782,6D03,0,1,measured
783,B5BB,0,1,measured
784,33EE,0,1,measured
785,5E8E,0,1,measured
786,AB0E,0,1,measured
787,F445,0,1,measured
788,3C52,0,1,measured
789,865C,0,1,measured
790,D031,0,1,measured
791,1814,0,1,measured
792,9A3C,0,1,measured
